Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Estimated Number,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations
544351,ضيابر - فومن,1397/12/01 00:00:00,1397/12/02 00:00:00,1305.0,8893,7587,514,296,103,393,74.0,9132.0,798.0,2898.0,126.0
544351,ضيابر - فومن,1397/12/02 00:00:00,1397/12/03 00:00:00,1440.0,10039,8814,481,294,107,343,74.0,10039.0,918.0,3453.0,136.0
544351,ضيابر - فومن,1397/12/03 00:00:00,1397/12/04 00:00:00,1440.0,10140,8953,453,271,88,375,73.0,10140.0,836.0,3665.0,104.0
544351,ضيابر - فومن,1397/12/04 00:00:00,1397/12/05 00:00:00,1430.0,9459,8152,514,306,120,367,75.0,9513.0,977.0,3082.0,125.0
544351,ضيابر - فومن,1397/12/05 00:00:00,1397/12/06 00:00:00,1440.0,9345,7935,614,341,106,349,74.0,9345.0,913.0,3061.0,152.0
544351,ضيابر - فومن,1397/12/06 00:00:00,1397/12/07 00:00:00,1440.0,9133,7710,589,382,102,350,72.0,9133.0,730.0,2962.0,143.0
544351,ضيابر - فومن,1397/12/07 00:00:00,1397/12/08 00:00:00,1440.0,9810,8337,596,379,113,385,74.0,9810.0,966.0,3406.0,119.0
544351,ضيابر - فومن,1397/12/08 00:00:00,1397/12/09 00:00:00,1440.0,9000,7641,547,344,117,351,72.0,9000.0,819.0,2829.0,132.0
544351,ضيابر - فومن,1397/12/09 00:00:00,1397/12/10 00:00:00,1440.0,9514,8266,485,342,95,326,71.0,9514.0,710.0,3145.0,158.0
544351,ضيابر - فومن,1397/12/10 00:00:00,1397/12/11 00:00:00,1440.0,9613,8431,482,266,105,329,73.0,9613.0,800.0,3405.0,77.0
544351,ضيابر - فومن,1397/12/11 00:00:00,1397/12/12 00:00:00,1440.0,9345,8069,552,283,97,344,75.0,9345.0,1081.0,3011.0,105.0
544351,ضيابر - فومن,1397/12/12 00:00:00,1397/12/13 00:00:00,1435.0,9422,7913,637,403,97,372,74.0,9470.0,1007.0,3173.0,142.0
544351,ضيابر - فومن,1397/12/13 00:00:00,1397/12/14 00:00:00,1435.0,8961,7534,614,378,86,349,73.0,9010.0,887.0,2858.0,133.0
544351,ضيابر - فومن,1397/12/14 00:00:00,1397/12/15 00:00:00,1440.0,9409,7822,647,446,106,388,74.0,9409.0,943.0,3120.0,167.0
544351,ضيابر - فومن,1397/12/15 00:00:00,1397/12/16 00:00:00,1440.0,9345,7824,621,403,105,392,74.0,9345.0,1038.0,3144.0,170.0
544351,ضيابر - فومن,1397/12/16 00:00:00,1397/12/17 00:00:00,1435.0,9896,8564,540,342,89,361,71.0,9902.0,694.0,3604.0,121.0
544351,ضيابر - فومن,1397/12/17 00:00:00,1397/12/18 00:00:00,1440.0,8810,7584,432,302,97,395,70.0,8810.0,533.0,2859.0,86.0
544351,ضيابر - فومن,1397/12/18 00:00:00,1397/12/19 00:00:00,1440.0,9295,7927,554,360,88,366,74.0,9295.0,930.0,3105.0,117.0
544351,ضيابر - فومن,1397/12/19 00:00:00,1397/12/20 00:00:00,1440.0,9428,7958,629,397,88,356,75.0,9428.0,1033.0,3101.0,132.0
544351,ضيابر - فومن,1397/12/20 00:00:00,1397/12/20 23:15:00,1365.0,8864,7402,615,388,108,351,74.0,9299.0,892.0,2942.0,142.0
544351,ضيابر - فومن,1397/12/21 09:00:00,1397/12/22 00:00:00,875.0,7599,6380,533,326,72,288,72.0,9768.0,587.0,2751.0,107.0
544351,ضيابر - فومن,1397/12/22 00:00:00,1397/12/23 00:00:00,1440.0,9851,8272,651,401,108,419,73.0,9851.0,945.0,3378.0,150.0
544351,ضيابر - فومن,1397/12/23 00:00:00,1397/12/24 00:00:00,1440.0,10728,9308,580,367,99,374,71.0,10728.0,847.0,3883.0,183.0
544351,ضيابر - فومن,1397/12/24 00:00:00,1397/12/25 00:00:00,1440.0,9308,7882,620,350,90,366,70.0,9308.0,596.0,3051.0,125.0
544351,ضيابر - فومن,1397/12/25 00:00:00,1397/12/26 00:00:00,1440.0,10275,8743,656,386,119,371,74.0,10275.0,1033.0,3548.0,147.0
544351,ضيابر - فومن,1397/12/26 00:00:00,1397/12/27 00:00:00,1435.0,10196,8682,682,375,111,346,71.0,10234.0,759.0,3564.0,184.0
544351,ضيابر - فومن,1397/12/27 00:00:00,1397/12/28 00:00:00,1440.0,10134,8962,491,268,101,312,72.0,10134.0,674.0,3596.0,208.0
544351,ضيابر - فومن,1397/12/28 00:00:00,1397/12/29 00:00:00,1435.0,9543,8660,331,217,82,253,70.0,9591.0,477.0,3141.0,224.0
544351,ضيابر - فومن,1397/12/29 00:00:00,1398/01/01 00:00:00,1440.0,10016,9486,184,110,63,173,74.0,10016.0,704.0,3446.0,229.0
544351,ضيابر - فومن,1396/01/01 00:00:00,1396/01/02 00:00:00,1440.0,10684,10337,126,66,50,105,72.73,10684.0,679.0,4227.0,157.0
544351,ضيابر - فومن,1396/01/02 00:00:00,1396/01/03 00:00:00,1380.0,12316,11851,171,105,72,117,74.07,12966.0,737.0,5611.0,206.0
544351,ضيابر - فومن,1396/01/03 00:00:00,1396/01/04 00:00:00,1440.0,13491,13045,160,90,65,131,68.97,13491.0,391.0,6113.0,164.0
544351,ضيابر - فومن,1396/01/04 00:00:00,1396/01/05 00:00:00,1440.0,14902,14384,172,125,93,128,68.56,14902.0,419.0,7418.0,126.0
544351,ضيابر - فومن,1396/01/05 00:00:00,1396/01/06 00:00:00,1440.0,16002,15366,259,148,80,149,71.9,16002.0,667.0,8857.0,150.0
544351,ضيابر - فومن,1396/01/06 00:00:00,1396/01/07 00:00:00,1435.0,16615,15789,318,222,87,199,70.26,16662.0,633.0,9592.0,158.0
544351,ضيابر - فومن,1396/01/07 00:00:00,1396/01/08 00:00:00,1440.0,16574,15715,325,246,95,193,70.43,16574.0,625.0,9318.0,186.0
544351,ضيابر - فومن,1396/01/08 00:00:00,1396/01/09 00:00:00,1440.0,16295,15439,349,247,69,191,69.67,16295.0,544.0,8693.0,183.0
544351,ضيابر - فومن,1396/01/09 00:00:00,1396/01/10 00:00:00,1435.0,16782,15960,284,262,90,186,70.24,16813.0,618.0,9960.0,154.0
544351,ضيابر - فومن,1396/01/10 00:00:00,1396/01/11 00:00:00,1440.0,17193,16488,278,199,54,174,70.2,17193.0,620.0,10615.0,112.0
544351,ضيابر - فومن,1396/01/11 00:00:00,1396/01/12 00:00:00,1435.0,17524,17043,175,137,62,107,68.54,17609.0,545.0,11583.0,116.0
544351,ضيابر - فومن,1396/01/12 00:00:00,1396/01/13 00:00:00,1435.0,16985,16438,205,145,60,137,71.95,17019.0,561.0,9249.0,69.0
544351,ضيابر - فومن,1396/01/13 00:00:00,1396/01/14 00:00:00,1440.0,15820,15447,137,111,33,92,69.26,15820.0,758.0,7817.0,66.0
544351,ضيابر - فومن,1396/01/14 00:00:00,1396/01/15 00:00:00,1440.0,15882,15108,272,215,68,219,71.14,15882.0,514.0,7893.0,36.0
544351,ضيابر - فومن,1396/01/15 00:00:00,1396/01/16 00:00:00,1395.0,12912,11721,428,329,106,328,74.51,13435.0,844.0,5715.0,90.0
544351,ضيابر - فومن,1396/01/16 00:00:00,1396/01/17 00:00:00,1440.0,10566,9159,448,438,130,391,76.01,10566.0,1100.0,3955.0,128.0
544351,ضيابر - فومن,1396/01/17 00:00:00,1396/01/18 00:00:00,1440.0,10683,9440,477,362,88,316,75.55,10683.0,1039.0,4175.0,134.0
544351,ضيابر - فومن,1396/01/18 00:00:00,1396/01/19 00:00:00,1440.0,10294,9179,345,327,92,351,73.84,10294.0,836.0,4020.0,98.0
544351,ضيابر - فومن,1396/01/19 00:00:00,1396/01/20 00:00:00,1415.0,8721,7500,432,395,97,297,77.65,8945.0,1164.0,2708.0,127.0
544351,ضيابر - فومن,1396/01/20 00:00:00,1396/01/21 00:00:00,1440.0,8646,7302,453,391,125,375,76.56,8646.0,1057.0,2709.0,117.0
544351,ضيابر - فومن,1396/01/21 00:00:00,1396/01/22 00:00:00,1440.0,8375,7168,456,341,90,320,75.1,8375.0,907.0,2530.0,144.0
544351,ضيابر - فومن,1396/01/22 00:00:00,1396/01/23 00:00:00,1440.0,8063,6879,424,317,116,327,74.82,8063.0,851.0,2486.0,158.0
