Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Estimated Number,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations
544101,ضيابر - پونل,1397/12/01 00:00:00,1397/12/02 00:00:00,1290.0,6002,5277,253,76,125,271,62.0,6273.0,37.0,1325.0,48.0
544101,ضيابر - پونل,1397/12/02 00:00:00,1397/12/03 00:00:00,1430.0,6628,5949,256,48,134,241,62.0,6689.0,36.0,1432.0,44.0
544101,ضيابر - پونل,1397/12/03 00:00:00,1397/12/04 00:00:00,1430.0,5883,5239,216,60,127,241,62.0,5943.0,45.0,1256.0,41.0
544101,ضيابر - پونل,1397/12/04 00:00:00,1397/12/05 00:00:00,1425.0,6013,5362,234,70,122,225,62.0,6069.0,32.0,1186.0,40.0
544101,ضيابر - پونل,1397/12/05 00:00:00,1397/12/06 00:00:00,1430.0,6303,5614,261,79,103,246,61.0,6357.0,32.0,1340.0,34.0
544101,ضيابر - پونل,1397/12/06 00:00:00,1397/12/07 00:00:00,1430.0,5935,5188,277,92,114,264,60.0,5994.0,25.0,1127.0,45.0
544101,ضيابر - پونل,1397/12/07 00:00:00,1397/12/08 00:00:00,1430.0,5964,5302,229,79,117,237,62.0,6016.0,36.0,1177.0,38.0
544101,ضيابر - پونل,1397/12/08 00:00:00,1397/12/09 00:00:00,1430.0,6362,5599,290,76,125,272,60.0,6418.0,19.0,1371.0,45.0
544101,ضيابر - پونل,1397/12/09 00:00:00,1397/12/10 00:00:00,1430.0,6408,5641,280,84,109,294,61.0,6462.0,23.0,1249.0,28.0
544101,ضيابر - پونل,1397/12/10 00:00:00,1397/12/11 00:00:00,1430.0,5256,4662,211,77,93,213,62.0,5309.0,27.0,1015.0,36.0
544101,ضيابر - پونل,1397/12/11 00:00:00,1397/12/12 00:00:00,1430.0,5810,5209,231,78,107,185,63.0,5855.0,35.0,1136.0,31.0
544101,ضيابر - پونل,1397/12/12 00:00:00,1397/12/13 00:00:00,1425.0,5958,5211,322,71,108,246,61.0,6032.0,28.0,1192.0,46.0
544101,ضيابر - پونل,1397/12/13 00:00:00,1397/12/14 00:00:00,1420.0,5880,5071,331,88,100,290,60.0,5972.0,26.0,1162.0,42.0
544101,ضيابر - پونل,1397/12/14 00:00:00,1397/12/15 00:00:00,1430.0,6336,5524,347,98,102,265,61.0,6393.0,26.0,1361.0,51.0
544101,ضيابر - پونل,1397/12/15 00:00:00,1397/12/16 00:00:00,1430.0,6798,5964,374,77,107,276,61.0,6859.0,39.0,1579.0,70.0
544101,ضيابر - پونل,1397/12/16 00:00:00,1397/12/17 00:00:00,1420.0,7011,6170,340,113,90,298,60.0,7118.0,35.0,1689.0,51.0
544101,ضيابر - پونل,1397/12/17 00:00:00,1397/12/18 00:00:00,1430.0,5160,4421,230,138,78,293,59.0,5208.0,15.0,928.0,23.0
544101,ضيابر - پونل,1397/12/18 00:00:00,1397/12/19 00:00:00,1430.0,6190,5515,246,93,96,240,62.0,6249.0,35.0,1384.0,29.0
544101,ضيابر - پونل,1397/12/19 00:00:00,1397/12/20 00:00:00,1430.0,6639,5765,321,128,103,322,60.0,6700.0,19.0,1604.0,32.0
544101,ضيابر - پونل,1397/12/20 00:00:00,1397/12/21 00:00:00,1400.0,6406,5544,356,123,94,289,61.0,6589.0,22.0,1668.0,19.0
544101,ضيابر - پونل,1397/12/21 00:00:00,1397/12/22 00:00:00,985.0,5303,4615,256,121,49,262,61.0,6796.0,15.0,1467.0,13.0
544101,ضيابر - پونل,1397/12/22 00:00:00,1397/12/23 00:00:00,1430.0,7498,6501,378,162,64,393,60.0,7558.0,33.0,2167.0,34.0
544101,ضيابر - پونل,1397/12/23 00:00:00,1397/12/24 00:00:00,1430.0,7817,6788,367,192,88,382,60.0,7889.0,31.0,2138.0,23.0
544101,ضيابر - پونل,1397/12/24 00:00:00,1397/12/25 00:00:00,1430.0,6565,5619,347,178,77,344,59.0,6634.0,34.0,1707.0,25.0
544101,ضيابر - پونل,1397/12/25 00:00:00,1397/12/26 00:00:00,1430.0,7523,6592,367,177,77,310,61.0,7591.0,29.0,2190.0,21.0
544101,ضيابر - پونل,1397/12/26 00:00:00,1397/12/27 00:00:00,1425.0,8419,7316,449,194,83,377,58.0,8541.0,23.0,2699.0,31.0
544101,ضيابر - پونل,1397/12/27 00:00:00,1397/12/28 00:00:00,1430.0,9623,8631,377,164,89,362,60.0,9715.0,31.0,3268.0,22.0
544101,ضيابر - پونل,1397/12/28 00:00:00,1397/12/29 00:00:00,1420.0,10474,9710,313,121,81,249,59.0,10690.0,30.0,3474.0,23.0
544101,ضيابر - پونل,1397/12/29 00:00:00,1398/01/01 00:00:00,1425.0,10469,9982,167,46,87,187,62.0,10630.0,22.0,3356.0,13.0
544101,ضيابر - پونل,1401/12/01 00:00:00,1401/12/02 00:00:00,1435.0,8440,6884,944,166,43,403,58.0,8461.0,89.0,1341.0,282.0
544101,ضيابر - پونل,1401/12/02 00:00:00,1401/12/03 00:00:00,1430.0,8623,7048,803,222,30,520,58.0,8689.0,74.0,1319.0,411.0
544101,ضيابر - پونل,1401/12/03 00:00:00,1401/12/04 00:00:00,1440.0,8997,7391,941,164,43,458,58.0,8997.0,104.0,1450.0,376.0
544101,ضيابر - پونل,1401/12/04 00:00:00,1401/12/05 00:00:00,1440.0,9214,7807,736,164,39,468,56.0,9214.0,51.0,1322.0,493.0
544101,ضيابر - پونل,1401/12/05 00:00:00,1401/12/06 00:00:00,1310.0,5944,5032,422,107,36,347,56.0,6718.0,27.0,597.0,277.0
544101,ضيابر - پونل,1401/12/06 00:00:00,1401/12/07 00:00:00,1400.0,7928,6644,696,139,30,419,59.0,8114.0,68.0,1103.0,456.0
544101,ضيابر - پونل,1401/12/07 00:00:00,1401/12/08 00:00:00,1430.0,8438,6681,1068,182,44,463,60.0,8522.0,128.0,1312.0,427.0
544101,ضيابر - پونل,1401/12/08 00:00:00,1401/12/09 00:00:00,1245.0,7082,5627,865,139,33,418,60.0,8368.0,137.0,1058.0,244.0
544101,ضيابر - پونل,1401/12/09 00:00:00,1401/12/10 00:00:00,1420.0,8552,7063,811,177,41,460,56.0,8686.0,64.0,1251.0,309.0
544101,ضيابر - پونل,1401/12/10 00:00:00,1401/12/11 00:00:00,1400.0,8957,7409,895,159,33,461,58.0,9123.0,75.0,1449.0,248.0
544101,ضيابر - پونل,1401/12/11 00:00:00,1401/12/12 00:00:00,1440.0,9284,7730,860,167,38,489,58.0,9284.0,82.0,1351.0,366.0
