Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Estimated Number,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations
543162,ضيابر - پير بازار,1397/12/11 15:55:00,1397/12/11 16:25:00,15.0,5,1,3,1,0,0,89.0,7228.0,3.0,3.0,5.0
543162,ضيابر - پير بازار,1397/12/14 15:55:00,1397/12/15 00:00:00,485.0,3996,3878,91,12,9,6,62.0,8915.0,59.0,1563.0,78.0
543162,ضيابر - پير بازار,1397/12/15 00:00:00,1397/12/16 00:00:00,1440.0,9570,9281,200,44,23,22,62.0,9570.0,134.0,3908.0,216.0
543162,ضيابر - پير بازار,1397/12/16 00:00:00,1397/12/17 00:00:00,1440.0,9889,9642,167,33,32,15,61.0,9889.0,100.0,3927.0,206.0
543162,ضيابر - پير بازار,1397/12/17 00:00:00,1397/12/18 00:00:00,1440.0,7242,7070,110,31,27,4,62.0,7242.0,92.0,2175.0,196.0
543162,ضيابر - پير بازار,1397/12/18 00:00:00,1397/12/19 00:00:00,1440.0,9301,9042,182,37,29,11,64.0,9301.0,163.0,3354.0,239.0
543162,ضيابر - پير بازار,1397/12/19 00:00:00,1397/12/20 00:00:00,1440.0,9307,9020,184,54,30,19,64.0,9307.0,182.0,3557.0,199.0
543162,ضيابر - پير بازار,1397/12/20 00:00:00,1397/12/21 00:00:00,1410.0,9354,9063,195,54,30,12,64.0,9615.0,187.0,3572.0,228.0
543162,ضيابر - پير بازار,1397/12/21 00:00:00,1397/12/22 00:00:00,990.0,8196,7944,168,42,25,17,62.0,9901.0,111.0,3383.0,184.0
543162,ضيابر - پير بازار,1397/12/22 00:00:00,1397/12/23 00:00:00,1440.0,9978,9650,211,43,40,34,64.0,9978.0,197.0,4008.0,219.0
543162,ضيابر - پير بازار,1397/12/23 00:00:00,1397/12/24 00:00:00,1440.0,10608,10330,182,37,37,22,61.0,10608.0,173.0,4249.0,195.0
543162,ضيابر - پير بازار,1397/12/24 00:00:00,1397/12/25 00:00:00,1440.0,8938,8683,165,39,37,14,61.0,8938.0,115.0,3199.0,184.0
543162,ضيابر - پير بازار,1397/12/25 00:00:00,1397/12/26 00:00:00,1440.0,10299,10003,195,37,44,20,65.0,10299.0,243.0,4008.0,216.0
543162,ضيابر - پير بازار,1397/12/26 00:00:00,1397/12/27 00:00:00,1440.0,9709,9396,227,40,39,7,63.0,9709.0,166.0,3652.0,173.0
543162,ضيابر - پير بازار,1397/12/27 00:00:00,1397/12/28 00:00:00,1420.0,9421,9155,195,40,19,12,63.0,9665.0,114.0,3589.0,177.0
543162,ضيابر - پير بازار,1397/12/28 00:00:00,1397/12/29 00:00:00,1435.0,9159,8881,206,47,16,9,61.0,9208.0,116.0,3133.0,160.0
543162,ضيابر - پير بازار,1397/12/29 00:00:00,1398/01/01 00:00:00,1440.0,8828,8655,112,38,15,8,62.0,8828.0,141.0,2805.0,191.0
543162,ضيابر - پير بازار,1401/12/01 00:00:00,1401/12/02 00:00:00,1435.0,10785,10500,221,27,5,32,55.0,10790.0,51.0,516.0,305.0
543162,ضيابر - پير بازار,1401/12/02 00:00:00,1401/12/03 00:00:00,1435.0,10443,10154,219,38,7,25,55.0,10492.0,54.0,501.0,365.0
543162,ضيابر - پير بازار,1401/12/03 00:00:00,1401/12/04 00:00:00,1400.0,10791,10497,225,34,6,29,55.0,10911.0,55.0,527.0,366.0
543162,ضيابر - پير بازار,1401/12/04 00:00:00,1401/12/05 00:00:00,1440.0,10636,10372,197,32,9,26,55.0,10636.0,50.0,549.0,294.0
543162,ضيابر - پير بازار,1401/12/05 00:00:00,1401/12/06 00:00:00,1360.0,7771,7631,109,17,4,10,56.0,8272.0,38.0,248.0,288.0
543162,ضيابر - پير بازار,1401/12/06 00:00:00,1401/12/07 00:00:00,1405.0,10805,10545,182,37,10,31,57.0,10981.0,58.0,580.0,314.0
543162,ضيابر - پير بازار,1401/12/07 00:00:00,1401/12/08 00:00:00,1425.0,10479,10237,190,27,3,22,56.0,10668.0,46.0,530.0,338.0
543162,ضيابر - پير بازار,1401/12/08 00:00:00,1401/12/09 00:00:00,1280.0,9207,8927,217,29,6,28,54.0,10565.0,51.0,417.0,364.0
543162,ضيابر - پير بازار,1401/12/09 00:00:00,1401/12/10 00:00:00,1425.0,10556,10279,193,43,4,37,54.0,10670.0,45.0,481.0,347.0
543162,ضيابر - پير بازار,1401/12/10 00:00:00,1401/12/11 00:00:00,1415.0,10871,10587,218,24,8,34,53.0,10969.0,31.0,522.0,297.0
543162,ضيابر - پير بازار,1401/12/11 00:00:00,1401/12/12 00:00:00,1440.0,10630,10394,185,27,3,21,55.0,10630.0,53.0,537.0,279.0
543162,ضيابر - پير بازار,1401/12/12 00:00:00,1401/12/13 00:00:00,1440.0,10533,10362,128,18,8,17,55.0,10533.0,53.0,413.0,362.0
543162,ضيابر - پير بازار,1401/12/13 00:00:00,1401/12/14 00:00:00,1440.0,11233,10930,211,38,9,45,55.0,11233.0,62.0,549.0,376.0
543162,ضيابر - پير بازار,1401/12/14 00:00:00,1401/12/15 00:00:00,1440.0,10573,10289,217,34,5,28,56.0,10573.0,57.0,534.0,344.0
