Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations,Estimated Number
544251,فومن - بازارجمعه,1401/12/01 00:00:00,1401/12/02 00:00:00,1435,13283,12948,284,27,2,22,69,35,614,0,13293
544251,فومن - بازارجمعه,1401/12/02 00:00:00,1401/12/03 00:00:00,1435,13028,12715,275,16,5,17,67,27,589,0,13089
544251,فومن - بازارجمعه,1401/12/03 00:00:00,1401/12/04 00:00:00,1440,13356,13061,262,16,4,13,69,28,538,0,13356
544251,فومن - بازارجمعه,1401/12/04 00:00:00,1401/12/05 00:00:00,1440,17388,16988,347,17,5,31,66,41,941,0,17388
544251,فومن - بازارجمعه,1401/12/05 00:00:00,1401/12/06 00:00:00,1370,12281,12152,102,11,3,13,64,13,312,0,12458
544251,فومن - بازارجمعه,1401/12/06 00:00:00,1401/12/07 00:00:00,1345,12567,12300,224,18,5,20,68,24,503,0,13435
544251,فومن - بازارجمعه,1401/12/07 00:00:00,1401/12/08 00:00:00,1420,12498,12263,212,12,2,9,69,20,450,0,12766
544251,فومن - بازارجمعه,1401/12/08 00:00:00,1401/12/09 00:00:00,1250,10802,10524,249,12,5,12,68,17,504,0,12676
544251,فومن - بازارجمعه,1401/12/09 00:00:00,1401/12/10 00:00:00,1405,12782,12504,250,7,1,20,68,16,498,0,13170
544251,فومن - بازارجمعه,1401/12/10 00:00:00,1401/12/11 00:00:00,1380,12716,12415,260,19,3,19,68,25,520,0,13260
544251,فومن - بازارجمعه,1401/12/11 00:00:00,1401/12/12 00:00:00,1440,16984,16618,303,24,2,37,67,19,742,0,16984
544251,فومن - بازارجمعه,1401/12/12 00:00:00,1401/12/13 00:00:00,1440,14273,14091,136,14,6,26,66,20,592,0,14273
544251,فومن - بازارجمعه,1401/12/13 00:00:00,1401/12/14 00:00:00,1440,13666,13416,218,14,5,13,69,24,578,0,13666
544251,فومن - بازارجمعه,1401/12/14 00:00:00,1401/12/15 00:00:00,1435,12884,12574,269,18,5,18,69,20,555,0,12915
544251,فومن - بازارجمعه,1401/12/15 00:00:00,1401/12/16 00:00:00,1380,12630,12319,260,22,5,24,70,28,461,0,13201
544251,فومن - بازارجمعه,1401/12/16 00:00:00,1401/12/17 00:00:00,1370,12753,12472,240,20,5,16,65,17,524,0,13214
544251,فومن - بازارجمعه,1401/12/17 00:00:00,1401/12/18 00:00:00,1420,12724,12521,170,12,4,17,65,21,554,0,12749
544251,فومن - بازارجمعه,1401/12/18 00:00:00,1401/12/19 00:00:00,1410,16379,16120,217,20,5,17,65,17,887,0,16861
544251,فومن - بازارجمعه,1401/12/19 00:00:00,1401/12/20 00:00:00,1440,14640,14500,113,9,4,14,68,30,631,0,14640
544251,فومن - بازارجمعه,1401/12/20 00:00:00,1401/12/21 00:00:00,1440,14316,14088,189,15,1,23,70,26,484,0,14316
544251,فومن - بازارجمعه,1401/12/21 00:00:00,1401/12/22 00:00:00,1355,12601,12342,214,20,7,18,70,27,453,0,13637
544251,فومن - بازارجمعه,1401/12/22 00:00:00,1401/12/23 00:00:00,1315,12555,12298,220,10,4,23,72,31,475,0,13947
544251,فومن - بازارجمعه,1401/12/23 00:00:00,1401/12/24 00:00:00,1410,12837,12590,216,7,9,15,68,24,426,0,13129
544251,فومن - بازارجمعه,1401/12/24 00:00:00,1401/12/25 00:00:00,1435,14516,14211,255,9,17,24,67,24,517,0,14576
544251,فومن - بازارجمعه,1401/12/25 00:00:00,1401/12/26 00:00:00,1440,18410,18104,253,18,12,23,66,27,987,0,18410
544251,فومن - بازارجمعه,1401/12/26 00:00:00,1401/12/27 00:00:00,1440,14435,14235,144,26,12,18,64,18,623,0,14435
544251,فومن - بازارجمعه,1401/12/27 00:00:00,1401/12/28 00:00:00,1430,15780,15491,235,19,2,33,69,29,820,0,15914
544251,فومن - بازارجمعه,1401/12/28 00:00:00,1401/12/29 00:00:00,1200,15191,14967,185,24,9,6,64,21,844,0,15878
544251,فومن - بازارجمعه,1401/12/29 00:00:00,1402/01/01 00:00:00,1440,13690,13570,99,7,2,12,62,12,618,0,13690
544251,فومن - بازارجمعه,1401/01/13 09:10:00,1401/01/14 00:00:00,855,14796,14673,102,14,3,4,65,11,1502,0,15702
544251,فومن - بازارجمعه,1401/01/14 00:00:00,1401/01/15 00:00:00,1430,14959,14658,234,34,5,28,70,16,666,0,15121
544251,فومن - بازارجمعه,1401/01/15 00:00:00,1401/01/16 00:00:00,1430,13222,12946,234,21,0,21,69,11,524,0,13278
544251,فومن - بازارجمعه,1401/01/16 00:00:00,1401/01/17 00:00:00,1440,12816,12518,263,16,1,18,70,8,448,0,12816
544251,فومن - بازارجمعه,1401/01/17 00:00:00,1401/01/18 00:00:00,1340,11761,11469,227,31,4,30,70,6,407,0,12679
544251,فومن - بازارجمعه,1401/01/18 00:00:00,1401/01/19 00:00:00,1400,13329,13038,253,17,7,14,69,7,517,0,13920
544251,فومن - بازارجمعه,1401/01/19 00:00:00,1401/01/20 00:00:00,1405,12719,12548,132,16,10,13,69,11,631,0,13311
544251,فومن - بازارجمعه,1401/01/20 00:00:00,1401/01/21 00:00:00,1370,11490,11262,192,15,6,15,71,3,323,0,12368
544251,فومن - بازارجمعه,1401/01/21 00:00:00,1401/01/22 00:00:00,1435,11955,11687,225,18,4,21,70,11,391,0,12010
544251,فومن - بازارجمعه,1401/01/22 00:00:00,1401/01/23 00:00:00,1355,11424,11149,228,17,5,25,70,9,424,0,12329
544251,فومن - بازارجمعه,1401/01/23 00:00:00,1401/01/24 00:00:00,1440,12641,12345,254,21,2,19,69,4,430,0,12641
544251,فومن - بازارجمعه,1401/01/24 00:00:00,1401/01/25 00:00:00,1405,11985,11674,251,26,3,31,70,6,384,0,12482
544251,فومن - بازارجمعه,1401/01/25 00:00:00,1401/01/26 00:00:00,1365,13724,13420,250,17,8,29,70,7,624,0,15008
544251,فومن - بازارجمعه,1401/01/26 00:00:00,1401/01/27 00:00:00,1440,14474,14289,144,11,4,26,69,12,767,0,14474
544251,فومن - بازارجمعه,1401/01/27 00:00:00,1401/01/28 00:00:00,1340,11702,11439,225,8,9,21,71,3,358,0,12828
544251,فومن - بازارجمعه,1401/01/28 00:00:00,1401/01/29 00:00:00,1405,12050,11750,248,23,1,28,71,5,414,0,12421
544251,فومن - بازارجمعه,1401/01/29 00:00:00,1401/01/30 00:00:00,1370,11182,10909,235,17,2,19,70,10,351,0,12201
544251,فومن - بازارجمعه,1401/01/30 00:00:00,1401/01/30 23:30:00,1410,12312,12022,246,21,4,19,70,9,440,0,12591
544251,فومن - بازارجمعه,1401/01/31 00:05:00,1401/02/01 00:00:00,1400,12280,11936,278,26,2,38,70,11,467,0,12675
544251,فومن - بازارجمعه,1402/01/01 00:00:00,1402/01/02 00:00:00,1440,13738,13640,80,8,5,5,59,10,866,0,13738
544251,فومن - بازارجمعه,1402/01/02 01:05:00,1402/01/03 00:00:00,1370,15446,15352,68,5,4,17,65,17,626,0,16308
544251,فومن - بازارجمعه,1402/01/03 00:00:00,1402/01/04 00:00:00,1435,23103,22923,138,21,6,15,67,38,1677,0,23129
544251,فومن - بازارجمعه,1402/01/04 00:00:00,1402/01/05 00:00:00,1435,19688,19509,143,13,5,18,67,32,1202,0,19710
544251,فومن - بازارجمعه,1402/01/05 00:00:00,1402/01/06 00:00:00,1435,19777,19591,144,19,7,16,67,25,1090,0,19833
544251,فومن - بازارجمعه,1402/01/06 00:00:00,1402/01/07 00:00:00,1405,19037,18850,148,20,4,15,68,38,992,0,19308
544251,فومن - بازارجمعه,1402/01/07 00:00:00,1402/01/08 00:00:00,1335,17744,17545,152,16,10,21,67,26,977,0,19019
544251,فومن - بازارجمعه,1402/01/08 00:00:00,1402/01/09 00:00:00,1440,19546,19314,183,26,9,14,67,27,1094,0,19546
544251,فومن - بازارجمعه,1402/01/09 00:00:00,1402/01/10 00:00:00,1435,20172,19930,189,18,7,28,67,30,1110,0,20227
544251,فومن - بازارجمعه,1402/01/10 00:00:00,1402/01/11 00:00:00,1440,23158,22922,191,23,2,20,66,35,1486,0,23158
544251,فومن - بازارجمعه,1402/01/11 00:00:00,1402/01/12 00:00:00,920,10473,10367,81,6,7,12,62,7,483,0,16016
544251,فومن - بازارجمعه,1402/01/12 00:00:00,1402/01/13 00:00:00,1370,13771,13639,102,10,4,16,66,17,578,0,15124
544251,فومن - بازارجمعه,1402/01/13 00:00:00,1402/01/14 00:00:00,1440,17665,17496,144,10,5,10,63,33,1509,0,17665
544251,فومن - بازارجمعه,1402/01/14 00:00:00,1402/01/15 00:00:00,1425,15507,15336,139,9,5,18,70,18,643,0,15673
544251,فومن - بازارجمعه,1402/01/15 00:00:00,1402/01/16 00:00:00,1425,13950,13757,162,9,5,17,70,19,474,0,14098
544251,فومن - بازارجمعه,1402/01/16 00:00:00,1402/01/17 00:00:00,1330,12702,12504,166,8,1,23,68,19,501,0,14000
544251,فومن - بازارجمعه,1402/01/17 00:00:00,1402/01/18 00:00:00,1440,16359,16083,226,8,11,31,68,29,731,0,16359
544251,فومن - بازارجمعه,1402/01/18 00:00:00,1402/01/19 00:00:00,1420,14911,14686,198,8,5,14,67,14,802,0,15116
544251,فومن - بازارجمعه,1402/01/19 00:00:00,1402/01/20 00:00:00,1420,13566,13252,276,13,8,17,68,31,551,0,13735
544251,فومن - بازارجمعه,1402/01/20 00:00:00,1402/01/20 23:50:00,1380,12456,12239,176,13,5,23,69,31,423,0,13023
544251,فومن - بازارجمعه,1402/01/21 00:00:00,1402/01/21 23:30:00,1255,11248,11024,181,12,6,25,68,17,408,0,12742
544251,فومن - بازارجمعه,1402/01/22 00:00:00,1402/01/23 00:00:00,1430,13465,13182,253,13,5,12,69,27,514,0,13514
544251,فومن - بازارجمعه,1402/01/23 00:00:00,1402/01/24 00:00:00,1410,12093,11866,186,13,7,21,68,20,436,0,12479
544251,فومن - بازارجمعه,1402/01/24 00:00:00,1402/01/25 00:00:00,1425,16585,16259,275,10,2,39,70,28,705,0,16699
544251,فومن - بازارجمعه,1402/01/25 00:00:00,1402/01/26 00:00:00,1405,14623,14419,167,11,4,22,68,23,742,0,15379
544251,فومن - بازارجمعه,1402/01/26 00:00:00,1402/01/27 00:00:00,1420,13487,13185,260,8,4,30,71,23,451,0,13723
544251,فومن - بازارجمعه,1402/01/27 00:00:00,1402/01/28 00:00:00,1440,11836,11615,175,8,12,26,67,6,333,0,11836
544251,فومن - بازارجمعه,1402/01/28 00:00:00,1402/01/29 00:00:00,1395,9051,8919,111,5,5,11,68,7,365,0,9511
544251,فومن - بازارجمعه,1402/01/29 00:00:00,1402/01/30 00:00:00,1440,9603,9472,107,3,5,16,72,12,372,0,9603
544251,فومن - بازارجمعه,1402/01/30 00:00:00,1402/01/31 00:00:00,1435,12696,12506,152,5,9,24,70,16,449,0,12758
544251,فومن - بازارجمعه,1402/01/31 00:00:00,1402/02/01 00:00:00,1440,17028,16733,232,17,6,40,70,28,788,0,17028
