Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations,Estimated Number
544308,فومن - سراوان (فومن),1401/12/01 00:00:00,1401/12/02 00:00:00,1435,9397,7422,1198,277,48,452,80,361,330,0,9409
544308,فومن - سراوان (فومن),1401/12/02 00:00:00,1401/12/03 00:00:00,1420,8981,7083,1082,305,34,477,79,331,314,0,9166
544308,فومن - سراوان (فومن),1401/12/03 00:00:00,1401/12/04 00:00:00,1350,8322,6545,1086,240,42,409,79,306,277,0,9041
544308,فومن - سراوان (فومن),1401/12/04 00:00:00,1401/12/05 00:00:00,1365,8407,6867,864,252,35,389,78,257,269,0,9056
544308,فومن - سراوان (فومن),1401/12/05 00:30:00,1401/12/06 00:00:00,1200,7693,6757,441,135,27,333,77,153,224,0,9027
544308,فومن - سراوان (فومن),1401/12/06 00:00:00,1401/12/07 00:00:00,1400,9469,7696,1017,273,34,449,80,333,334,0,9779
544308,فومن - سراوان (فومن),1401/12/07 00:00:00,1401/12/08 00:00:00,1405,8775,6903,1095,268,42,467,79,330,317,0,9081
544308,فومن - سراوان (فومن),1401/12/08 00:00:00,1401/12/09 00:00:00,1275,7701,6122,929,236,37,377,79,263,248,0,8903
544308,فومن - سراوان (فومن),1401/12/09 00:00:00,1401/12/10 00:00:00,1260,7638,6089,926,230,34,359,78,272,262,0,8970
544308,فومن - سراوان (فومن),1401/12/10 00:00:00,1401/12/11 00:00:00,1395,8921,7097,1100,267,42,415,78,292,328,0,9244
544308,فومن - سراوان (فومن),1401/12/11 00:00:00,1401/12/12 00:00:00,1440,9270,7567,978,282,32,411,79,369,308,0,9270
544308,فومن - سراوان (فومن),1401/12/12 00:00:00,1401/12/13 00:00:00,1425,10392,9006,720,173,29,464,82,422,425,0,10409
544308,فومن - سراوان (فومن),1401/12/13 00:00:00,1401/12/14 00:00:00,1420,9574,7826,1028,204,48,468,81,422,392,0,9747
544308,فومن - سراوان (فومن),1401/12/14 00:00:00,1401/12/15 00:00:00,1410,9127,7157,1147,305,41,477,80,403,318,0,9388
544308,فومن - سراوان (فومن),1401/12/15 00:00:00,1401/12/16 00:00:00,1375,9044,7001,1257,282,35,469,79,303,353,0,9478
544308,فومن - سراوان (فومن),1401/12/16 00:00:00,1401/12/17 00:00:00,1380,8725,6940,989,326,28,442,78,280,242,0,9234
544308,فومن - سراوان (فومن),1401/12/17 00:00:00,1401/12/18 00:00:00,1365,7900,6243,953,187,36,481,79,278,253,0,8654
544308,فومن - سراوان (فومن),1401/12/18 00:00:00,1401/12/19 00:00:00,1440,9490,7892,896,272,27,403,77,229,295,0,9490
544308,فومن - سراوان (فومن),1401/12/19 00:00:00,1401/12/20 00:00:00,1440,12960,11594,745,167,42,412,83,542,691,0,12960
544308,فومن - سراوان (فومن),1401/12/20 00:00:00,1401/12/21 00:00:00,1440,10533,8632,1153,261,44,443,80,379,390,0,10533
544308,فومن - سراوان (فومن),1401/12/21 00:00:00,1401/12/22 00:00:00,1360,8646,6821,1083,219,39,484,80,371,283,0,9306
544308,فومن - سراوان (فومن),1401/12/22 00:00:00,1401/12/23 00:00:00,1365,9186,7188,1276,238,35,449,79,333,347,0,9630
544308,فومن - سراوان (فومن),1401/12/23 00:00:00,1401/12/24 00:00:00,1395,8390,6624,1017,271,28,450,79,305,267,0,8669
544308,فومن - سراوان (فومن),1401/12/24 00:00:00,1401/12/25 00:00:00,1405,9436,7391,1179,288,33,545,80,384,333,0,9758
544308,فومن - سراوان (فومن),1401/12/25 00:00:00,1401/12/26 00:00:00,1335,8478,6945,860,196,42,435,79,286,304,0,9400
544308,فومن - سراوان (فومن),1401/12/26 00:00:00,1401/12/27 00:00:00,1280,7804,6637,658,131,35,343,81,326,252,0,9222
544308,فومن - سراوان (فومن),1401/12/27 00:00:00,1401/12/28 00:00:00,1165,7481,6393,645,133,41,269,81,304,267,0,10136
544308,فومن - سراوان (فومن),1401/12/28 00:00:00,1401/12/29 00:00:00,1180,9060,8064,610,103,27,256,81,332,316,0,9708
544308,فومن - سراوان (فومن),1401/12/29 00:00:00,1402/01/01 00:00:00,1390,7845,7280,308,46,42,169,80,215,197,0,8140
544308,فومن - سراوان (فومن),1402/01/01 00:00:00,1402/01/02 00:00:00,1430,7592,7381,92,13,27,79,79,192,181,0,7639
544308,فومن - سراوان (فومن),1402/01/02 01:05:00,1402/01/03 00:00:00,1365,8978,8689,155,28,39,67,80,241,277,0,9324
