Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Estimated Number,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations
544302,فومن - سراوان,1397/12/01 00:00:00,1397/12/02 00:00:00,1295.0,7505,5812,707,197,207,582,70.0,7859.0,619.0,2752.0,94.0
544302,فومن - سراوان,1397/12/02 00:00:00,1397/12/03 00:00:00,1440.0,8322,6597,727,203,227,568,73.0,8322.0,861.0,3029.0,114.0
544302,فومن - سراوان,1397/12/03 00:00:00,1397/12/04 00:00:00,1440.0,6541,5184,481,190,189,497,73.0,6541.0,790.0,2110.0,109.0
544302,فومن - سراوان,1397/12/04 00:00:00,1397/12/05 00:00:00,1430.0,7113,5158,801,262,236,656,71.0,7151.0,649.0,2431.0,128.0
544302,فومن - سراوان,1397/12/05 00:00:00,1397/12/06 00:00:00,1440.0,7142,5121,873,277,263,608,70.0,7142.0,571.0,2347.0,103.0
544302,فومن - سراوان,1397/12/06 00:00:00,1397/12/07 00:00:00,1440.0,7083,5072,878,268,264,601,67.0,7083.0,436.0,2272.0,115.0
544302,فومن - سراوان,1397/12/07 00:00:00,1397/12/08 00:00:00,1440.0,7469,5369,900,272,288,640,70.0,7469.0,553.0,2622.0,130.0
544302,فومن - سراوان,1397/12/08 00:00:00,1397/12/09 00:00:00,1440.0,8228,6067,935,276,274,676,66.0,8228.0,436.0,2957.0,104.0
544302,فومن - سراوان,1397/12/09 00:00:00,1397/12/10 00:00:00,1440.0,8459,6370,863,301,273,652,66.0,8459.0,416.0,2997.0,113.0
544302,فومن - سراوان,1397/12/10 00:00:00,1397/12/11 00:00:00,1440.0,6085,4747,491,189,179,479,71.0,6085.0,563.0,1875.0,106.0
544302,فومن - سراوان,1397/12/11 00:00:00,1397/12/12 00:00:00,1440.0,7103,5209,760,214,281,639,71.0,7103.0,642.0,2394.0,147.0
