Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations,Estimated Number
544309,فومن - صومعه سرا,1401/12/01 00:00:00,1401/12/02 00:00:00,1420,10712,8858,1038,226,40,550,45,8,1527,20,10827
544309,فومن - صومعه سرا,1401/12/02 00:00:00,1401/12/03 00:00:00,1405,10824,8888,1028,275,27,606,45,8,1653,46,11207
544309,فومن - صومعه سرا,1401/12/03 00:00:00,1401/12/04 00:00:00,1395,11049,9265,946,216,33,589,45,7,1654,60,11534
544309,فومن - صومعه سرا,1401/12/04 00:00:00,1401/12/05 00:00:00,1340,11190,9398,963,220,36,573,45,12,1658,111,12383
544309,فومن - صومعه سرا,1401/12/05 00:00:00,1401/12/06 00:00:00,1220,7515,6540,452,140,31,352,48,4,738,57,8998
544309,فومن - صومعه سرا,1401/12/06 00:00:00,1401/12/07 00:00:00,1375,10236,8571,864,226,35,540,46,5,1431,46,10654
544309,فومن - صومعه سرا,1401/12/07 00:00:00,1401/12/08 00:00:00,1420,10890,9041,1005,228,47,569,45,9,1664,63,11124
544309,فومن - صومعه سرا,1401/12/08 00:00:00,1401/12/09 00:00:00,1240,9039,7469,849,185,27,509,45,6,1247,39,10734
544309,فومن - صومعه سرا,1401/12/09 00:00:00,1401/12/10 00:00:00,1400,10729,8884,967,258,35,585,45,7,1662,66,11141
544309,فومن - صومعه سرا,1401/12/10 00:00:00,1401/12/11 00:00:00,1385,11268,9486,991,215,31,545,44,6,1629,37,11646
544309,فومن - صومعه سرا,1401/12/11 00:00:00,1401/12/12 00:00:00,1435,12828,10863,1019,275,33,638,45,3,1988,83,12893
544309,فومن - صومعه سرا,1401/12/12 00:00:00,1401/12/13 00:00:00,1440,9877,8468,626,179,33,571,45,7,1156,55,9877
544309,فومن - صومعه سرا,1401/12/13 00:00:00,1401/12/14 00:00:00,1440,9905,8465,792,146,26,476,41,10,937,114,9905
544309,فومن - صومعه سرا,1401/12/14 00:00:00,1401/12/15 00:00:00,1440,11407,9442,1035,256,39,635,47,14,1699,54,11407
544309,فومن - صومعه سرا,1401/12/15 00:00:00,1401/12/16 00:00:00,1390,11057,9159,985,262,32,619,49,15,1795,51,11584
544309,فومن - صومعه سرا,1401/12/16 00:00:00,1401/12/17 00:00:00,1395,12270,10323,1072,253,34,588,47,11,1848,33,12804
544309,فومن - صومعه سرا,1401/12/17 00:00:00,1401/12/18 00:00:00,1370,12365,10705,849,181,35,595,44,4,1433,62,13265
544309,فومن - صومعه سرا,1401/12/18 00:00:00,1401/12/19 00:00:00,1440,12106,10410,933,187,33,543,46,4,1658,38,12106
544309,فومن - صومعه سرا,1401/12/19 00:00:00,1401/12/20 00:00:00,1435,10382,8996,664,232,39,451,50,10,1397,35,10430
544309,فومن - صومعه سرا,1401/12/20 00:00:00,1401/12/21 00:00:00,1435,11297,9705,825,206,29,532,50,16,1631,31,11349
544309,فومن - صومعه سرا,1401/12/21 00:00:00,1401/12/22 00:00:00,1360,10944,9121,974,230,37,582,49,17,1777,23,11872
544309,فومن - صومعه سرا,1401/12/22 00:00:00,1401/12/23 00:00:00,1320,11096,9130,1045,275,36,610,48,13,1931,26,12055
544309,فومن - صومعه سرا,1401/12/23 00:00:00,1401/12/24 00:00:00,1410,11647,9811,953,262,40,581,49,23,1844,15,11890
544309,فومن - صومعه سرا,1401/12/24 00:00:00,1401/12/25 00:00:00,1360,11543,9624,1005,259,32,623,47,21,1980,46,12491
544309,فومن - صومعه سرا,1401/12/25 00:00:00,1401/12/26 00:00:00,1285,12566,10641,1000,236,36,653,48,15,2329,39,14794
544309,فومن - صومعه سرا,1401/12/26 00:00:00,1401/12/27 00:00:00,1295,12205,10673,749,183,38,562,47,9,1741,41,14108
544309,فومن - صومعه سرا,1401/12/27 00:00:00,1401/12/28 00:00:00,1115,10868,9478,720,192,26,452,49,11,1864,19,15813
544309,فومن - صومعه سرا,1401/12/28 00:00:00,1401/12/29 00:00:00,1100,17594,15830,976,253,22,513,46,4,3316,32,20041
544309,فومن - صومعه سرا,1401/12/29 00:00:00,1402/01/01 00:00:00,1425,20274,18999,696,170,50,359,49,11,2912,37,20513
544309,فومن - صومعه سرا,1402/01/01 00:00:00,1402/01/02 00:00:00,1435,17008,16424,277,85,31,191,52,16,2002,15,17094
544309,فومن - صومعه سرا,1402/01/02 01:05:00,1402/01/03 00:00:00,1365,17452,16680,361,127,29,255,52,10,2462,26,18290
544309,فومن - صومعه سرا,1402/01/03 00:00:00,1402/01/04 00:00:00,1255,18663,17763,425,175,54,246,50,29,3199,14,22636
544309,فومن - صومعه سرا,1402/01/04 00:00:00,1402/01/05 00:00:00,1390,19479,18505,439,200,53,282,51,20,3217,19,20483
544309,فومن - صومعه سرا,1402/01/05 00:00:00,1402/01/06 00:00:00,1395,19326,18109,622,240,41,314,51,14,3463,28,20246
544309,فومن - صومعه سرا,1402/01/06 00:00:00,1402/01/07 00:00:00,1360,19770,18408,703,235,41,383,50,16,3699,27,21070
544309,فومن - صومعه سرا,1402/01/07 00:00:00,1402/01/08 00:00:00,1345,18787,17348,696,268,44,431,48,16,3323,30,20024
544309,فومن - صومعه سرا,1402/01/08 00:00:00,1402/01/09 00:00:00,1335,18662,17154,729,285,44,450,49,10,3419,30,20750
544309,فومن - صومعه سرا,1402/01/09 00:00:00,1402/01/10 00:00:00,1035,12174,11095,540,154,34,351,50,20,2182,25,20046
544309,فومن - صومعه سرا,1402/01/10 00:00:00,1402/01/11 00:00:00,1380,18009,16501,777,224,56,451,49,15,3215,41,18967
544309,فومن - صومعه سرا,1402/01/11 00:00:00,1402/01/12 00:00:00,340,1986,1812,83,25,10,56,50,1,177,4,12548
544309,فومن - صومعه سرا,1402/01/12 00:00:00,1402/01/13 00:00:00,1365,11789,10964,410,109,34,272,52,17,1536,42,12703
544309,فومن - صومعه سرا,1402/01/13 00:00:00,1402/01/14 00:00:00,1370,9474,9070,145,68,33,158,55,25,1088,24,10199
544309,فومن - صومعه سرا,1402/01/14 00:00:00,1402/01/15 00:00:00,1410,10484,9576,488,134,33,253,53,26,1435,16,10773
544309,فومن - صومعه سرا,1402/01/15 00:00:00,1402/01/16 00:00:00,1395,10622,9382,667,177,39,357,52,33,1611,28,11013
544309,فومن - صومعه سرا,1402/01/16 00:00:00,1402/01/17 00:00:00,1315,9807,8503,681,184,26,413,51,18,1526,28,11020
544309,فومن - صومعه سرا,1402/01/17 00:00:00,1402/01/18 00:00:00,1435,11783,10211,727,223,41,581,51,29,1901,19,11845
544309,فومن - صومعه سرا,1402/01/18 00:00:00,1402/01/19 00:00:00,1400,9134,8137,406,139,40,412,53,27,1111,17,9450
544309,فومن - صومعه سرا,1402/01/19 00:00:00,1402/01/20 00:00:00,1425,10430,8987,742,188,32,481,52,28,1542,20,10496
544309,فومن - صومعه سرا,1402/01/20 00:00:00,1402/01/21 00:00:00,1110,7198,6005,615,157,27,394,51,17,994,25,10121
544309,فومن - صومعه سرا,1402/01/21 00:00:00,1402/01/21 23:50:00,1260,9448,7904,818,203,23,500,51,24,1481,15,10829
544309,فومن - صومعه سرا,1402/01/22 00:05:00,1402/01/23 00:00:00,1425,12147,10331,919,235,39,623,51,28,2130,25,12272
544309,فومن - صومعه سرا,1402/01/23 00:00:00,1402/01/24 00:00:00,1430,11589,10194,660,159,40,536,53,36,1629,34,11699
544309,فومن - صومعه سرا,1402/01/24 00:00:00,1402/01/25 00:00:00,1430,11319,9911,740,195,37,436,53,28,1802,25,11427
544309,فومن - صومعه سرا,1402/01/25 00:00:00,1402/01/26 00:00:00,1435,9604,8528,449,158,31,438,53,34,1296,20,9646
544309,فومن - صومعه سرا,1402/01/26 00:00:00,1402/01/27 00:00:00,1390,10011,8611,726,189,39,446,52,31,1522,24,10509
544309,فومن - صومعه سرا,1402/01/27 00:00:00,1402/01/28 00:00:00,1430,10274,8645,816,227,34,552,50,17,1453,23,10367
544309,فومن - صومعه سرا,1402/01/28 00:00:00,1402/01/29 00:00:00,1440,10460,8797,869,228,43,523,50,17,1492,35,10460
544309,فومن - صومعه سرا,1402/01/29 00:00:00,1402/01/30 00:00:00,1440,11468,9697,847,237,34,653,51,24,1889,34,11468
544309,فومن - صومعه سرا,1402/01/30 00:00:00,1402/01/31 00:00:00,1420,15301,13356,937,268,42,698,50,33,2914,31,15568
544309,فومن - صومعه سرا,1402/01/31 00:00:00,1402/02/01 00:00:00,1390,22046,19889,1051,325,46,735,49,15,4583,47,23124
