Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Estimated Number,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations
544301,فومن - ضيابر,1397/12/01 00:00:00,1397/12/02 00:00:00,1305.0,9434,7969,776,206,150,333,70.0,9694.0,632.0,2966.0,71.0
544301,فومن - ضيابر,1397/12/02 00:00:00,1397/12/03 00:00:00,1440.0,11023,9160,1074,265,201,323,70.0,11023.0,895.0,3704.0,81.0
544301,فومن - ضيابر,1397/12/03 00:00:00,1397/12/04 00:00:00,1440.0,8859,7581,669,190,117,302,71.0,8859.0,719.0,2532.0,72.0
544301,فومن - ضيابر,1397/12/04 00:00:00,1397/12/05 00:00:00,1430.0,9035,7490,861,248,156,280,71.0,9083.0,774.0,2614.0,61.0
544301,فومن - ضيابر,1397/12/05 00:00:00,1397/12/06 00:00:00,1440.0,9293,7622,911,292,136,332,70.0,9293.0,735.0,2675.0,80.0
544301,فومن - ضيابر,1397/12/06 00:00:00,1397/12/07 00:00:00,1440.0,9053,7316,992,298,145,302,67.0,9053.0,540.0,2663.0,64.0
544301,فومن - ضيابر,1397/12/07 00:00:00,1397/12/08 00:00:00,1440.0,9948,8078,1097,255,177,341,70.0,9948.0,727.0,3193.0,65.0
544301,فومن - ضيابر,1397/12/08 00:00:00,1397/12/09 00:00:00,1440.0,9711,7918,977,293,154,369,67.0,9711.0,581.0,2917.0,75.0
544301,فومن - ضيابر,1397/12/09 00:00:00,1397/12/10 00:00:00,1440.0,10437,8762,924,230,161,360,66.0,10437.0,474.0,3348.0,53.0
544301,فومن - ضيابر,1397/12/10 00:00:00,1397/12/11 00:00:00,1440.0,8233,7042,592,221,126,252,71.0,8233.0,661.0,2290.0,81.0
544301,فومن - ضيابر,1397/12/11 00:00:00,1397/12/12 00:00:00,1440.0,9035,7645,785,216,155,234,71.0,9035.0,674.0,2634.0,55.0
544301,فومن - ضيابر,1397/12/12 00:00:00,1397/12/13 00:00:00,1435.0,9516,7695,1063,286,155,317,69.0,9567.0,666.0,2998.0,78.0
544301,فومن - ضيابر,1397/12/13 00:00:00,1397/12/14 00:00:00,1435.0,9176,7172,1197,312,151,344,68.0,9227.0,684.0,2731.0,53.0
544301,فومن - ضيابر,1397/12/14 00:00:00,1397/12/15 00:00:00,1440.0,9593,7825,979,296,150,343,70.0,9593.0,727.0,3012.0,69.0
544301,فومن - ضيابر,1397/12/15 00:00:00,1397/12/16 00:00:00,1440.0,10058,8550,759,235,166,348,69.0,10058.0,633.0,3198.0,83.0
544301,فومن - ضيابر,1397/12/16 00:00:00,1397/12/17 00:00:00,1435.0,10998,9243,962,274,151,368,66.0,11007.0,487.0,3759.0,73.0
544301,فومن - ضيابر,1397/12/17 00:00:00,1397/12/18 00:00:00,1440.0,7543,6264,628,214,135,302,65.0,7543.0,307.0,1757.0,93.0
544301,فومن - ضيابر,1397/12/18 00:00:00,1397/12/19 00:00:00,1440.0,8913,7572,743,204,129,265,71.0,8913.0,738.0,2614.0,67.0
544301,فومن - ضيابر,1397/12/19 00:00:00,1397/12/20 00:00:00,1440.0,9615,8230,670,238,150,327,70.0,9615.0,608.0,2994.0,86.0
544301,فومن - ضيابر,1397/12/20 00:00:00,1397/12/20 23:15:00,1365.0,9037,7633,696,233,163,312,70.0,9518.0,582.0,2756.0,85.0
544301,فومن - ضيابر,1397/12/21 09:00:00,1397/12/22 00:00:00,875.0,8035,7009,508,170,79,269,69.0,10145.0,408.0,2806.0,77.0
544301,فومن - ضيابر,1397/12/22 00:00:00,1397/12/23 00:00:00,1440.0,10549,9064,680,270,147,388,69.0,10549.0,556.0,3421.0,103.0
544301,فومن - ضيابر,1397/12/23 00:00:00,1397/12/24 00:00:00,1440.0,11974,10482,692,247,181,372,67.0,11974.0,442.0,4170.0,77.0
544301,فومن - ضيابر,1397/12/24 00:00:00,1397/12/25 00:00:00,1440.0,8939,7646,600,214,152,327,67.0,8939.0,340.0,2458.0,85.0
544301,فومن - ضيابر,1397/12/25 00:00:00,1397/12/26 00:00:00,1440.0,10755,9300,737,265,159,294,70.0,10755.0,662.0,3582.0,134.0
544301,فومن - ضيابر,1397/12/26 00:00:00,1397/12/27 00:00:00,1435.0,11446,9201,1380,357,155,353,67.0,11490.0,589.0,3890.0,55.0
544301,فومن - ضيابر,1397/12/27 00:00:00,1397/12/28 00:00:00,1440.0,13479,12058,691,212,165,353,67.0,13479.0,455.0,5108.0,58.0
544301,فومن - ضيابر,1397/12/28 00:00:00,1397/12/29 00:00:00,1435.0,15344,14337,495,137,143,232,65.0,15419.0,337.0,6025.0,48.0
544301,فومن - ضيابر,1397/12/29 00:00:00,1398/01/01 00:00:00,1440.0,16309,15451,461,112,127,158,69.0,16309.0,470.0,6697.0,47.0
544301,فومن - ضيابر,1396/01/01 00:00:00,1396/01/02 00:00:00,1440.0,14611,14321,101,64,27,98,69.85,14611.0,691.0,6003.0,36.0
544301,فومن - ضيابر,1396/01/02 00:00:00,1396/01/03 00:00:00,1380.0,14981,14633,146,73,29,100,71.03,15811.0,644.0,7139.0,41.0
544301,فومن - ضيابر,1396/01/03 00:00:00,1396/01/04 00:00:00,1440.0,15254,14860,173,78,33,110,65.34,15254.0,359.0,7630.0,45.0
544301,فومن - ضيابر,1396/01/04 00:00:00,1396/01/05 00:00:00,1440.0,14068,13630,147,93,56,142,66.55,14068.0,397.0,5711.0,74.0
544301,فومن - ضيابر,1396/01/05 00:00:00,1396/01/06 00:00:00,1440.0,15761,15248,221,114,42,136,70.98,15761.0,682.0,7567.0,65.0
544301,فومن - ضيابر,1396/01/06 00:00:00,1396/01/07 00:00:00,1435.0,16706,16144,264,121,46,131,68.69,16757.0,569.0,8727.0,79.0
544301,فومن - ضيابر,1396/01/07 00:00:00,1396/01/08 00:00:00,1440.0,17161,16486,275,142,57,201,68.31,17161.0,591.0,9279.0,59.0
544301,فومن - ضيابر,1396/01/08 00:00:00,1396/01/09 00:00:00,1440.0,16653,15872,329,206,55,191,67.6,16653.0,505.0,8003.0,74.0
544301,فومن - ضيابر,1396/01/09 00:00:00,1396/01/10 00:00:00,1435.0,16591,15733,348,229,56,225,68.71,16626.0,585.0,8621.0,91.0
544301,فومن - ضيابر,1396/01/10 00:00:00,1396/01/11 00:00:00,1440.0,16410,15665,292,179,68,206,68.44,16410.0,564.0,9238.0,84.0
