Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations,Estimated Number
544307,فومن - ماسوله,1401/12/01 00:00:00,1401/12/02 00:00:00,965,1008,935,53,20,0,0,64,62,11,19,1116
544307,فومن - ماسوله,1401/12/02 00:00:00,1401/12/03 00:00:00,1435,990,971,19,0,0,0,61,33,5,15,995
544307,فومن - ماسوله,1401/12/03 00:00:00,1401/12/04 00:00:00,1440,1145,1119,25,1,0,0,62,47,12,24,1145
544307,فومن - ماسوله,1401/12/04 00:00:00,1401/12/05 00:00:00,1440,1373,1361,9,1,2,0,59,55,9,32,1373
544307,فومن - ماسوله,1401/12/05 00:00:00,1401/12/06 00:00:00,1425,2485,2460,24,0,1,0,54,24,38,59,2492
544307,فومن - ماسوله,1401/12/06 00:00:00,1401/12/07 00:00:00,1415,974,943,30,1,0,0,63,47,11,9,976
544307,فومن - ماسوله,1401/12/07 00:00:00,1401/12/08 00:00:00,1440,906,890,16,0,0,0,63,39,7,18,906
544307,فومن - ماسوله,1401/12/08 00:00:00,1401/12/09 00:00:00,1155,694,682,12,0,0,0,62,34,3,11,925
544307,فومن - ماسوله,1401/12/09 00:00:00,1401/12/10 00:00:00,1440,1052,1005,40,6,0,1,65,72,12,17,1061
544307,فومن - ماسوله,1401/12/10 00:00:00,1401/12/11 00:00:00,1405,1092,1014,68,8,1,1,66,91,10,18,1103
544307,فومن - ماسوله,1401/12/11 00:00:00,1401/12/12 00:00:00,1440,1402,1385,17,0,0,0,60,43,7,36,1420
544307,فومن - ماسوله,1401/12/12 00:00:00,1401/12/13 00:00:00,1395,2321,2301,18,2,0,0,58,33,34,57,2388
544307,فومن - ماسوله,1401/12/13 00:00:00,1401/12/14 00:00:00,1440,998,982,16,0,0,0,62,39,4,18,1004
544307,فومن - ماسوله,1401/12/14 00:00:00,1401/12/15 00:00:00,1390,969,944,22,3,0,0,63,56,15,19,1034
544307,فومن - ماسوله,1401/12/15 00:00:00,1401/12/16 00:00:00,1420,974,955,18,1,0,0,61,32,4,15,995
544307,فومن - ماسوله,1401/12/16 00:00:00,1401/12/17 00:00:00,1440,988,974,12,2,0,0,60,32,2,17,988
544307,فومن - ماسوله,1401/12/17 00:00:00,1401/12/18 00:00:00,1430,1417,1402,15,0,0,0,58,36,11,40,1440
544307,فومن - ماسوله,1401/12/18 00:00:00,1401/12/19 00:00:00,1430,1572,1549,21,1,1,0,56,22,15,31,1587
544307,فومن - ماسوله,1401/12/19 00:00:00,1401/12/20 00:00:00,1400,2604,2471,107,19,2,5,61,139,81,69,2640
544307,فومن - ماسوله,1401/12/20 00:00:00,1401/12/21 00:00:00,1440,1119,1070,39,7,0,3,65,92,8,15,1119
544307,فومن - ماسوله,1401/12/21 00:00:00,1401/12/22 00:00:00,1360,1040,999,38,1,0,2,62,43,8,26,1144
544307,فومن - ماسوله,1401/12/22 00:00:00,1401/12/23 00:00:00,1390,1138,1081,52,4,0,1,64,59,11,18,1171
544307,فومن - ماسوله,1401/12/23 00:00:00,1401/12/24 00:00:00,1410,1160,1132,27,1,0,0,60,34,4,29,1193
544307,فومن - ماسوله,1401/12/24 00:00:00,1401/12/25 00:00:00,1390,1073,1052,21,0,0,0,62,48,4,24,1157
544307,فومن - ماسوله,1401/12/25 00:00:00,1401/12/26 00:00:00,1440,1424,1398,26,0,0,0,62,64,12,28,1424
544307,فومن - ماسوله,1401/12/26 00:00:00,1401/12/27 00:00:00,1435,2003,1983,18,1,0,1,59,50,27,38,2005
544307,فومن - ماسوله,1401/12/27 00:00:00,1401/12/28 00:00:00,1435,1814,1606,168,38,0,2,67,183,48,37,1822
544307,فومن - ماسوله,1401/12/28 00:00:00,1401/12/29 00:00:00,1210,1959,1942,17,0,0,0,59,39,27,41,2000
544307,فومن - ماسوله,1401/12/29 00:00:00,1402/01/01 00:00:00,1435,2518,2501,14,1,2,0,57,54,49,59,2633
544307,فومن - ماسوله,1401/01/13 09:10:00,1401/01/14 00:00:00,880,6042,5893,127,18,0,4,50,7,395,342,6143
544307,فومن - ماسوله,1401/01/14 00:00:00,1401/01/15 00:00:00,1430,2920,2832,80,6,1,1,62,36,82,185,2963
544307,فومن - ماسوله,1401/01/15 00:00:00,1401/01/16 00:00:00,1440,2030,1959,67,4,0,0,61,73,44,148,2030
544307,فومن - ماسوله,1401/01/16 00:00:00,1401/01/17 00:00:00,1440,1719,1674,41,3,0,1,62,46,35,99,1719
544307,فومن - ماسوله,1401/01/17 00:00:00,1401/01/18 00:00:00,1440,1767,1719,46,2,0,0,61,51,25,121,1767
544307,فومن - ماسوله,1401/01/18 00:00:00,1401/01/19 00:00:00,1440,1665,1640,23,0,1,1,57,31,15,69,1665
544307,فومن - ماسوله,1401/01/19 00:00:00,1401/01/20 00:00:00,1440,3808,3755,40,7,2,4,59,77,165,194,3808
544307,فومن - ماسوله,1401/01/20 00:00:00,1401/01/21 00:00:00,1440,1412,1389,22,1,0,0,60,25,12,108,1412
544307,فومن - ماسوله,1401/01/21 00:00:00,1401/01/22 00:00:00,1440,1320,1279,38,1,0,2,61,35,23,48,1320
544307,فومن - ماسوله,1401/01/22 00:00:00,1401/01/23 00:00:00,1425,1498,1174,290,9,2,23,65,73,150,42,1511
544307,فومن - ماسوله,1401/01/23 00:00:00,1401/01/24 00:00:00,1380,1595,1371,189,18,13,4,62,62,71,38,1607
544307,فومن - ماسوله,1401/01/24 00:00:00,1401/01/25 00:00:00,1440,1725,1688,34,3,0,0,59,22,31,31,1725
544307,فومن - ماسوله,1401/01/25 00:00:00,1401/01/26 00:00:00,1440,2309,2273,29,6,0,1,57,24,66,82,2309
544307,فومن - ماسوله,1401/01/26 00:00:00,1401/01/27 00:00:00,1440,3876,3822,44,7,3,0,56,27,156,92,3876
544307,فومن - ماسوله,1401/01/27 00:00:00,1401/01/27 09:35:00,575,147,140,7,0,0,0,61,5,1,0,2841
544307,فومن - ماسوله,1401/01/31 15:50:00,1401/02/01 00:00:00,480,800,794,5,1,0,0,57,8,17,17,1892
544307,فومن - ماسوله,1402/01/01 00:00:00,1402/01/02 00:00:00,1440,3699,3679,15,2,2,1,49,23,65,129,3699
544307,فومن - ماسوله,1402/01/02 01:05:00,1402/01/03 00:00:00,1365,4516,4478,26,6,5,1,47,17,91,115,4629
544307,فومن - ماسوله,1402/01/03 00:00:00,1402/01/04 00:00:00,1435,7343,6707,433,181,11,11,54,271,507,208,7348
544307,فومن - ماسوله,1402/01/04 00:00:00,1402/01/05 00:00:00,1435,7749,7007,519,195,9,19,56,339,534,166,7753
544307,فومن - ماسوله,1402/01/05 00:00:00,1402/01/06 00:00:00,1435,6207,5557,450,190,5,5,56,270,405,140,6228
544307,فومن - ماسوله,1402/01/06 00:00:00,1402/01/07 00:00:00,1415,5806,5537,192,74,2,1,54,131,267,128,5813
544307,فومن - ماسوله,1402/01/07 00:00:00,1402/01/08 00:00:00,1430,5441,5406,30,2,3,0,52,37,212,118,5459
544307,فومن - ماسوله,1402/01/08 00:00:00,1402/01/09 00:00:00,1415,5787,5513,217,51,2,4,57,211,319,153,5799
544307,فومن - ماسوله,1402/01/09 00:00:00,1402/01/10 00:00:00,1435,6602,6460,117,12,8,5,55,142,304,183,6622
544307,فومن - ماسوله,1402/01/10 00:00:00,1402/01/11 00:00:00,1440,5734,5637,89,2,6,0,52,67,181,150,5734
544307,فومن - ماسوله,1402/01/11 00:00:00,1402/01/12 00:00:00,860,2557,2532,17,3,4,1,49,16,63,50,4719
544307,فومن - ماسوله,1402/01/12 00:05:00,1402/01/13 00:00:00,1430,4215,4197,17,1,0,0,53,50,105,118,4229
544307,فومن - ماسوله,1402/01/13 00:00:00,1402/01/14 00:00:00,1425,5107,5077,27,2,0,1,49,34,169,137,5172
544307,فومن - ماسوله,1402/01/14 00:00:00,1402/01/15 00:00:00,1435,2320,2139,141,38,0,2,63,155,66,46,2332
544307,فومن - ماسوله,1402/01/15 00:00:00,1402/01/16 00:00:00,1435,2003,1863,112,27,1,0,64,157,46,55,2005
544307,فومن - ماسوله,1402/01/16 00:00:00,1402/01/17 00:00:00,1385,1800,1691,88,19,0,2,63,135,30,54,1907
544307,فومن - ماسوله,1402/01/17 00:00:00,1402/01/18 00:00:00,1440,2338,2273,48,15,0,2,61,85,45,66,2338
544307,فومن - ماسوله,1402/01/18 00:00:00,1402/01/19 00:00:00,1430,3817,3759,41,14,1,2,59,90,113,92,3837
544307,فومن - ماسوله,1402/01/19 00:00:00,1402/01/20 00:00:00,1435,1339,1304,30,4,0,1,64,78,21,29,1531
544307,فومن - ماسوله,1402/01/20 00:00:00,1402/01/21 00:00:00,1360,1260,1123,98,37,0,2,66,140,14,16,1830
544307,فومن - ماسوله,1402/01/21 00:00:00,1402/01/21 23:40:00,1375,1283,1263,19,0,0,1,61,42,9,14,1312
544307,فومن - ماسوله,1402/01/22 00:10:00,1402/01/23 00:00:00,1425,1402,1305,71,25,0,1,65,131,10,23,1405
544307,فومن - ماسوله,1402/01/23 00:00:00,1402/01/24 00:00:00,1440,2633,2612,18,1,0,2,57,63,40,83,2633
544307,فومن - ماسوله,1402/01/24 00:00:00,1402/01/25 00:00:00,1440,2465,2405,55,4,1,0,58,66,44,89,2465
544307,فومن - ماسوله,1402/01/25 00:00:00,1402/01/26 00:00:00,1440,3605,3532,60,8,3,2,60,124,122,100,3605
