Road Code,Road Name,Start Time,End Time,Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations,Estimated Number,Length of Operation (minutes)
543552,قزوين - لوشان (جاده قديم),1396/01/01 00:00:00,1396/01/02 00:00:00,1712,1419,191,50,8,44,69.99,120.0,102.0,0.0,1810.0,1320.0
543552,قزوين - لوشان (جاده قديم),1396/01/02 00:00:00,1396/01/03 00:00:00,2613,2133,308,89,18,65,70.66,178.0,474.0,0.0,2768.0,1310.0
543552,قزوين - لوشان (جاده قديم),1396/01/03 00:00:00,1396/01/04 00:00:00,1621,1240,225,77,19,60,65.14,49.0,53.0,0.0,1694.0,1350.0
543552,قزوين - لوشان (جاده قديم),1396/01/04 00:00:00,1396/01/05 00:00:00,1664,1213,237,120,35,59,69.08,114.0,103.0,0.0,1744.0,1330.0
543552,قزوين - لوشان (جاده قديم),1396/01/05 00:00:00,1396/01/06 00:00:00,2117,1394,387,194,32,110,69.51,147.0,127.0,0.0,2196.0,1360.0
543552,قزوين - لوشان (جاده قديم),1396/01/06 00:00:00,1396/01/07 00:00:00,2414,1431,513,242,61,167,67.95,134.0,157.0,0.0,2620.0,1375.0
543552,قزوين - لوشان (جاده قديم),1396/01/07 00:00:00,1396/01/08 00:00:00,2612,1475,531,303,61,242,68.06,131.0,147.0,0.0,2676.0,1405.0
543552,قزوين - لوشان (جاده قديم),1396/01/08 00:00:00,1396/01/09 00:00:00,2668,1426,556,346,90,250,67.29,133.0,155.0,0.0,2740.0,1400.0
543552,قزوين - لوشان (جاده قديم),1396/01/09 00:00:00,1396/01/10 00:00:00,2725,1446,590,363,95,231,67.35,142.0,182.0,0.0,2808.0,1400.0
543552,قزوين - لوشان (جاده قديم),1396/01/10 00:00:00,1396/01/11 00:00:00,2472,1542,444,215,49,222,66.65,119.0,165.0,0.0,2516.0,1415.0
543552,قزوين - لوشان (جاده قديم),1396/01/11 00:00:00,1396/01/12 00:00:00,2086,1241,406,211,73,155,67.63,121.0,108.0,0.0,2132.0,1400.0
543552,قزوين - لوشان (جاده قديم),1396/01/12 00:00:00,1396/01/13 00:00:00,1823,1221,319,147,44,92,67.18,110.0,83.0,0.0,1877.0,1390.0
543552,قزوين - لوشان (جاده قديم),1396/01/13 00:00:00,1396/01/14 00:00:00,1292,1002,163,63,18,46,67.86,94.0,62.0,0.0,1399.0,1320.0
543552,قزوين - لوشان (جاده قديم),1396/01/14 00:00:00,1396/01/15 00:00:00,1727,958,340,220,57,152,68.27,123.0,103.0,0.0,2155.0,1345.0
543552,قزوين - لوشان (جاده قديم),1396/01/15 00:00:00,1396/01/16 00:00:00,2378,991,563,409,103,312,67.34,121.0,191.0,0.0,2411.0,1420.0
543552,قزوين - لوشان (جاده قديم),1396/01/16 00:00:00,1396/01/17 00:00:00,2900,998,690,562,147,503,64.25,90.0,163.0,0.0,2938.0,1420.0
543552,قزوين - لوشان (جاده قديم),1396/01/17 00:00:00,1396/01/18 00:00:00,2714,944,643,456,157,514,63.41,100.0,103.0,0.0,2765.0,1415.0
543552,قزوين - لوشان (جاده قديم),1396/01/18 00:00:00,1396/01/19 00:00:00,2371,927,488,372,130,454,62.73,89.0,177.0,0.0,2399.0,1420.0
543552,قزوين - لوشان (جاده قديم),1396/01/19 00:00:00,1396/01/20 00:00:00,2850,1023,667,468,170,522,63.69,97.0,137.0,0.0,2887.0,1420.0
543552,قزوين - لوشان (جاده قديم),1396/01/20 00:00:00,1396/01/21 00:00:00,3110,972,802,581,181,574,63.25,97.0,185.0,0.0,3169.0,1410.0
543552,قزوين - لوشان (جاده قديم),1396/01/21 00:00:00,1396/01/22 00:00:00,3099,1094,677,552,152,624,64.74,136.0,259.0,0.0,3142.0,1420.0
543552,قزوين - لوشان (جاده قديم),1396/01/22 00:00:00,1396/01/23 00:00:00,2811,1005,673,470,123,540,63.75,73.0,127.0,0.0,2851.0,1420.0
543552,قزوين - لوشان (جاده قديم),1396/01/23 00:00:00,1396/01/24 00:00:00,2945,1066,631,481,173,594,63.91,124.0,218.0,0.0,2987.0,1415.0
543552,قزوين - لوشان (جاده قديم),1396/01/24 00:00:00,1396/01/25 00:00:00,2836,1037,638,436,150,575,63.74,86.0,125.0,0.0,2882.0,1415.0
543552,قزوين - لوشان (جاده قديم),1396/01/25 00:00:00,1396/01/26 00:00:00,2610,991,517,375,189,538,63.23,111.0,200.0,0.0,2660.0,1410.0
543552,قزوين - لوشان (جاده قديم),1396/01/26 00:00:00,1396/01/27 00:00:00,2924,1018,641,403,187,675,63.53,102.0,134.0,0.0,2975.0,1415.0
543552,قزوين - لوشان (جاده قديم),1396/01/27 00:00:00,1396/01/28 00:00:00,3173,1046,754,599,166,608,62.53,84.0,168.0,0.0,3213.0,1420.0
543552,قزوين - لوشان (جاده قديم),1396/01/28 00:00:00,1396/01/29 00:00:00,3375,1063,783,617,194,718,62.1,103.0,192.0,0.0,3450.0,1410.0
543552,قزوين - لوشان (جاده قديم),1396/01/29 00:00:00,1396/01/30 00:00:00,3443,1110,811,559,205,758,62.31,111.0,198.0,0.0,3491.0,1420.0
543552,قزوين - لوشان (جاده قديم),1396/01/30 00:00:00,1396/01/31 00:00:00,3313,1065,783,612,182,671,62.31,81.0,198.0,0.0,3403.0,1395.0
543552,قزوين - لوشان (جاده قديم),1396/01/31 00:00:00,1396/02/01 00:00:00,3306,1157,727,564,162,696,62.8,97.0,176.0,0.0,3306.0,1440.0
543552,قزوين - لوشان (جاده قديم),1395/01/01 00:00:00,1395/01/02 02:00:00,1478,1204,189,68,14,3,70.88,120.0,74.0,0.0,,1470.0
543552,قزوين - لوشان (جاده قديم),1395/01/02 02:00:00,1395/01/03 00:00:00,2809,2533,169,78,27,2,72.04,119.0,594.0,0.0,,1320.0
543552,قزوين - لوشان (جاده قديم),1395/01/03 00:00:00,1395/01/04 00:00:00,2009,1655,226,89,34,5,71.8,134.0,118.0,0.0,,1440.0
543552,قزوين - لوشان (جاده قديم),1395/01/04 00:00:00,1395/01/05 00:00:00,2149,1647,326,114,48,14,71.28,145.0,149.0,0.0,,1440.0
543552,قزوين - لوشان (جاده قديم),1395/01/05 00:00:00,1395/01/06 00:00:00,1850,1419,261,106,55,9,71.45,121.0,99.0,0.0,,1380.0
543552,قزوين - لوشان (جاده قديم),1395/01/06 00:00:00,1395/01/07 00:00:00,1717,1252,258,118,63,26,69.69,93.0,107.0,0.0,,1395.0
543552,قزوين - لوشان (جاده قديم),1395/01/07 00:00:00,1395/01/08 00:00:00,2446,1562,410,210,169,95,67.92,109.0,156.0,0.0,,1425.0
543552,قزوين - لوشان (جاده قديم),1395/01/08 00:00:00,1395/01/09 00:00:00,2047,1110,415,224,168,130,65.05,75.0,131.0,0.0,,1290.0
543552,قزوين - لوشان (جاده قديم),1395/01/09 00:00:00,1395/01/10 00:00:00,2476,1318,478,280,244,156,65.24,84.0,124.0,0.0,,1440.0
543552,قزوين - لوشان (جاده قديم),1395/01/10 00:00:00,1395/01/11 00:00:00,2488,1363,494,279,220,132,65.91,104.0,129.0,0.0,,1440.0
543552,قزوين - لوشان (جاده قديم),1395/01/11 00:00:00,1395/01/12 00:00:00,2404,1317,467,301,203,116,66.2,83.0,131.0,0.0,,1440.0
543552,قزوين - لوشان (جاده قديم),1395/01/12 00:00:00,1395/01/13 00:00:00,1811,1274,269,159,83,26,68.96,107.0,85.0,0.0,,1440.0
543552,قزوين - لوشان (جاده قديم),1395/01/13 00:00:00,1395/01/14 00:00:00,1166,925,154,63,23,1,67.59,97.0,61.0,0.0,,1425.0
543552,قزوين - لوشان (جاده قديم),1395/01/14 00:00:00,1395/01/15 00:00:00,1526,855,315,188,133,35,69.39,76.0,77.0,0.0,,1305.0
543552,قزوين - لوشان (جاده قديم),1395/01/15 00:00:00,1395/01/16 00:00:00,2424,1013,601,379,218,213,66.58,97.0,103.0,0.0,,1440.0
543552,قزوين - لوشان (جاده قديم),1395/01/16 00:00:00,1395/01/17 00:00:00,2577,1042,652,412,242,229,66.52,109.0,128.0,0.0,,1440.0
543552,قزوين - لوشان (جاده قديم),1395/01/17 00:00:00,1395/01/18 00:00:00,2908,1082,758,508,278,282,65.75,100.0,150.0,0.0,,1440.0
543552,قزوين - لوشان (جاده قديم),1395/01/18 00:00:00,1395/01/19 00:00:00,2568,863,661,467,248,329,64.08,80.0,112.0,0.0,,1260.0
543552,قزوين - لوشان (جاده قديم),1395/01/19 00:00:00,1395/01/20 00:00:00,2618,1077,609,364,300,268,64.47,66.0,129.0,0.0,,1440.0
543552,قزوين - لوشان (جاده قديم),1395/01/20 00:00:00,1395/01/21 00:00:00,2411,930,496,385,272,328,64.28,83.0,106.0,0.0,,1410.0
543552,قزوين - لوشان (جاده قديم),1395/01/21 00:00:00,1395/01/22 00:00:00,2813,1029,684,473,253,374,65.66,100.0,158.0,0.0,,1440.0
543552,قزوين - لوشان (جاده قديم),1395/01/22 00:00:00,1395/01/23 00:00:00,3080,985,838,556,318,383,64.59,86.0,174.0,0.0,,1440.0
543552,قزوين - لوشان (جاده قديم),1395/01/23 00:00:00,1395/01/24 00:00:00,3140,1037,790,541,281,491,63.17,84.0,174.0,0.0,,1440.0
543552,قزوين - لوشان (جاده قديم),1395/01/24 00:00:00,1395/01/25 00:00:00,2855,866,754,483,369,383,62.67,84.0,144.0,0.0,,1305.0
543552,قزوين - لوشان (جاده قديم),1395/01/25 00:00:00,1395/01/26 00:00:00,2474,758,583,419,305,409,61.11,36.0,117.0,0.0,,1170.0
543552,قزوين - لوشان (جاده قديم),1395/01/26 00:00:00,1395/01/27 00:00:00,2664,949,554,356,318,487,63.84,91.0,112.0,0.0,,1440.0
543552,قزوين - لوشان (جاده قديم),1395/01/27 00:00:00,1395/01/28 00:00:00,2371,876,467,334,277,417,63.66,86.0,88.0,0.0,,1440.0
543552,قزوين - لوشان (جاده قديم),1395/01/28 00:00:00,1395/01/29 00:00:00,2679,943,578,345,312,501,64.05,83.0,131.0,0.0,,1395.0
543552,قزوين - لوشان (جاده قديم),1395/01/29 00:00:00,1395/01/30 00:00:00,3153,1064,772,500,338,479,62.69,66.0,171.0,0.0,,1440.0
543552,قزوين - لوشان (جاده قديم),1395/01/30 00:00:00,1395/01/31 00:00:00,3146,1031,783,552,332,448,63.31,71.0,165.0,0.0,,1440.0
543552,قزوين - لوشان (جاده قديم),1395/01/31 00:00:00,1395/02/01 00:00:00,3548,1162,861,601,291,633,64.01,102.0,198.0,0.0,,1440.0
543552,قزوين - لوشان (جاده قديم),1395/12/01 00:00:00,1395/12/02 00:00:00,2426,909,574,376,99,468,63.75,96.0,142.0,0.0,2474.0,1400.0
543552,قزوين - لوشان (جاده قديم),1395/12/02 00:00:00,1395/12/03 00:00:00,3059,976,771,474,137,701,62.31,102.0,177.0,0.0,3212.0,1375.0
543552,قزوين - لوشان (جاده قديم),1395/12/03 00:00:00,1395/12/04 00:00:00,3473,999,871,541,187,875,61.28,97.0,173.0,0.0,3578.0,1395.0
543552,قزوين - لوشان (جاده قديم),1395/12/04 00:00:00,1395/12/05 00:00:00,3792,1138,946,592,176,940,61.82,113.0,227.0,0.0,3879.0,1405.0
543552,قزوين - لوشان (جاده قديم),1395/12/05 00:00:00,1395/12/05 23:55:00,3099,1001,737,481,144,736,61.84,110.0,170.0,0.0,3458.0,1285.0
543552,قزوين - لوشان (جاده قديم),1395/12/06 00:00:00,1395/12/07 00:00:00,2763,916,554,449,135,709,61.94,97.0,108.0,0.0,2813.0,1410.0
543552,قزوين - لوشان (جاده قديم),1395/12/07 00:00:00,1395/12/08 00:00:00,3177,1018,730,492,175,762,62.55,99.0,161.0,0.0,3213.0,1420.0
543552,قزوين - لوشان (جاده قديم),1395/12/08 00:00:00,1395/12/09 00:00:00,3692,1069,922,696,168,837,60.65,76.0,218.0,0.0,3755.0,1415.0
543552,قزوين - لوشان (جاده قديم),1395/12/09 00:00:00,1395/12/10 00:00:00,3690,1116,934,661,196,783,59.82,89.0,199.0,0.0,3743.0,1415.0
543552,قزوين - لوشان (جاده قديم),1395/12/10 00:00:00,1395/12/11 00:00:00,3341,973,868,603,155,742,59.24,67.0,186.0,0.0,3856.0,1260.0
543552,قزوين - لوشان (جاده قديم),1395/12/11 00:00:00,1395/12/12 00:00:00,3888,1230,988,625,242,803,59.71,64.0,215.0,0.0,3980.0,1405.0
543552,قزوين - لوشان (جاده قديم),1395/12/12 00:00:00,1395/12/13 00:00:00,3251,1073,834,508,212,624,62.35,104.0,164.0,0.0,3293.0,1420.0
543552,قزوين - لوشان (جاده قديم),1395/12/13 00:00:00,1395/12/14 00:00:00,2589,863,561,373,172,620,61.33,72.0,92.0,0.0,2621.0,1420.0
543552,قزوين - لوشان (جاده قديم),1395/12/14 00:00:00,1395/12/15 00:00:00,3125,1025,758,504,163,675,61.76,100.0,156.0,0.0,3162.0,1420.0
543552,قزوين - لوشان (جاده قديم),1395/12/15 00:00:00,1395/12/16 00:00:00,3572,1096,956,695,164,661,60.37,101.0,167.0,0.0,3623.0,1420.0
543552,قزوين - لوشان (جاده قديم),1395/12/16 00:00:00,1395/12/17 00:00:00,3621,1113,958,668,162,720,61.42,91.0,185.0,0.0,3686.0,1415.0
543552,قزوين - لوشان (جاده قديم),1395/12/17 00:00:00,1395/12/18 00:00:00,3867,1123,1025,720,201,798,60.69,89.0,209.0,0.0,3972.0,1405.0
543552,قزوين - لوشان (جاده قديم),1395/12/18 00:00:00,1395/12/19 00:00:00,4110,1108,1087,742,212,961,61.17,117.0,250.0,0.0,4177.0,1415.0
543552,قزوين - لوشان (جاده قديم),1395/12/19 00:00:00,1395/12/20 00:00:00,3792,1092,1022,729,139,810,61.93,110.0,225.0,0.0,3845.0,1420.0
543552,قزوين - لوشان (جاده قديم),1395/12/20 00:00:00,1395/12/21 00:00:00,3198,946,766,588,146,752,60.82,88.0,159.0,0.0,3247.0,1415.0
543552,قزوين - لوشان (جاده قديم),1395/12/21 00:00:00,1395/12/22 00:00:00,3414,1056,863,568,173,754,62.79,93.0,176.0,0.0,3454.0,1420.0
543552,قزوين - لوشان (جاده قديم),1395/12/22 00:00:00,1395/12/23 00:00:00,3979,1153,1080,775,210,761,61.16,115.0,280.0,0.0,4082.0,1400.0
543552,قزوين - لوشان (جاده قديم),1395/12/23 00:00:00,1395/12/24 00:00:00,4177,1160,1105,866,191,855,61.6,125.0,237.0,0.0,4243.0,1415.0
