Road Code,Road Name,Start Time,End Time,Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations,Estimated Number,Length of Operation (minutes)
543553,آزادراه قزوين - لوشان,1396/01/01 00:10:00,1396/01/02 00:00:00,39918,39067,468,14,20,349,87.5,12834.0,12653.0,0.0,40261.0,1425.0
543553,آزادراه قزوين - لوشان,1396/01/02 00:00:00,1396/01/02 23:45:00,35240,34331,513,18,35,343,88.26,11350.0,11195.0,0.0,38087.0,1360.0
543553,آزادراه قزوين - لوشان,1396/01/03 00:10:00,1396/01/03 23:45:00,31124,30278,406,20,32,388,83.74,7134.0,7003.0,0.0,31363.0,1415.0
543553,آزادراه قزوين - لوشان,1396/01/04 00:10:00,1396/01/05 00:00:00,28165,27466,330,17,30,322,90.77,6406.0,6281.0,0.0,29023.0,1405.0
543553,آزادراه قزوين - لوشان,1396/01/05 00:00:00,1396/01/06 00:00:00,30031,29360,324,10,28,309,93.63,7441.0,7295.0,0.0,30068.0,1435.0
543553,آزادراه قزوين - لوشان,1396/01/06 00:00:00,1396/01/07 00:00:00,34100,33279,461,19,30,311,91.48,9629.0,9482.0,0.0,34276.0,1435.0
543553,آزادراه قزوين - لوشان,1396/01/07 00:00:00,1396/01/07 23:45:00,38019,37042,602,27,30,318,90.45,11567.0,11390.0,0.0,38537.0,1415.0
543553,آزادراه قزوين - لوشان,1396/01/08 00:10:00,1396/01/08 23:45:00,34169,33197,602,17,27,326,91.37,9082.0,8916.0,0.0,34733.0,1410.0
543553,آزادراه قزوين - لوشان,1396/01/09 00:10:00,1396/01/10 00:00:00,30739,29872,500,19,31,317,93.55,7151.0,6974.0,0.0,30998.0,1425.0
543553,آزادراه قزوين - لوشان,1396/01/10 00:00:00,1396/01/11 00:00:00,26176,25466,355,10,19,326,93.61,4951.0,4797.0,0.0,26579.0,1425.0
