Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Estimated Number,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations
543401,لاهيجان - آستانه,1397/12/01 00:00:00,1397/12/02 00:00:00,1300.0,36712,35115,863,286,148,300,71.0,37337.0,55.0,13888.0,0.0
543401,لاهيجان - آستانه,1397/12/02 00:00:00,1397/12/03 00:00:00,1440.0,38637,37051,848,272,159,307,72.0,38637.0,78.0,14312.0,0.0
543401,لاهيجان - آستانه,1397/12/03 00:00:00,1397/12/04 00:00:00,1440.0,39590,38307,619,205,188,271,70.0,39590.0,72.0,15693.0,0.0
543401,لاهيجان - آستانه,1397/12/04 00:00:00,1397/12/05 00:00:00,1425.0,37584,36022,863,262,153,284,73.0,37970.0,79.0,13645.0,0.0
543401,لاهيجان - آستانه,1397/12/05 00:00:00,1397/12/06 00:00:00,1410.0,34967,33280,924,312,153,298,72.0,35797.0,77.0,12315.0,0.0
543401,لاهيجان - آستانه,1397/12/06 00:00:00,1397/12/07 00:00:00,1440.0,36561,34778,975,324,157,327,72.0,36561.0,96.0,13072.0,0.0
543401,لاهيجان - آستانه,1397/12/07 00:00:00,1397/12/08 00:00:00,1440.0,37447,35706,947,350,153,291,73.0,37447.0,89.0,13711.0,0.0
543401,لاهيجان - آستانه,1397/12/08 00:00:00,1397/12/09 00:00:00,1440.0,37471,35627,979,381,170,314,70.0,37471.0,70.0,13692.0,0.0
543401,لاهيجان - آستانه,1397/12/09 00:00:00,1397/12/10 00:00:00,1440.0,36339,34655,891,328,153,312,71.0,36339.0,68.0,12968.0,0.0
543401,لاهيجان - آستانه,1397/12/10 00:00:00,1397/12/11 00:00:00,1440.0,35919,34628,650,236,150,255,70.0,35919.0,56.0,13503.0,0.0
543401,لاهيجان - آستانه,1397/12/11 00:00:00,1397/12/12 00:00:00,1440.0,37777,36071,900,321,189,296,73.0,37777.0,93.0,13680.0,0.0
543401,لاهيجان - آستانه,1397/12/12 00:00:00,1397/12/13 00:00:00,1440.0,36979,35158,1019,326,183,293,73.0,36979.0,79.0,13363.0,0.0
