Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations,Estimated Number
544501,لاهيجان - سياهکل,1401/12/01 00:00:00,1401/12/02 00:00:00,1440.0,11551,9880,1165,135,5,366,50.0,15.0,1142.0,145.0,11551.0
544501,لاهيجان - سياهکل,1401/12/02 00:00:00,1401/12/03 00:00:00,1435.0,11133,9284,1319,141,4,385,51.0,25.0,1146.0,106.0,11185.0
544501,لاهيجان - سياهکل,1401/12/03 00:00:00,1401/12/04 00:00:00,1400.0,10888,9260,1142,118,3,365,52.0,21.0,1117.0,135.0,11281.0
544501,لاهيجان - سياهکل,1401/12/04 00:00:00,1401/12/05 00:00:00,1440.0,11397,9722,1160,138,3,374,50.0,10.0,1041.0,95.0,11397.0
544501,لاهيجان - سياهکل,1401/12/05 00:00:00,1401/12/06 00:00:00,1350.0,10163,9457,581,25,6,94,48.0,11.0,367.0,79.0,11063.0
544501,لاهيجان - سياهکل,1401/12/06 00:00:00,1401/12/07 00:00:00,1265.0,9712,8551,882,55,2,222,50.0,22.0,858.0,72.0,11626.0
544501,لاهيجان - سياهکل,1401/12/07 00:00:00,1401/12/08 00:00:00,1425.0,11075,9350,1241,115,3,366,52.0,36.0,1183.0,103.0,11246.0
544501,لاهيجان - سياهکل,1401/12/08 00:00:00,1401/12/09 00:00:00,1220.0,8971,7561,1054,93,2,261,51.0,5.0,902.0,83.0,11016.0
544501,لاهيجان - سياهکل,1401/12/09 00:00:00,1401/12/10 00:00:00,1410.0,10824,8895,1389,134,2,404,49.0,16.0,1060.0,83.0,11103.0
544501,لاهيجان - سياهکل,1401/12/10 00:00:00,1401/12/11 00:00:00,1410.0,10754,8965,1299,136,1,353,50.0,18.0,1088.0,107.0,10988.0
544501,لاهيجان - سياهکل,1401/12/11 00:00:00,1401/12/12 00:00:00,1440.0,11367,9579,1266,159,1,362,50.0,27.0,1062.0,73.0,11367.0
544501,لاهيجان - سياهکل,1401/12/12 00:00:00,1401/12/13 00:00:00,1440.0,12083,10887,817,111,3,265,51.0,22.0,973.0,123.0,12083.0
544501,لاهيجان - سياهکل,1401/12/13 00:00:00,1401/12/14 00:00:00,1440.0,11729,9829,1348,146,5,401,52.0,21.0,1163.0,112.0,11729.0
544501,لاهيجان - سياهکل,1401/12/14 00:00:00,1401/12/15 00:00:00,1440.0,11084,9113,1384,165,3,419,52.0,24.0,1188.0,129.0,11084.0
544501,لاهيجان - سياهکل,1401/12/15 00:00:00,1401/12/16 00:00:00,1440.0,11191,9214,1358,162,3,454,51.0,16.0,1301.0,132.0,11191.0
544501,لاهيجان - سياهکل,1401/12/16 00:00:00,1401/12/17 00:00:00,1440.0,11370,9393,1405,143,1,428,49.0,8.0,962.0,98.0,11370.0
544501,لاهيجان - سياهکل,1401/12/17 00:00:00,1401/12/18 00:00:00,1440.0,10416,8750,1183,113,1,369,51.0,14.0,928.0,81.0,10416.0
544501,لاهيجان - سياهکل,1401/12/18 00:00:00,1401/12/19 00:00:00,1440.0,11492,9816,1184,134,0,358,50.0,10.0,883.0,110.0,11492.0
544501,لاهيجان - سياهکل,1401/12/19 00:00:00,1401/12/20 00:00:00,1440.0,13948,12698,807,130,4,309,44.0,11.0,879.0,174.0,13948.0
544501,لاهيجان - سياهکل,1401/12/20 00:00:00,1401/12/21 00:00:00,1440.0,12461,10485,1439,134,2,401,51.0,20.0,1320.0,114.0,12461.0
544501,لاهيجان - سياهکل,1401/12/21 00:00:00,1401/12/22 00:00:00,1360.0,10640,8718,1383,140,1,398,50.0,17.0,1041.0,90.0,11513.0
544501,لاهيجان - سياهکل,1401/12/22 00:00:00,1401/12/23 00:00:00,1335.0,11146,9164,1399,137,3,443,51.0,27.0,1200.0,144.0,11866.0
544501,لاهيجان - سياهکل,1401/12/23 00:00:00,1401/12/24 00:00:00,1370.0,10494,8505,1444,126,0,419,51.0,17.0,1136.0,103.0,11138.0
544501,لاهيجان - سياهکل,1401/12/24 00:00:00,1401/12/25 00:00:00,1435.0,11485,9368,1539,154,2,422,51.0,11.0,1195.0,106.0,11540.0
544501,لاهيجان - سياهکل,1401/12/25 00:00:00,1401/12/26 00:00:00,1435.0,11961,9958,1473,105,1,424,50.0,5.0,1068.0,82.0,11990.0
544501,لاهيجان - سياهکل,1401/12/26 00:00:00,1401/12/27 00:00:00,1440.0,11226,9781,1050,95,6,294,50.0,15.0,929.0,79.0,11226.0
544501,لاهيجان - سياهکل,1401/12/27 00:00:00,1401/12/28 00:00:00,1385.0,11714,10152,1143,114,5,300,51.0,20.0,1205.0,163.0,12331.0
544501,لاهيجان - سياهکل,1401/12/28 00:00:00,1401/12/29 00:00:00,1195.0,11177,10098,829,61,2,187,50.0,11.0,971.0,56.0,11729.0
544501,لاهيجان - سياهکل,1401/12/29 00:00:00,1402/01/01 00:00:00,1435.0,10804,10375,327,26,4,72,53.0,9.0,876.0,41.0,10815.0
544501,لاهيجان - سياهکل,1402/01/01 00:00:00,1402/01/02 00:00:00,1440.0,9687,9600,62,8,2,15,52.0,12.0,460.0,41.0,9687.0
544501,لاهيجان - سياهکل,1402/01/02 01:05:00,1402/01/03 00:00:00,1370.0,11735,11600,111,7,3,14,48.0,2.0,354.0,41.0,12111.0
544501,لاهيجان - سياهکل,1402/01/03 00:00:00,1402/01/04 00:00:00,1435.0,16321,16080,212,13,6,10,49.0,13.0,819.0,64.0,16361.0
