Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Estimated Number,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations
544502,لاهيجان - لنگرود,1397/12/01 00:00:00,1397/12/02 00:00:00,1300.0,35909,33960,917,474,176,382,69.0,36650.0,19.0,14823.0,0.0
544502,لاهيجان - لنگرود,1397/12/02 00:00:00,1397/12/03 00:00:00,1440.0,40584,38442,1028,505,207,402,67.0,40584.0,17.0,17724.0,0.0
544502,لاهيجان - لنگرود,1397/12/03 00:00:00,1397/12/04 00:00:00,1440.0,37468,35855,619,414,186,394,67.0,37468.0,35.0,15424.0,0.0
544502,لاهيجان - لنگرود,1397/12/04 00:00:00,1397/12/05 00:00:00,1430.0,33814,31664,979,545,239,387,58.0,33993.0,73.0,12696.0,0.0
544502,لاهيجان - لنگرود,1397/12/05 00:00:00,1397/12/06 00:00:00,1440.0,34940,32816,1012,543,155,414,69.0,34940.0,12.0,13362.0,0.0
544502,لاهيجان - لنگرود,1397/12/06 00:00:00,1397/12/07 00:00:00,1440.0,35440,33250,1009,554,160,467,69.0,35440.0,16.0,13922.0,0.0
544502,لاهيجان - لنگرود,1397/12/07 00:00:00,1397/12/08 00:00:00,1440.0,36271,34068,1042,552,177,432,69.0,36271.0,18.0,14337.0,0.0
544502,لاهيجان - لنگرود,1397/12/08 00:00:00,1397/12/09 00:00:00,1440.0,37431,35222,1062,553,177,417,67.0,37431.0,13.0,15362.0,0.0
544502,لاهيجان - لنگرود,1397/12/09 00:00:00,1397/12/10 00:00:00,1440.0,40193,38126,981,541,182,363,67.0,40193.0,19.0,17268.0,0.0
544502,لاهيجان - لنگرود,1397/12/10 00:00:00,1397/12/11 00:00:00,1440.0,35463,33865,636,466,151,345,67.0,35463.0,8.0,14306.0,0.0
544502,لاهيجان - لنگرود,1397/12/11 00:00:00,1397/12/12 00:00:00,1440.0,35681,33741,904,480,158,398,70.0,35681.0,18.0,13542.0,0.0
544502,لاهيجان - لنگرود,1397/12/12 00:00:00,1397/12/13 00:00:00,1440.0,35510,33114,1136,621,182,457,70.0,35510.0,16.0,13829.0,0.0
544502,لاهيجان - لنگرود,1397/12/13 00:00:00,1397/12/14 00:00:00,1440.0,35567,33301,1079,556,181,450,69.0,35567.0,14.0,13737.0,0.0
544502,لاهيجان - لنگرود,1397/12/14 00:00:00,1397/12/15 00:00:00,1440.0,35341,32949,1103,596,211,482,69.0,35341.0,18.0,13752.0,0.0
544502,لاهيجان - لنگرود,1397/12/15 00:00:00,1397/12/16 00:00:00,1440.0,37943,35509,1105,644,199,486,69.0,37943.0,19.0,15679.0,0.0
544502,لاهيجان - لنگرود,1397/12/16 00:00:00,1397/12/17 00:00:00,1435.0,40100,37832,1059,619,173,417,68.0,40316.0,17.0,17112.0,0.0
544502,لاهيجان - لنگرود,1397/12/17 00:00:00,1397/12/18 00:00:00,1430.0,30533,28986,661,391,134,361,65.0,30740.0,13.0,10184.0,0.0
544502,لاهيجان - لنگرود,1397/12/18 00:00:00,1397/12/19 00:00:00,1440.0,35354,33356,1010,410,160,418,70.0,35354.0,13.0,13540.0,0.0
544502,لاهيجان - لنگرود,1397/12/19 00:00:00,1397/12/20 00:00:00,1440.0,35460,33227,1134,570,136,393,70.0,35460.0,18.0,13597.0,0.0
544502,لاهيجان - لنگرود,1397/12/20 00:00:00,1397/12/21 00:00:00,1410.0,34886,32563,1091,596,169,467,70.0,35860.0,13.0,13749.0,0.0
544502,لاهيجان - لنگرود,1397/12/21 00:00:00,1397/12/22 00:00:00,865.0,28080,26428,757,420,148,327,69.0,36371.0,7.0,11664.0,0.0
544502,لاهيجان - لنگرود,1397/12/22 00:00:00,1397/12/23 00:00:00,1435.0,39413,36733,1269,671,241,499,69.0,39629.0,15.0,16614.0,0.0
544502,لاهيجان - لنگرود,1397/12/23 00:00:00,1397/12/24 00:00:00,1440.0,41318,38766,1200,697,228,427,68.0,41318.0,13.0,17984.0,0.0
544502,لاهيجان - لنگرود,1397/12/24 00:00:00,1397/12/25 00:00:00,1440.0,36504,34393,943,557,170,441,65.0,36504.0,12.0,14363.0,0.0
544502,لاهيجان - لنگرود,1397/12/25 00:00:00,1397/12/26 00:00:00,1430.0,39213,36688,1247,650,201,427,69.0,39615.0,21.0,16433.0,0.0
544502,لاهيجان - لنگرود,1397/12/26 00:00:00,1397/12/27 00:00:00,1430.0,39359,36784,1328,621,201,425,68.0,39699.0,14.0,16471.0,0.0
544502,لاهيجان - لنگرود,1397/12/27 00:00:00,1397/12/28 00:00:00,1440.0,43791,41388,1196,601,230,376,65.0,43791.0,19.0,20465.0,0.0
544502,لاهيجان - لنگرود,1397/12/28 00:00:00,1397/12/29 00:00:00,1435.0,46480,44641,898,432,203,306,64.0,46714.0,22.0,21969.0,0.0
544502,لاهيجان - لنگرود,1397/12/29 00:00:00,1398/01/01 00:00:00,1440.0,47503,46351,527,273,162,190,64.0,47503.0,14.0,22664.0,0.0
544502,لاهيجان - لنگرود,1401/12/01 00:00:00,1401/12/02 00:00:00,1400.0,38756,36526,1363,274,118,475,66.0,40211.0,123.0,8075.0,0.0
544502,لاهيجان - لنگرود,1401/12/02 00:00:00,1401/12/03 00:00:00,1430.0,40187,37725,1524,334,140,464,65.0,40598.0,96.0,8146.0,0.0
544502,لاهيجان - لنگرود,1401/12/03 00:00:00,1401/12/04 00:00:00,1400.0,41913,39552,1420,307,137,497,65.0,42817.0,116.0,9126.0,0.0
544502,لاهيجان - لنگرود,1401/12/04 00:00:00,1401/12/05 00:00:00,1440.0,43474,41111,1430,354,136,443,63.0,43474.0,91.0,8666.0,0.0
544502,لاهيجان - لنگرود,1401/12/05 00:00:00,1401/12/06 00:00:00,1365.0,33415,32108,705,172,119,311,61.0,34150.0,38.0,4792.0,0.0
544502,لاهيجان - لنگرود,1401/12/06 00:00:00,1401/12/07 00:00:00,1355.0,39696,37730,1157,297,121,391,65.0,41236.0,84.0,8517.0,0.0
544502,لاهيجان - لنگرود,1401/12/07 00:00:00,1401/12/08 00:00:00,1440.0,39962,37589,1461,322,139,451,65.0,39962.0,95.0,8447.0,0.0
544502,لاهيجان - لنگرود,1401/12/08 00:00:00,1401/12/09 00:00:00,1245.0,33096,31084,1235,305,105,367,65.0,40029.0,72.0,6766.0,0.0
544502,لاهيجان - لنگرود,1401/12/09 00:00:00,1401/12/10 00:00:00,1385.0,38267,35870,1448,346,124,479,64.0,40150.0,77.0,7464.0,0.0
544502,لاهيجان - لنگرود,1401/12/10 00:00:00,1401/12/11 00:00:00,1355.0,27455,25731,1103,225,103,293,54.0,29483.0,29.0,4166.0,0.0
544502,لاهيجان - لنگرود,1401/12/11 00:00:00,1401/12/12 00:00:00,1365.0,26948,25947,645,173,98,85,69.0,29272.0,63.0,7044.0,0.0
544502,لاهيجان - لنگرود,1401/12/12 00:00:00,1401/12/13 00:00:00,1400.0,25039,24295,437,146,105,56,69.0,26127.0,62.0,6058.0,0.0
544502,لاهيجان - لنگرود,1401/12/13 00:00:00,1401/12/14 00:00:00,1430.0,22376,20861,927,210,109,269,60.0,24943.0,46.0,4713.0,0.0
544502,لاهيجان - لنگرود,1401/12/14 00:00:00,1401/12/15 00:00:00,1440.0,25987,25049,596,174,83,85,71.0,25987.0,77.0,6356.0,0.0
544502,لاهيجان - لنگرود,1401/12/15 00:00:00,1401/12/16 00:00:00,1400.0,25555,24631,571,170,96,87,71.0,26605.0,83.0,6380.0,0.0
544502,لاهيجان - لنگرود,1401/12/16 00:00:00,1401/12/17 00:00:00,1440.0,28195,27232,582,203,99,79,67.0,28195.0,52.0,6916.0,0.0
544502,لاهيجان - لنگرود,1401/12/17 00:00:00,1401/12/18 00:00:00,1365.0,24502,23706,480,147,84,85,68.0,26209.0,47.0,5454.0,0.0
544502,لاهيجان - لنگرود,1401/12/18 00:00:00,1401/12/19 00:00:00,1440.0,27151,26323,508,142,91,87,66.0,27151.0,43.0,6063.0,0.0
544502,لاهيجان - لنگرود,1401/12/19 00:00:00,1401/12/20 00:00:00,1390.0,24809,23996,458,185,99,71,68.0,26025.0,59.0,6144.0,0.0
544502,لاهيجان - لنگرود,1401/12/20 00:00:00,1401/12/21 00:00:00,1440.0,27723,26857,525,169,98,74,70.0,27723.0,69.0,7074.0,0.0
544502,لاهيجان - لنگرود,1401/12/21 00:00:00,1401/12/22 00:00:00,1360.0,25155,24306,519,144,100,86,70.0,27180.0,70.0,6255.0,0.0
544502,لاهيجان - لنگرود,1401/12/22 00:00:00,1401/12/23 00:00:00,1310.0,24253,23469,499,141,79,65,72.0,26832.0,88.0,6316.0,0.0
544502,لاهيجان - لنگرود,1401/12/23 00:00:00,1401/12/24 00:00:00,1410.0,24900,24046,531,145,96,82,73.0,25424.0,97.0,6281.0,0.0
