Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations,Estimated Number
543270,لاکان - رشت,1397/12/01 00:00:00,1397/12/02 00:00:00,1300,6746,6064,614,29,23,16,46,0,1156,131,6812
543270,لاکان - رشت,1397/12/02 00:00:00,1397/12/03 00:00:00,1440,6711,6125,533,14,10,29,47,0,1133,153,6711
543270,لاکان - رشت,1397/12/03 00:00:00,1397/12/04 00:00:00,1440,4829,4566,231,9,5,18,50,2,617,95,4829
543270,لاکان - رشت,1397/12/04 00:00:00,1397/12/05 00:00:00,1435,6803,6143,600,19,22,19,47,0,1223,135,6803
543270,لاکان - رشت,1397/12/05 00:00:00,1397/12/06 00:00:00,1440,6577,5908,608,22,24,15,46,1,1104,145,6577
543270,لاکان - رشت,1397/12/06 00:00:00,1397/12/07 00:00:00,1440,6717,6044,604,27,19,23,46,0,1151,136,6717
543270,لاکان - رشت,1397/12/07 00:00:00,1397/12/08 00:00:00,1440,7252,6543,634,21,25,29,47,0,1327,155,7252
543270,لاکان - رشت,1397/12/08 00:00:00,1397/12/09 00:00:00,1435,6958,6274,613,29,22,20,45,0,1219,109,6958
543270,لاکان - رشت,1397/12/09 00:00:00,1397/12/10 00:00:00,1440,6275,5698,519,30,8,20,45,1,1039,111,6275
543270,لاکان - رشت,1397/12/10 00:00:00,1397/12/11 00:00:00,1440,4774,4501,243,13,5,12,49,1,659,90,4774
543270,لاکان - رشت,1397/12/11 00:00:00,1397/12/12 00:00:00,1425,7133,6471,595,29,22,16,47,1,1382,161,7140
543270,لاکان - رشت,1397/12/12 00:00:00,1397/12/13 00:00:00,1390,6449,5820,563,24,22,20,47,1,1098,105,6684
543270,لاکان - رشت,1397/12/13 00:00:00,1397/12/14 00:00:00,1430,6906,6233,605,26,20,22,46,1,1249,123,6953
543270,لاکان - رشت,1397/12/14 00:00:00,1397/12/15 00:00:00,1440,7093,6405,619,24,24,21,46,0,1279,111,7093
543270,لاکان - رشت,1397/12/15 00:00:00,1397/12/16 00:00:00,1440,4556,4128,382,18,12,16,40,1,745,358,6856
543270,لاکان - رشت,1397/12/16 00:00:00,1397/12/17 00:00:00,1400,6431,5836,535,20,13,27,45,0,1007,127,6530
543270,لاکان - رشت,1397/12/17 00:00:00,1397/12/18 00:00:00,1440,4023,3739,244,16,9,15,48,0,380,63,4023
543270,لاکان - رشت,1397/12/18 00:00:00,1397/12/19 00:00:00,1440,6665,6020,583,20,17,25,47,1,1083,129,6665
543270,لاکان - رشت,1397/12/19 00:00:00,1397/12/20 00:00:00,1440,6951,6287,610,27,12,15,47,0,1151,147,6951
543270,لاکان - رشت,1397/12/20 00:00:00,1397/12/21 00:00:00,1410,6853,6153,631,33,17,19,47,1,1237,132,7055
543270,لاکان - رشت,1397/12/21 00:00:00,1397/12/22 00:00:00,985,5769,5266,447,19,18,19,48,0,1131,154,7037
543270,لاکان - رشت,1397/12/22 00:00:00,1397/12/23 00:00:00,1440,7202,6514,625,24,20,19,48,0,1323,149,7202
543270,لاکان - رشت,1397/12/23 00:00:00,1397/12/24 00:00:00,1440,7004,6351,592,31,10,20,47,0,1182,133,7004
543270,لاکان - رشت,1397/12/24 00:00:00,1397/12/25 00:00:00,1440,4651,4304,318,12,9,8,49,1,556,86,4651
543270,لاکان - رشت,1397/12/25 00:00:00,1397/12/26 00:00:00,1440,7655,6978,606,29,16,26,47,1,1530,136,7655
543270,لاکان - رشت,1397/12/26 00:00:00,1397/12/27 00:00:00,1370,6715,6094,557,23,15,26,46,0,1191,122,7086
543270,لاکان - رشت,1397/12/27 00:00:00,1397/12/28 00:00:00,1440,7364,6787,507,23,18,29,47,1,1396,153,7364
543270,لاکان - رشت,1397/12/28 00:00:00,1397/12/29 00:00:00,1435,6735,6293,388,28,15,11,48,0,1169,134,6770
543270,لاکان - رشت,1397/12/29 00:00:00,1398/01/01 00:00:00,1440,4764,4557,178,14,9,6,51,1,547,104,4764
543270,لاکان - رشت,1401/12/01 00:00:00,1401/12/02 00:00:00,1405,10391,9536,788,28,18,21,38,6,217,854,10402
543270,لاکان - رشت,1401/12/02 00:00:00,1401/12/03 00:00:00,1435,10397,9486,836,27,22,26,38,7,236,817,10440
543270,لاکان - رشت,1401/12/03 00:05:00,1401/12/04 00:00:00,1430,10667,9700,866,43,19,39,38,2,279,860,10699
543270,لاکان - رشت,1401/12/04 00:00:00,1401/12/05 00:00:00,1435,9876,9092,707,32,19,26,38,2,217,789,9916
543270,لاکان - رشت,1401/12/05 00:00:00,1401/12/06 00:00:00,1365,5505,5198,265,17,4,21,41,6,68,616,5909
543270,لاکان - رشت,1401/12/06 00:00:00,1401/12/07 00:00:00,1320,9104,8358,686,19,18,23,38,4,199,786,10038
543270,لاکان - رشت,1401/12/07 00:00:00,1401/12/08 00:00:00,1430,10140,9177,874,37,19,33,38,3,233,807,10282
543270,لاکان - رشت,1401/12/08 00:00:00,1401/12/09 00:00:00,1255,9503,8575,848,35,15,30,37,3,255,692,10848
543270,لاکان - رشت,1401/12/09 00:00:00,1401/12/10 00:00:00,1390,10014,9126,808,29,19,32,37,3,242,750,10678
543270,لاکان - رشت,1401/12/10 00:00:00,1401/12/11 00:00:00,1400,10660,9721,855,28,18,38,37,2,252,696,10950
543270,لاکان - رشت,1401/12/11 00:00:00,1401/12/12 00:00:00,1440,10449,9548,812,31,18,40,37,2,241,642,10449
