Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Estimated Number,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations
543102,لنگرود - رودسر,1397/12/01 00:00:00,1397/12/02 00:00:00,1305.0,25176,24133,598,62,289,94,63.0,25597.0,98.0,6336.0,0.0
543102,لنگرود - رودسر,1397/12/02 00:00:00,1397/12/03 00:00:00,1440.0,27322,26251,603,59,305,104,63.0,27322.0,207.0,7049.0,0.0
543102,لنگرود - رودسر,1397/12/03 00:00:00,1397/12/04 00:00:00,1440.0,24111,23197,457,61,299,97,64.0,24111.0,261.0,5837.0,0.0
543102,لنگرود - رودسر,1397/12/04 00:00:00,1397/12/05 00:00:00,1440.0,22549,21548,551,73,267,110,65.0,22549.0,288.0,4822.0,0.0
543102,لنگرود - رودسر,1397/12/05 00:00:00,1397/12/06 00:00:00,1440.0,22060,20979,626,55,285,115,65.0,22060.0,263.0,4500.0,0.0
543102,لنگرود - رودسر,1397/12/06 00:00:00,1397/12/07 00:00:00,1440.0,21953,20833,634,53,316,117,65.0,21953.0,252.0,4376.0,0.0
543102,لنگرود - رودسر,1397/12/07 00:00:00,1397/12/08 00:00:00,1440.0,20213,19117,617,76,292,111,64.0,20213.0,255.0,3838.0,0.0
543102,لنگرود - رودسر,1397/12/08 00:00:00,1397/12/09 00:00:00,1440.0,18796,17730,616,55,279,116,64.0,18796.0,313.0,3576.0,0.0
543102,لنگرود - رودسر,1397/12/09 00:00:00,1397/12/10 00:00:00,1440.0,24442,23424,614,69,247,88,65.0,24442.0,227.0,5457.0,0.0
543102,لنگرود - رودسر,1397/12/10 00:00:00,1397/12/11 00:00:00,1440.0,22377,21503,483,51,247,93,65.0,22377.0,258.0,5111.0,0.0
543102,لنگرود - رودسر,1397/12/11 00:00:00,1397/12/12 00:00:00,1440.0,23138,22187,554,56,251,90,65.0,23138.0,265.0,5080.0,0.0
543102,لنگرود - رودسر,1397/12/12 00:00:00,1397/12/13 00:00:00,1440.0,22014,20793,730,67,313,111,65.0,22014.0,307.0,4523.0,0.0
543102,لنگرود - رودسر,1397/12/13 00:00:00,1397/12/14 00:00:00,1435.0,21662,20492,673,54,300,143,64.0,21772.0,179.0,4318.0,0.0
543102,لنگرود - رودسر,1397/12/14 00:00:00,1397/12/15 00:00:00,1440.0,21116,19853,712,81,332,138,65.0,21116.0,269.0,4216.0,0.0
543102,لنگرود - رودسر,1397/12/15 00:00:00,1397/12/16 00:00:00,1440.0,23253,21981,733,80,322,137,65.0,23253.0,252.0,5223.0,0.0
543102,لنگرود - رودسر,1397/12/16 00:00:00,1397/12/17 00:00:00,1435.0,24953,23795,696,79,281,102,64.0,24972.0,194.0,5795.0,0.0
543102,لنگرود - رودسر,1397/12/17 00:00:00,1397/12/18 00:00:00,1440.0,17842,16918,529,46,259,90,59.0,17842.0,44.0,3277.0,0.0
543102,لنگرود - رودسر,1397/12/18 00:00:00,1397/12/19 00:00:00,1440.0,24929,23927,550,68,286,98,64.0,24929.0,195.0,5966.0,0.0
