Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Estimated Number,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations
544552,لنگرود - لاهيجان,1397/12/01 00:00:00,1397/12/02 00:00:00,1300.0,34495,32322,980,574,187,432,72.0,35136.0,26.0,12872.0,0.0
544552,لنگرود - لاهيجان,1397/12/02 00:00:00,1397/12/03 00:00:00,1440.0,37349,35031,1137,609,165,407,72.0,37349.0,24.0,14255.0,0.0
544552,لنگرود - لاهيجان,1397/12/03 00:00:00,1397/12/04 00:00:00,1440.0,38409,36409,882,519,214,385,65.0,38409.0,31.0,16156.0,0.0
544552,لنگرود - لاهيجان,1397/12/04 00:00:00,1397/12/05 00:00:00,1430.0,35285,33106,1036,569,182,392,73.0,35473.0,35.0,12397.0,0.0
544552,لنگرود - لاهيجان,1397/12/05 00:00:00,1397/12/06 00:00:00,1440.0,34451,32151,1108,608,197,387,73.0,34451.0,29.0,12207.0,0.0
544552,لنگرود - لاهيجان,1397/12/06 00:00:00,1397/12/07 00:00:00,1440.0,34942,32602,1125,594,174,447,72.0,34942.0,30.0,12521.0,0.0
544552,لنگرود - لاهيجان,1397/12/07 00:00:00,1397/12/08 00:00:00,1440.0,35573,33152,1158,657,192,414,74.0,35573.0,30.0,12875.0,0.0
544552,لنگرود - لاهيجان,1397/12/08 00:00:00,1397/12/09 00:00:00,1440.0,35976,33546,1173,666,166,425,70.0,35976.0,23.0,13164.0,0.0
544552,لنگرود - لاهيجان,1397/12/09 00:00:00,1397/12/10 00:00:00,1440.0,36658,34446,1071,576,152,413,70.0,36658.0,24.0,13532.0,0.0
544552,لنگرود - لاهيجان,1397/12/10 00:00:00,1397/12/11 00:00:00,1440.0,38281,36473,794,490,200,324,68.0,38281.0,30.0,16797.0,0.0
544552,لنگرود - لاهيجان,1397/12/11 00:00:00,1397/12/12 00:00:00,1440.0,36212,33934,1100,599,184,395,74.0,36212.0,43.0,13142.0,0.0
544552,لنگرود - لاهيجان,1397/12/12 00:00:00,1397/12/13 00:00:00,1440.0,35103,32463,1253,766,177,444,73.0,35103.0,34.0,12561.0,0.0
544552,لنگرود - لاهيجان,1397/12/13 00:00:00,1397/12/14 00:00:00,1440.0,35071,32569,1172,708,185,437,73.0,35071.0,33.0,12478.0,0.0
544552,لنگرود - لاهيجان,1397/12/14 00:00:00,1397/12/15 00:00:00,1440.0,34656,32093,1244,671,193,455,73.0,34656.0,30.0,12242.0,0.0
544552,لنگرود - لاهيجان,1397/12/15 00:00:00,1397/12/16 00:00:00,1440.0,36308,33739,1171,738,212,448,73.0,36308.0,45.0,13194.0,0.0
544552,لنگرود - لاهيجان,1397/12/16 00:00:00,1397/12/17 00:00:00,1435.0,37147,34662,1218,646,181,440,71.0,37370.0,29.0,13956.0,0.0
544552,لنگرود - لاهيجان,1397/12/17 00:00:00,1397/12/18 00:00:00,1430.0,34034,32300,719,509,160,346,65.0,34294.0,17.0,12350.0,0.0
544552,لنگرود - لاهيجان,1397/12/18 00:00:00,1397/12/19 00:00:00,1440.0,36122,33905,1098,596,156,367,74.0,36122.0,33.0,13066.0,0.0
544552,لنگرود - لاهيجان,1397/12/19 00:00:00,1397/12/20 00:00:00,1440.0,34986,32627,1178,613,157,411,74.0,34986.0,32.0,12709.0,0.0
544552,لنگرود - لاهيجان,1397/12/20 00:00:00,1397/12/21 00:00:00,1410.0,34470,31934,1226,674,196,440,74.0,35431.0,35.0,12613.0,0.0
544552,لنگرود - لاهيجان,1397/12/21 00:00:00,1397/12/22 00:00:00,865.0,27333,25245,999,604,150,335,73.0,35772.0,28.0,10472.0,0.0
544552,لنگرود - لاهيجان,1397/12/22 00:00:00,1397/12/23 00:00:00,1435.0,38040,35150,1387,797,255,451,73.0,38246.0,49.0,14666.0,0.0
