Road Code,Road Name,Start Time,End Time,Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations,Estimated Number,Length of Operation (minutes)
543502,لوشان - قزوين (جاده قديم),1396/01/01 00:00:00,1396/01/02 00:00:00,1419,1230,105,34,7,43,69.19,169.0,21.0,0.0,1499.0,1275.0
543502,لوشان - قزوين (جاده قديم),1396/01/02 00:00:00,1396/01/03 00:00:00,1826,1457,209,77,19,64,69.69,224.0,37.0,0.0,1878.0,1310.0
543502,لوشان - قزوين (جاده قديم),1396/01/03 00:00:00,1396/01/04 00:00:00,1931,1518,213,101,21,78,66.49,108.0,40.0,0.0,2001.0,1355.0
543502,لوشان - قزوين (جاده قديم),1396/01/04 00:00:00,1396/01/05 00:00:00,2578,2090,266,113,32,77,70.34,242.0,68.0,0.0,2658.0,1360.0
543502,لوشان - قزوين (جاده قديم),1396/01/05 00:00:00,1396/01/06 00:00:00,2645,1977,358,163,39,108,72.09,304.0,69.0,0.0,2719.0,1380.0
543502,لوشان - قزوين (جاده قديم),1396/01/06 00:00:00,1396/01/07 00:00:00,2951,2024,490,237,51,149,70.25,274.0,63.0,0.0,3017.0,1405.0
543502,لوشان - قزوين (جاده قديم),1396/01/07 00:00:00,1396/01/08 00:00:00,3058,2032,498,252,52,224,69.71,270.0,90.0,0.0,3137.0,1395.0
543502,لوشان - قزوين (جاده قديم),1396/01/08 00:00:00,1396/01/09 00:00:00,3130,1990,568,300,66,206,69.18,247.0,71.0,0.0,3219.0,1395.0
543502,لوشان - قزوين (جاده قديم),1396/01/09 00:00:00,1396/01/10 00:00:00,3334,2125,548,328,63,270,69.22,299.0,84.0,0.0,3420.0,1395.0
543502,لوشان - قزوين (جاده قديم),1396/01/10 00:00:00,1396/01/11 00:00:00,3364,2401,452,229,62,220,68.79,277.0,92.0,0.0,3449.0,1400.0
543502,لوشان - قزوين (جاده قديم),1396/01/11 00:00:00,1396/01/12 00:00:00,4086,3443,349,160,36,98,71.85,392.0,168.0,0.0,4132.0,1410.0
543502,لوشان - قزوين (جاده قديم),1396/01/12 00:00:00,1396/01/13 00:00:00,4373,3662,365,192,42,112,71.63,413.0,153.0,0.0,4454.0,1410.0
543502,لوشان - قزوين (جاده قديم),1396/01/13 00:00:00,1396/01/14 00:00:00,3180,2856,188,71,21,44,69.77,191.0,154.0,0.0,3322.0,1360.0
543502,لوشان - قزوين (جاده قديم),1396/01/14 00:00:00,1396/01/15 00:00:00,3251,2603,338,166,32,112,73.05,329.0,94.0,0.0,3335.0,1360.0
543502,لوشان - قزوين (جاده قديم),1396/01/15 00:00:00,1396/01/16 00:00:00,3285,1642,645,450,99,449,68.24,234.0,77.0,0.0,3347.0,1410.0
543502,لوشان - قزوين (جاده قديم),1396/01/16 00:00:00,1396/01/17 00:00:00,3322,1493,720,472,134,503,66.24,209.0,65.0,0.0,3369.0,1415.0
543502,لوشان - قزوين (جاده قديم),1396/01/17 00:00:00,1396/01/18 00:00:00,2991,1325,694,401,112,459,65.8,164.0,69.0,0.0,3039.0,1420.0
543502,لوشان - قزوين (جاده قديم),1396/01/18 00:00:00,1396/01/19 00:00:00,2830,1470,602,308,87,363,64.78,173.0,56.0,0.0,2883.0,1415.0
543502,لوشان - قزوين (جاده قديم),1396/01/19 00:00:00,1396/01/20 00:00:00,3250,1427,700,473,127,523,65.98,225.0,77.0,0.0,3298.0,1410.0
543502,لوشان - قزوين (جاده قديم),1396/01/20 00:00:00,1396/01/21 00:00:00,3700,1471,839,580,156,654,64.78,222.0,96.0,0.0,3758.0,1415.0
543502,لوشان - قزوين (جاده قديم),1396/01/21 00:00:00,1396/01/22 00:00:00,3418,1410,755,526,151,576,65.46,231.0,85.0,0.0,3468.0,1420.0
543502,لوشان - قزوين (جاده قديم),1396/01/22 00:00:00,1396/01/23 00:00:00,3094,1433,700,484,97,380,66.98,215.0,68.0,0.0,3145.0,1415.0
543502,لوشان - قزوين (جاده قديم),1396/01/23 00:00:00,1396/01/24 00:00:00,3277,1403,742,488,134,510,65.18,195.0,59.0,0.0,3331.0,1410.0
543502,لوشان - قزوين (جاده قديم),1396/01/24 00:00:00,1396/01/25 00:00:00,3441,1467,736,520,117,601,65.46,202.0,82.0,0.0,3490.0,1420.0
543502,لوشان - قزوين (جاده قديم),1396/01/25 00:00:00,1396/01/26 00:00:00,2982,1547,514,332,135,454,65.31,202.0,63.0,0.0,3016.0,1420.0
543502,لوشان - قزوين (جاده قديم),1396/01/26 00:00:00,1396/01/27 00:00:00,3606,1552,781,516,145,612,66.1,227.0,81.0,0.0,3654.0,1415.0
543502,لوشان - قزوين (جاده قديم),1396/01/27 00:00:00,1396/01/28 00:00:00,3673,1487,822,529,144,691,64.85,224.0,102.0,0.0,3721.0,1415.0
543502,لوشان - قزوين (جاده قديم),1396/01/28 00:00:00,1396/01/29 00:00:00,3929,1577,884,547,135,786,64.37,240.0,117.0,0.0,3980.0,1420.0
543502,لوشان - قزوين (جاده قديم),1396/01/29 00:00:00,1396/01/30 00:00:00,3989,1659,871,552,162,745,64.3,238.0,104.0,0.0,4039.0,1420.0
543502,لوشان - قزوين (جاده قديم),1396/01/30 00:00:00,1396/01/31 00:00:00,3850,1579,839,600,157,675,64.43,230.0,97.0,0.0,3909.0,1415.0
543502,لوشان - قزوين (جاده قديم),1396/01/31 00:00:00,1396/02/01 00:00:00,3635,1690,733,499,154,559,64.29,199.0,99.0,0.0,3635.0,1440.0
543502,لوشان - قزوين (جاده قديم),1395/01/01 00:00:00,1395/01/02 02:00:00,1622,1366,155,62,24,15,70.56,213.0,27.0,0.0,,1470.0
543502,لوشان - قزوين (جاده قديم),1395/01/02 02:00:00,1395/01/03 00:00:00,1816,1527,181,80,24,4,70.85,156.0,34.0,0.0,,1320.0
543502,لوشان - قزوين (جاده قديم),1395/01/03 00:00:00,1395/01/04 00:00:00,2337,1946,228,123,39,1,72.49,216.0,43.0,0.0,,1440.0
543502,لوشان - قزوين (جاده قديم),1395/01/04 00:00:00,1395/01/05 00:00:00,2767,2248,312,149,55,3,74.22,328.0,67.0,0.0,,1410.0
543502,لوشان - قزوين (جاده قديم),1395/01/05 00:00:00,1395/01/06 00:00:00,2569,2109,269,123,67,1,72.7,253.0,63.0,0.0,,1440.0
543502,لوشان - قزوين (جاده قديم),1395/01/06 00:00:00,1395/01/07 00:00:00,2874,2439,260,133,39,3,72.18,212.0,89.0,0.0,,1440.0
