Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations,Estimated Number
543503,آزادراه رشت - قزوين (لوشان - مرز استان),1397/12/01 00:00:00,1397/12/02 00:00:00,1055,9805,9488,41,28,86,162,101,308,1064,0,10323
543503,آزادراه رشت - قزوين (لوشان - مرز استان),1397/12/02 00:00:00,1397/12/03 00:00:00,1200,11308,10923,47,25,115,198,101,321,1272,0,11480
543503,آزادراه رشت - قزوين (لوشان - مرز استان),1397/12/03 00:00:00,1397/12/04 00:00:00,1175,21819,21354,85,41,114,225,103,590,6059,0,22151
543503,آزادراه رشت - قزوين (لوشان - مرز استان),1397/12/04 00:00:00,1397/12/05 00:00:00,1240,14120,13642,72,31,136,239,102,501,1888,0,14245
543503,آزادراه رشت - قزوين (لوشان - مرز استان),1397/12/05 00:00:00,1397/12/06 00:00:00,1255,10721,10292,51,34,130,214,101,330,1075,0,10986
543503,آزادراه رشت - قزوين (لوشان - مرز استان),1397/12/06 00:00:00,1397/12/07 00:00:00,1150,9600,9185,44,34,133,204,101,326,882,0,10099
543503,آزادراه رشت - قزوين (لوشان - مرز استان),1397/12/07 00:00:00,1397/12/08 00:00:00,1195,10136,9748,47,43,107,191,101,338,1010,0,10420
543503,آزادراه رشت - قزوين (لوشان - مرز استان),1397/12/08 00:00:00,1397/12/08 22:45:00,1125,10135,9701,53,32,117,232,100,280,1153,0,10875
543503,آزادراه رشت - قزوين (لوشان - مرز استان),1397/12/09 08:10:00,1397/12/09 22:35:00,865,9170,8894,39,26,74,137,101,218,1163,0,10556
543503,آزادراه رشت - قزوين (لوشان - مرز استان),1397/12/10 08:50:00,1397/12/10 23:10:00,860,19480,19110,84,33,68,185,103,398,5689,0,21215
543503,آزادراه رشت - قزوين (لوشان - مرز استان),1397/12/11 07:00:00,1397/12/12 00:00:00,1020,11465,11164,50,24,87,140,102,305,1476,0,13057
543503,آزادراه رشت - قزوين (لوشان - مرز استان),1397/12/12 00:00:00,1397/12/13 00:00:00,1355,10804,10368,56,32,131,217,101,334,1202,0,10900
543503,آزادراه رشت - قزوين (لوشان - مرز استان),1397/12/13 00:00:00,1397/12/14 00:00:00,1285,10014,9584,62,35,130,203,103,443,944,0,10471
543503,آزادراه رشت - قزوين (لوشان - مرز استان),1397/12/14 00:00:00,1397/12/15 00:00:00,1240,10153,9725,66,36,122,204,102,358,910,0,10382
543503,آزادراه رشت - قزوين (لوشان - مرز استان),1397/12/15 00:00:00,1397/12/16 00:00:00,1375,11465,10979,71,41,158,216,103,419,1250,0,11479
543503,آزادراه رشت - قزوين (لوشان - مرز استان),1397/12/16 00:00:00,1397/12/17 00:00:00,1380,12408,11937,61,43,140,227,103,422,1436,0,12759
543503,آزادراه رشت - قزوين (لوشان - مرز استان),1397/12/17 00:00:00,1397/12/17 17:20:00,945,12794,12440,47,27,105,175,103,255,3112,0,23066
543503,آزادراه رشت - قزوين (لوشان - مرز استان),1397/12/18 07:40:00,1397/12/19 00:00:00,980,10911,10615,49,30,74,143,104,381,1308,0,13805
543503,آزادراه رشت - قزوين (لوشان - مرز استان),1397/12/19 00:00:00,1397/12/20 00:00:00,1350,10822,10346,59,51,135,231,103,481,1037,0,11093
543503,آزادراه رشت - قزوين (لوشان - مرز استان),1397/12/20 00:00:00,1397/12/21 00:00:00,1385,10381,9980,46,36,116,203,103,457,941,0,10742
543503,آزادراه رشت - قزوين (لوشان - مرز استان),1397/12/21 00:00:00,1397/12/22 00:00:00,995,9400,9051,43,30,93,183,103,361,945,0,11956
