Road Code,Road Name,Start Time,End Time,Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations,Estimated Number,Length of Operation (minutes)
543656,لوشان - منجيل (جاده قديم),1396/01/01 00:00:00,1396/01/02 00:00:00,3920,2954,395,188,186,197,66.46,620.0,990.0,1611.0,3954.0,1420.0
543656,لوشان - منجيل (جاده قديم),1396/01/02 00:00:00,1396/01/03 00:00:00,3600,2577,405,189,208,221,63.77,488.0,521.0,1453.0,3735.0,1350.0
543656,لوشان - منجيل (جاده قديم),1396/01/03 00:00:00,1396/01/04 00:00:00,2912,2081,423,135,141,132,66.88,470.0,277.0,1138.0,2927.0,1430.0
543656,لوشان - منجيل (جاده قديم),1396/01/04 00:00:00,1396/01/05 00:00:00,3090,2276,404,169,117,124,66.6,426.0,479.0,1155.0,3144.0,1385.0
543656,لوشان - منجيل (جاده قديم),1396/01/05 00:00:00,1396/01/06 00:00:00,3455,2225,487,229,214,300,60.58,397.0,273.0,1350.0,3492.0,1420.0
543656,لوشان - منجيل (جاده قديم),1396/01/06 00:00:00,1396/01/07 00:00:00,4067,2744,510,250,235,328,62.31,546.0,561.0,1560.0,4108.0,1410.0
543656,لوشان - منجيل (جاده قديم),1396/01/07 00:00:00,1396/01/08 00:00:00,5218,3728,563,291,287,349,64.23,782.0,1236.0,2002.0,5282.0,1420.0
543656,لوشان - منجيل (جاده قديم),1396/01/08 00:00:00,1396/01/09 00:00:00,6343,4514,762,364,302,401,65.16,901.0,1619.0,2423.0,6373.0,1430.0
543656,لوشان - منجيل (جاده قديم),1396/01/09 00:00:00,1396/01/10 00:00:00,5990,4374,710,311,234,361,65.98,945.0,1717.0,2173.0,6152.0,1405.0
543656,لوشان - منجيل (جاده قديم),1396/01/10 00:00:00,1396/01/11 00:00:00,4552,3110,563,274,253,352,61.39,569.0,746.0,1702.0,4559.0,1435.0
543656,لوشان - منجيل (جاده قديم),1396/01/11 00:00:00,1396/01/12 00:00:00,4671,3300,516,270,236,349,64.63,700.0,884.0,1752.0,4698.0,1430.0
543656,لوشان - منجيل (جاده قديم),1396/01/12 00:00:00,1396/01/13 00:00:00,5064,3814,487,260,199,304,66.68,806.0,1330.0,1856.0,5127.0,1420.0
543656,لوشان - منجيل (جاده قديم),1396/01/13 00:00:00,1396/01/14 00:00:00,3741,2621,418,217,198,287,62.02,391.0,461.0,1391.0,3799.0,1355.0
543656,لوشان - منجيل (جاده قديم),1396/01/14 00:00:00,1396/01/15 00:00:00,4322,3246,458,186,201,231,67.23,684.0,794.0,1522.0,5204.0,1360.0
543656,لوشان - منجيل (جاده قديم),1396/01/15 00:00:00,1396/01/16 00:00:00,5560,4025,663,296,259,317,66.02,919.0,1266.0,1957.0,5650.0,1415.0
543656,لوشان - منجيل (جاده قديم),1396/01/16 00:00:00,1396/01/17 00:00:00,4807,3265,626,316,271,329,61.6,633.0,857.0,1746.0,4842.0,1425.0
543656,لوشان - منجيل (جاده قديم),1396/01/17 00:00:00,1396/01/18 00:00:00,4294,2840,490,288,284,392,63.58,617.0,833.0,1783.0,6460.0,875.0
543656,لوشان - منجيل (جاده قديم),1396/01/18 00:00:00,1396/01/18 12:20:00,469,307,67,31,25,39,55.97,40.0,59.0,112.0,5453.0,345.0
543656,لوشان - منجيل (جاده قديم),1396/01/19 05:10:00,1396/01/20 00:00:00,3591,2481,438,222,206,244,59.46,340.0,561.0,1073.0,5193.0,1070.0
543656,لوشان - منجيل (جاده قديم),1396/01/20 00:00:00,1396/01/21 00:00:00,3833,2598,464,262,197,312,60.34,420.0,580.0,1312.0,5536.0,1065.0
543656,لوشان - منجيل (جاده قديم),1396/01/21 00:00:00,1396/01/21 19:25:00,2212,1484,299,117,136,176,57.97,219.0,361.0,707.0,3733.0,775.0
543656,لوشان - منجيل (جاده قديم),1396/01/22 06:30:00,1396/01/23 00:00:00,2339,1479,326,169,155,210,59.49,248.0,324.0,801.0,4977.0,945.0
543656,لوشان - منجيل (جاده قديم),1396/01/23 00:00:00,1396/01/24 00:00:00,1225,836,198,67,46,78,43.6,2.0,14.0,27.0,3453.0,1010.0
543656,لوشان - منجيل (جاده قديم),1396/01/24 00:00:00,1396/01/24 12:20:00,1251,809,189,77,69,107,57.22,99.0,224.0,294.0,3587.0,655.0
543656,لوشان - منجيل (جاده قديم),1396/01/28 13:45:00,1396/01/28 15:10:00,182,99,38,20,8,17,57.06,18.0,23.0,56.0,4100.0,65.0
543656,لوشان - منجيل (جاده قديم),1396/01/31 15:30:00,1396/02/01 00:00:00,2034,1391,256,130,115,142,61.91,244.0,221.0,792.0,4321.0,510.0
543656,لوشان - منجيل (جاده قديم),1395/01/01 00:00:00,1395/01/02 02:00:00,2029,1723,180,98,28,0,53.29,8.0,54.0,20.0,,1485.0
543656,لوشان - منجيل (جاده قديم),1395/01/02 02:00:00,1395/01/03 00:00:00,3247,2913,183,116,31,4,56.07,20.0,346.0,35.0,,1305.0
543656,لوشان - منجيل (جاده قديم),1395/01/03 00:00:00,1395/01/04 00:00:00,2511,2130,220,120,37,4,53.5,3.0,90.0,14.0,,1440.0
543656,لوشان - منجيل (جاده قديم),1395/01/04 00:00:00,1395/01/05 00:00:00,2459,1992,254,151,52,10,53.95,16.0,89.0,52.0,,1440.0
543656,لوشان - منجيل (جاده قديم),1395/01/05 00:00:00,1395/01/06 00:00:00,2519,2077,246,148,46,2,53.76,7.0,91.0,42.0,,1440.0
543656,لوشان - منجيل (جاده قديم),1395/01/06 00:00:00,1395/01/07 00:00:00,2282,1807,249,139,79,8,53.43,8.0,80.0,43.0,,1440.0
543656,لوشان - منجيل (جاده قديم),1395/01/07 00:00:00,1395/01/08 00:00:00,3254,2176,490,311,183,94,51.16,18.0,164.0,79.0,,1440.0
543656,لوشان - منجيل (جاده قديم),1395/01/08 00:00:00,1395/01/09 00:00:00,2204,1365,324,282,174,59,48.54,11.0,70.0,63.0,,1335.0
543656,لوشان - منجيل (جاده قديم),1395/01/09 00:00:00,1395/01/10 00:00:00,2786,1713,406,314,277,76,48.16,13.0,83.0,76.0,,1440.0
543656,لوشان - منجيل (جاده قديم),1395/01/10 00:00:00,1395/01/11 00:00:00,2939,1855,417,337,227,103,48.91,11.0,102.0,94.0,,1440.0
543656,لوشان - منجيل (جاده قديم),1395/01/11 00:00:00,1395/01/12 00:00:00,2982,1912,411,405,225,29,49.51,8.0,95.0,56.0,,1440.0
543656,لوشان - منجيل (جاده قديم),1395/01/12 00:00:00,1395/01/13 00:00:00,2226,1723,215,178,96,14,51.54,3.0,68.0,21.0,,1440.0
543656,لوشان - منجيل (جاده قديم),1395/01/13 00:00:00,1395/01/14 00:00:00,2277,2059,135,60,20,3,51.95,3.0,121.0,19.0,,1410.0
543656,لوشان - منجيل (جاده قديم),1395/01/14 00:00:00,1395/01/15 00:00:00,2395,1678,329,238,116,34,51.05,2.0,66.0,52.0,,1440.0
543656,لوشان - منجيل (جاده قديم),1395/01/15 00:00:00,1395/01/16 00:00:00,3340,1792,558,555,277,158,46.44,15.0,98.0,103.0,,1440.0
543656,لوشان - منجيل (جاده قديم),1395/01/16 00:00:00,1395/01/17 00:00:00,3429,1804,620,571,245,189,46.86,16.0,85.0,91.0,,1440.0
543656,لوشان - منجيل (جاده قديم),1395/01/17 00:00:00,1395/01/18 00:00:00,3779,1876,717,662,310,214,46.1,11.0,114.0,109.0,,1440.0
543656,لوشان - منجيل (جاده قديم),1395/01/18 00:00:00,1395/01/19 00:00:00,3896,1846,757,705,330,258,45.84,14.0,94.0,126.0,,1440.0
543656,لوشان - منجيل (جاده قديم),1395/01/19 00:00:00,1395/01/20 00:00:00,3424,1817,626,495,287,199,46.47,16.0,85.0,113.0,,1440.0
543656,لوشان - منجيل (جاده قديم),1395/01/20 00:00:00,1395/01/21 00:00:00,2830,1346,479,475,324,206,46.03,17.0,60.0,125.0,,1440.0
543656,لوشان - منجيل (جاده قديم),1395/01/21 00:00:00,1395/01/22 00:00:00,3531,1763,620,606,348,194,46.18,16.0,80.0,159.0,,1440.0
543656,لوشان - منجيل (جاده قديم),1395/01/22 00:00:00,1395/01/23 00:00:00,4162,1904,870,745,342,301,45.86,23.0,96.0,206.0,,1440.0
543656,لوشان - منجيل (جاده قديم),1395/01/23 00:00:00,1395/01/24 00:00:00,4418,2032,845,816,365,360,45.39,28.0,106.0,203.0,,1440.0
543656,لوشان - منجيل (جاده قديم),1395/01/24 00:00:00,1395/01/25 00:00:00,4480,2075,847,768,416,374,45.32,22.0,115.0,210.0,,1440.0
543656,لوشان - منجيل (جاده قديم),1395/01/25 00:00:00,1395/01/26 00:00:00,4466,2112,862,700,415,377,44.26,17.0,115.0,236.0,,1440.0
543656,لوشان - منجيل (جاده قديم),1395/01/26 00:00:00,1395/01/27 00:00:00,4032,2100,641,554,381,356,45.5,10.0,99.0,212.0,,1440.0
543656,لوشان - منجيل (جاده قديم),1395/01/27 00:00:00,1395/01/28 00:00:00,2935,1454,459,441,303,278,45.12,15.0,52.0,177.0,,1440.0
543656,لوشان - منجيل (جاده قديم),1395/01/28 00:00:00,1395/01/29 00:00:00,4112,2096,711,538,359,408,45.25,19.0,117.0,221.0,,1440.0
543656,لوشان - منجيل (جاده قديم),1395/01/29 00:00:00,1395/01/30 00:00:00,4420,2067,811,713,431,398,44.81,14.0,126.0,188.0,,1440.0
543656,لوشان - منجيل (جاده قديم),1395/01/30 00:00:00,1395/01/31 00:00:00,4430,2012,829,805,358,426,45.02,16.0,118.0,191.0,,1440.0
543656,لوشان - منجيل (جاده قديم),1395/01/31 00:00:00,1395/02/01 00:00:00,4117,1830,758,751,441,337,44.39,23.0,115.0,153.0,,1440.0
543656,لوشان - منجيل (جاده قديم),1395/12/01 00:00:00,1395/12/02 00:00:00,1813,1148,271,97,78,219,50.72,67.0,58.0,206.0,2168.0,1305.0
543656,لوشان - منجيل (جاده قديم),1395/12/02 00:00:00,1395/12/03 00:00:00,2584,1527,366,187,165,339,52.33,106.0,136.0,355.0,2641.0,1380.0
543656,لوشان - منجيل (جاده قديم),1395/12/03 00:00:00,1395/12/04 00:00:00,2515,1392,367,151,160,445,51.49,86.0,97.0,360.0,2613.0,1390.0
543656,لوشان - منجيل (جاده قديم),1395/12/04 00:00:00,1395/12/05 00:00:00,2732,1481,388,205,159,499,51.82,112.0,137.0,551.0,2736.0,1435.0
543656,لوشان - منجيل (جاده قديم),1395/12/05 00:00:00,1395/12/06 00:00:00,2027,1118,287,125,126,371,47.44,60.0,94.0,498.0,2044.0,1420.0
543656,لوشان - منجيل (جاده قديم),1395/12/06 00:00:00,1395/12/06 18:20:00,1227,607,196,80,75,269,49.11,26.0,41.0,216.0,1946.0,1000.0
543656,لوشان - منجيل (جاده قديم),1395/12/07 00:25:00,1395/12/07 18:20:00,1894,1070,295,96,90,343,49.92,42.0,84.0,321.0,2222.0,970.0
543656,لوشان - منجيل (جاده قديم),1395/12/08 00:25:00,1395/12/09 00:00:00,1508,848,207,108,90,255,46.72,37.0,74.0,230.0,2678.0,1000.0
543656,لوشان - منجيل (جاده قديم),1395/12/09 00:05:00,1395/12/10 00:00:00,1182,712,158,86,74,152,44.76,23.0,38.0,221.0,1820.0,990.0
543656,لوشان - منجيل (جاده قديم),1395/12/10 00:10:00,1395/12/11 00:00:00,1100,610,188,65,64,173,44.33,18.0,12.0,234.0,1765.0,990.0
543656,لوشان - منجيل (جاده قديم),1395/12/11 00:00:00,1395/12/12 00:00:00,2073,1162,305,115,132,359,46.88,54.0,62.0,485.0,2126.0,1370.0
543656,لوشان - منجيل (جاده قديم),1395/12/12 00:00:00,1395/12/13 00:00:00,1585,853,231,106,107,288,46.16,45.0,63.0,382.0,1943.0,1365.0
