Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations,Estimated Number
544357,ماسوله - فومن,1401/12/01 00:00:00,1401/12/02 00:00:00,965,977,965,12,0,0,0,63,49,2,67,1065
544357,ماسوله - فومن,1401/12/02 00:00:00,1401/12/03 00:00:00,1435,929,910,19,0,0,0,61,33,4,49,932
544357,ماسوله - فومن,1401/12/03 00:00:00,1401/12/04 00:00:00,1440,1079,1060,19,0,0,0,61,54,8,51,1079
544357,ماسوله - فومن,1401/12/04 00:00:00,1401/12/05 00:00:00,1440,1124,1110,11,1,1,1,58,30,7,53,1124
544357,ماسوله - فومن,1401/12/05 00:00:00,1401/12/06 00:00:00,1395,2619,2600,18,0,1,0,54,33,29,146,2653
544357,ماسوله - فومن,1401/12/06 00:00:00,1401/12/07 00:00:00,1415,993,968,23,2,0,0,62,50,5,91,1005
544357,ماسوله - فومن,1401/12/07 00:00:00,1401/12/08 00:00:00,1440,881,862,18,1,0,0,63,46,3,68,881
544357,ماسوله - فومن,1401/12/08 00:00:00,1401/12/09 00:00:00,1145,657,645,12,0,0,0,63,37,1,38,852
544357,ماسوله - فومن,1401/12/09 00:00:00,1401/12/10 00:00:00,1425,954,933,21,0,0,0,62,44,6,71,980
544357,ماسوله - فومن,1401/12/10 00:00:00,1401/12/11 00:00:00,1405,985,962,20,1,0,2,62,37,6,77,992
544357,ماسوله - فومن,1401/12/11 00:00:00,1401/12/12 00:00:00,1440,1175,1159,16,0,0,0,61,49,7,82,1187
544357,ماسوله - فومن,1401/12/12 00:00:00,1401/12/13 00:00:00,1395,2468,2452,14,1,0,1,59,66,34,101,2569
544357,ماسوله - فومن,1401/12/13 00:00:00,1401/12/14 00:00:00,1435,1003,989,14,0,0,0,62,41,5,47,1007
544357,ماسوله - فومن,1401/12/14 00:00:00,1401/12/15 00:00:00,1390,932,917,13,2,0,0,62,47,5,51,972
544357,ماسوله - فومن,1401/12/15 00:00:00,1401/12/16 00:00:00,1420,963,948,15,0,0,0,63,57,7,56,990
544357,ماسوله - فومن,1401/12/16 00:00:00,1401/12/17 00:00:00,1440,894,881,12,1,0,0,59,33,1,67,894
544357,ماسوله - فومن,1401/12/17 00:00:00,1401/12/18 00:00:00,1430,1242,1230,12,0,0,0,57,23,8,47,1346
544357,ماسوله - فومن,1401/12/18 00:00:00,1401/12/19 00:00:00,1430,1479,1460,17,1,1,0,57,23,7,66,1488
544357,ماسوله - فومن,1401/12/19 00:00:00,1401/12/20 00:00:00,1400,2736,2708,22,3,1,2,60,84,56,148,2765
544357,ماسوله - فومن,1401/12/20 00:00:00,1401/12/21 00:00:00,1440,1141,1123,17,0,0,1,63,65,10,74,1141
544357,ماسوله - فومن,1401/12/21 00:00:00,1401/12/22 00:00:00,1360,1043,1007,34,1,0,1,61,38,9,54,1115
544357,ماسوله - فومن,1401/12/22 00:00:00,1401/12/23 00:00:00,1375,1063,1036,27,0,0,0,62,56,9,62,1100
544357,ماسوله - فومن,1401/12/23 00:00:00,1401/12/24 00:00:00,1410,1020,993,26,1,0,0,60,44,2,49,1043
544357,ماسوله - فومن,1401/12/24 00:00:00,1401/12/25 00:00:00,1390,1117,1091,26,0,0,0,59,32,7,65,1164
544357,ماسوله - فومن,1401/12/25 00:00:00,1401/12/26 00:00:00,1440,1261,1234,26,1,0,0,61,47,4,56,1261
544357,ماسوله - فومن,1401/12/26 00:00:00,1401/12/27 00:00:00,1435,2000,1978,22,0,0,0,59,47,19,98,2003
544357,ماسوله - فومن,1401/12/27 00:00:00,1401/12/28 00:00:00,1435,1710,1687,20,2,0,1,62,54,23,69,1724
544357,ماسوله - فومن,1401/12/28 00:00:00,1401/12/29 00:00:00,1135,1786,1769,16,1,0,0,57,43,20,63,1823
544357,ماسوله - فومن,1401/12/29 00:00:00,1402/01/01 00:00:00,1435,2159,2146,10,0,2,1,55,42,35,69,2162
544357,ماسوله - فومن,1401/01/13 09:10:00,1401/01/14 00:00:00,880,5312,4421,695,32,79,85,54,132,659,231,5463
544357,ماسوله - فومن,1401/01/14 00:00:00,1401/01/15 00:00:00,1430,2353,2131,150,22,50,0,60,72,105,45,2384
544357,ماسوله - فومن,1401/01/15 00:00:00,1401/01/16 00:00:00,1440,1857,1533,277,28,12,7,62,75,92,45,1857
544357,ماسوله - فومن,1401/01/16 00:00:00,1401/01/17 00:00:00,1440,1751,1466,257,4,11,13,63,64,98,38,1751
544357,ماسوله - فومن,1401/01/17 00:00:00,1401/01/18 00:00:00,1440,1812,1524,254,12,16,6,62,60,108,52,1812
544357,ماسوله - فومن,1401/01/18 00:00:00,1401/01/19 00:00:00,1440,1900,1879,20,0,1,0,55,18,34,57,1900
544357,ماسوله - فومن,1401/01/19 00:00:00,1401/01/20 00:00:00,1440,3582,3453,99,11,5,14,57,46,190,106,3582
544357,ماسوله - فومن,1401/01/20 00:00:00,1401/01/21 00:00:00,1440,1218,1194,24,0,0,0,55,8,15,26,1218
544357,ماسوله - فومن,1401/01/21 00:00:00,1401/01/22 00:00:00,1440,1561,1387,157,4,3,10,62,47,57,58,1561
544357,ماسوله - فومن,1401/01/22 00:00:00,1401/01/23 00:00:00,1420,1424,1398,26,0,0,0,62,67,14,93,1445
544357,ماسوله - فومن,1401/01/23 00:00:00,1401/01/24 00:00:00,1380,1527,1477,47,3,0,0,62,60,20,126,1541
544357,ماسوله - فومن,1401/01/24 00:00:00,1401/01/25 00:00:00,1440,1708,1664,43,1,0,0,61,58,20,110,1708
544357,ماسوله - فومن,1401/01/25 00:00:00,1401/01/26 00:00:00,1440,1923,1898,21,2,1,1,59,39,46,83,1923
544357,ماسوله - فومن,1401/01/26 00:00:00,1401/01/27 00:00:00,1440,4239,4188,42,6,2,1,58,85,218,238,4239
544357,ماسوله - فومن,1401/01/27 00:00:00,1401/01/27 09:35:00,575,251,245,6,0,0,0,61,7,1,24,2856
544357,ماسوله - فومن,1401/01/31 15:50:00,1401/02/01 00:00:00,480,783,778,4,1,0,0,60,18,10,34,1604
544357,ماسوله - فومن,1402/01/01 00:00:00,1402/01/02 00:00:00,1440,3271,3250,16,2,2,1,50,24,50,127,3271
544357,ماسوله - فومن,1402/01/02 01:05:00,1402/01/03 00:00:00,1365,4451,4419,19,8,4,1,47,15,71,165,4578
