Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Estimated Number,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations
543555,منجيل - رودبار,1397/12/01 00:00:00,1397/12/02 00:00:00,1280.0,12692,9715,1123,598,334,922,69.0,13730.0,4.0,2262.0,0.0
543555,منجيل - رودبار,1397/12/02 00:00:00,1397/12/03 00:00:00,1440.0,14742,11707,1230,572,348,885,70.0,14742.0,1.0,2615.0,0.0
543555,منجيل - رودبار,1397/12/03 00:00:00,1397/12/04 00:00:00,1440.0,11881,9317,865,518,332,849,70.0,11881.0,5.0,1699.0,0.0
543555,منجيل - رودبار,1397/12/04 00:00:00,1397/12/05 00:00:00,1440.0,11426,8489,1122,589,365,861,69.0,11426.0,7.0,1524.0,0.0
543555,منجيل - رودبار,1397/12/05 00:00:00,1397/12/06 00:00:00,1440.0,11349,7943,1366,699,358,983,68.0,11349.0,2.0,1470.0,0.0
543555,منجيل - رودبار,1397/12/06 00:00:00,1397/12/07 00:00:00,1440.0,11283,7872,1268,779,384,980,68.0,11283.0,7.0,1309.0,0.0
543555,منجيل - رودبار,1397/12/07 00:00:00,1397/12/08 00:00:00,1440.0,11877,8479,1320,726,379,973,69.0,11877.0,5.0,1628.0,0.0
543555,منجيل - رودبار,1397/12/08 00:00:00,1397/12/09 00:00:00,1440.0,13484,9904,1310,786,391,1093,68.0,13484.0,5.0,2236.0,0.0
543555,منجيل - رودبار,1397/12/09 00:00:00,1397/12/10 00:00:00,1440.0,14355,11162,1210,689,341,953,69.0,14355.0,5.0,2444.0,0.0
543555,منجيل - رودبار,1397/12/10 00:00:00,1397/12/11 00:00:00,1440.0,11415,8814,869,569,297,866,67.0,11415.0,5.0,1728.0,0.0
543555,منجيل - رودبار,1397/12/11 00:00:00,1397/12/12 00:00:00,1440.0,11324,8374,1086,530,381,953,69.0,11324.0,6.0,1528.0,0.0
543555,منجيل - رودبار,1397/12/12 00:00:00,1397/12/13 00:00:00,1440.0,11648,8079,1378,798,403,990,67.0,11648.0,2.0,1586.0,0.0
543555,منجيل - رودبار,1397/12/13 00:00:00,1397/12/14 00:00:00,1425.0,11551,7872,1410,809,386,1074,68.0,11674.0,6.0,1589.0,0.0
543555,منجيل - رودبار,1397/12/14 00:00:00,1397/12/15 00:00:00,1440.0,11791,8027,1396,822,400,1146,67.0,11791.0,3.0,1624.0,0.0
543555,منجيل - رودبار,1397/12/15 00:00:00,1397/12/16 00:00:00,1440.0,22126,17872,1668,960,451,1175,72.0,22126.0,27.0,5297.0,0.0
