Road Code,Road Name,Start Time,End Time,Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations,Estimated Number,Length of Operation (minutes)
543606,منجيل - لوشان ( جاده قديم),1396/01/01 00:00:00,1396/01/02 00:00:00,3064,2059,170,48,51,736,62.5,55.0,501.0,76.0,3082.0,1420.0
543606,منجيل - لوشان ( جاده قديم),1396/01/02 00:00:00,1396/01/03 00:00:00,3441,2339,292,68,31,711,62.6,77.0,436.0,114.0,3507.0,1375.0
543606,منجيل - لوشان ( جاده قديم),1396/01/03 00:00:00,1396/01/04 00:00:00,3589,2391,341,80,49,728,61.04,50.0,418.0,112.0,3620.0,1425.0
543606,منجيل - لوشان ( جاده قديم),1396/01/04 00:00:00,1396/01/05 00:00:00,3415,2558,318,104,42,393,59.02,85.0,285.0,109.0,3451.0,1410.0
543606,منجيل - لوشان ( جاده قديم),1396/01/05 00:00:00,1396/01/06 00:00:00,4361,3057,395,145,68,696,61.12,86.0,439.0,133.0,4401.0,1430.0
543606,منجيل - لوشان ( جاده قديم),1396/01/06 00:00:00,1396/01/07 00:00:00,4805,3169,572,172,103,789,60.82,143.0,516.0,129.0,4822.0,1430.0
543606,منجيل - لوشان ( جاده قديم),1396/01/07 00:00:00,1396/01/08 00:00:00,5285,3388,582,170,143,1002,61.33,123.0,723.0,136.0,5292.0,1435.0
543606,منجيل - لوشان ( جاده قديم),1396/01/08 00:00:00,1396/01/09 00:00:00,5386,3313,690,253,147,983,60.62,122.0,627.0,157.0,5386.0,1440.0
543606,منجيل - لوشان ( جاده قديم),1396/01/09 00:00:00,1396/01/10 00:00:00,5567,3444,796,250,122,955,60.04,128.0,523.0,181.0,5596.0,1430.0
543606,منجيل - لوشان ( جاده قديم),1396/01/10 00:00:00,1396/01/11 00:00:00,5379,3501,631,171,125,951,60.15,100.0,659.0,111.0,5401.0,1435.0
543606,منجيل - لوشان ( جاده قديم),1396/01/11 00:00:00,1396/01/12 00:00:00,5546,4064,375,129,61,917,63.06,166.0,714.0,115.0,5580.0,1425.0
543606,منجيل - لوشان ( جاده قديم),1396/01/12 00:00:00,1396/01/13 00:00:00,5314,3828,506,129,80,771,60.91,130.0,562.0,75.0,5327.0,1430.0
543606,منجيل - لوشان ( جاده قديم),1396/01/13 00:00:00,1396/01/14 00:00:00,4608,3630,294,59,27,598,57.5,31.0,470.0,53.0,4654.0,1425.0
543606,منجيل - لوشان ( جاده قديم),1396/01/14 00:00:00,1396/01/15 00:00:00,4194,2847,551,139,55,602,59.32,47.0,309.0,45.0,4240.0,1430.0
543606,منجيل - لوشان ( جاده قديم),1396/01/15 00:00:00,1396/01/16 00:00:00,4718,2493,830,264,145,986,56.93,41.0,417.0,100.0,4750.0,1425.0
