Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations,Estimated Number
543504,منجيل - طارم (منجيل - گيلوان),1397/12/01 00:00:00,1397/12/02 00:00:00,1345.0,1552,1406,89,6,46,5,79.0,224.0,127.0,28.0,1593.0
543504,منجيل - طارم (منجيل - گيلوان),1397/12/02 00:00:00,1397/12/03 00:00:00,1440.0,1813,1655,106,5,38,9,79.0,285.0,165.0,32.0,1813.0
543504,منجيل - طارم (منجيل - گيلوان),1397/12/03 00:00:00,1397/12/04 00:00:00,1440.0,1603,1490,68,11,25,9,79.0,247.0,106.0,24.0,1603.0
543504,منجيل - طارم (منجيل - گيلوان),1397/12/04 00:00:00,1397/12/05 00:00:00,1435.0,1618,1450,101,7,52,8,78.0,262.0,111.0,30.0,1618.0
543504,منجيل - طارم (منجيل - گيلوان),1397/12/05 00:00:00,1397/12/06 00:00:00,1440.0,1564,1402,111,4,42,5,78.0,247.0,135.0,26.0,1564.0
543504,منجيل - طارم (منجيل - گيلوان),1397/12/06 00:00:00,1397/12/07 00:00:00,1440.0,1551,1384,106,9,45,7,78.0,212.0,128.0,27.0,1551.0
543504,منجيل - طارم (منجيل - گيلوان),1397/12/07 00:00:00,1397/12/08 00:00:00,1440.0,1524,1356,104,8,45,11,78.0,219.0,114.0,36.0,1524.0
543504,منجيل - طارم (منجيل - گيلوان),1397/12/08 00:00:00,1397/12/09 00:00:00,1440.0,1577,1417,97,7,46,10,78.0,227.0,124.0,31.0,1577.0
543504,منجيل - طارم (منجيل - گيلوان),1397/12/09 00:00:00,1397/12/10 00:00:00,1440.0,1757,1600,100,5,42,10,80.0,297.0,141.0,23.0,1757.0
543504,منجيل - طارم (منجيل - گيلوان),1397/12/10 00:00:00,1397/12/11 00:00:00,1440.0,1461,1368,63,1,27,2,79.0,216.0,116.0,26.0,1461.0
543504,منجيل - طارم (منجيل - گيلوان),1397/12/11 00:00:00,1397/12/12 00:00:00,1440.0,1585,1433,93,5,44,10,78.0,212.0,139.0,36.0,1585.0
543504,منجيل - طارم (منجيل - گيلوان),1397/12/12 00:00:00,1397/12/13 00:00:00,1440.0,1560,1375,119,15,42,9,77.0,222.0,126.0,31.0,1560.0
543504,منجيل - طارم (منجيل - گيلوان),1397/12/13 00:00:00,1397/12/14 00:00:00,1430.0,1464,1301,100,17,38,8,77.0,198.0,122.0,38.0,1471.0
543504,منجيل - طارم (منجيل - گيلوان),1397/12/14 00:00:00,1397/12/15 00:00:00,1435.0,1479,1315,109,13,37,5,79.0,230.0,107.0,24.0,1486.0
543504,منجيل - طارم (منجيل - گيلوان),1397/12/15 00:00:00,1397/12/16 00:00:00,1440.0,1759,1565,124,13,48,9,78.0,281.0,161.0,35.0,1759.0
543504,منجيل - طارم (منجيل - گيلوان),1397/12/16 00:00:00,1397/12/17 00:00:00,1435.0,1870,1719,94,5,43,9,79.0,294.0,154.0,38.0,1871.0
543504,منجيل - طارم (منجيل - گيلوان),1397/12/17 00:00:00,1397/12/18 00:00:00,1440.0,1438,1331,75,8,18,6,76.0,163.0,111.0,29.0,1438.0
543504,منجيل - طارم (منجيل - گيلوان),1397/12/18 00:00:00,1397/12/19 00:00:00,1440.0,1506,1345,102,11,37,11,79.0,224.0,106.0,27.0,1510.0
543504,منجيل - طارم (منجيل - گيلوان),1397/12/19 00:00:00,1397/12/20 00:00:00,1440.0,1490,1317,114,10,42,7,77.0,215.0,110.0,25.0,1490.0
543504,منجيل - طارم (منجيل - گيلوان),1397/12/20 00:00:00,1397/12/21 00:00:00,1410.0,1582,1420,111,4,41,6,78.0,226.0,126.0,35.0,1623.0
543504,منجيل - طارم (منجيل - گيلوان),1397/12/21 00:00:00,1397/12/22 00:00:00,1010.0,1253,1100,101,17,22,13,78.0,182.0,109.0,28.0,1585.0
543504,منجيل - طارم (منجيل - گيلوان),1397/12/22 00:00:00,1397/12/23 00:00:00,1440.0,1771,1585,118,8,46,14,78.0,255.0,146.0,40.0,1771.0
543504,منجيل - طارم (منجيل - گيلوان),1397/12/23 00:00:00,1397/12/24 00:00:00,1440.0,1932,1747,126,11,33,15,78.0,298.0,170.0,33.0,1932.0
543504,منجيل - طارم (منجيل - گيلوان),1397/12/24 00:00:00,1397/12/25 00:00:00,1440.0,1821,1684,90,8,26,13,78.0,279.0,182.0,36.0,1821.0
543504,منجيل - طارم (منجيل - گيلوان),1397/12/25 00:00:00,1397/12/26 00:00:00,1440.0,1883,1690,129,14,39,11,79.0,280.0,143.0,26.0,1883.0
543504,منجيل - طارم (منجيل - گيلوان),1397/12/26 00:00:00,1397/12/27 00:00:00,1435.0,1745,1572,119,8,36,10,74.0,154.0,128.0,46.0,1753.0
543504,منجيل - طارم (منجيل - گيلوان),1397/12/27 00:00:00,1397/12/28 00:00:00,1350.0,1754,1599,107,10,25,13,78.0,241.0,140.0,17.0,1865.0
543504,منجيل - طارم (منجيل - گيلوان),1397/12/28 00:00:00,1397/12/29 00:00:00,1435.0,2138,1996,100,14,21,7,80.0,345.0,207.0,40.0,2147.0
543504,منجيل - طارم (منجيل - گيلوان),1397/12/29 00:00:00,1398/01/01 00:00:00,1440.0,2404,2341,47,4,9,3,80.0,378.0,317.0,48.0,2404.0
543504,منجيل - طارم (منجيل - گيلوان),1401/12/01 00:00:00,1401/12/02 00:00:00,1400.0,1868,1521,285,13,2,47,74.0,171.0,56.0,118.0,1935.0
543504,منجيل - طارم (منجيل - گيلوان),1401/12/02 00:00:00,1401/12/03 00:00:00,1405.0,1863,1477,333,14,1,38,73.0,146.0,46.0,103.0,1947.0
543504,منجيل - طارم (منجيل - گيلوان),1401/12/03 00:00:00,1401/12/04 00:00:00,1440.0,2143,1668,411,21,2,41,73.0,137.0,66.0,140.0,2143.0
543504,منجيل - طارم (منجيل - گيلوان),1401/12/04 00:00:00,1401/12/05 00:00:00,1440.0,2255,1797,384,29,1,44,74.0,190.0,77.0,147.0,2255.0
543504,منجيل - طارم (منجيل - گيلوان),1401/12/05 00:00:00,1401/12/06 00:00:00,1395.0,1978,1678,260,15,0,25,74.0,156.0,61.0,112.0,2023.0
543504,منجيل - طارم (منجيل - گيلوان),1401/12/06 00:00:00,1401/12/07 00:00:00,1425.0,1997,1552,383,24,2,36,74.0,148.0,55.0,95.0,2009.0
543504,منجيل - طارم (منجيل - گيلوان),1401/12/07 00:00:00,1401/12/08 00:00:00,1430.0,1966,1528,377,17,1,43,73.0,132.0,52.0,120.0,1986.0
543504,منجيل - طارم (منجيل - گيلوان),1401/12/08 00:00:00,1401/12/09 00:00:00,1315.0,1763,1377,320,25,1,40,73.0,124.0,45.0,100.0,1992.0
543504,منجيل - طارم (منجيل - گيلوان),1401/12/09 00:00:00,1401/12/10 00:00:00,1430.0,1995,1549,364,29,2,51,73.0,142.0,72.0,119.0,2015.0
543504,منجيل - طارم (منجيل - گيلوان),1401/12/10 00:00:00,1401/12/11 00:00:00,1410.0,2137,1741,333,19,2,42,75.0,186.0,66.0,120.0,2169.0
