Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Estimated Number,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations
543903,پونل - اسالم,1397/12/01 00:10:00,1397/12/02 00:00:00,1280.0,12081,10911,471,261,61,377,81.0,12559.0,598.0,1363.0,0.0
543903,پونل - اسالم,1397/12/02 00:00:00,1397/12/03 00:00:00,1425.0,12925,11614,519,300,77,415,82.0,13095.0,760.0,1508.0,0.0
543903,پونل - اسالم,1397/12/03 00:00:00,1397/12/04 00:00:00,1440.0,11812,10718,400,236,61,397,83.0,11812.0,741.0,1328.0,0.0
543903,پونل - اسالم,1397/12/04 00:00:00,1397/12/05 00:00:00,1435.0,11848,10674,492,250,79,353,82.0,11907.0,634.0,1252.0,0.0
543903,پونل - اسالم,1397/12/05 00:00:00,1397/12/06 00:00:00,1440.0,12116,10824,562,298,59,373,82.0,12116.0,633.0,1350.0,0.0
543903,پونل - اسالم,1397/12/06 00:00:00,1397/12/07 00:00:00,1440.0,11541,10252,534,296,91,368,80.0,11541.0,518.0,1134.0,0.0
543903,پونل - اسالم,1397/12/07 00:00:00,1397/12/08 00:00:00,1440.0,12480,11214,507,291,68,400,81.0,12480.0,613.0,1389.0,0.0
543903,پونل - اسالم,1397/12/08 00:00:00,1397/12/09 00:00:00,1435.0,12477,11111,561,326,74,405,79.0,12486.0,526.0,1365.0,0.0
543903,پونل - اسالم,1397/12/09 00:00:00,1397/12/10 00:00:00,1440.0,12090,10815,537,257,78,403,80.0,12090.0,501.0,1306.0,0.0
543903,پونل - اسالم,1397/12/10 00:00:00,1397/12/11 00:00:00,1440.0,10532,9549,367,235,54,327,82.0,10532.0,663.0,1060.0,0.0
543903,پونل - اسالم,1397/12/11 00:00:00,1397/12/12 00:00:00,1440.0,11780,10610,500,298,78,294,82.0,11780.0,638.0,1319.0,0.0
543903,پونل - اسالم,1397/12/12 00:00:00,1397/12/13 00:00:00,1435.0,12107,10734,595,324,83,371,81.0,12170.0,571.0,1385.0,0.0
543903,پونل - اسالم,1397/12/13 00:00:00,1397/12/14 00:00:00,1435.0,11742,10339,618,342,72,371,81.0,11807.0,559.0,1276.0,0.0
543903,پونل - اسالم,1397/12/14 00:00:00,1397/12/15 00:00:00,1440.0,12603,11135,640,364,59,405,81.0,12603.0,628.0,1470.0,0.0
543903,پونل - اسالم,1397/12/15 00:00:00,1397/12/16 00:00:00,1440.0,13111,11578,655,388,88,402,82.0,13111.0,710.0,1623.0,0.0
543903,پونل - اسالم,1397/12/16 00:00:00,1397/12/17 00:00:00,1440.0,12787,11349,625,344,69,400,81.0,12787.0,709.0,1506.0,0.0
543903,پونل - اسالم,1397/12/17 00:00:00,1397/12/18 00:00:00,1440.0,9466,8397,357,253,83,376,78.0,9466.0,277.0,711.0,0.0
543903,پونل - اسالم,1397/12/18 00:00:00,1397/12/19 00:00:00,1440.0,11840,10665,499,286,70,320,82.0,11840.0,610.0,1288.0,0.0
543903,پونل - اسالم,1397/12/19 00:00:00,1397/12/20 00:00:00,1440.0,12391,10935,608,356,88,404,81.0,12391.0,583.0,1472.0,0.0
543903,پونل - اسالم,1397/12/20 00:00:00,1397/12/21 00:00:00,1410.0,11984,10604,564,348,66,402,82.0,12317.0,632.0,1408.0,0.0
543903,پونل - اسالم,1397/12/21 00:00:00,1397/12/22 00:00:00,995.0,10258,9163,421,298,49,327,81.0,12736.0,484.0,1209.0,0.0
543903,پونل - اسالم,1397/12/22 00:00:00,1397/12/23 00:00:00,1440.0,13735,12150,676,362,78,469,81.0,13735.0,562.0,1741.0,0.0
543903,پونل - اسالم,1397/12/23 00:00:00,1397/12/24 00:00:00,1440.0,13511,11961,651,372,99,428,79.0,13511.0,437.0,1601.0,0.0
543903,پونل - اسالم,1397/12/24 00:00:00,1397/12/25 00:00:00,1440.0,11285,9990,525,322,74,374,80.0,11285.0,514.0,1107.0,0.0
543903,پونل - اسالم,1397/12/25 00:00:00,1397/12/26 00:00:00,1440.0,13672,12177,635,393,80,387,82.0,13672.0,675.0,1744.0,0.0
543903,پونل - اسالم,1397/12/26 00:00:00,1397/12/27 00:00:00,1440.0,14529,12860,727,403,86,453,80.0,14529.0,517.0,1917.0,0.0
543903,پونل - اسالم,1397/12/27 00:00:00,1397/12/28 00:00:00,1440.0,15731,14232,660,340,88,411,82.0,15731.0,799.0,2209.0,0.0
543903,پونل - اسالم,1397/12/28 00:00:00,1397/12/29 00:00:00,1435.0,16839,15541,654,256,75,313,80.0,16932.0,538.0,2573.0,0.0
543903,پونل - اسالم,1397/12/29 00:00:00,1397/12/29 23:55:00,1435.0,16773,16013,329,111,84,236,83.0,16807.0,731.0,2747.0,0.0
543903,پونل - اسالم,1401/12/01 00:00:00,1401/12/02 00:00:00,1360.0,12726,11029,1139,163,42,353,67.0,14038.0,54.0,997.0,0.0
543903,پونل - اسالم,1401/12/02 00:00:00,1401/12/03 00:00:00,1425.0,13805,11450,1701,215,22,417,64.0,13911.0,119.0,2007.0,0.0
543903,پونل - اسالم,1401/12/03 00:00:00,1401/12/04 00:00:00,1255.0,12118,10270,1288,157,42,361,65.0,14566.0,65.0,1325.0,0.0
543903,پونل - اسالم,1401/12/04 00:00:00,1401/12/05 00:00:00,1400.0,13698,11524,1548,170,32,424,63.0,14134.0,99.0,1678.0,0.0
543903,پونل - اسالم,1401/12/05 00:00:00,1401/12/06 00:00:00,1370.0,10594,9102,1025,92,30,345,62.0,10900.0,82.0,987.0,0.0
543903,پونل - اسالم,1401/12/06 00:00:00,1401/12/07 00:00:00,1405.0,12958,11406,1011,113,39,389,67.0,13123.0,29.0,828.0,0.0
543903,پونل - اسالم,1401/12/07 00:00:00,1401/12/08 00:00:00,1390.0,12883,10867,1390,165,58,403,67.0,13589.0,41.0,999.0,0.0
543903,پونل - اسالم,1401/12/08 00:00:00,1401/12/09 00:00:00,1250.0,11111,9519,1087,123,50,332,65.0,13267.0,41.0,907.0,0.0
543903,پونل - اسالم,1401/12/09 00:00:00,1401/12/10 00:00:00,1415.0,13920,11577,1682,198,37,426,64.0,14221.0,50.0,1396.0,0.0
543903,پونل - اسالم,1401/12/10 00:00:00,1401/12/11 00:00:00,1395.0,14449,12112,1718,183,32,404,62.0,14775.0,62.0,1405.0,0.0
543903,پونل - اسالم,1401/12/11 00:00:00,1401/12/12 00:00:00,1440.0,14322,11984,1712,155,53,418,63.0,14322.0,90.0,1314.0,0.0
543903,پونل - اسالم,1401/12/12 00:00:00,1401/12/13 00:00:00,1440.0,12158,10309,1286,119,27,417,64.0,12158.0,83.0,1206.0,0.0
543903,پونل - اسالم,1401/12/13 00:00:00,1401/12/14 00:00:00,1440.0,13298,11295,1453,130,50,370,64.0,13298.0,73.0,1297.0,0.0
543903,پونل - اسالم,1401/12/14 00:00:00,1401/12/15 00:00:00,1440.0,13619,11356,1633,145,30,455,65.0,13619.0,58.0,1402.0,0.0
543903,پونل - اسالم,1401/12/15 00:00:00,1401/12/16 00:00:00,1285.0,12135,10089,1430,174,37,405,65.0,14010.0,79.0,1393.0,0.0
543903,پونل - اسالم,1401/12/16 00:00:00,1401/12/17 00:00:00,1400.0,13765,11201,1948,173,29,414,62.0,14381.0,132.0,1600.0,0.0
543903,پونل - اسالم,1401/12/17 00:00:00,1401/12/18 00:00:00,1435.0,13637,11025,1950,169,27,466,62.0,13669.0,156.0,1613.0,0.0
543903,پونل - اسالم,1401/12/18 00:00:00,1401/12/19 00:00:00,1440.0,13219,10923,1768,135,20,373,62.0,13219.0,108.0,1324.0,0.0
543903,پونل - اسالم,1401/12/19 00:00:00,1401/12/20 00:00:00,1440.0,12781,11454,828,87,34,378,67.0,12781.0,34.0,812.0,0.0
543903,پونل - اسالم,1401/12/20 00:00:00,1401/12/21 00:00:00,1440.0,13946,12372,1056,128,46,344,67.0,13946.0,28.0,929.0,0.0
543903,پونل - اسالم,1401/12/21 00:00:00,1401/12/22 00:00:00,1360.0,13613,11659,1345,160,49,400,66.0,14765.0,61.0,1148.0,0.0
543903,پونل - اسالم,1401/12/22 00:00:00,1401/12/23 00:00:00,1310.0,13923,11953,1370,165,35,400,66.0,15237.0,50.0,1262.0,0.0
543903,پونل - اسالم,1401/12/23 00:00:00,1401/12/24 00:00:00,1370.0,13505,11125,1814,164,50,352,61.0,14221.0,93.0,1767.0,0.0
