Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations,Estimated Number
544105,پونل - خلخال,1401/12/01 00:00:00,1401/12/02 00:00:00,1440,1143,1078,61,2,1,1,43,0,19,14,1151
544105,پونل - خلخال,1401/12/02 00:00:00,1401/12/03 00:00:00,1425,1051,995,49,4,1,2,48,2,13,9,1059
544105,پونل - خلخال,1401/12/03 00:00:00,1401/12/04 00:00:00,1440,1121,1097,22,0,0,2,43,0,16,13,1121
544105,پونل - خلخال,1401/12/04 00:00:00,1401/12/05 00:00:00,1410,1387,1356,29,0,1,1,44,1,20,18,1448
544105,پونل - خلخال,1401/12/05 00:00:00,1401/12/06 00:00:00,1275,1708,1699,9,0,0,0,44,0,34,16,1987
544105,پونل - خلخال,1401/12/06 00:00:00,1401/12/07 00:00:00,1400,942,910,26,3,2,1,46,4,18,6,956
544105,پونل - خلخال,1401/12/07 00:00:00,1401/12/08 00:00:00,1435,1093,1010,78,0,2,3,44,1,15,18,1103
544105,پونل - خلخال,1401/12/08 00:00:00,1401/12/09 00:00:00,1245,839,818,20,1,0,0,43,0,14,5,1005
544105,پونل - خلخال,1401/12/09 00:00:00,1401/12/10 00:00:00,1420,1141,1062,72,4,1,2,44,2,12,11,1187
544105,پونل - خلخال,1401/12/10 00:00:00,1401/12/11 00:00:00,1405,1168,1106,60,2,0,0,44,0,16,15,1190
544105,پونل - خلخال,1401/12/11 00:00:00,1401/12/12 00:00:00,1440,1459,1380,74,3,1,1,46,1,24,14,1459
544105,پونل - خلخال,1401/12/12 00:00:00,1401/12/13 00:00:00,1440,2222,2151,60,4,4,3,47,7,45,15,2222
544105,پونل - خلخال,1401/12/13 00:00:00,1401/12/14 00:00:00,1440,1037,998,35,0,2,2,44,1,14,11,1037
544105,پونل - خلخال,1401/12/14 00:00:00,1401/12/15 00:00:00,1440,1098,1060,35,3,0,0,45,2,15,15,1099
544105,پونل - خلخال,1401/12/15 00:00:00,1401/12/16 00:00:00,1390,1113,1054,55,1,0,3,44,0,16,9,1127
544105,پونل - خلخال,1401/12/16 09:05:00,1401/12/17 00:00:00,895,906,839,65,0,0,2,43,0,11,5,1100
544105,پونل - خلخال,1401/12/17 00:00:00,1401/12/18 00:00:00,1440,1197,1194,3,0,0,0,45,0,13,9,1197
544105,پونل - خلخال,1401/12/18 00:00:00,1401/12/19 00:00:00,1440,1173,1103,67,2,0,1,43,0,17,9,1173
544105,پونل - خلخال,1401/12/19 00:00:00,1401/12/20 00:00:00,1390,2080,2070,8,0,0,2,45,0,51,22,2215
544105,پونل - خلخال,1401/12/20 00:00:00,1401/12/21 00:00:00,1410,1155,1065,89,1,0,0,42,0,20,13,1189
544105,پونل - خلخال,1401/12/21 00:00:00,1401/12/22 00:00:00,1330,1189,1153,33,3,0,0,43,0,22,10,1326
544105,پونل - خلخال,1401/12/22 00:00:00,1401/12/23 00:00:00,1355,1245,1136,105,0,0,4,43,0,18,17,1284
544105,پونل - خلخال,1401/12/23 00:00:00,1401/12/24 00:00:00,1410,1224,1140,83,0,1,0,42,0,20,14,1247
544105,پونل - خلخال,1401/12/24 00:00:00,1401/12/25 00:00:00,1435,1118,1036,81,0,0,1,43,0,10,16,1131
544105,پونل - خلخال,1401/12/25 00:00:00,1401/12/26 00:00:00,1440,1400,1331,68,0,0,1,44,0,24,14,1400
544105,پونل - خلخال,1401/12/26 00:00:00,1401/12/27 00:00:00,1440,2265,2257,6,2,0,0,45,1,45,17,2265
544105,پونل - خلخال,1401/12/27 00:00:00,1401/12/28 00:00:00,1440,1813,1704,107,1,0,1,43,1,31,27,1831
544105,پونل - خلخال,1401/12/28 00:05:00,1401/12/29 00:00:00,1085,1833,1807,21,2,0,3,44,0,45,17,1948
544105,پونل - خلخال,1401/12/29 00:00:00,1402/01/01 00:00:00,1440,1793,1788,3,0,0,2,44,0,32,23,1793
544105,پونل - خلخال,1402/01/01 00:00:00,1402/01/02 00:00:00,1440,1842,1837,3,1,0,1,44,1,39,13,1842
544105,پونل - خلخال,1402/01/02 01:05:00,1402/01/03 00:00:00,1340,1587,1584,2,0,0,1,44,0,40,6,1813
544105,پونل - خلخال,1402/01/03 00:00:00,1402/01/04 00:00:00,1430,3162,3152,9,1,0,0,45,0,108,17,3170
544105,پونل - خلخال,1402/01/04 00:00:00,1402/01/05 00:00:00,1435,4310,4297,8,1,0,4,44,0,147,27,4310
544105,پونل - خلخال,1402/01/05 00:00:00,1402/01/06 00:00:00,1360,2303,2292,9,0,0,2,45,0,55,9,2610
544105,پونل - خلخال,1402/01/06 00:00:00,1402/01/07 00:00:00,1405,2776,2756,20,0,0,0,44,0,81,21,2801
544105,پونل - خلخال,1402/01/07 00:00:00,1402/01/08 00:00:00,1345,2451,2443,7,1,0,0,45,0,56,13,2639
544105,پونل - خلخال,1402/01/08 00:00:00,1402/01/08 06:35:00,395,87,87,0,0,0,0,43,0,0,0,2424
544105,پونل - خلخال,1402/01/09 12:45:00,1402/01/10 00:00:00,575,1541,1536,3,1,0,1,45,0,50,7,2869
544105,پونل - خلخال,1402/01/10 00:00:00,1402/01/11 00:00:00,1405,3472,3454,13,1,0,4,44,0,110,16,3658
544105,پونل - خلخال,1402/01/11 00:00:00,1402/01/12 00:00:00,665,720,719,1,0,0,0,44,0,17,1,3296
544105,پونل - خلخال,1402/01/12 00:00:00,1402/01/13 00:00:00,1435,2757,2743,10,2,0,2,44,0,89,11,2759
544105,پونل - خلخال,1402/01/13 00:00:00,1402/01/14 00:00:00,1410,7348,7309,29,1,0,9,42,0,420,89,7391
544105,پونل - خلخال,1402/01/14 00:00:00,1402/01/15 00:00:00,1225,1298,1291,6,1,0,0,47,0,20,11,4027
544105,پونل - خلخال,1402/01/15 00:00:00,1402/01/16 00:00:00,1390,1451,1442,6,1,0,2,44,0,23,15,1545
544105,پونل - خلخال,1402/01/16 00:00:00,1402/01/17 00:00:00,1355,1346,1305,38,2,0,1,43,0,20,10,1479
544105,پونل - خلخال,1402/01/17 00:00:00,1402/01/18 00:00:00,1410,2533,2303,226,2,0,2,42,1,63,31,2628
544105,پونل - خلخال,1402/01/18 00:00:00,1402/01/19 00:00:00,1395,4067,3984,75,4,3,1,44,0,147,45,4262
544105,پونل - خلخال,1402/01/19 00:00:00,1402/01/20 00:00:00,1325,1634,1361,265,1,2,5,42,0,38,28,1861
544105,پونل - خلخال,1402/01/20 00:00:00,1402/01/21 00:00:00,1385,1909,1589,308,3,2,7,42,0,38,25,2003
544105,پونل - خلخال,1402/01/21 00:00:00,1402/01/21 23:55:00,1330,1783,1491,283,1,0,8,42,0,26,19,1877
544105,پونل - خلخال,1402/01/22 00:20:00,1402/01/23 00:00:00,1390,2178,1865,299,3,2,9,42,0,41,33,2260
544105,پونل - خلخال,1402/01/23 00:00:00,1402/01/24 00:00:00,1405,2502,2433,64,2,1,2,44,0,59,26,2629
544105,پونل - خلخال,1402/01/24 00:00:00,1402/01/25 00:00:00,1410,2496,2250,238,0,1,7,43,0,62,37,2586
544105,پونل - خلخال,1402/01/25 00:00:00,1402/01/26 00:00:00,1410,3850,3774,69,3,0,4,44,0,130,30,4028
544105,پونل - خلخال,1402/01/26 00:00:00,1402/01/27 00:00:00,1385,1891,1565,317,3,1,5,42,0,35,20,2005
544105,پونل - خلخال,1402/01/27 00:00:00,1402/01/28 00:00:00,1350,1455,1182,264,0,1,8,41,0,19,12,2167
544105,پونل - خلخال,1402/01/28 00:00:00,1402/01/29 00:00:00,1410,1551,1251,290,2,0,8,42,0,25,12,1610
544105,پونل - خلخال,1402/01/29 00:00:00,1402/01/30 00:00:00,1435,1813,1526,269,2,1,15,43,1,35,21,1820
544105,پونل - خلخال,1402/01/30 00:00:00,1402/01/31 00:00:00,1435,2453,2153,285,1,0,14,43,0,62,27,2469
544105,پونل - خلخال,1402/01/31 00:00:00,1402/02/01 00:00:00,1410,3830,3658,166,2,2,2,44,0,126,37,3948
