Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Estimated Number,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations
544151,پونل - ضيابر,1397/12/01 00:00:00,1397/12/02 00:00:00,1290.0,6406,5710,278,45,120,253,73.0,6637.0,390.0,1283.0,19.0
544151,پونل - ضيابر,1397/12/02 00:00:00,1397/12/03 00:00:00,1430.0,6615,5936,283,61,125,210,75.0,6679.0,441.0,1330.0,31.0
544151,پونل - ضيابر,1397/12/03 00:00:00,1397/12/04 00:00:00,1430.0,7439,6730,296,44,131,238,74.0,7502.0,445.0,1740.0,16.0
544151,پونل - ضيابر,1397/12/04 00:00:00,1397/12/05 00:00:00,1425.0,6914,6207,265,64,135,243,75.0,6974.0,512.0,1368.0,27.0
544151,پونل - ضيابر,1397/12/05 00:00:00,1397/12/06 00:00:00,1430.0,6661,5960,310,70,112,209,74.0,6714.0,424.0,1251.0,22.0
544151,پونل - ضيابر,1397/12/06 00:00:00,1397/12/07 00:00:00,1430.0,6337,5581,348,72,98,238,72.0,6396.0,296.0,1152.0,23.0
544151,پونل - ضيابر,1397/12/07 00:00:00,1397/12/08 00:00:00,1430.0,7082,6278,340,71,103,290,75.0,7139.0,530.0,1365.0,16.0
544151,پونل - ضيابر,1397/12/08 00:00:00,1397/12/09 00:00:00,1430.0,6561,5808,328,83,99,243,73.0,6619.0,444.0,1239.0,26.0
544151,پونل - ضيابر,1397/12/09 00:00:00,1397/12/10 00:00:00,1430.0,5952,5289,300,61,96,206,72.0,6006.0,334.0,1025.0,27.0
544151,پونل - ضيابر,1397/12/10 00:00:00,1397/12/11 00:00:00,1430.0,6983,6260,312,66,107,238,74.0,7037.0,449.0,1544.0,18.0
544151,پونل - ضيابر,1397/12/11 00:00:00,1397/12/12 00:00:00,1430.0,7045,6313,327,58,100,247,75.0,7097.0,458.0,1377.0,17.0
544151,پونل - ضيابر,1397/12/12 00:00:00,1397/12/13 00:00:00,1425.0,6583,5749,395,71,109,259,74.0,6675.0,514.0,1341.0,27.0
544151,پونل - ضيابر,1397/12/13 00:00:00,1397/12/14 00:00:00,1420.0,6449,5639,393,82,105,230,73.0,6556.0,409.0,1203.0,24.0
544151,پونل - ضيابر,1397/12/14 00:00:00,1397/12/15 00:00:00,1430.0,6728,5867,385,84,118,274,74.0,6784.0,432.0,1373.0,18.0
544151,پونل - ضيابر,1397/12/15 00:00:00,1397/12/16 00:00:00,1430.0,7319,6422,445,101,98,253,74.0,7381.0,490.0,1648.0,26.0
544151,پونل - ضيابر,1397/12/16 00:00:00,1397/12/17 00:00:00,1420.0,6700,5951,340,65,103,241,73.0,6793.0,428.0,1293.0,33.0
544151,پونل - ضيابر,1397/12/17 00:00:00,1397/12/18 00:00:00,1430.0,6463,5689,307,88,132,247,73.0,6520.0,334.0,1294.0,28.0
544151,پونل - ضيابر,1397/12/18 00:00:00,1397/12/19 00:00:00,1430.0,7272,6481,334,75,89,293,76.0,7331.0,542.0,1564.0,14.0
544151,پونل - ضيابر,1397/12/19 00:00:00,1397/12/20 00:00:00,1430.0,7162,6291,408,109,92,262,75.0,7217.0,552.0,1491.0,13.0
544151,پونل - ضيابر,1397/12/20 00:00:00,1397/12/21 00:00:00,1400.0,6983,6081,431,95,99,277,76.0,7247.0,639.0,1564.0,21.0
544151,پونل - ضيابر,1397/12/21 00:00:00,1397/12/22 00:00:00,985.0,5740,4989,324,87,85,255,76.0,7471.0,456.0,1289.0,29.0
544151,پونل - ضيابر,1397/12/22 00:00:00,1397/12/23 00:00:00,1430.0,7898,6888,429,120,118,343,76.0,7957.0,727.0,1858.0,53.0
544151,پونل - ضيابر,1397/12/23 00:00:00,1397/12/24 00:00:00,1430.0,7200,6356,374,86,104,280,75.0,7261.0,598.0,1523.0,39.0
544151,پونل - ضيابر,1397/12/24 00:00:00,1397/12/25 00:00:00,1430.0,7321,6422,388,106,96,309,75.0,7390.0,572.0,1757.0,34.0
544151,پونل - ضيابر,1397/12/25 00:00:00,1397/12/26 00:00:00,1430.0,8108,7219,392,104,115,278,77.0,8184.0,762.0,1940.0,31.0
544151,پونل - ضيابر,1397/12/26 00:00:00,1397/12/27 00:00:00,1425.0,7854,6943,444,91,118,258,75.0,7971.0,595.0,1818.0,37.0
544151,پونل - ضيابر,1397/12/27 00:00:00,1397/12/28 00:00:00,1430.0,8012,7346,296,57,93,220,75.0,8093.0,551.0,1922.0,27.0
544151,پونل - ضيابر,1397/12/28 00:00:00,1397/12/29 00:00:00,1420.0,6659,6190,199,42,83,145,73.0,6810.0,373.0,1364.0,42.0
544151,پونل - ضيابر,1397/12/29 00:00:00,1398/01/01 00:00:00,1425.0,7485,7185,106,19,92,83,77.0,7599.0,517.0,1822.0,19.0
