Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations,Estimated Number
543281,پيربازار - خمام,1401/12/01 00:00:00,1401/12/02 00:00:00,1435,4944,4788,109,23,0,24,64,42,318,58,4953
543281,پيربازار - خمام,1401/12/02 00:00:00,1401/12/03 00:00:00,1435,4624,4551,51,4,3,15,63,25,236,68,4646
543281,پيربازار - خمام,1401/12/03 00:00:00,1401/12/04 00:00:00,1440,4914,4751,110,20,2,31,63,26,333,86,4914
543281,پيربازار - خمام,1401/12/04 00:00:00,1401/12/05 00:00:00,1440,5170,5079,54,3,6,28,62,30,300,95,5170
543281,پيربازار - خمام,1401/12/05 00:00:00,1401/12/06 00:00:00,1395,3892,3812,54,11,0,15,63,27,192,56,3962
543281,پيربازار - خمام,1401/12/06 00:00:00,1401/12/07 00:00:00,1400,4940,4755,116,24,2,43,65,73,326,132,4992
543281,پيربازار - خمام,1401/12/07 00:00:00,1401/12/08 00:00:00,1435,4848,4704,91,20,3,30,64,61,332,95,4872
543281,پيربازار - خمام,1401/12/08 00:00:00,1401/12/09 00:00:00,1245,3966,3826,95,14,2,29,62,24,280,80,4674
543281,پيربازار - خمام,1401/12/09 00:00:00,1401/12/10 00:00:00,1425,4681,4535,102,13,5,26,62,32,308,79,4730
543281,پيربازار - خمام,1401/12/10 00:00:00,1401/12/11 00:00:00,1410,4860,4670,129,19,5,37,61,23,318,137,4915
543281,پيربازار - خمام,1401/12/11 00:00:00,1401/12/12 00:00:00,1440,5206,5021,121,26,3,35,64,41,384,147,5206
543281,پيربازار - خمام,1401/12/12 00:00:00,1401/12/13 00:00:00,1440,4780,4703,47,7,3,20,63,40,291,96,4780
543281,پيربازار - خمام,1401/12/13 00:00:00,1401/12/14 00:00:00,1440,5020,4832,116,20,6,46,64,37,351,139,5020
543281,پيربازار - خمام,1401/12/14 00:00:00,1401/12/15 00:00:00,1440,4832,4678,103,15,0,36,63,27,261,98,4832
543281,پيربازار - خمام,1401/12/15 00:00:00,1401/12/16 00:00:00,1415,4797,4572,166,29,0,30,65,52,341,93,4947
543281,پيربازار - خمام,1401/12/16 00:00:00,1401/12/17 00:00:00,1405,4570,4489,61,5,0,15,62,15,215,57,4589
543281,پيربازار - خمام,1401/12/17 00:00:00,1401/12/18 00:00:00,1440,4587,4538,38,2,0,9,61,20,231,55,4587
543281,پيربازار - خمام,1401/12/18 00:00:00,1401/12/19 00:00:00,1440,5071,5006,48,2,2,13,60,20,264,96,5071
543281,پيربازار - خمام,1401/12/19 00:00:00,1401/12/20 00:00:00,1440,4968,4902,44,16,0,6,62,31,322,47,4968
543281,پيربازار - خمام,1401/12/20 00:00:00,1401/12/21 00:00:00,1360,4567,4432,93,20,0,22,64,31,282,106,4971
543281,پيربازار - خمام,1401/12/21 00:00:00,1401/12/22 00:00:00,1360,4513,4392,81,12,0,28,65,41,290,52,4915
543281,پيربازار - خمام,1401/12/22 00:00:00,1401/12/23 00:00:00,1385,4820,4643,121,21,0,35,65,47,326,74,4993
543281,پيربازار - خمام,1401/12/23 00:00:00,1401/12/24 00:00:00,1410,4995,4883,78,16,0,18,63,32,259,60,5112
543281,پيربازار - خمام,1401/12/24 00:00:00,1401/12/25 00:00:00,1435,4985,4918,45,9,1,12,62,31,293,73,5005
543281,پيربازار - خمام,1401/12/25 00:00:00,1401/12/26 00:00:00,1435,5184,5142,29,7,0,6,64,46,306,57,5199
543281,پيربازار - خمام,1401/12/26 00:00:00,1401/12/27 00:00:00,1435,4840,4815,20,3,0,2,64,48,279,52,4847
543281,پيربازار - خمام,1401/12/27 00:00:00,1401/12/28 00:00:00,1435,5730,5620,80,15,0,15,64,49,395,77,5749
543281,پيربازار - خمام,1401/12/28 00:00:00,1401/12/29 00:00:00,1205,5311,5266,36,6,0,3,62,28,368,58,5440
543281,پيربازار - خمام,1401/12/29 00:00:00,1402/01/01 00:00:00,1435,4964,4942,18,4,0,0,62,17,244,56,4977
543281,پيربازار - خمام,1401/01/13 09:10:00,1401/01/14 00:00:00,400,2177,2155,19,3,0,0,43,2,195,20,7632
543281,پيربازار - خمام,1401/01/14 00:00:00,1401/01/14 09:25:00,565,729,715,10,2,0,2,39,0,23,10,2299
543281,پيربازار - خمام,1401/01/15 18:55:00,1401/01/16 00:00:00,305,1197,1171,19,7,0,0,60,3,95,14,4279
543281,پيربازار - خمام,1401/01/16 00:00:00,1401/01/17 00:00:00,1440,4195,4024,131,24,0,16,63,23,318,57,4195
543281,پيربازار - خمام,1401/01/17 00:00:00,1401/01/18 00:00:00,1390,4185,3931,200,26,3,25,64,60,385,64,4380
543281,پيربازار - خمام,1401/01/18 00:00:00,1401/01/19 00:00:00,1440,4339,4165,129,19,0,26,62,11,301,65,4339
543281,پيربازار - خمام,1401/01/19 00:00:00,1401/01/20 00:00:00,1440,4349,4264,62,17,1,5,62,19,361,67,4349
543281,پيربازار - خمام,1401/01/20 00:00:00,1401/01/21 00:00:00,1440,4177,4027,115,18,1,16,62,21,292,53,4177
543281,پيربازار - خمام,1401/01/21 00:00:00,1401/01/22 00:00:00,1380,4241,3985,205,25,1,25,62,17,364,66,4269
543281,پيربازار - خمام,1401/01/22 00:00:00,1401/01/23 00:00:00,1400,4110,3332,707,30,5,36,63,38,433,51,4258
543281,پيربازار - خمام,1401/01/23 00:00:00,1401/01/24 00:00:00,1420,4234,3695,480,25,1,33,62,30,390,55,4236
543281,پيربازار - خمام,1401/01/24 00:00:00,1401/01/24 06:55:00,415,194,184,7,1,0,2,59,0,5,5,4369
543281,پيربازار - خمام,1401/01/29 13:30:00,1401/01/30 00:00:00,630,2726,2507,100,17,3,99,60,11,243,187,4519
543281,پيربازار - خمام,1401/01/30 00:00:00,1401/01/31 00:00:00,1440,4529,3681,509,101,15,223,66,350,440,351,4529
