Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Estimated Number,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations
543159,پيربازار - رشت,1397/12/01 00:00:00,1397/12/02 00:00:00,1115.0,11347,11064,225,41,5,12,56.0,13860.0,1.0,2047.0,0.0
543159,پيربازار - رشت,1397/12/02 00:00:00,1397/12/03 00:00:00,1440.0,14324,13982,278,44,10,10,56.0,14324.0,3.0,2567.0,0.0
543159,پيربازار - رشت,1397/12/03 00:00:00,1397/12/04 00:00:00,1440.0,13810,13573,179,37,13,8,57.0,13810.0,2.0,2457.0,0.0
543159,پيربازار - رشت,1397/12/04 00:00:00,1397/12/05 00:00:00,1435.0,14391,14017,290,58,17,9,56.0,14469.0,5.0,2607.0,0.0
543159,پيربازار - رشت,1397/12/05 00:00:00,1397/12/06 00:00:00,1440.0,14049,13671,286,56,23,13,55.0,14049.0,4.0,2554.0,0.0
543159,پيربازار - رشت,1397/12/06 00:00:00,1397/12/07 00:00:00,1440.0,13742,13399,263,51,19,10,55.0,13742.0,4.0,2405.0,0.0
543159,پيربازار - رشت,1397/12/07 00:00:00,1397/12/08 00:00:00,1440.0,15260,14835,327,60,23,15,56.0,15260.0,2.0,2922.0,0.0
543159,پيربازار - رشت,1397/12/08 00:00:00,1397/12/09 00:00:00,1440.0,13911,13527,282,77,13,12,55.0,13911.0,4.0,2521.0,0.0
543159,پيربازار - رشت,1397/12/09 00:00:00,1397/12/10 00:00:00,1440.0,13168,12787,288,62,18,13,55.0,13168.0,3.0,2442.0,0.0
543159,پيربازار - رشت,1397/12/10 00:00:00,1397/12/11 00:00:00,1440.0,12412,12187,158,37,17,13,57.0,12412.0,4.0,2197.0,0.0
543159,پيربازار - رشت,1397/12/11 00:00:00,1397/12/12 00:00:00,1440.0,14844,14502,252,57,19,14,56.0,14844.0,6.0,2753.0,0.0
543159,پيربازار - رشت,1397/12/12 00:00:00,1397/12/13 00:00:00,1440.0,14163,13764,302,70,17,10,56.0,14163.0,2.0,2567.0,0.0
543159,پيربازار - رشت,1397/12/13 00:00:00,1397/12/14 00:00:00,1430.0,13957,13602,280,48,13,14,56.0,14045.0,2.0,2476.0,0.0
543159,پيربازار - رشت,1397/12/14 00:00:00,1397/12/15 00:00:00,1440.0,14253,13849,315,57,18,14,55.0,14253.0,3.0,2535.0,0.0
543159,پيربازار - رشت,1397/12/15 00:00:00,1397/12/16 00:00:00,1440.0,14852,14452,290,67,20,23,55.0,14852.0,7.0,2786.0,0.0
543159,پيربازار - رشت,1397/12/16 00:00:00,1397/12/17 00:00:00,1435.0,14589,14183,308,60,26,12,55.0,14690.0,3.0,2695.0,0.0
