Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Estimated Number,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations
543112,پير بازار - ضيابر,1397/12/11 15:55:00,1397/12/11 16:25:00,15.0,14,3,3,2,2,4,80.0,7267.0,10.0,10.0,0.0
543112,پير بازار - ضيابر,1397/12/14 15:55:00,1397/12/15 00:00:00,485.0,3495,3372,62,39,11,11,68.0,8851.0,149.0,1141.0,61.0
543112,پير بازار - ضيابر,1397/12/15 00:00:00,1397/12/16 00:00:00,1440.0,9636,9195,225,136,31,49,70.0,9636.0,446.0,3333.0,217.0
543112,پير بازار - ضيابر,1397/12/16 00:00:00,1397/12/17 00:00:00,1440.0,10311,9934,187,109,22,59,67.0,10311.0,306.0,3912.0,190.0
543112,پير بازار - ضيابر,1397/12/17 00:00:00,1397/12/18 00:00:00,1440.0,6380,6178,88,72,14,28,68.0,6380.0,245.0,1477.0,121.0
543112,پير بازار - ضيابر,1397/12/18 00:00:00,1397/12/19 00:00:00,1440.0,8817,8443,188,114,27,45,71.0,8817.0,510.0,2802.0,140.0
543112,پير بازار - ضيابر,1397/12/19 00:00:00,1397/12/20 00:00:00,1440.0,8957,8573,177,124,27,56,71.0,8957.0,527.0,2962.0,147.0
543112,پير بازار - ضيابر,1397/12/20 00:00:00,1397/12/21 00:00:00,1410.0,8977,8535,216,130,43,53,70.0,9260.0,495.0,3016.0,156.0
543112,پير بازار - ضيابر,1397/12/21 00:00:00,1397/12/22 00:00:00,985.0,7718,7364,173,120,22,39,69.0,9607.0,352.0,2726.0,140.0
543112,پير بازار - ضيابر,1397/12/22 00:00:00,1397/12/23 00:00:00,1440.0,9849,9414,203,135,37,60,69.0,9849.0,469.0,3519.0,189.0
543112,پير بازار - ضيابر,1397/12/23 00:00:00,1397/12/24 00:00:00,1440.0,10983,10564,198,133,33,55,68.0,10983.0,484.0,4083.0,193.0
543112,پير بازار - ضيابر,1397/12/24 00:00:00,1397/12/25 00:00:00,1440.0,8309,8018,125,96,25,45,69.0,8309.0,339.0,2444.0,148.0
543112,پير بازار - ضيابر,1397/12/25 00:00:00,1397/12/26 00:00:00,1440.0,9783,9316,215,140,42,70,70.0,9783.0,525.0,3404.0,155.0
543112,پير بازار - ضيابر,1397/12/26 00:00:00,1397/12/27 00:00:00,1440.0,9656,9161,238,150,38,69,69.0,9656.0,432.0,3207.0,171.0
543112,پير بازار - ضيابر,1397/12/27 00:00:00,1397/12/28 00:00:00,1420.0,9493,9087,191,130,30,55,69.0,9708.0,388.0,3102.0,168.0
543112,پير بازار - ضيابر,1397/12/28 00:00:00,1397/12/29 00:00:00,1435.0,10415,10011,205,135,27,37,67.0,10466.0,349.0,3412.0,150.0
543112,پير بازار - ضيابر,1397/12/29 00:00:00,1398/01/01 00:00:00,1440.0,8353,8110,114,78,22,29,69.0,8353.0,424.0,2393.0,185.0
543112,پير بازار - ضيابر,1401/12/01 00:00:00,1401/12/02 00:00:00,1435.0,10319,10097,154,16,13,39,62.0,10325.0,180.0,689.0,217.0
543112,پير بازار - ضيابر,1401/12/02 00:00:00,1401/12/03 00:00:00,1435.0,9928,9626,218,26,12,46,64.0,9975.0,263.0,760.0,261.0
543112,پير بازار - ضيابر,1401/12/03 00:00:00,1401/12/04 00:00:00,1400.0,10742,10445,208,33,8,48,62.0,10858.0,215.0,819.0,272.0
543112,پير بازار - ضيابر,1401/12/04 00:00:00,1401/12/05 00:00:00,1435.0,10983,10672,233,34,6,38,63.0,11035.0,262.0,925.0,307.0
543112,پير بازار - ضيابر,1401/12/05 00:00:00,1401/12/06 00:00:00,1325.0,6516,6420,83,3,5,5,62.0,7075.0,97.0,205.0,123.0
543112,پير بازار - ضيابر,1401/12/06 00:00:00,1401/12/07 00:00:00,1400.0,9873,9673,137,19,8,36,64.0,10039.0,176.0,630.0,232.0
543112,پير بازار - ضيابر,1401/12/07 00:00:00,1401/12/08 00:00:00,1425.0,10004,9755,191,32,7,19,64.0,10168.0,271.0,779.0,249.0
543112,پير بازار - ضيابر,1401/12/08 00:00:00,1401/12/09 00:00:00,1270.0,8670,8415,201,22,6,26,61.0,10122.0,163.0,656.0,225.0
543112,پير بازار - ضيابر,1401/12/09 00:00:00,1401/12/10 00:00:00,1420.0,10099,9776,251,29,8,35,62.0,10264.0,193.0,754.0,258.0
543112,پير بازار - ضيابر,1401/12/10 00:00:00,1401/12/11 00:00:00,1395.0,10527,10260,209,24,8,26,60.0,10743.0,126.0,733.0,250.0
543112,پير بازار - ضيابر,1401/12/11 00:00:00,1401/12/12 00:00:00,1440.0,11098,10886,160,24,5,23,60.0,11098.0,140.0,650.0,288.0
543112,پير بازار - ضيابر,1401/12/12 00:00:00,1401/12/13 00:00:00,1440.0,9443,9282,121,23,7,10,66.0,9443.0,306.0,719.0,240.0
543112,پير بازار - ضيابر,1401/12/13 00:00:00,1401/12/14 00:00:00,1440.0,10351,10060,202,39,7,43,64.0,10351.0,252.0,876.0,227.0
543112,پير بازار - ضيابر,1401/12/14 00:00:00,1401/12/15 00:00:00,1440.0,10142,9895,194,17,8,28,63.0,10142.0,207.0,781.0,238.0
543112,پير بازار - ضيابر,1401/12/15 00:00:00,1401/12/16 00:00:00,1440.0,10386,10112,195,29,11,39,60.0,10386.0,127.0,743.0,242.0
543112,پير بازار - ضيابر,1401/12/16 00:00:00,1401/12/17 00:00:00,1440.0,10303,9963,251,35,4,50,62.0,10303.0,183.0,703.0,185.0
543112,پير بازار - ضيابر,1401/12/17 00:00:00,1401/12/18 00:00:00,1435.0,9697,9445,211,22,6,13,62.0,9719.0,205.0,614.0,217.0
543112,پير بازار - ضيابر,1401/12/18 00:00:00,1401/12/19 00:00:00,1440.0,10504,10328,123,18,8,27,60.0,10504.0,122.0,547.0,232.0
543112,پير بازار - ضيابر,1401/12/19 00:00:00,1401/12/20 00:00:00,1370.0,8916,8793,93,13,6,11,63.0,9487.0,182.0,611.0,191.0
543112,پير بازار - ضيابر,1401/12/20 00:00:00,1401/12/21 00:00:00,1440.0,10558,10330,166,22,9,31,60.0,10558.0,128.0,734.0,272.0
543112,پير بازار - ضيابر,1401/12/21 00:00:00,1401/12/22 00:00:00,1280.0,9132,8932,133,20,6,41,60.0,10634.0,181.0,543.0,227.0
543112,پير بازار - ضيابر,1401/12/22 00:00:00,1401/12/23 00:00:00,1335.0,10360,10082,201,16,9,52,60.0,11089.0,175.0,681.0,243.0
543112,پير بازار - ضيابر,1401/12/23 00:00:00,1401/12/24 00:00:00,1405.0,10966,10589,309,30,7,31,66.0,11199.0,380.0,1066.0,288.0
543112,پير بازار - ضيابر,1401/12/24 00:00:00,1401/12/25 00:00:00,1430.0,10646,10302,259,40,4,41,64.0,10731.0,297.0,901.0,254.0
543112,پير بازار - ضيابر,1401/12/25 00:00:00,1401/12/26 00:00:00,1435.0,11204,10910,210,33,12,39,63.0,11230.0,243.0,931.0,270.0
543112,پير بازار - ضيابر,1401/12/26 00:00:00,1401/12/27 00:00:00,1400.0,9766,9556,155,26,6,23,65.0,9790.0,269.0,743.0,224.0
543112,پير بازار - ضيابر,1401/12/27 00:00:00,1401/12/28 00:00:00,1440.0,11943,11671,179,26,13,54,61.0,11943.0,168.0,792.0,226.0
543112,پير بازار - ضيابر,1401/12/28 00:00:00,1401/12/29 00:00:00,1120.0,11408,11111,218,29,8,42,62.0,12108.0,206.0,902.0,272.0
543112,پير بازار - ضيابر,1401/12/29 00:00:00,1402/01/01 00:00:00,1440.0,10477,10376,77,11,6,7,63.0,10477.0,157.0,527.0,228.0
