Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations,Estimated Number
543609,چابکسر - رامسر (مرز استان),1401/12/01 00:00:00,1401/12/02 00:00:00,1280,12150,11103,579,149,21,298,65,15,441,0,14688
543609,چابکسر - رامسر (مرز استان),1401/12/02 00:00:00,1401/12/03 00:00:00,1245,11624,10591,579,163,25,266,63,10,426,0,14308
543609,چابکسر - رامسر (مرز استان),1401/12/03 00:00:00,1401/12/04 00:00:00,1010,8693,7828,501,110,21,233,64,11,329,0,15338
543609,چابکسر - رامسر (مرز استان),1401/12/04 00:00:00,1401/12/05 00:00:00,940,7967,7242,417,89,14,205,63,8,287,0,14589
543609,چابکسر - رامسر (مرز استان),1401/12/05 00:00:00,1401/12/06 00:00:00,1170,11352,10552,433,112,18,237,61,3,439,0,14343
543609,چابکسر - رامسر (مرز استان),1401/12/06 00:00:00,1401/12/07 00:00:00,1410,14447,13291,694,140,19,303,65,34,544,0,14684
543609,چابکسر - رامسر (مرز استان),1401/12/07 00:00:00,1401/12/08 00:00:00,1385,13726,12445,725,195,18,343,64,26,540,0,14574
543609,چابکسر - رامسر (مرز استان),1401/12/08 00:00:00,1401/12/09 00:00:00,1060,9120,8211,563,131,16,199,59,19,319,0,13345
543609,چابکسر - رامسر (مرز استان),1401/12/09 00:00:00,1401/12/10 00:00:00,1260,12381,11257,645,134,23,322,63,9,464,0,14591
543609,چابکسر - رامسر (مرز استان),1401/12/10 00:00:00,1401/12/11 00:00:00,1395,14934,13583,801,179,32,339,64,16,588,0,15410
543609,چابکسر - رامسر (مرز استان),1401/12/11 00:00:00,1401/12/12 00:00:00,1375,14611,13397,741,142,18,313,63,10,560,0,15799
543609,چابکسر - رامسر (مرز استان),1401/12/12 00:00:00,1401/12/13 00:00:00,1405,15972,14981,516,146,27,302,62,11,719,0,16427
543609,چابکسر - رامسر (مرز استان),1401/12/13 00:00:00,1401/12/14 00:00:00,1420,14593,13465,653,118,28,329,65,17,558,0,14861
543609,چابکسر - رامسر (مرز استان),1401/12/14 00:00:00,1401/12/15 00:00:00,1415,14075,12879,654,191,24,327,63,9,548,0,14365
543609,چابکسر - رامسر (مرز استان),1401/12/15 00:00:00,1401/12/16 00:00:00,1270,12381,11268,578,165,20,350,64,15,474,0,14595
543609,چابکسر - رامسر (مرز استان),1401/12/16 00:00:00,1401/12/17 00:00:00,1250,12560,11517,575,150,19,299,62,4,406,0,15401
543609,چابکسر - رامسر (مرز استان),1401/12/17 00:00:00,1401/12/18 00:00:00,1115,10737,9865,462,123,28,259,62,3,375,0,15893
543609,چابکسر - رامسر (مرز استان),1401/12/18 00:00:00,1401/12/18 23:55:00,1380,16193,15184,561,146,26,276,60,4,727,0,16963
543609,چابکسر - رامسر (مرز استان),1401/12/19 00:15:00,1401/12/20 00:00:00,1195,13043,12214,399,111,19,300,62,6,598,0,17174
543609,چابکسر - رامسر (مرز استان),1401/12/20 00:00:00,1401/12/21 00:00:00,1120,11245,10353,507,117,17,251,64,10,410,0,15872
543609,چابکسر - رامسر (مرز استان),1401/12/21 00:00:00,1401/12/22 00:00:00,1270,13057,11933,601,162,22,339,64,15,546,0,15458
