Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Estimated Number,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations
543651,چابکسر - کلاچاي,1397/12/01 00:00:00,1397/12/02 00:00:00,1300.0,13357,12195,502,289,70,301,85.0,13565.0,494.0,1836.0,0.0
543651,چابکسر - کلاچاي,1397/12/02 00:00:00,1397/12/03 00:00:00,1435.0,15132,13837,653,310,73,259,85.0,15137.0,626.0,2413.0,0.0
543651,چابکسر - کلاچاي,1397/12/03 00:00:00,1397/12/04 00:00:00,1440.0,15579,14577,448,250,56,248,85.0,15579.0,703.0,2575.0,0.0
543651,چابکسر - کلاچاي,1397/12/04 00:00:00,1397/12/05 00:00:00,1430.0,12888,11799,529,249,52,259,85.0,12968.0,484.0,1648.0,0.0
543651,چابکسر - کلاچاي,1397/12/05 00:00:00,1397/12/06 00:00:00,1435.0,12649,11437,567,334,46,265,85.0,12653.0,488.0,1524.0,0.0
543651,چابکسر - کلاچاي,1397/12/06 00:00:00,1397/12/07 00:00:00,1440.0,13005,11722,607,333,50,293,83.0,13005.0,429.0,1621.0,0.0
543651,چابکسر - کلاچاي,1397/12/07 00:00:00,1397/12/08 00:00:00,1440.0,13329,12038,602,334,64,291,85.0,13329.0,546.0,1869.0,0.0
543651,چابکسر - کلاچاي,1397/12/08 00:00:00,1397/12/09 00:00:00,1440.0,14210,12921,577,360,77,275,82.0,14210.0,332.0,1931.0,0.0
543651,چابکسر - کلاچاي,1397/12/09 00:00:00,1397/12/10 00:00:00,1440.0,15309,14017,628,329,82,253,83.0,15309.0,454.0,2392.0,0.0
543651,چابکسر - کلاچاي,1397/12/10 00:00:00,1397/12/11 00:00:00,1440.0,14961,13983,441,249,57,231,84.0,14961.0,574.0,2364.0,0.0
