Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Estimated Number,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations
543751,کلان کلايه - املش,1397/12/01 00:00:00,1397/12/02 00:00:00,1300.0,3045,2951,80,7,3,4,64.0,3060.0,63.0,317.0,67.0
543751,کلان کلايه - املش,1397/12/02 00:00:00,1397/12/03 00:00:00,1440.0,3489,3405,71,7,3,3,65.0,3489.0,77.0,445.0,77.0
543751,کلان کلايه - املش,1397/12/03 00:00:00,1397/12/04 00:00:00,1440.0,3094,3023,59,6,3,3,63.0,3094.0,66.0,362.0,56.0
543751,کلان کلايه - املش,1397/12/04 00:00:00,1397/12/05 00:00:00,1440.0,2935,2856,70,7,2,0,66.0,2935.0,63.0,281.0,66.0
543751,کلان کلايه - املش,1397/12/05 00:00:00,1397/12/06 00:00:00,1440.0,2942,2846,84,8,2,2,65.0,2942.0,64.0,289.0,56.0
543751,کلان کلايه - املش,1397/12/06 00:00:00,1397/12/07 00:00:00,1440.0,3232,3164,59,4,4,1,64.0,3232.0,58.0,348.0,68.0
543751,کلان کلايه - املش,1397/12/07 00:00:00,1397/12/08 00:00:00,1440.0,3221,3128,82,6,2,3,65.0,3221.0,96.0,361.0,77.0
543751,کلان کلايه - املش,1397/12/08 00:00:00,1397/12/09 00:00:00,1435.0,3118,3025,74,15,2,2,64.0,3118.0,69.0,311.0,69.0
543751,کلان کلايه - املش,1397/12/09 00:00:00,1397/12/10 00:00:00,1440.0,3320,3244,65,8,2,1,63.0,3320.0,67.0,370.0,73.0
543751,کلان کلايه - املش,1397/12/10 00:00:00,1397/12/11 00:00:00,1440.0,2903,2846,49,3,5,0,63.0,2903.0,45.0,357.0,73.0
543751,کلان کلايه - املش,1397/12/11 00:00:00,1397/12/12 00:00:00,1440.0,3010,2928,76,4,1,1,65.0,3010.0,80.0,305.0,59.0
543751,کلان کلايه - املش,1397/12/12 00:00:00,1397/12/13 00:00:00,1440.0,3070,2953,102,11,4,0,64.0,3070.0,68.0,311.0,71.0
543751,کلان کلايه - املش,1397/12/13 00:00:00,1397/12/14 00:00:00,1430.0,3235,3142,80,9,2,2,64.0,3253.0,72.0,385.0,80.0
543751,کلان کلايه - املش,1397/12/14 00:00:00,1397/12/15 00:00:00,1440.0,3082,2976,93,8,2,3,65.0,3082.0,79.0,318.0,69.0
543751,کلان کلايه - املش,1397/12/15 00:00:00,1397/12/16 00:00:00,1440.0,3208,3076,112,11,5,4,65.0,3208.0,86.0,351.0,65.0
543751,کلان کلايه - املش,1397/12/16 00:00:00,1397/12/17 00:00:00,1435.0,3521,3421,88,11,0,1,65.0,3521.0,78.0,433.0,86.0
543751,کلان کلايه - املش,1397/12/17 00:00:00,1397/12/18 00:00:00,1440.0,2644,2597,41,5,1,0,61.0,2644.0,23.0,263.0,61.0
543751,کلان کلايه - املش,1397/12/18 00:00:00,1397/12/19 00:00:00,1440.0,3008,2938,57,5,4,4,65.0,3008.0,78.0,303.0,69.0
543751,کلان کلايه - املش,1397/12/19 00:00:00,1397/12/20 00:00:00,1405.0,3066,2972,85,7,2,0,65.0,3173.0,72.0,325.0,69.0
543751,کلان کلايه - املش,1397/12/20 00:00:00,1397/12/21 00:00:00,1410.0,3345,3241,88,11,3,2,65.0,3466.0,79.0,412.0,71.0
543751,کلان کلايه - املش,1397/12/21 00:00:00,1397/12/22 00:00:00,1010.0,2527,2433,78,11,2,3,65.0,3159.0,72.0,279.0,60.0
543751,کلان کلايه - املش,1397/12/22 00:00:00,1397/12/23 00:00:00,1440.0,3324,3184,124,11,3,2,66.0,3324.0,98.0,353.0,75.0
543751,کلان کلايه - املش,1397/12/23 00:00:00,1397/12/24 00:00:00,1440.0,3612,3501,96,10,2,3,62.0,3612.0,41.0,420.0,81.0
543751,کلان کلايه - املش,1397/12/24 00:00:00,1397/12/25 00:00:00,1440.0,2844,2769,61,9,0,5,62.0,2844.0,35.0,290.0,52.0
543751,کلان کلايه - املش,1397/12/25 00:00:00,1397/12/26 00:00:00,1440.0,3300,3195,92,5,2,6,65.0,3300.0,81.0,375.0,81.0
543751,کلان کلايه - املش,1397/12/26 00:00:00,1397/12/27 00:00:00,1440.0,3543,3451,82,6,1,3,65.0,3543.0,82.0,408.0,78.0
543751,کلان کلايه - املش,1397/12/27 00:00:00,1397/12/28 00:00:00,1440.0,3685,3589,77,16,3,0,62.0,3688.0,39.0,459.0,79.0
543751,کلان کلايه - املش,1397/12/28 00:00:00,1397/12/29 00:00:00,1435.0,3733,3673,50,4,1,5,62.0,3755.0,41.0,503.0,76.0
543751,کلان کلايه - املش,1397/12/29 00:00:00,1398/01/01 00:00:00,1440.0,3705,3686,17,2,0,0,64.0,3705.0,64.0,475.0,78.0
543751,کلان کلايه - املش,1401/12/01 00:00:00,1401/12/02 00:00:00,1435.0,3536,3454,78,3,0,1,55.0,3536.0,19.0,71.0,140.0
543751,کلان کلايه - املش,1401/12/02 00:00:00,1401/12/03 00:00:00,1430.0,3263,3179,77,2,3,2,54.0,3298.0,10.0,59.0,123.0
543751,کلان کلايه - املش,1401/12/03 00:00:00,1401/12/04 00:00:00,1440.0,3402,3308,85,4,1,4,55.0,3402.0,20.0,65.0,123.0
543751,کلان کلايه - املش,1401/12/04 00:00:00,1401/12/05 00:00:00,1440.0,3495,3406,79,5,0,5,53.0,3495.0,12.0,64.0,121.0
543751,کلان کلايه - املش,1401/12/05 00:00:00,1401/12/06 00:00:00,1390.0,2652,2617,28,3,4,0,52.0,2708.0,4.0,37.0,98.0
543751,کلان کلايه - املش,1401/12/06 00:00:00,1401/12/07 00:00:00,1380.0,3125,3039,77,7,0,2,54.0,3249.0,13.0,50.0,119.0
543751,کلان کلايه - املش,1401/12/07 00:00:00,1401/12/08 00:00:00,1400.0,3091,3006,79,2,1,3,56.0,3213.0,20.0,55.0,111.0
543751,کلان کلايه - املش,1401/12/08 00:00:00,1401/12/09 00:00:00,1290.0,3081,3000,72,4,1,4,53.0,3386.0,9.0,63.0,107.0
543751,کلان کلايه - املش,1401/12/09 00:00:00,1401/12/10 00:00:00,1425.0,3156,3079,70,2,0,5,54.0,3204.0,15.0,49.0,111.0
543751,کلان کلايه - املش,1401/12/10 00:00:00,1401/12/11 00:00:00,1410.0,3268,3179,80,6,1,2,53.0,3316.0,15.0,60.0,105.0
543751,کلان کلايه - املش,1401/12/11 00:00:00,1401/12/12 00:00:00,1440.0,3544,3473,66,2,3,0,54.0,3544.0,12.0,80.0,115.0
543751,کلان کلايه - املش,1401/12/12 00:00:00,1401/12/13 00:00:00,1440.0,3334,3299,31,2,1,1,54.0,3334.0,18.0,57.0,143.0
543751,کلان کلايه - املش,1401/12/13 00:00:00,1401/12/14 00:00:00,1440.0,3182,3084,88,6,2,2,55.0,3182.0,11.0,71.0,127.0
543751,کلان کلايه - املش,1401/12/14 00:00:00,1401/12/15 00:00:00,1440.0,3225,3140,77,4,2,2,55.0,3225.0,14.0,60.0,123.0
543751,کلان کلايه - املش,1401/12/15 00:00:00,1401/12/16 00:00:00,1435.0,3463,3381,73,5,2,2,54.0,3486.0,16.0,72.0,146.0
543751,کلان کلايه - املش,1401/12/16 00:00:00,1401/12/17 00:00:00,1410.0,3278,3199,65,8,2,4,51.0,3383.0,6.0,39.0,122.0
543751,کلان کلايه - املش,1401/12/17 00:00:00,1401/12/18 00:00:00,1440.0,3163,3080,74,3,2,4,52.0,3163.0,9.0,54.0,150.0
543751,کلان کلايه - املش,1401/12/18 00:00:00,1401/12/19 00:00:00,1440.0,3610,3518,80,4,1,7,52.0,3610.0,5.0,71.0,152.0
543751,کلان کلايه - املش,1401/12/19 00:00:00,1401/12/20 00:00:00,1440.0,3177,3125,40,5,4,3,53.0,3177.0,10.0,59.0,120.0
543751,کلان کلايه - املش,1401/12/20 00:00:00,1401/12/21 00:00:00,1440.0,3203,3141,57,2,1,2,56.0,3210.0,15.0,61.0,124.0
543751,کلان کلايه - املش,1401/12/21 00:00:00,1401/12/22 00:00:00,1355.0,3048,2963,75,3,2,5,54.0,3357.0,13.0,61.0,136.0
543751,کلان کلايه - املش,1401/12/22 00:00:00,1401/12/23 00:00:00,1395.0,3467,3380,83,3,0,1,54.0,3551.0,18.0,67.0,124.0
