Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Estimated Number,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations
543652,کلاچاي - رودسر,1397/12/01 00:00:00,1397/12/02 00:00:00,1305.0,18158,16912,658,196,145,247,73.0,18390.0,25.0,3465.0,0.0
543652,کلاچاي - رودسر,1397/12/02 00:00:00,1397/12/03 00:00:00,1405.0,19498,18223,708,237,124,206,73.0,20101.0,24.0,3909.0,0.0
543652,کلاچاي - رودسر,1397/12/03 00:00:00,1397/12/04 00:00:00,1440.0,19383,18298,568,164,155,198,74.0,19383.0,38.0,4031.0,0.0
543652,کلاچاي - رودسر,1397/12/04 00:00:00,1397/12/05 00:00:00,1440.0,18295,17108,661,192,120,214,73.0,18295.0,24.0,3360.0,0.0
543652,کلاچاي - رودسر,1397/12/05 00:00:00,1397/12/06 00:00:00,1440.0,17859,16559,731,226,122,221,72.0,17859.0,26.0,3140.0,0.0
543652,کلاچاي - رودسر,1397/12/06 00:00:00,1397/12/07 00:00:00,1440.0,18109,16784,741,220,134,230,72.0,18109.0,26.0,3232.0,0.0
543652,کلاچاي - رودسر,1397/12/07 00:00:00,1397/12/08 00:00:00,1440.0,18534,17230,708,231,133,232,73.0,18534.0,28.0,3463.0,0.0
543652,کلاچاي - رودسر,1397/12/08 00:00:00,1397/12/09 00:00:00,1435.0,18665,17341,728,241,141,214,71.0,18674.0,17.0,3517.0,0.0
543652,کلاچاي - رودسر,1397/12/09 00:00:00,1397/12/10 00:00:00,1440.0,19680,18414,695,230,149,192,71.0,19680.0,25.0,4020.0,0.0
543652,کلاچاي - رودسر,1397/12/10 00:00:00,1397/12/11 00:00:00,1440.0,18160,17163,530,162,141,164,73.0,18160.0,46.0,3600.0,0.0
543652,کلاچاي - رودسر,1397/12/11 00:00:00,1397/12/12 00:00:00,1440.0,18687,17427,687,222,139,212,73.0,18687.0,31.0,3512.0,0.0
543652,کلاچاي - رودسر,1397/12/12 00:00:00,1397/12/13 00:00:00,1440.0,18347,16899,797,286,136,229,72.0,18347.0,20.0,3426.0,0.0
543652,کلاچاي - رودسر,1397/12/13 00:00:00,1397/12/14 00:00:00,1440.0,17924,16572,747,245,132,228,73.0,17924.0,25.0,3287.0,0.0
543652,کلاچاي - رودسر,1397/12/14 00:00:00,1397/12/15 00:00:00,1440.0,18103,16676,764,278,142,243,73.0,18103.0,24.0,3346.0,0.0
543652,کلاچاي - رودسر,1397/12/15 00:00:00,1397/12/16 00:00:00,1440.0,19231,17801,741,276,143,270,73.0,19231.0,31.0,3622.0,0.0
543652,کلاچاي - رودسر,1397/12/16 00:00:00,1397/12/17 00:00:00,1435.0,20857,19403,817,255,142,240,72.0,20872.0,30.0,4371.0,0.0
543652,کلاچاي - رودسر,1397/12/17 00:00:00,1397/12/18 00:00:00,1440.0,16808,15764,540,195,120,189,70.0,16808.0,17.0,2754.0,0.0
543652,کلاچاي - رودسر,1397/12/18 00:00:00,1397/12/19 00:00:00,1440.0,18757,17585,668,196,127,181,73.0,18757.0,18.0,3487.0,0.0
543652,کلاچاي - رودسر,1397/12/19 00:00:00,1397/12/20 00:00:00,1440.0,18909,17546,759,254,130,220,73.0,18909.0,21.0,3660.0,0.0
543652,کلاچاي - رودسر,1397/12/20 00:00:00,1397/12/21 00:00:00,1410.0,18124,16671,789,251,171,242,73.0,18639.0,30.0,3321.0,0.0
543652,کلاچاي - رودسر,1397/12/21 00:00:00,1397/12/22 00:00:00,990.0,15368,14139,663,254,131,181,73.0,19100.0,19.0,3043.0,0.0
543652,کلاچاي - رودسر,1397/12/22 00:00:00,1397/12/23 00:00:00,1440.0,20052,18529,827,312,162,222,73.0,20052.0,29.0,3860.0,0.0
543652,کلاچاي - رودسر,1397/12/23 00:00:00,1397/12/24 00:00:00,1440.0,21274,19655,912,314,169,224,72.0,21274.0,20.0,4510.0,0.0
543652,کلاچاي - رودسر,1397/12/24 00:00:00,1397/12/25 00:00:00,1440.0,19220,17933,669,239,151,228,71.0,19220.0,28.0,3711.0,0.0
543652,کلاچاي - رودسر,1397/12/25 00:00:00,1397/12/26 00:00:00,1440.0,20991,19476,852,298,170,195,73.0,20991.0,31.0,4191.0,0.0
543652,کلاچاي - رودسر,1397/12/26 00:00:00,1397/12/27 00:00:00,1440.0,21875,20253,944,305,166,207,71.0,21875.0,29.0,4746.0,0.0
543652,کلاچاي - رودسر,1397/12/27 00:00:00,1397/12/28 00:00:00,1440.0,21265,19909,780,232,158,186,70.0,21265.0,22.0,4418.0,0.0
