Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Estimated Number,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations
543601,کلاچاي - چابکسر,1397/12/01 00:00:00,1397/12/02 00:00:00,1300.0,13368,12301,471,276,83,237,75.0,13624.0,17.0,1972.0,0.0
543601,کلاچاي - چابکسر,1397/12/02 00:00:00,1397/12/03 00:00:00,1435.0,9824,8776,477,244,51,276,73.0,9832.0,9.0,1416.0,0.0
543601,کلاچاي - چابکسر,1397/12/03 00:00:00,1397/12/04 00:00:00,1440.0,11088,10219,366,208,51,244,74.0,11088.0,14.0,1662.0,0.0
543601,کلاچاي - چابکسر,1397/12/04 00:00:00,1397/12/05 00:00:00,1430.0,12999,12002,452,212,79,254,76.0,13072.0,26.0,1666.0,0.0
543601,کلاچاي - چابکسر,1397/12/05 00:00:00,1397/12/06 00:00:00,1435.0,12606,11473,531,279,61,262,76.0,12612.0,29.0,1620.0,0.0
543601,کلاچاي - چابکسر,1397/12/06 00:00:00,1397/12/07 00:00:00,1440.0,12924,11725,525,296,86,292,75.0,12924.0,29.0,1674.0,0.0
543601,کلاچاي - چابکسر,1397/12/07 00:00:00,1397/12/08 00:00:00,1440.0,13364,12174,542,292,77,279,75.0,13364.0,26.0,1759.0,0.0
543601,کلاچاي - چابکسر,1397/12/08 00:00:00,1397/12/09 00:00:00,1440.0,13925,12797,524,285,76,243,75.0,13925.0,21.0,1931.0,0.0
543601,کلاچاي - چابکسر,1397/12/09 00:00:00,1397/12/10 00:00:00,1440.0,15527,14432,521,291,76,207,75.0,15527.0,30.0,2356.0,0.0
543601,کلاچاي - چابکسر,1397/12/10 00:00:00,1397/12/11 00:00:00,1440.0,14600,13664,408,237,66,225,75.0,14600.0,35.0,2266.0,0.0
543601,کلاچاي - چابکسر,1397/12/11 00:00:00,1397/12/12 00:00:00,1440.0,11828,10828,466,247,71,216,74.0,11828.0,17.0,1534.0,0.0
543601,کلاچاي - چابکسر,1397/12/12 00:00:00,1397/12/13 00:00:00,1440.0,13095,11767,620,354,86,268,75.0,13095.0,24.0,1696.0,0.0
543601,کلاچاي - چابکسر,1397/12/13 00:00:00,1397/12/14 00:00:00,1435.0,11343,10101,519,341,80,302,74.0,11387.0,16.0,1404.0,0.0
543601,کلاچاي - چابکسر,1397/12/14 00:00:00,1397/12/15 00:00:00,1440.0,12238,10871,601,369,67,330,75.0,12238.0,33.0,1598.0,0.0
543601,کلاچاي - چابکسر,1397/12/15 00:00:00,1397/12/16 00:00:00,1440.0,11455,10137,560,371,81,306,74.0,11455.0,17.0,1644.0,0.0
543601,کلاچاي - چابکسر,1397/12/16 00:00:00,1397/12/17 00:00:00,1435.0,13046,11868,519,337,70,252,76.0,13115.0,34.0,2101.0,0.0
543601,کلاچاي - چابکسر,1397/12/17 00:00:00,1397/12/18 00:00:00,1430.0,8546,7639,395,234,57,221,69.0,8607.0,3.0,1057.0,0.0
543601,کلاچاي - چابکسر,1397/12/18 00:00:00,1397/12/19 00:00:00,1440.0,8961,8049,401,214,52,245,74.0,8961.0,8.0,1183.0,0.0
543601,کلاچاي - چابکسر,1397/12/19 00:00:00,1397/12/20 00:00:00,1440.0,9268,8131,533,325,35,244,73.0,9268.0,8.0,1278.0,0.0
543601,کلاچاي - چابکسر,1397/12/20 00:00:00,1397/12/21 00:00:00,1260.0,7495,6434,470,293,52,246,72.0,8918.0,9.0,994.0,0.0
543601,کلاچاي - چابکسر,1397/12/21 09:00:00,1397/12/22 00:00:00,865.0,6809,5971,389,199,50,200,72.0,9509.0,11.0,946.0,0.0
543601,کلاچاي - چابکسر,1397/12/22 00:00:00,1397/12/23 00:00:00,1435.0,9574,8231,604,372,62,305,73.0,9623.0,5.0,1355.0,0.0
543601,کلاچاي - چابکسر,1397/12/23 00:00:00,1397/12/24 00:00:00,1440.0,10126,8852,610,357,61,246,72.0,10126.0,14.0,1400.0,0.0
543601,کلاچاي - چابکسر,1397/12/24 00:00:00,1397/12/25 00:00:00,1440.0,9574,8409,529,319,63,254,70.0,9574.0,5.0,1283.0,0.0
543601,کلاچاي - چابکسر,1397/12/25 00:00:00,1397/12/26 00:00:00,1440.0,9985,8736,620,337,61,231,72.0,9985.0,4.0,1449.0,0.0
543601,کلاچاي - چابکسر,1397/12/26 00:00:00,1397/12/27 00:00:00,1430.0,10059,8773,664,324,60,238,72.0,10140.0,8.0,1465.0,0.0
543601,کلاچاي - چابکسر,1397/12/27 00:00:00,1397/12/28 00:00:00,1440.0,10571,9496,566,262,50,197,72.0,10571.0,7.0,1607.0,0.0
543601,کلاچاي - چابکسر,1397/12/28 00:00:00,1397/12/29 00:00:00,1435.0,10593,9892,347,160,47,147,71.0,10644.0,7.0,1517.0,0.0
543601,کلاچاي - چابکسر,1397/12/29 00:00:00,1398/01/01 00:00:00,1440.0,12985,12633,165,79,28,80,73.0,12985.0,11.0,2850.0,0.0
543601,کلاچاي - چابکسر,1401/12/01 00:00:00,1401/12/02 00:00:00,1435.0,14585,13251,821,137,22,354,68.0,14599.0,119.0,809.0,0.0
543601,کلاچاي - چابکسر,1401/12/02 00:00:00,1401/12/03 00:00:00,1425.0,14491,11834,1939,328,6,384,70.0,14682.0,303.0,1818.0,0.0
