Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Estimated Number,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations
543404,کوچصفهان - آستانه,1397/12/01 00:00:00,1397/12/02 00:00:00,1305.0,24832,23661,520,264,92,295,85.0,25301.0,606.0,6295.0,0.0
543404,کوچصفهان - آستانه,1397/12/02 00:00:00,1397/12/03 00:00:00,1440.0,28058,26854,521,268,100,315,85.0,28058.0,660.0,7664.0,0.0
543404,کوچصفهان - آستانه,1397/12/03 00:00:00,1397/12/04 00:00:00,1440.0,26469,25596,272,189,102,310,84.0,26469.0,615.0,7315.0,0.0
543404,کوچصفهان - آستانه,1397/12/04 00:00:00,1397/12/05 00:00:00,1440.0,23887,22583,559,311,112,322,85.0,23887.0,690.0,5438.0,0.0
543404,کوچصفهان - آستانه,1397/12/05 00:00:00,1397/12/06 00:00:00,1440.0,24119,22796,607,313,109,294,85.0,24119.0,727.0,5811.0,0.0
543404,کوچصفهان - آستانه,1397/12/06 00:00:00,1397/12/07 00:00:00,1440.0,23724,22409,560,334,101,320,85.0,23724.0,721.0,5480.0,0.0
543404,کوچصفهان - آستانه,1397/12/07 00:00:00,1397/12/08 00:00:00,1440.0,25042,23736,562,317,100,327,85.0,25042.0,650.0,6248.0,0.0
543404,کوچصفهان - آستانه,1397/12/08 00:00:00,1397/12/09 00:00:00,1440.0,25792,24466,615,293,104,314,84.0,25792.0,586.0,6607.0,0.0
543404,کوچصفهان - آستانه,1397/12/09 00:00:00,1397/12/10 00:00:00,1440.0,26687,25459,564,290,92,282,84.0,26687.0,483.0,7216.0,0.0
543404,کوچصفهان - آستانه,1397/12/10 00:00:00,1397/12/11 00:00:00,1440.0,23882,22982,286,217,94,303,84.0,23882.0,532.0,6089.0,0.0
543404,کوچصفهان - آستانه,1397/12/11 00:00:00,1397/12/12 00:00:00,1440.0,23815,22569,531,294,107,314,85.0,23815.0,635.0,5510.0,0.0
543404,کوچصفهان - آستانه,1397/12/12 00:00:00,1397/12/13 00:00:00,1440.0,24270,22889,603,338,106,334,85.0,24270.0,616.0,5867.0,0.0
543404,کوچصفهان - آستانه,1397/12/13 00:00:00,1397/12/14 00:00:00,1420.0,23052,21696,613,325,96,322,85.0,23449.0,668.0,5298.0,0.0
543404,کوچصفهان - آستانه,1397/12/14 00:00:00,1397/12/15 00:00:00,1440.0,23549,22159,621,316,102,351,85.0,23549.0,668.0,5598.0,0.0
543404,کوچصفهان - آستانه,1397/12/15 00:00:00,1397/12/16 00:00:00,1440.0,26182,24562,719,388,125,388,84.0,26182.0,600.0,6958.0,0.0
543404,کوچصفهان - آستانه,1397/12/16 00:00:00,1397/12/17 00:00:00,1435.0,27949,26595,572,364,99,319,83.0,27965.0,485.0,7865.0,0.0
543404,کوچصفهان - آستانه,1397/12/17 00:00:00,1397/12/18 00:00:00,1430.0,19258,18426,253,217,94,268,80.0,19297.0,239.0,3268.0,0.0
543404,کوچصفهان - آستانه,1397/12/18 00:00:00,1397/12/19 00:00:00,1440.0,23983,22703,567,299,84,330,85.0,23983.0,636.0,5527.0,0.0
