Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Estimated Number,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations
543160,کوچصفهان - رشت,1397/12/01 00:00:00,1397/12/02 00:00:00,1300.0,32751,31767,536,221,98,129,79.0,33261.0,50.0,11375.0,0.0
543160,کوچصفهان - رشت,1397/12/02 00:00:00,1397/12/03 00:00:00,1440.0,34034,33003,576,210,93,152,79.0,34034.0,46.0,11481.0,0.0
543160,کوچصفهان - رشت,1397/12/03 00:00:00,1397/12/04 00:00:00,1440.0,36448,35631,379,217,81,140,76.0,36448.0,61.0,14830.0,0.0
543160,کوچصفهان - رشت,1397/12/04 00:00:00,1397/12/05 00:00:00,1430.0,33839,32698,632,269,89,151,80.0,34031.0,66.0,11626.0,0.0
543160,کوچصفهان - رشت,1397/12/05 00:00:00,1397/12/06 00:00:00,1440.0,33430,32331,595,232,106,166,80.0,33430.0,60.0,11482.0,0.0
543160,کوچصفهان - رشت,1397/12/06 00:00:00,1397/12/07 00:00:00,1440.0,32264,31189,583,245,74,173,79.0,32264.0,50.0,10688.0,0.0
543160,کوچصفهان - رشت,1397/12/07 00:00:00,1397/12/08 00:00:00,1440.0,34636,33506,619,249,124,138,79.0,34636.0,73.0,12349.0,0.0
543160,کوچصفهان - رشت,1397/12/08 00:00:00,1397/12/09 00:00:00,1410.0,33960,32800,631,259,126,144,77.0,34539.0,60.0,12032.0,0.0
543160,کوچصفهان - رشت,1397/12/09 00:00:00,1397/12/10 00:00:00,1395.0,31323,30307,571,204,99,142,76.0,32708.0,55.0,10213.0,0.0
543160,کوچصفهان - رشت,1397/12/10 00:00:00,1397/12/11 00:00:00,1440.0,34268,33439,374,216,95,144,76.0,34268.0,50.0,13220.0,0.0
543160,کوچصفهان - رشت,1397/12/11 00:00:00,1397/12/12 00:00:00,1440.0,34708,33603,609,255,104,137,79.0,34708.0,39.0,11831.0,0.0
543160,کوچصفهان - رشت,1397/12/12 00:00:00,1397/12/13 00:00:00,1425.0,33337,32133,668,252,128,156,78.0,33810.0,35.0,11659.0,0.0
543160,کوچصفهان - رشت,1397/12/13 00:00:00,1397/12/14 00:00:00,1435.0,32105,30956,629,256,90,174,80.0,32290.0,54.0,10486.0,0.0
543160,کوچصفهان - رشت,1397/12/14 00:00:00,1397/12/15 00:00:00,1440.0,32487,31277,643,277,102,188,80.0,32487.0,49.0,10514.0,0.0
543160,کوچصفهان - رشت,1397/12/15 00:00:00,1397/12/16 00:00:00,1440.0,34801,33439,745,299,122,196,79.0,34801.0,52.0,12333.0,0.0
543160,کوچصفهان - رشت,1397/12/16 00:00:00,1397/12/17 00:00:00,1435.0,34867,33725,608,257,112,165,76.0,35063.0,33.0,12134.0,0.0
543160,کوچصفهان - رشت,1397/12/17 00:00:00,1397/12/18 00:00:00,1430.0,28358,27672,307,195,57,127,73.0,28564.0,16.0,8335.0,0.0
543160,کوچصفهان - رشت,1397/12/18 00:00:00,1397/12/19 00:00:00,1440.0,34349,33249,619,242,102,137,79.0,34349.0,50.0,11694.0,0.0
543160,کوچصفهان - رشت,1397/12/19 00:00:00,1397/12/20 00:00:00,1440.0,34035,32885,627,281,99,143,80.0,34035.0,50.0,11986.0,0.0
543160,کوچصفهان - رشت,1397/12/20 00:00:00,1397/12/20 23:20:00,1370.0,31253,30117,636,231,114,155,80.0,32764.0,50.0,10506.0,0.0
543160,کوچصفهان - رشت,1397/12/21 09:00:00,1397/12/22 00:00:00,810.0,23778,22958,455,171,86,108,79.0,33450.0,34.0,8423.0,0.0
543160,کوچصفهان - رشت,1397/12/22 00:00:00,1397/12/23 00:00:00,1435.0,35517,34186,701,311,139,180,79.0,35703.0,43.0,12812.0,0.0
543160,کوچصفهان - رشت,1397/12/23 00:00:00,1397/12/24 00:00:00,1440.0,35967,34745,667,277,107,171,78.0,35967.0,44.0,12818.0,0.0
543160,کوچصفهان - رشت,1397/12/24 00:00:00,1397/12/25 00:00:00,1440.0,32835,31987,399,209,83,157,76.0,32835.0,56.0,11110.0,0.0
543160,کوچصفهان - رشت,1397/12/25 00:00:00,1397/12/26 00:00:00,1440.0,36369,35195,634,299,96,145,79.0,36369.0,41.0,12799.0,0.0
543160,کوچصفهان - رشت,1397/12/26 00:00:00,1397/12/27 00:00:00,1430.0,35702,34475,671,284,115,157,78.0,36021.0,44.0,12652.0,0.0
