Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Estimated Number,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations
543103,کوچصفهان - سنگر,1397/12/01 00:00:00,1397/12/02 00:00:00,1305.0,6374,5728,328,77,112,129,73.0,6475.0,435.0,1437.0,62.0
543103,کوچصفهان - سنگر,1397/12/02 00:00:00,1397/12/03 00:00:00,1440.0,6361,5736,326,67,123,109,72.0,6361.0,500.0,1365.0,63.0
543103,کوچصفهان - سنگر,1397/12/03 00:00:00,1397/12/04 00:00:00,1440.0,7153,6712,169,67,121,84,73.0,7153.0,540.0,1783.0,74.0
543103,کوچصفهان - سنگر,1397/12/04 00:00:00,1397/12/05 00:00:00,1440.0,6515,5864,314,89,127,121,74.0,6515.0,570.0,1442.0,80.0
543103,کوچصفهان - سنگر,1397/12/05 00:00:00,1397/12/06 00:00:00,1440.0,6583,5919,351,97,112,104,72.0,6583.0,444.0,1441.0,94.0
543103,کوچصفهان - سنگر,1397/12/06 00:00:00,1397/12/07 00:00:00,1440.0,6084,5426,332,89,118,119,72.0,6084.0,434.0,1223.0,85.0
543103,کوچصفهان - سنگر,1397/12/07 00:00:00,1397/12/08 00:00:00,1440.0,6430,5704,382,104,115,125,73.0,6430.0,536.0,1372.0,80.0
543103,کوچصفهان - سنگر,1397/12/08 00:00:00,1397/12/09 00:00:00,1440.0,6674,5955,373,98,132,116,70.0,6674.0,381.0,1524.0,81.0
543103,کوچصفهان - سنگر,1397/12/09 00:00:00,1397/12/10 00:00:00,1440.0,6217,5505,347,100,140,125,70.0,6217.0,411.0,1347.0,81.0
543103,کوچصفهان - سنگر,1397/12/10 00:00:00,1397/12/11 00:00:00,1440.0,6899,6446,186,61,119,87,72.0,6899.0,374.0,1768.0,80.0
543103,کوچصفهان - سنگر,1397/12/11 00:00:00,1397/12/12 00:00:00,1440.0,6711,5971,379,108,123,130,73.0,6711.0,577.0,1463.0,77.0
543103,کوچصفهان - سنگر,1397/12/12 00:00:00,1397/12/13 00:00:00,1440.0,6662,5926,395,108,121,112,72.0,6662.0,442.0,1482.0,76.0
543103,کوچصفهان - سنگر,1397/12/13 00:00:00,1397/12/14 00:00:00,1435.0,6192,5403,428,99,127,135,73.0,6222.0,504.0,1344.0,82.0
543103,کوچصفهان - سنگر,1397/12/14 00:00:00,1397/12/15 00:00:00,1440.0,6169,5399,390,129,108,143,73.0,6169.0,578.0,1353.0,82.0
543103,کوچصفهان - سنگر,1397/12/15 00:00:00,1397/12/16 00:00:00,1440.0,7151,6301,410,113,157,170,72.0,7151.0,499.0,1785.0,88.0
543103,کوچصفهان - سنگر,1397/12/16 00:00:00,1397/12/17 00:00:00,1435.0,6539,5811,392,105,98,133,68.0,6546.0,321.0,1554.0,77.0
543103,کوچصفهان - سنگر,1397/12/17 00:00:00,1397/12/18 00:00:00,1440.0,6613,6083,231,88,115,96,67.0,6613.0,162.0,1538.0,107.0
543103,کوچصفهان - سنگر,1397/12/18 00:00:00,1397/12/19 00:00:00,1440.0,6902,6117,424,120,110,131,72.0,6902.0,442.0,1645.0,95.0
543103,کوچصفهان - سنگر,1397/12/19 00:00:00,1397/12/20 00:00:00,1440.0,6941,6148,406,120,138,129,73.0,6941.0,549.0,1596.0,78.0
543103,کوچصفهان - سنگر,1397/12/20 00:00:00,1397/12/21 00:00:00,1410.0,6034,5241,410,125,121,137,73.0,6222.0,498.0,1284.0,89.0
543103,کوچصفهان - سنگر,1397/12/21 00:00:00,1397/12/22 00:00:00,1015.0,5030,4331,365,118,114,102,71.0,6386.0,330.0,1172.0,59.0
543103,کوچصفهان - سنگر,1397/12/22 00:00:00,1397/12/23 00:00:00,1440.0,7323,6424,460,145,162,132,71.0,7323.0,461.0,1900.0,113.0
543103,کوچصفهان - سنگر,1397/12/23 00:00:00,1397/12/24 00:00:00,1440.0,7083,6179,461,129,139,175,71.0,7083.0,466.0,1733.0,114.0
543103,کوچصفهان - سنگر,1397/12/24 00:00:00,1397/12/25 00:00:00,1440.0,6677,6010,323,106,113,125,69.0,6677.0,332.0,1553.0,103.0
543103,کوچصفهان - سنگر,1397/12/25 00:00:00,1397/12/26 00:00:00,1425.0,6875,6020,465,141,115,134,70.0,6922.0,331.0,1642.0,80.0
543103,کوچصفهان - سنگر,1397/12/26 00:00:00,1397/12/27 00:00:00,1440.0,7609,6622,515,154,139,179,69.0,7609.0,392.0,1920.0,100.0
543103,کوچصفهان - سنگر,1397/12/27 00:00:00,1397/12/28 00:00:00,1440.0,6395,5600,430,100,145,120,71.0,6395.0,371.0,1400.0,76.0
543103,کوچصفهان - سنگر,1397/12/28 00:00:00,1397/12/29 00:00:00,1430.0,6631,6013,291,69,132,126,71.0,6699.0,437.0,1507.0,64.0
543103,کوچصفهان - سنگر,1397/12/29 00:00:00,1398/01/01 00:00:00,1440.0,6730,6342,145,51,122,70,70.0,6730.0,264.0,1619.0,53.0
543103,کوچصفهان - سنگر,1401/12/01 00:00:00,1401/12/02 00:00:00,1435.0,8385,7684,437,72,50,142,46.0,8391.0,5.0,292.0,0.0
543103,کوچصفهان - سنگر,1401/12/02 00:00:00,1401/12/03 00:00:00,1435.0,8066,7405,387,92,50,132,46.0,8110.0,7.0,265.0,0.0
543103,کوچصفهان - سنگر,1401/12/03 00:00:00,1401/12/04 00:00:00,1440.0,9103,8256,529,103,50,165,46.0,9103.0,6.0,390.0,0.0
543103,کوچصفهان - سنگر,1401/12/04 00:00:00,1401/12/05 00:00:00,1440.0,8072,7457,351,89,54,121,46.0,8072.0,5.0,241.0,0.0
543103,کوچصفهان - سنگر,1401/12/05 00:00:00,1401/12/06 00:00:00,1370.0,7284,6887,195,63,62,77,47.0,7503.0,8.0,220.0,0.0
543103,کوچصفهان - سنگر,1401/12/06 00:00:00,1401/12/07 00:00:00,1405.0,8368,7678,404,123,63,100,46.0,8564.0,10.0,277.0,0.0
543103,کوچصفهان - سنگر,1401/12/07 00:00:00,1401/12/08 00:00:00,1425.0,8975,8243,434,94,65,139,46.0,9117.0,11.0,390.0,0.0
543103,کوچصفهان - سنگر,1401/12/08 00:00:00,1401/12/09 00:00:00,1235.0,6784,6142,406,88,53,95,46.0,8274.0,13.0,336.0,0.0
543103,کوچصفهان - سنگر,1401/12/09 00:00:00,1401/12/10 00:00:00,1420.0,8062,7287,495,110,55,115,45.0,8190.0,7.0,421.0,0.0
543103,کوچصفهان - سنگر,1401/12/10 00:00:00,1401/12/11 00:00:00,1390.0,8926,8119,495,122,59,131,45.0,9211.0,13.0,481.0,0.0
543103,کوچصفهان - سنگر,1401/12/11 00:00:00,1401/12/12 00:00:00,1440.0,8227,7460,479,104,56,128,46.0,8227.0,20.0,464.0,0.0
543103,کوچصفهان - سنگر,1401/12/12 00:00:00,1401/12/13 00:00:00,1440.0,8550,8059,261,95,47,88,47.0,8550.0,7.0,360.0,0.0
543103,کوچصفهان - سنگر,1401/12/13 00:00:00,1401/12/14 00:00:00,1440.0,8823,8047,481,116,49,130,46.0,8823.0,13.0,450.0,0.0
543103,کوچصفهان - سنگر,1401/12/14 00:00:00,1401/12/15 00:00:00,1440.0,9039,8270,509,96,43,121,46.0,9039.0,16.0,468.0,0.0
543103,کوچصفهان - سنگر,1401/12/15 00:00:00,1401/12/16 00:00:00,1440.0,8391,7613,514,111,50,103,44.0,8391.0,11.0,429.0,0.0
543103,کوچصفهان - سنگر,1401/12/16 00:00:00,1401/12/17 00:00:00,1440.0,8484,7596,572,129,37,150,46.0,8484.0,23.0,478.0,0.0
543103,کوچصفهان - سنگر,1401/12/17 00:00:00,1401/12/18 00:00:00,1440.0,8882,8083,517,97,46,139,45.0,8882.0,10.0,532.0,0.0
543103,کوچصفهان - سنگر,1401/12/18 00:00:00,1401/12/19 00:00:00,1400.0,7797,7174,378,73,58,114,46.0,8157.0,9.0,371.0,0.0
543103,کوچصفهان - سنگر,1401/12/19 00:00:00,1401/12/20 00:00:00,1440.0,10238,9683,310,111,46,88,47.0,10238.0,11.0,515.0,0.0
543103,کوچصفهان - سنگر,1401/12/20 00:00:00,1401/12/21 00:00:00,1440.0,9345,8541,531,109,57,107,45.0,9345.0,14.0,498.0,0.0
543103,کوچصفهان - سنگر,1401/12/21 00:00:00,1401/12/22 00:00:00,1360.0,8491,7807,425,119,48,92,45.0,9391.0,16.0,390.0,0.0
543103,کوچصفهان - سنگر,1401/12/22 00:00:00,1401/12/23 00:00:00,1355.0,8164,7444,449,127,43,101,45.0,8562.0,8.0,352.0,0.0
543103,کوچصفهان - سنگر,1401/12/23 00:00:00,1401/12/24 00:00:00,1360.0,7969,7195,503,103,40,128,46.0,8295.0,8.0,384.0,0.0
543103,کوچصفهان - سنگر,1401/12/24 00:00:00,1401/12/25 00:00:00,1435.0,9111,8326,488,106,54,137,46.0,9164.0,9.0,427.0,0.0
543103,کوچصفهان - سنگر,1401/12/25 00:00:00,1401/12/26 00:00:00,1390.0,8430,7704,455,98,50,123,46.0,8493.0,9.0,410.0,0.0
543103,کوچصفهان - سنگر,1401/12/26 00:00:00,1401/12/27 00:00:00,1440.0,8049,7439,350,106,46,108,47.0,8049.0,12.0,365.0,0.0
