Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Estimated Number,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations
543452,کياشهر - آستانه,1397/12/01 00:00:00,1397/12/02 00:00:00,1300.0,8075,7948,87,19,9,12,79.0,8153.0,135.0,653.0,0.0
543452,کياشهر - آستانه,1397/12/02 00:00:00,1397/12/03 00:00:00,1440.0,8325,8192,82,21,7,23,80.0,8325.0,161.0,690.0,0.0
543452,کياشهر - آستانه,1397/12/03 00:00:00,1397/12/04 00:00:00,1440.0,8454,8353,64,13,15,9,80.0,8454.0,159.0,849.0,0.0
543452,کياشهر - آستانه,1397/12/04 00:00:00,1397/12/05 00:00:00,1435.0,7806,7669,87,18,10,22,80.0,7806.0,171.0,570.0,0.0
543452,کياشهر - آستانه,1397/12/05 00:00:00,1397/12/06 00:00:00,1430.0,7458,7302,107,24,14,11,81.0,7467.0,185.0,546.0,0.0
543452,کياشهر - آستانه,1397/12/06 00:00:00,1397/12/07 00:00:00,1440.0,7684,7526,97,23,15,23,80.0,7684.0,156.0,537.0,0.0
543452,کياشهر - آستانه,1397/12/07 00:00:00,1397/12/08 00:00:00,1440.0,8107,7954,96,30,11,16,81.0,8107.0,154.0,635.0,0.0
543452,کياشهر - آستانه,1397/12/08 00:00:00,1397/12/09 00:00:00,1420.0,8143,7984,108,21,10,20,79.0,8166.0,147.0,682.0,0.0
543452,کياشهر - آستانه,1397/12/09 00:00:00,1397/12/10 00:00:00,1440.0,7698,7547,104,22,12,13,79.0,7698.0,144.0,611.0,0.0
543452,کياشهر - آستانه,1397/12/10 00:00:00,1397/12/11 00:00:00,1440.0,7750,7646,74,14,4,12,79.0,7750.0,133.0,749.0,0.0
543452,کياشهر - آستانه,1397/12/11 00:00:00,1397/12/12 00:00:00,1440.0,8102,7962,88,32,8,12,81.0,8102.0,174.0,623.0,0.0
543452,کياشهر - آستانه,1397/12/12 00:00:00,1397/12/13 00:00:00,1440.0,7728,7574,107,26,3,18,82.0,7728.0,200.0,580.0,0.0
543452,کياشهر - آستانه,1397/12/13 00:00:00,1397/12/14 00:00:00,1430.0,7568,7419,97,23,18,11,81.0,7617.0,151.0,588.0,0.0
543452,کياشهر - آستانه,1397/12/14 00:00:00,1397/12/15 00:00:00,1440.0,7777,7596,104,43,10,24,81.0,7777.0,177.0,666.0,0.0
543452,کياشهر - آستانه,1397/12/15 00:00:00,1397/12/16 00:00:00,1440.0,8640,8436,122,26,20,36,80.0,8640.0,177.0,805.0,0.0
543452,کياشهر - آستانه,1397/12/16 00:00:00,1397/12/17 00:00:00,1435.0,8051,7889,108,20,12,22,81.0,8053.0,186.0,634.0,0.0
543452,کياشهر - آستانه,1397/12/17 00:00:00,1397/12/18 00:00:00,1440.0,6230,6135,66,12,12,5,75.0,6230.0,61.0,396.0,0.0
543452,کياشهر - آستانه,1397/12/18 00:00:00,1397/12/19 00:00:00,1440.0,7982,7814,109,32,9,18,81.0,7982.0,176.0,594.0,0.0
543452,کياشهر - آستانه,1397/12/19 00:00:00,1397/12/20 00:00:00,1415.0,7985,7822,100,32,10,21,80.0,8044.0,175.0,635.0,0.0
543452,کياشهر - آستانه,1397/12/20 00:00:00,1397/12/21 00:00:00,1370.0,7473,7334,84,22,14,19,81.0,7979.0,167.0,550.0,0.0
543452,کياشهر - آستانه,1397/12/21 00:00:00,1397/12/22 00:00:00,985.0,6620,6470,93,29,12,16,80.0,7981.0,122.0,474.0,0.0
543452,کياشهر - آستانه,1397/12/22 00:00:00,1397/12/23 00:00:00,1440.0,8775,8612,103,24,12,24,81.0,8775.0,163.0,705.0,0.0
543452,کياشهر - آستانه,1397/12/23 00:00:00,1397/12/24 00:00:00,1440.0,8363,8201,103,33,8,18,82.0,8363.0,228.0,660.0,0.0
543452,کياشهر - آستانه,1397/12/24 00:00:00,1397/12/25 00:00:00,1440.0,7074,6952,71,22,17,12,80.0,7074.0,160.0,479.0,0.0
543452,کياشهر - آستانه,1397/12/25 00:00:00,1397/12/26 00:00:00,1440.0,8489,8285,124,43,24,13,80.0,8489.0,137.0,671.0,0.0
543452,کياشهر - آستانه,1397/12/26 00:00:00,1397/12/27 00:00:00,1435.0,8244,8045,137,31,19,12,80.0,8278.0,155.0,593.0,0.0
543452,کياشهر - آستانه,1397/12/27 00:00:00,1397/12/28 00:00:00,1440.0,8388,8225,104,29,16,14,79.0,8388.0,149.0,704.0,0.0
543452,کياشهر - آستانه,1397/12/28 00:00:00,1397/12/29 00:00:00,1435.0,8105,7989,81,19,7,9,77.0,8160.0,95.0,660.0,0.0
543452,کياشهر - آستانه,1397/12/29 00:00:00,1398/01/01 00:00:00,1440.0,8776,8720,39,8,3,6,78.0,8776.0,117.0,720.0,0.0
543452,کياشهر - آستانه,1401/12/01 00:00:00,1401/12/02 00:00:00,1415.0,8789,8459,273,28,1,28,78.0,8813.0,350.0,305.0,0.0
543452,کياشهر - آستانه,1401/12/02 00:00:00,1401/12/03 00:00:00,1435.0,8748,8381,303,37,3,24,79.0,8794.0,440.0,323.0,0.0
543452,کياشهر - آستانه,1401/12/03 00:00:00,1401/12/04 00:00:00,1435.0,9275,8967,239,35,5,29,76.0,9277.0,319.0,363.0,0.0
543452,کياشهر - آستانه,1401/12/04 00:00:00,1401/12/05 00:00:00,1400.0,8642,8369,229,20,3,21,77.0,8993.0,462.0,266.0,0.0
543452,کياشهر - آستانه,1401/12/05 00:00:00,1401/12/06 00:00:00,1385.0,7327,7177,124,15,1,10,71.0,7488.0,122.0,195.0,0.0
543452,کياشهر - آستانه,1401/12/06 00:00:00,1401/12/07 00:00:00,1390.0,8604,8333,222,28,2,19,77.0,8967.0,361.0,274.0,0.0
543452,کياشهر - آستانه,1401/12/07 00:00:00,1401/12/08 00:00:00,1415.0,8873,8572,243,34,4,20,77.0,9077.0,435.0,278.0,0.0
