Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Estimated Number,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations
543453,کياشهر - حسن رود,1397/12/01 00:00:00,1397/12/02 00:00:00,1300.0,5016,4888,88,16,8,16,74.0,5125.0,104.0,273.0,0.0
543453,کياشهر - حسن رود,1397/12/02 00:00:00,1397/12/03 00:00:00,1440.0,6227,6114,67,20,7,19,74.0,6227.0,137.0,423.0,0.0
543453,کياشهر - حسن رود,1397/12/03 00:00:00,1397/12/04 00:00:00,1440.0,8395,8333,32,18,2,10,73.0,8395.0,140.0,959.0,0.0
543453,کياشهر - حسن رود,1397/12/04 00:00:00,1397/12/05 00:00:00,1435.0,5453,5372,54,15,4,8,73.0,5455.0,107.0,325.0,0.0
543453,کياشهر - حسن رود,1397/12/05 00:00:00,1397/12/06 00:00:00,1440.0,5190,5066,78,19,12,15,73.0,5190.0,105.0,305.0,0.0
543453,کياشهر - حسن رود,1397/12/06 00:00:00,1397/12/07 00:00:00,1390.0,4809,4721,49,23,6,10,73.0,5091.0,98.0,227.0,0.0
543453,کياشهر - حسن رود,1397/12/07 00:00:00,1397/12/08 00:00:00,1425.0,5450,5347,65,24,7,7,75.0,5503.0,136.0,281.0,0.0
543453,کياشهر - حسن رود,1397/12/08 00:00:00,1397/12/09 00:00:00,1355.0,4975,4874,55,28,7,11,71.0,5360.0,82.0,258.0,0.0
543453,کياشهر - حسن رود,1397/12/09 00:00:00,1397/12/10 00:00:00,1325.0,5257,5175,46,24,4,8,71.0,5769.0,72.0,372.0,0.0
543453,کياشهر - حسن رود,1397/12/10 00:00:00,1397/12/11 00:00:00,1230.0,6418,6358,40,10,4,6,73.0,7562.0,101.0,702.0,0.0
543453,کياشهر - حسن رود,1397/12/11 00:00:00,1397/12/12 00:00:00,1370.0,5508,5401,64,20,9,14,74.0,5666.0,124.0,361.0,0.0
543453,کياشهر - حسن رود,1397/12/12 00:00:00,1397/12/13 00:00:00,1410.0,5311,5205,72,20,5,9,74.0,5326.0,90.0,344.0,0.0
543453,کياشهر - حسن رود,1397/12/13 00:00:00,1397/12/14 00:00:00,1430.0,5152,5020,89,19,10,14,75.0,5184.0,140.0,259.0,0.0
543453,کياشهر - حسن رود,1397/12/14 00:00:00,1397/12/15 00:00:00,1430.0,5298,5136,108,28,9,17,74.0,5327.0,113.0,319.0,0.0
