Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations,Estimated Number
543554,طارم - منجيل (گيلوان - منجيل),1397/12/01 00:00:00,1397/12/02 00:00:00,1345.0,1587,1403,116,21,31,16,75.0,176.0,141.0,17.0,1628.0
543554,طارم - منجيل (گيلوان - منجيل),1397/12/02 00:00:00,1397/12/03 00:00:00,1440.0,1641,1461,123,11,29,17,75.0,160.0,144.0,18.0,1641.0
543554,طارم - منجيل (گيلوان - منجيل),1397/12/03 00:00:00,1397/12/04 00:00:00,1440.0,1775,1647,82,17,19,10,76.0,165.0,169.0,11.0,1775.0
543554,طارم - منجيل (گيلوان - منجيل),1397/12/04 00:00:00,1397/12/05 00:00:00,1435.0,1642,1412,155,23,37,15,74.0,160.0,130.0,11.0,1642.0
543554,طارم - منجيل (گيلوان - منجيل),1397/12/05 00:00:00,1397/12/06 00:00:00,1440.0,1576,1391,115,23,35,12,75.0,174.0,103.0,9.0,1576.0
543554,طارم - منجيل (گيلوان - منجيل),1397/12/06 00:00:00,1397/12/07 00:00:00,1440.0,1543,1317,133,34,38,21,75.0,163.0,106.0,16.0,1543.0
543554,طارم - منجيل (گيلوان - منجيل),1397/12/07 00:00:00,1397/12/08 00:00:00,1440.0,1560,1373,116,19,32,20,75.0,189.0,114.0,12.0,1560.0
543554,طارم - منجيل (گيلوان - منجيل),1397/12/08 00:00:00,1397/12/09 00:00:00,1440.0,1576,1384,112,23,38,19,75.0,157.0,140.0,18.0,1576.0
543554,طارم - منجيل (گيلوان - منجيل),1397/12/09 00:00:00,1397/12/10 00:00:00,1440.0,1567,1392,107,22,30,16,76.0,195.0,120.0,13.0,1567.0
543554,طارم - منجيل (گيلوان - منجيل),1397/12/10 00:00:00,1397/12/11 00:00:00,1440.0,1660,1532,82,14,16,16,76.0,144.0,156.0,14.0,1660.0
543554,طارم - منجيل (گيلوان - منجيل),1397/12/11 00:00:00,1397/12/12 00:00:00,1440.0,1709,1513,121,21,31,23,75.0,198.0,115.0,18.0,1709.0
543554,طارم - منجيل (گيلوان - منجيل),1397/12/12 00:00:00,1397/12/13 00:00:00,1440.0,1577,1374,125,29,32,17,75.0,180.0,127.0,17.0,1577.0
543554,طارم - منجيل (گيلوان - منجيل),1397/12/13 00:00:00,1397/12/14 00:00:00,1430.0,1515,1295,135,35,29,21,74.0,164.0,107.0,13.0,1524.0
543554,طارم - منجيل (گيلوان - منجيل),1397/12/14 00:00:00,1397/12/15 00:00:00,1435.0,1489,1282,126,33,26,22,74.0,173.0,91.0,10.0,1495.0
543554,طارم - منجيل (گيلوان - منجيل),1397/12/15 00:00:00,1397/12/16 00:00:00,1440.0,1669,1474,115,29,30,21,75.0,190.0,135.0,15.0,1669.0
543554,طارم - منجيل (گيلوان - منجيل),1397/12/16 00:00:00,1397/12/17 00:00:00,1435.0,1769,1570,132,14,27,26,76.0,188.0,154.0,11.0,1770.0
543554,طارم - منجيل (گيلوان - منجيل),1397/12/17 00:00:00,1397/12/18 00:00:00,1440.0,1561,1418,89,22,17,15,74.0,109.0,103.0,14.0,1561.0
543554,طارم - منجيل (گيلوان - منجيل),1397/12/18 00:00:00,1397/12/19 00:00:00,1440.0,1510,1312,120,25,38,15,75.0,157.0,102.0,12.0,1510.0
543554,طارم - منجيل (گيلوان - منجيل),1397/12/19 00:00:00,1397/12/20 00:00:00,1440.0,1599,1404,129,23,32,11,74.0,175.0,130.0,17.0,1599.0
543554,طارم - منجيل (گيلوان - منجيل),1397/12/20 00:00:00,1397/12/21 00:00:00,1410.0,1594,1387,138,22,31,16,74.0,172.0,112.0,17.0,1651.0
543554,طارم - منجيل (گيلوان - منجيل),1397/12/21 00:00:00,1397/12/22 00:00:00,1010.0,1345,1158,123,17,27,20,74.0,110.0,119.0,9.0,1621.0
543554,طارم - منجيل (گيلوان - منجيل),1397/12/22 00:00:00,1397/12/23 00:00:00,1440.0,1820,1594,148,21,33,24,75.0,215.0,157.0,20.0,1820.0
543554,طارم - منجيل (گيلوان - منجيل),1397/12/23 00:00:00,1397/12/24 00:00:00,1440.0,1695,1498,125,28,24,20,76.0,191.0,140.0,14.0,1695.0
543554,طارم - منجيل (گيلوان - منجيل),1397/12/24 00:00:00,1397/12/25 00:00:00,1440.0,1935,1757,114,27,18,19,75.0,179.0,176.0,23.0,1935.0
543554,طارم - منجيل (گيلوان - منجيل),1397/12/25 00:00:00,1397/12/26 00:00:00,1440.0,1993,1762,155,33,29,14,74.0,191.0,184.0,17.0,1993.0
543554,طارم - منجيل (گيلوان - منجيل),1397/12/26 00:00:00,1397/12/27 00:00:00,1435.0,1611,1403,140,29,27,12,74.0,142.0,114.0,14.0,1618.0
543554,طارم - منجيل (گيلوان - منجيل),1397/12/27 00:00:00,1397/12/28 00:00:00,1350.0,1749,1552,119,37,23,18,76.0,219.0,170.0,26.0,1825.0
543554,طارم - منجيل (گيلوان - منجيل),1397/12/28 00:00:00,1397/12/29 00:00:00,1435.0,1672,1541,77,35,8,11,78.0,208.0,149.0,8.0,1681.0
543554,طارم - منجيل (گيلوان - منجيل),1397/12/29 00:00:00,1398/01/01 00:00:00,1440.0,1922,1883,24,4,4,7,76.0,152.0,305.0,7.0,1922.0
543554,طارم - منجيل (گيلوان - منجيل),1401/12/01 00:00:00,1401/12/02 00:00:00,1400.0,1812,1565,200,22,0,25,66.0,39.0,64.0,57.0,1892.0
543554,طارم - منجيل (گيلوان - منجيل),1401/12/02 00:00:00,1401/12/03 00:00:00,1405.0,1760,1458,256,24,1,21,64.0,36.0,64.0,52.0,1834.0
543554,طارم - منجيل (گيلوان - منجيل),1401/12/03 00:00:00,1401/12/04 00:00:00,1440.0,1983,1582,355,20,0,26,63.0,36.0,76.0,76.0,1983.0
543554,طارم - منجيل (گيلوان - منجيل),1401/12/04 00:00:00,1401/12/05 00:00:00,1440.0,1983,1641,304,17,1,20,64.0,38.0,71.0,53.0,1983.0
543554,طارم - منجيل (گيلوان - منجيل),1401/12/05 00:00:00,1401/12/06 00:00:00,1375.0,1993,1740,218,14,1,20,66.0,47.0,79.0,40.0,2051.0
