Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations,Estimated Number
973501,آزادشهر - شاهرود (آزادشهر - خوش ييلاق),1400/12/01 00:00:00,1400/12/02 00:00:00,1440.0,1881,1207,133,167,64,310,55.0,0.0,310.0,55.0,1881.0
973501,آزادشهر - شاهرود (آزادشهر - خوش ييلاق),1400/12/02 00:00:00,1400/12/03 00:00:00,1440.0,1620,1006,94,176,54,290,54.0,1.0,229.0,48.0,1620.0
973501,آزادشهر - شاهرود (آزادشهر - خوش ييلاق),1400/12/03 00:00:00,1400/12/04 00:00:00,1440.0,1932,1172,124,196,67,373,55.0,0.0,300.0,51.0,1932.0
973501,آزادشهر - شاهرود (آزادشهر - خوش ييلاق),1400/12/04 00:00:00,1400/12/05 00:00:00,1435.0,1947,1245,108,204,67,323,55.0,0.0,329.0,60.0,1956.0
973501,آزادشهر - شاهرود (آزادشهر - خوش ييلاق),1400/12/05 00:00:00,1400/12/06 00:00:00,1440.0,2045,1424,104,156,57,304,57.0,0.0,386.0,49.0,2045.0
973501,آزادشهر - شاهرود (آزادشهر - خوش ييلاق),1400/12/06 00:00:00,1400/12/07 00:00:00,1440.0,2095,1494,109,163,55,274,55.0,0.0,383.0,42.0,2095.0
973501,آزادشهر - شاهرود (آزادشهر - خوش ييلاق),1400/12/07 00:00:00,1400/12/08 00:00:00,1440.0,2038,1358,111,165,64,340,56.0,0.0,322.0,44.0,2038.0
973501,آزادشهر - شاهرود (آزادشهر - خوش ييلاق),1400/12/08 00:00:00,1400/12/09 00:00:00,1440.0,1655,1022,111,178,62,282,53.0,0.0,230.0,45.0,1655.0
973501,آزادشهر - شاهرود (آزادشهر - خوش ييلاق),1400/12/09 00:00:00,1400/12/10 00:00:00,1440.0,1956,1283,98,200,80,295,55.0,0.0,344.0,54.0,1956.0
973501,آزادشهر - شاهرود (آزادشهر - خوش ييلاق),1400/12/10 00:00:00,1400/12/11 00:00:00,1440.0,1951,1229,130,213,66,313,54.0,0.0,319.0,52.0,1951.0
973501,آزادشهر - شاهرود (آزادشهر - خوش ييلاق),1400/12/11 00:00:00,1400/12/12 00:00:00,1440.0,1844,1254,132,169,51,238,57.0,0.0,265.0,38.0,1844.0
973501,آزادشهر - شاهرود (آزادشهر - خوش ييلاق),1400/12/12 00:00:00,1400/12/12 23:30:00,1270.0,1669,1162,99,141,67,200,56.0,1.0,270.0,38.0,2060.0
973501,آزادشهر - شاهرود (آزادشهر - خوش ييلاق),1400/12/13 00:10:00,1400/12/14 00:00:00,1395.0,2015,1491,108,142,51,223,54.0,1.0,383.0,31.0,2086.0
973501,آزادشهر - شاهرود (آزادشهر - خوش ييلاق),1400/12/14 00:00:00,1400/12/15 00:00:00,1440.0,1936,1290,119,212,55,260,57.0,0.0,254.0,43.0,1936.0
973501,آزادشهر - شاهرود (آزادشهر - خوش ييلاق),1400/12/15 00:00:00,1400/12/16 00:00:00,1440.0,1920,1182,133,211,80,314,55.0,0.0,274.0,41.0,1920.0
973501,آزادشهر - شاهرود (آزادشهر - خوش ييلاق),1400/12/16 00:00:00,1400/12/17 00:00:00,1440.0,1822,1130,139,214,48,291,55.0,0.0,263.0,39.0,1822.0
973501,آزادشهر - شاهرود (آزادشهر - خوش ييلاق),1400/12/17 00:00:00,1400/12/18 00:00:00,1440.0,1881,1143,130,208,67,333,54.0,0.0,297.0,55.0,1881.0
973501,آزادشهر - شاهرود (آزادشهر - خوش ييلاق),1400/12/18 00:00:00,1400/12/19 00:00:00,1440.0,1934,1215,126,196,86,311,55.0,0.0,300.0,68.0,1934.0
973501,آزادشهر - شاهرود (آزادشهر - خوش ييلاق),1400/12/19 00:00:00,1400/12/20 00:00:00,1410.0,1986,1374,89,207,65,251,56.0,0.0,352.0,47.0,1998.0
