Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Estimated Number,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations
973351,آزادشهر - علي آباد,1400/12/01 00:00:00,1400/12/02 00:00:00,1440.0,16352,14626,678,360,229,459,87.0,16352.0,119.0,2815.0,0.0
973351,آزادشهر - علي آباد,1400/12/02 00:00:00,1400/12/03 00:00:00,1425.0,14552,12990,537,332,199,494,86.0,14599.0,91.0,2166.0,0.0
973351,آزادشهر - علي آباد,1400/12/03 00:00:00,1400/12/04 00:00:00,1440.0,16386,14659,648,374,234,471,88.0,16386.0,127.0,2956.0,0.0
973351,آزادشهر - علي آباد,1400/12/04 00:00:00,1400/12/05 00:00:00,1440.0,17081,15278,675,398,236,494,88.0,17081.0,139.0,3229.0,0.0
973351,آزادشهر - علي آباد,1400/12/05 00:00:00,1400/12/06 00:00:00,1440.0,16888,15344,554,336,213,441,88.0,16888.0,163.0,3070.0,0.0
973351,آزادشهر - علي آباد,1400/12/06 00:00:00,1400/12/07 00:00:00,1440.0,15226,13851,481,276,197,421,86.0,15226.0,141.0,2471.0,0.0
973351,آزادشهر - علي آباد,1400/12/07 00:00:00,1400/12/08 00:00:00,1440.0,16139,14687,611,283,198,360,88.0,16139.0,156.0,2757.0,0.0
973351,آزادشهر - علي آباد,1400/12/08 00:00:00,1400/12/09 00:00:00,1440.0,14366,12843,585,361,187,390,84.0,14366.0,71.0,2045.0,0.0
973351,آزادشهر - علي آباد,1400/12/09 00:00:00,1400/12/10 00:00:00,1440.0,17204,15530,628,387,205,454,88.0,17204.0,128.0,3360.0,0.0
973351,آزادشهر - علي آباد,1400/12/10 00:00:00,1400/12/11 00:00:00,1440.0,15211,13646,567,367,206,425,87.0,15211.0,138.0,2432.0,0.0
973351,آزادشهر - علي آباد,1400/12/11 00:00:00,1400/12/12 00:00:00,1440.0,16974,15506,601,309,203,355,88.0,16974.0,164.0,3129.0,0.0
973351,آزادشهر - علي آباد,1400/12/12 00:00:00,1400/12/13 00:00:00,1440.0,17521,15906,619,381,220,395,88.0,17521.0,137.0,3236.0,0.0
973351,آزادشهر - علي آباد,1400/12/13 00:00:00,1400/12/14 00:00:00,1440.0,15776,14510,412,278,209,367,87.0,15776.0,142.0,2716.0,0.0
973351,آزادشهر - علي آباد,1400/12/14 00:00:00,1400/12/15 00:00:00,1440.0,16890,15281,577,369,224,439,88.0,16890.0,136.0,3159.0,0.0
973351,آزادشهر - علي آباد,1400/12/15 00:00:00,1400/12/16 00:00:00,1305.0,14499,12936,625,346,183,409,87.0,16607.0,119.0,2621.0,0.0
973351,آزادشهر - علي آباد,1400/12/16 00:00:00,1400/12/17 00:00:00,1440.0,16741,14890,725,423,224,479,87.0,16741.0,120.0,2885.0,0.0
973351,آزادشهر - علي آباد,1400/12/17 00:00:00,1400/12/18 00:00:00,1440.0,17092,15288,690,419,231,464,87.0,17092.0,116.0,3153.0,0.0
973351,آزادشهر - علي آباد,1400/12/18 00:00:00,1400/12/19 00:00:00,1440.0,17623,15786,676,478,212,471,87.0,17623.0,114.0,3410.0,0.0
973351,آزادشهر - علي آباد,1400/12/19 00:00:00,1400/12/20 00:00:00,1440.0,18052,16347,647,366,244,448,86.0,18052.0,97.0,3372.0,0.0
973351,آزادشهر - علي آباد,1400/12/20 00:00:00,1400/12/21 00:00:00,1440.0,15437,14026,472,315,192,432,86.0,15437.0,109.0,2590.0,0.0
973351,آزادشهر - علي آباد,1400/12/21 00:00:00,1400/12/22 00:00:00,1440.0,17425,15909,598,342,199,377,87.0,17425.0,99.0,3297.0,0.0
973351,آزادشهر - علي آباد,1400/12/22 00:00:00,1400/12/23 00:00:00,1440.0,17568,15705,716,468,200,479,85.0,17568.0,76.0,3240.0,0.0
973351,آزادشهر - علي آباد,1400/12/23 00:00:00,1400/12/24 00:00:00,1440.0,18160,16265,735,434,233,493,85.0,18160.0,97.0,3311.0,0.0
973351,آزادشهر - علي آباد,1400/12/24 00:00:00,1400/12/25 00:00:00,1390.0,16936,15230,668,406,195,437,85.0,17821.0,69.0,3110.0,0.0
973351,آزادشهر - علي آباد,1400/12/25 00:00:00,1400/12/26 00:00:00,1365.0,17494,15794,693,399,194,414,84.0,18584.0,53.0,3317.0,0.0
973351,آزادشهر - علي آباد,1400/12/26 00:00:00,1400/12/27 00:00:00,1440.0,20383,18779,680,347,173,404,86.0,20383.0,121.0,4399.0,0.0
973351,آزادشهر - علي آباد,1400/12/27 00:00:00,1400/12/28 00:00:00,1440.0,21240,19896,523,255,199,367,87.0,21240.0,147.0,5132.0,0.0
973351,آزادشهر - علي آباد,1400/12/28 00:00:00,1400/12/29 00:00:00,1440.0,22383,21217,439,192,206,329,87.0,22383.0,143.0,5470.0,0.0
973351,آزادشهر - علي آباد,1400/12/29 00:00:00,1401/01/01 00:00:00,1440.0,18128,17473,244,86,154,171,87.0,18128.0,118.0,3917.0,0.0
973351,آزادشهر - علي آباد,1401/12/01 00:00:00,1401/12/02 00:00:00,1440.0,18146,16346,698,430,196,476,89.0,18146.0,275.0,3559.0,0.0
973351,آزادشهر - علي آباد,1401/12/02 00:00:00,1401/12/03 00:00:00,1440.0,18102,16244,745,432,200,481,88.0,18102.0,242.0,3565.0,0.0
973351,آزادشهر - علي آباد,1401/12/03 00:00:00,1401/12/04 00:00:00,1440.0,18790,16956,735,384,226,489,88.0,18790.0,210.0,3804.0,0.0
973351,آزادشهر - علي آباد,1401/12/04 00:00:00,1401/12/05 00:00:00,1440.0,19038,17376,642,353,215,452,88.0,19038.0,254.0,3882.0,0.0
973351,آزادشهر - علي آباد,1401/12/05 00:00:00,1401/12/06 00:00:00,1440.0,15488,14070,465,299,182,472,83.0,15488.0,75.0,2537.0,0.0
973351,آزادشهر - علي آباد,1401/12/06 00:00:00,1401/12/07 00:00:00,1440.0,18006,16469,558,327,206,446,89.0,18006.0,228.0,3552.0,0.0
973351,آزادشهر - علي آباد,1401/12/07 00:00:00,1401/12/08 00:00:00,1440.0,18046,16233,688,427,200,498,89.0,18046.0,260.0,3410.0,0.0
973351,آزادشهر - علي آباد,1401/12/08 00:00:00,1401/12/09 00:00:00,1440.0,18183,16274,722,395,236,556,88.0,18183.0,254.0,3515.0,0.0
973351,آزادشهر - علي آباد,1401/12/09 00:00:00,1401/12/10 00:00:00,1440.0,18170,16293,675,387,228,587,88.0,18170.0,232.0,3589.0,0.0
973351,آزادشهر - علي آباد,1401/12/10 00:00:00,1401/12/11 00:00:00,1440.0,18832,16919,711,394,239,569,88.0,18832.0,241.0,3924.0,0.0
973351,آزادشهر - علي آباد,1401/12/11 00:00:00,1401/12/12 00:00:00,1440.0,19091,17252,683,379,216,561,88.0,19091.0,212.0,3972.0,0.0
973351,آزادشهر - علي آباد,1401/12/12 00:00:00,1401/12/13 00:00:00,1440.0,16648,15087,529,308,200,524,88.0,16648.0,227.0,2939.0,0.0
