Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Estimated Number,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations
973901,آزادشهر - مينودشت,1400/12/05 10:25:00,1400/12/06 00:00:00,815.0,6691,6200,195,76,70,150,87.0,9113.0,871.0,602.0,0.0
973901,آزادشهر - مينودشت,1400/12/06 00:00:00,1400/12/07 00:00:00,1440.0,8269,7543,311,102,106,207,86.0,8269.0,913.0,659.0,0.0
973901,آزادشهر - مينودشت,1400/12/07 00:00:00,1400/12/08 00:00:00,1440.0,8504,7616,419,121,127,221,87.0,8504.0,1072.0,651.0,0.0
973901,آزادشهر - مينودشت,1400/12/08 00:00:00,1400/12/09 00:00:00,1440.0,7621,6768,364,136,113,240,81.0,7621.0,463.0,450.0,0.0
973901,آزادشهر - مينودشت,1400/12/09 00:00:00,1400/12/10 00:00:00,1440.0,8886,7974,416,139,120,237,87.0,8886.0,1057.0,742.0,0.0
973901,آزادشهر - مينودشت,1400/12/10 00:00:00,1400/12/11 00:00:00,1440.0,8854,7855,485,108,141,265,85.0,8854.0,895.0,742.0,0.0
973901,آزادشهر - مينودشت,1400/12/11 00:00:00,1400/12/12 00:00:00,1440.0,8916,7966,487,125,142,196,85.0,8916.0,950.0,797.0,0.0
973901,آزادشهر - مينودشت,1400/12/12 00:00:00,1400/12/13 00:00:00,1440.0,8972,8131,368,133,148,192,86.0,8972.0,952.0,797.0,0.0
973901,آزادشهر - مينودشت,1400/12/13 00:00:00,1400/12/14 00:00:00,1440.0,8508,7759,350,132,102,165,87.0,8508.0,985.0,766.0,0.0
973901,آزادشهر - مينودشت,1400/12/14 00:00:00,1400/12/15 00:00:00,1440.0,8849,7915,429,152,118,235,86.0,8849.0,1033.0,663.0,0.0
973901,آزادشهر - مينودشت,1400/12/15 00:00:00,1400/12/16 00:00:00,1440.0,8815,7899,409,186,106,215,86.0,8815.0,989.0,703.0,0.0
973901,آزادشهر - مينودشت,1400/12/16 00:00:00,1400/12/17 00:00:00,1440.0,8457,7524,438,143,138,214,87.0,8457.0,937.0,601.0,0.0
973901,آزادشهر - مينودشت,1400/12/17 00:00:00,1400/12/18 00:00:00,1440.0,8860,7850,431,175,138,266,84.0,8860.0,747.0,741.0,0.0
973901,آزادشهر - مينودشت,1400/12/18 00:00:00,1400/12/19 00:00:00,1435.0,8940,7917,450,187,148,238,86.0,8945.0,1014.0,730.0,0.0
973901,آزادشهر - مينودشت,1400/12/19 00:00:00,1400/12/20 00:00:00,1440.0,9379,8445,411,156,123,244,86.0,9379.0,1032.0,781.0,0.0
973901,آزادشهر - مينودشت,1400/12/20 00:00:00,1400/12/21 00:00:00,1440.0,8159,7448,334,103,104,170,85.0,8159.0,901.0,612.0,0.0
973901,آزادشهر - مينودشت,1400/12/21 00:00:00,1400/12/22 00:00:00,1440.0,8766,7884,403,124,135,220,86.0,8766.0,914.0,705.0,0.0
973901,آزادشهر - مينودشت,1400/12/22 00:00:00,1400/12/23 00:00:00,1440.0,9008,8054,467,140,117,230,85.0,9008.0,813.0,699.0,0.0
973901,آزادشهر - مينودشت,1400/12/23 00:00:00,1400/12/24 00:00:00,1440.0,9177,8255,422,159,129,212,85.0,9177.0,955.0,719.0,0.0
973901,آزادشهر - مينودشت,1400/12/24 00:00:00,1400/12/25 00:00:00,1440.0,9571,8568,477,143,143,240,84.0,9571.0,741.0,827.0,0.0
