Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Estimated Number,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations
973902,آزادشهر - گنبد,1400/12/01 00:00:00,1400/12/02 00:00:00,1440.0,16947,15785,581,327,47,207,83.0,16947.0,223.0,3405.0,16.0
973902,آزادشهر - گنبد,1400/12/02 00:00:00,1400/12/03 00:00:00,1440.0,15472,14396,516,312,58,190,80.0,15472.0,195.0,2571.0,63.0
973902,آزادشهر - گنبد,1400/12/03 00:00:00,1400/12/04 00:00:00,1440.0,17160,15923,636,304,63,234,84.0,17160.0,456.0,3681.0,136.0
973902,آزادشهر - گنبد,1400/12/04 00:00:00,1400/12/05 00:00:00,1440.0,17931,16546,716,337,59,273,85.0,17931.0,688.0,3778.0,249.0
973902,آزادشهر - گنبد,1400/12/05 00:00:00,1400/12/06 00:00:00,1415.0,19028,17169,1202,339,99,219,87.0,19414.0,2100.0,4189.0,1420.0
973902,آزادشهر - گنبد,1400/12/06 00:00:00,1400/12/07 00:00:00,1440.0,14786,13989,401,180,32,184,82.0,14786.0,164.0,3050.0,9.0
973902,آزادشهر - گنبد,1400/12/07 00:00:00,1400/12/08 00:00:00,1440.0,17292,16245,563,270,31,183,83.0,17292.0,260.0,3565.0,15.0
973902,آزادشهر - گنبد,1400/12/08 00:00:00,1400/12/09 00:00:00,1440.0,16518,15440,468,312,53,245,81.0,16518.0,207.0,2395.0,5.0
973902,آزادشهر - گنبد,1400/12/09 00:00:00,1400/12/10 00:00:00,1440.0,17422,16393,549,299,34,147,85.0,17422.0,356.0,4124.0,9.0
973902,آزادشهر - گنبد,1400/12/10 00:00:00,1400/12/11 00:00:00,1440.0,15923,14796,521,355,38,213,84.0,15923.0,272.0,2759.0,6.0
973902,آزادشهر - گنبد,1400/12/11 00:00:00,1400/12/12 00:00:00,1440.0,17590,16667,499,264,28,132,84.0,17590.0,245.0,3917.0,7.0
973902,آزادشهر - گنبد,1400/12/12 00:00:00,1400/12/13 00:00:00,1440.0,17871,16782,566,289,49,185,84.0,17871.0,347.0,3762.0,11.0
973902,آزادشهر - گنبد,1400/12/13 00:00:00,1400/12/14 00:00:00,1440.0,14934,14013,461,237,38,185,84.0,14934.0,289.0,2529.0,9.0
973902,آزادشهر - گنبد,1400/12/14 00:00:00,1400/12/15 00:00:00,1440.0,17687,16640,543,299,37,168,85.0,17687.0,327.0,3923.0,8.0
973902,آزادشهر - گنبد,1400/12/15 00:00:00,1400/12/16 00:00:00,1440.0,17699,16597,545,316,49,192,84.0,17699.0,324.0,3669.0,4.0
973902,آزادشهر - گنبد,1400/12/16 00:00:00,1400/12/17 00:00:00,1440.0,17444,16396,488,325,49,186,84.0,17444.0,272.0,3675.0,14.0
973902,آزادشهر - گنبد,1400/12/17 00:00:00,1400/12/18 00:00:00,1440.0,17522,16534,497,265,32,194,84.0,17522.0,219.0,3820.0,5.0
973902,آزادشهر - گنبد,1400/12/18 00:00:00,1400/12/19 00:00:00,1440.0,17873,16897,484,289,48,155,84.0,17873.0,236.0,3965.0,6.0
973902,آزادشهر - گنبد,1400/12/19 00:00:00,1400/12/20 00:00:00,1440.0,17835,16812,507,270,31,215,83.0,17835.0,203.0,4172.0,6.0
973902,آزادشهر - گنبد,1400/12/20 00:00:00,1400/12/21 00:00:00,1440.0,15649,14798,378,229,38,206,83.0,15649.0,213.0,2739.0,9.0
