Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Estimated Number,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations
973103,آق قلا - اينچه برون,1400/12/01 00:00:00,1400/12/02 00:00:00,1440.0,886,782,53,7,7,37,78.0,886.0,173.0,56.0,34.0
973103,آق قلا - اينچه برون,1400/12/02 00:00:00,1400/12/03 00:00:00,1440.0,553,491,29,5,3,25,79.0,566.0,101.0,27.0,18.0
973103,آق قلا - اينچه برون,1400/12/03 00:00:00,1400/12/04 00:00:00,1440.0,822,740,44,5,1,32,81.0,834.0,196.0,56.0,28.0
973103,آق قلا - اينچه برون,1400/12/04 00:00:00,1400/12/05 00:00:00,1440.0,918,758,82,21,7,50,80.0,918.0,214.0,56.0,35.0
973103,آق قلا - اينچه برون,1400/12/05 00:00:00,1400/12/06 00:00:00,1440.0,1302,1173,76,12,7,34,84.0,1314.0,348.0,92.0,44.0
973103,آق قلا - اينچه برون,1400/12/06 00:00:00,1400/12/07 00:00:00,1440.0,4661,4544,81,15,5,16,77.0,4669.0,511.0,1742.0,412.0
973103,آق قلا - اينچه برون,1400/12/07 00:00:00,1400/12/08 00:00:00,1440.0,900,762,85,10,7,36,78.0,1251.0,164.0,46.0,35.0
973103,آق قلا - اينچه برون,1400/12/08 00:00:00,1400/12/09 00:00:00,1440.0,605,519,45,9,5,27,76.0,814.0,79.0,18.0,18.0
973103,آق قلا - اينچه برون,1400/12/09 00:00:00,1400/12/10 00:00:00,1440.0,797,691,49,5,1,51,80.0,802.0,160.0,51.0,28.0
973103,آق قلا - اينچه برون,1400/12/10 00:00:00,1400/12/11 00:00:00,1440.0,1277,1161,79,7,2,28,76.0,1277.0,210.0,179.0,21.0
973103,آق قلا - اينچه برون,1400/12/11 00:00:00,1400/12/12 00:00:00,1440.0,1027,909,79,8,1,30,71.0,1027.0,124.0,121.0,26.0
973103,آق قلا - اينچه برون,1400/12/12 00:00:00,1400/12/13 00:00:00,1440.0,1255,1141,78,5,4,27,82.0,1255.0,323.0,107.0,51.0
973103,آق قلا - اينچه برون,1400/12/13 00:00:00,1400/12/14 00:00:00,1440.0,2514,2427,56,4,11,16,75.0,2531.0,248.0,650.0,122.0
973103,آق قلا - اينچه برون,1400/12/14 00:00:00,1400/12/15 00:00:00,1440.0,875,724,91,10,9,41,80.0,875.0,184.0,57.0,33.0
973103,آق قلا - اينچه برون,1400/12/15 00:00:00,1400/12/16 00:00:00,1440.0,952,780,126,10,5,31,79.0,957.0,197.0,58.0,28.0
973103,آق قلا - اينچه برون,1400/12/16 00:00:00,1400/12/17 00:00:00,1440.0,963,785,127,12,4,35,78.0,963.0,177.0,46.0,29.0
973103,آق قلا - اينچه برون,1400/12/17 00:00:00,1400/12/18 00:00:00,1440.0,993,823,119,14,1,36,78.0,997.0,199.0,61.0,41.0
973103,آق قلا - اينچه برون,1400/12/18 00:00:00,1400/12/19 00:00:00,1440.0,1014,857,116,15,4,22,80.0,1014.0,214.0,65.0,35.0
973103,آق قلا - اينچه برون,1400/12/19 00:00:00,1400/12/20 00:00:00,1440.0,1194,1027,117,10,2,38,80.0,1194.0,249.0,101.0,39.0
973103,آق قلا - اينچه برون,1400/12/20 00:00:00,1400/12/21 00:00:00,1440.0,2350,2267,61,6,0,16,82.0,2350.0,416.0,459.0,115.0
973103,آق قلا - اينچه برون,1400/12/21 00:00:00,1400/12/22 00:00:00,1440.0,912,763,108,11,1,29,78.0,914.0,172.0,45.0,25.0
973103,آق قلا - اينچه برون,1400/12/22 00:00:00,1400/12/23 00:00:00,1440.0,1099,932,117,10,9,31,80.0,1099.0,231.0,95.0,52.0
973103,آق قلا - اينچه برون,1400/12/23 00:00:00,1400/12/24 00:00:00,1440.0,878,754,72,13,4,35,78.0,878.0,168.0,53.0,36.0
973103,آق قلا - اينچه برون,1400/12/24 00:00:00,1400/12/25 00:00:00,1440.0,914,782,74,12,4,42,80.0,921.0,211.0,56.0,28.0
973103,آق قلا - اينچه برون,1400/12/25 00:00:00,1400/12/26 00:00:00,1440.0,690,599,51,7,0,33,78.0,695.0,124.0,22.0,14.0
973103,آق قلا - اينچه برون,1400/12/26 00:00:00,1400/12/27 00:00:00,1440.0,798,719,45,5,6,23,84.0,802.0,232.0,44.0,20.0
973103,آق قلا - اينچه برون,1400/12/27 00:00:00,1400/12/28 00:00:00,1440.0,2257,2167,57,12,2,19,83.0,2257.0,499.0,426.0,116.0
973103,آق قلا - اينچه برون,1400/12/28 00:00:00,1400/12/29 00:00:00,1440.0,914,820,58,4,5,27,80.0,914.0,172.0,52.0,27.0
973103,آق قلا - اينچه برون,1400/12/29 00:00:00,1401/01/01 00:00:00,1440.0,1106,1039,44,6,1,16,83.0,1106.0,286.0,92.0,32.0
973103,آق قلا - اينچه برون,1401/12/01 00:00:00,1401/12/02 00:00:00,1420.0,929,738,98,41,5,47,95.0,944.0,506.0,48.0,36.0
973103,آق قلا - اينچه برون,1401/12/02 00:00:00,1401/12/03 00:00:00,1440.0,976,772,103,45,5,51,93.0,976.0,501.0,68.0,42.0
973103,آق قلا - اينچه برون,1401/12/03 00:00:00,1401/12/04 00:00:00,1440.0,1010,785,106,56,8,55,93.0,1010.0,514.0,61.0,30.0
973103,آق قلا - اينچه برون,1401/12/04 00:00:00,1401/12/05 00:00:00,1420.0,1234,1013,116,41,14,50,95.0,1244.0,715.0,105.0,42.0
973103,آق قلا - اينچه برون,1401/12/05 00:00:00,1401/12/06 00:00:00,1440.0,2195,2015,120,20,7,33,96.0,2195.0,1277.0,418.0,127.0
973103,آق قلا - اينچه برون,1401/12/06 00:00:00,1401/12/07 00:00:00,1440.0,876,678,100,23,10,65,96.0,876.0,518.0,47.0,25.0
973103,آق قلا - اينچه برون,1401/12/07 00:00:00,1401/12/08 00:00:00,1440.0,956,743,123,45,6,39,95.0,968.0,517.0,56.0,34.0
973103,آق قلا - اينچه برون,1401/12/08 00:00:00,1401/12/09 00:00:00,1440.0,922,737,96,28,7,54,95.0,922.0,510.0,51.0,27.0
973103,آق قلا - اينچه برون,1401/12/09 00:00:00,1401/12/10 00:00:00,1440.0,964,773,114,28,7,42,95.0,964.0,541.0,48.0,26.0
973103,آق قلا - اينچه برون,1401/12/10 00:00:00,1401/12/11 00:00:00,1440.0,1016,787,126,38,6,59,92.0,1016.0,513.0,85.0,23.0
973103,آق قلا - اينچه برون,1401/12/11 00:00:00,1401/12/12 00:00:00,1440.0,1255,1060,117,37,5,36,95.0,1255.0,711.0,105.0,40.0
973103,آق قلا - اينچه برون,1401/12/12 00:00:00,1401/12/13 00:00:00,1440.0,2968,2783,116,35,7,27,98.0,2968.0,1811.0,781.0,197.0
973103,آق قلا - اينچه برون,1401/12/13 00:00:00,1401/12/14 00:00:00,1440.0,936,714,108,41,13,60,92.0,936.0,468.0,65.0,34.0
973103,آق قلا - اينچه برون,1401/12/14 00:00:00,1401/12/15 00:00:00,1440.0,923,716,112,36,6,53,94.0,923.0,489.0,54.0,41.0
973103,آق قلا - اينچه برون,1401/12/15 00:00:00,1401/12/16 00:00:00,1440.0,1081,856,116,30,5,74,91.0,1081.0,532.0,116.0,37.0
