Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations,Estimated Number
973251,آق قلا - بندرترکمن,1400/12/01 00:00:00,1400/12/02 00:00:00,1440,6047,5718,213,71,12,33,75,33,1911,179,6047
973251,آق قلا - بندرترکمن,1400/12/02 00:00:00,1400/12/03 00:00:00,1440,5586,5263,218,64,11,30,75,26,1585,138,5586
973251,آق قلا - بندرترکمن,1400/12/03 00:00:00,1400/12/04 00:00:00,1440,6201,5856,229,68,14,34,76,44,2028,130,6201
973251,آق قلا - بندرترکمن,1400/12/04 00:00:00,1400/12/05 00:00:00,1440,6262,5903,252,62,16,29,76,40,2031,144,6262
973251,آق قلا - بندرترکمن,1400/12/05 00:00:00,1400/12/06 00:00:00,1440,7376,7027,247,73,11,18,73,30,2699,144,7376
973251,آق قلا - بندرترکمن,1400/12/06 00:00:00,1400/12/07 00:00:00,1440,8345,8010,240,63,15,17,71,24,3508,163,8345
973251,آق قلا - بندرترکمن,1400/12/07 00:00:00,1400/12/08 00:00:00,1440,6258,5914,215,80,17,32,75,37,2011,157,6258
973251,آق قلا - بندرترکمن,1400/12/08 00:00:00,1400/12/09 00:00:00,1440,5390,5106,183,62,13,26,75,23,1577,117,5390
973251,آق قلا - بندرترکمن,1400/12/09 00:00:00,1400/12/10 00:00:00,1440,7124,6694,296,79,15,40,75,25,2577,146,7124
973251,آق قلا - بندرترکمن,1400/12/10 00:00:00,1400/12/11 00:00:00,1440,6125,5818,202,70,9,26,75,31,1933,142,6125
973251,آق قلا - بندرترکمن,1400/12/11 00:00:00,1400/12/12 00:00:00,1440,6466,6116,244,68,9,29,75,18,2143,154,6466
973251,آق قلا - بندرترکمن,1400/12/12 00:00:00,1400/12/13 00:00:00,1440,7766,7376,262,79,21,28,73,28,3101,195,7766
973251,آق قلا - بندرترکمن,1400/12/13 00:00:00,1400/12/14 00:00:00,1440,7821,7530,200,57,12,22,71,21,3147,159,7821
973251,آق قلا - بندرترکمن,1400/12/14 00:00:00,1400/12/15 00:00:00,1440,6240,5836,256,97,20,31,77,33,2068,127,6240
973251,آق قلا - بندرترکمن,1400/12/15 00:00:00,1400/12/16 00:00:00,1440,6244,5881,224,92,17,30,76,38,2023,159,6244
973251,آق قلا - بندرترکمن,1400/12/16 00:00:00,1400/12/17 00:00:00,1440,7204,6769,297,91,13,34,75,36,2580,185,7204
973251,آق قلا - بندرترکمن,1400/12/17 00:00:00,1400/12/18 00:00:00,1440,6521,6125,236,107,19,34,75,24,2212,169,6521
973251,آق قلا - بندرترکمن,1400/12/18 00:00:00,1400/12/19 00:00:00,1440,6442,6106,217,77,14,28,76,32,2124,170,6442
973251,آق قلا - بندرترکمن,1400/12/19 00:00:00,1400/12/20 00:00:00,1440,7342,6952,264,68,13,45,70,14,2722,163,7342
973251,آق قلا - بندرترکمن,1400/12/20 00:00:00,1400/12/21 00:00:00,1440,7317,7021,200,59,19,18,73,23,2807,163,7317
973251,آق قلا - بندرترکمن,1400/12/21 00:00:00,1400/12/22 00:00:00,1430,6337,5982,235,77,20,23,74,18,2228,167,6422
973251,آق قلا - بندرترکمن,1400/12/22 00:00:00,1400/12/23 00:00:00,1440,6528,6139,261,85,13,30,75,30,2186,143,6528
973251,آق قلا - بندرترکمن,1400/12/23 00:00:00,1400/12/24 00:00:00,1440,6968,6563,290,62,24,29,74,28,2462,164,6968
973251,آق قلا - بندرترکمن,1400/12/24 00:00:00,1400/12/25 00:00:00,1440,6507,6155,250,71,17,14,74,27,2165,174,6507
973251,آق قلا - بندرترکمن,1400/12/25 00:00:00,1400/12/26 00:00:00,1440,5870,5552,201,76,16,25,72,8,1855,152,5870
973251,آق قلا - بندرترکمن,1400/12/26 00:00:00,1400/12/27 00:00:00,1440,6762,6435,222,67,12,26,73,28,2314,164,6762
973251,آق قلا - بندرترکمن,1400/12/27 00:00:00,1400/12/28 00:00:00,1440,7428,7125,202,63,14,24,72,27,2825,184,7428
973251,آق قلا - بندرترکمن,1400/12/28 00:00:00,1400/12/29 00:00:00,1440,7304,6985,226,48,13,32,74,29,2717,160,7304
973251,آق قلا - بندرترکمن,1400/12/29 00:00:00,1401/01/01 00:00:00,1325,5646,5416,175,27,6,22,75,33,1918,122,5932
973251,آق قلا - بندرترکمن,1401/12/18 10:30:00,1401/12/19 00:00:00,810,5611,5440,137,10,6,18,80,46,1664,3,7287
973251,آق قلا - بندرترکمن,1401/12/19 00:00:00,1401/12/20 00:00:00,1440,7465,7279,150,21,4,11,77,37,2299,3,7465
973251,آق قلا - بندرترکمن,1401/12/20 00:00:00,1401/12/20 06:05:00,365,177,168,9,0,0,0,74,0,8,0,6040
973251,آق قلا - بندرترکمن,1401/12/21 13:45:00,1401/12/22 00:00:00,585,3058,2950,89,7,4,8,82,39,746,1,6517
973251,آق قلا - بندرترکمن,1401/12/22 00:00:00,1401/12/23 00:00:00,1440,7035,6811,178,25,3,18,81,63,1697,5,7035
973251,آق قلا - بندرترکمن,1401/12/23 00:00:00,1401/12/24 00:00:00,1440,5984,5781,162,22,7,12,80,45,1351,4,5984
973251,آق قلا - بندرترکمن,1401/12/24 00:00:00,1401/12/25 00:00:00,1440,6656,6455,156,20,9,16,82,80,1691,7,6656
973251,آق قلا - بندرترکمن,1401/12/25 00:00:00,1401/12/26 00:00:00,1400,7737,7492,189,31,12,13,78,43,2419,7,7752
973251,آق قلا - بندرترکمن,1401/12/26 00:00:00,1401/12/27 00:00:00,1405,8222,8008,176,12,9,17,78,44,2687,9,8236
973251,آق قلا - بندرترکمن,1401/12/27 00:00:00,1401/12/28 00:00:00,1360,6978,6772,162,20,5,19,80,39,1913,5,7137
973251,آق قلا - بندرترکمن,1401/12/28 00:00:00,1401/12/29 00:00:00,1395,7548,7333,168,19,6,22,81,73,2141,7,7558
