Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Estimated Number,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations
973156,آق قلا - گرگان,1400/12/01 00:00:00,1400/12/02 00:00:00,1440.0,22246,20976,779,212,90,189,70.0,22246.0,79.0,5105.0,0.0
973156,آق قلا - گرگان,1400/12/02 00:00:00,1400/12/03 00:00:00,1440.0,20222,19247,578,145,108,144,69.0,20222.0,50.0,4125.0,0.0
973156,آق قلا - گرگان,1400/12/03 00:00:00,1400/12/04 00:00:00,1440.0,21861,20630,742,177,121,191,70.0,21861.0,75.0,4933.0,0.0
973156,آق قلا - گرگان,1400/12/04 00:00:00,1400/12/05 00:00:00,1440.0,22414,21087,812,196,136,183,70.0,22414.0,90.0,5203.0,0.0
973156,آق قلا - گرگان,1400/12/05 00:00:00,1400/12/06 00:00:00,1440.0,21650,20532,702,183,81,152,71.0,21650.0,95.0,4673.0,0.0
973156,آق قلا - گرگان,1400/12/06 00:00:00,1400/12/07 00:00:00,1440.0,15830,15042,493,112,58,125,72.0,15830.0,101.0,2172.0,0.0
973156,آق قلا - گرگان,1400/12/07 00:00:00,1400/12/08 00:00:00,1440.0,22351,21056,813,188,99,195,69.0,22351.0,71.0,5173.0,0.0
973156,آق قلا - گرگان,1400/12/08 00:00:00,1400/12/09 00:00:00,1440.0,20031,18993,634,176,79,149,69.0,20031.0,83.0,3914.0,0.0
973156,آق قلا - گرگان,1400/12/09 00:00:00,1400/12/10 00:00:00,1440.0,22983,21714,770,191,134,174,70.0,22983.0,79.0,5494.0,0.0
973156,آق قلا - گرگان,1400/12/10 00:00:00,1400/12/10 07:15:00,435.0,1329,1262,55,2,4,6,71.0,15075.0,15.0,67.0,0.0
973156,آق قلا - گرگان,1400/12/18 11:05:00,1400/12/19 00:00:00,775.0,16046,15112,609,159,65,101,70.0,23170.0,52.0,4064.0,0.0
973156,آق قلا - گرگان,1400/12/19 00:00:00,1400/12/20 00:00:00,1440.0,22024,20719,832,216,90,167,68.0,22024.0,58.0,5166.0,0.0
973156,آق قلا - گرگان,1400/12/20 00:00:00,1400/12/21 00:00:00,1440.0,15637,14942,459,101,53,82,72.0,15637.0,97.0,2185.0,0.0
973156,آق قلا - گرگان,1400/12/21 00:00:00,1400/12/22 00:00:00,1440.0,23357,22040,851,214,85,167,68.0,23357.0,55.0,5788.0,0.0
973156,آق قلا - گرگان,1400/12/22 00:00:00,1400/12/23 00:00:00,1440.0,23708,22385,819,248,88,168,69.0,23708.0,54.0,5911.0,0.0
973156,آق قلا - گرگان,1400/12/23 00:00:00,1400/12/24 00:00:00,1440.0,23439,22155,820,196,115,153,68.0,23439.0,48.0,5711.0,0.0
973156,آق قلا - گرگان,1400/12/24 00:00:00,1400/12/25 00:00:00,1440.0,23308,21994,833,230,101,150,68.0,23308.0,35.0,5630.0,0.0
973156,آق قلا - گرگان,1400/12/25 00:00:00,1400/12/26 00:00:00,1440.0,23638,22383,814,212,76,153,67.0,23638.0,39.0,5665.0,0.0
973156,آق قلا - گرگان,1400/12/26 00:00:00,1400/12/27 00:00:00,1440.0,22834,21737,702,168,94,133,69.0,22834.0,41.0,5281.0,0.0
973156,آق قلا - گرگان,1400/12/27 00:00:00,1400/12/28 00:00:00,1440.0,18391,17584,534,113,66,94,70.0,18391.0,98.0,3048.0,0.0
973156,آق قلا - گرگان,1400/12/28 00:00:00,1400/12/29 00:00:00,1440.0,23763,22691,619,176,97,180,70.0,23763.0,71.0,5599.0,0.0
973156,آق قلا - گرگان,1400/12/29 00:00:00,1401/01/01 00:00:00,1440.0,17158,16657,322,69,44,66,70.0,17158.0,69.0,2770.0,0.0
973156,آق قلا - گرگان,1401/12/01 00:30:00,1401/12/02 00:00:00,1185.0,21475,20022,683,464,87,219,70.0,24495.0,48.0,5742.0,0.0
973156,آق قلا - گرگان,1401/12/02 00:00:00,1401/12/03 00:00:00,1390.0,24295,22584,839,501,121,250,70.0,25013.0,44.0,6520.0,0.0
973156,آق قلا - گرگان,1401/12/03 00:00:00,1401/12/04 00:00:00,1420.0,25217,23495,850,509,100,263,70.0,25549.0,41.0,7040.0,0.0
973156,آق قلا - گرگان,1401/12/04 00:00:00,1401/12/05 00:00:00,1435.0,24605,23100,736,444,87,238,70.0,24626.0,51.0,6209.0,0.0
973156,آق قلا - گرگان,1401/12/05 00:00:00,1401/12/06 00:00:00,1395.0,15398,14594,407,236,39,122,71.0,16074.0,56.0,2230.0,0.0
973156,آق قلا - گرگان,1401/12/06 00:00:00,1401/12/07 00:00:00,1365.0,23994,22339,744,510,120,281,72.0,25083.0,46.0,6656.0,0.0
973156,آق قلا - گرگان,1401/12/07 00:00:00,1401/12/08 00:00:00,1385.0,23851,22197,782,515,106,251,71.0,25045.0,61.0,6526.0,0.0
973156,آق قلا - گرگان,1401/12/08 00:00:00,1401/12/09 00:00:00,1340.0,23093,21519,769,480,93,232,72.0,24873.0,55.0,6243.0,0.0
973156,آق قلا - گرگان,1401/12/09 00:00:00,1401/12/10 00:00:00,1280.0,23297,21696,766,484,93,258,71.0,25003.0,44.0,6322.0,0.0
973156,آق قلا - گرگان,1401/12/10 00:00:00,1401/12/11 00:00:00,1270.0,23412,21749,814,470,93,286,70.0,24905.0,41.0,6417.0,0.0
973156,آق قلا - گرگان,1401/12/11 00:00:00,1401/12/12 00:00:00,1435.0,24040,22440,745,500,100,255,70.0,24160.0,67.0,6090.0,0.0
973156,آق قلا - گرگان,1401/12/12 00:00:00,1401/12/13 00:00:00,1210.0,14447,13662,380,227,46,132,75.0,16771.0,69.0,2244.0,0.0
973156,آق قلا - گرگان,1401/12/13 00:00:00,1401/12/14 00:00:00,1265.0,22943,21370,744,467,108,254,71.0,25676.0,47.0,6658.0,0.0
973156,آق قلا - گرگان,1401/12/14 00:00:00,1401/12/15 00:00:00,1425.0,24852,23074,845,521,101,311,71.0,24907.0,46.0,6646.0,0.0
973156,آق قلا - گرگان,1401/12/15 00:00:00,1401/12/16 00:00:00,1400.0,24598,22852,813,547,106,280,72.0,25282.0,55.0,6584.0,0.0
973156,آق قلا - گرگان,1401/12/16 00:00:00,1401/12/17 00:00:00,1375.0,22518,20975,744,412,95,292,68.0,24245.0,36.0,5725.0,0.0
973156,آق قلا - گرگان,1401/12/17 00:00:00,1401/12/18 00:00:00,1405.0,18202,16964,562,355,81,240,73.0,18363.0,63.0,3083.0,0.0
973156,آق قلا - گرگان,1401/12/18 00:00:00,1401/12/19 00:00:00,1280.0,21245,19956,603,367,100,219,72.0,22898.0,54.0,5116.0,0.0
973156,آق قلا - گرگان,1401/12/19 00:00:00,1401/12/20 00:00:00,1335.0,16417,15497,415,282,53,170,75.0,17219.0,67.0,2536.0,0.0
973156,آق قلا - گرگان,1401/12/20 00:00:00,1401/12/21 00:00:00,1440.0,25344,23593,856,524,98,273,72.0,25344.0,50.0,6929.0,0.0
973156,آق قلا - گرگان,1401/12/21 00:00:00,1401/12/22 00:00:00,1415.0,24826,23107,794,552,118,255,71.0,25361.0,40.0,6615.0,0.0
