Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations,Estimated Number
973802,آق قلا - گنبد,1400/12/01 00:00:00,1400/12/01 23:35:00,1035,10187,9697,328,64,21,77,80,476,1197,0,10775
973802,آق قلا - گنبد,1400/12/02 08:15:00,1400/12/02 18:10:00,595,6864,6575,198,37,16,38,79,219,786,0,10219
973802,آق قلا - گنبد,1400/12/03 07:20:00,1400/12/04 00:00:00,1000,10547,10067,335,69,12,64,79,432,1192,0,10801
973802,آق قلا - گنبد,1400/12/04 00:00:00,1400/12/05 00:00:00,1035,10570,10094,339,67,18,52,79,424,1162,0,10688
973802,آق قلا - گنبد,1400/12/05 00:00:00,1400/12/06 00:00:00,1045,11973,11514,314,61,20,64,80,427,1552,0,12355
973802,آق قلا - گنبد,1400/12/06 00:00:00,1400/12/07 00:00:00,1060,8428,8136,176,46,8,62,80,393,717,0,8583
973802,آق قلا - گنبد,1400/12/07 00:00:00,1400/12/07 22:50:00,930,10342,9919,298,53,21,51,80,454,1277,0,11209
973802,آق قلا - گنبد,1400/12/08 09:00:00,1400/12/08 18:45:00,565,6638,6358,192,41,10,37,78,200,830,0,9806
973802,آق قلا - گنبد,1400/12/09 07:05:00,1400/12/09 22:20:00,915,10602,10114,341,86,13,48,79,377,1325,0,11435
973802,آق قلا - گنبد,1400/12/10 07:15:00,1400/12/10 22:05:00,890,8779,8404,254,54,10,57,78,266,898,0,9900
973802,آق قلا - گنبد,1400/12/11 07:20:00,1400/12/11 18:45:00,685,8789,8361,280,80,15,53,80,376,1182,0,11447
973802,آق قلا - گنبد,1400/12/12 07:05:00,1400/12/12 22:00:00,895,11256,10803,302,94,17,40,79,414,1538,0,12190
973802,آق قلا - گنبد,1400/12/13 07:50:00,1400/12/13 19:15:00,685,6074,5840,157,33,10,34,80,253,518,0,8214
973802,آق قلا - گنبد,1400/12/14 06:45:00,1400/12/14 20:55:00,840,10319,9872,313,69,12,53,79,355,1360,0,11611
973802,آق قلا - گنبد,1400/12/15 06:40:00,1400/12/15 21:55:00,905,10325,9864,319,79,19,44,79,390,1189,0,11194
973802,آق قلا - گنبد,1400/12/16 07:35:00,1400/12/16 20:45:00,770,9244,8790,320,70,18,46,79,341,1086,0,10978
973802,آق قلا - گنبد,1400/12/17 06:55:00,1400/12/17 21:10:00,855,10183,9662,347,81,23,70,79,357,1180,0,11476
973802,آق قلا - گنبد,1400/12/18 06:55:00,1400/12/19 00:00:00,1015,11154,10622,354,81,23,74,79,494,1281,0,11821
973802,آق قلا - گنبد,1400/12/19 00:00:00,1400/12/20 00:00:00,1440,12630,12059,390,90,29,62,78,358,1707,0,12630
