Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Estimated Number,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations
973153,اينچه برون - آق قلا,1400/12/01 00:00:00,1400/12/02 00:00:00,1440.0,924,796,78,7,1,42,80.0,924.0,228.0,41.0,24.0
973153,اينچه برون - آق قلا,1400/12/02 00:00:00,1400/12/03 00:00:00,1440.0,601,530,37,3,2,29,82.0,607.0,182.0,22.0,13.0
973153,اينچه برون - آق قلا,1400/12/03 00:00:00,1400/12/04 00:00:00,1440.0,899,781,69,11,1,37,83.0,899.0,272.0,51.0,20.0
973153,اينچه برون - آق قلا,1400/12/04 00:00:00,1400/12/05 00:00:00,1440.0,974,809,102,20,3,40,82.0,974.0,276.0,61.0,34.0
973153,اينچه برون - آق قلا,1400/12/05 00:00:00,1400/12/06 00:00:00,1440.0,1200,1043,98,10,3,46,84.0,1200.0,378.0,92.0,27.0
973153,اينچه برون - آق قلا,1400/12/06 00:00:00,1400/12/07 00:00:00,1440.0,4879,4731,116,11,2,19,77.0,4898.0,604.0,1955.0,279.0
973153,اينچه برون - آق قلا,1400/12/07 00:00:00,1400/12/08 00:00:00,1440.0,936,792,91,13,4,36,79.0,1031.0,232.0,43.0,24.0
973153,اينچه برون - آق قلا,1400/12/08 00:00:00,1400/12/09 00:00:00,1440.0,644,532,60,10,2,40,79.0,954.0,127.0,27.0,16.0
973153,اينچه برون - آق قلا,1400/12/09 00:00:00,1400/12/10 00:00:00,1440.0,887,736,74,9,2,66,82.0,887.0,247.0,44.0,22.0
973153,اينچه برون - آق قلا,1400/12/10 00:00:00,1400/12/11 00:00:00,1440.0,1279,1144,99,6,0,30,83.0,1279.0,391.0,127.0,30.0
973153,اينچه برون - آق قلا,1400/12/11 00:00:00,1400/12/12 00:00:00,1440.0,1082,929,100,9,4,40,76.0,1082.0,211.0,80.0,33.0
973153,اينچه برون - آق قلا,1400/12/12 00:00:00,1400/12/13 00:00:00,1440.0,1209,1069,91,4,5,40,82.0,1239.0,348.0,86.0,29.0
973153,اينچه برون - آق قلا,1400/12/13 00:00:00,1400/12/14 00:00:00,1440.0,2686,2597,74,7,2,6,82.0,2933.0,569.0,616.0,53.0
973153,اينچه برون - آق قلا,1400/12/14 00:00:00,1400/12/15 00:00:00,1440.0,963,781,121,11,5,45,82.0,964.0,294.0,50.0,22.0
973153,اينچه برون - آق قلا,1400/12/15 00:00:00,1400/12/16 00:00:00,1440.0,990,788,144,8,4,46,82.0,1002.0,285.0,45.0,11.0
973153,اينچه برون - آق قلا,1400/12/16 00:00:00,1400/12/17 00:00:00,1440.0,1052,842,150,13,6,41,81.0,1052.0,266.0,59.0,20.0
973153,اينچه برون - آق قلا,1400/12/17 00:00:00,1400/12/18 00:00:00,1440.0,1069,867,138,15,1,48,81.0,1069.0,284.0,71.0,23.0
973153,اينچه برون - آق قلا,1400/12/18 00:00:00,1400/12/19 00:00:00,1440.0,1072,892,135,12,4,29,81.0,1072.0,298.0,69.0,24.0
973153,اينچه برون - آق قلا,1400/12/19 00:00:00,1400/12/20 00:00:00,1440.0,1152,957,134,13,0,48,84.0,1161.0,380.0,87.0,27.0
973153,اينچه برون - آق قلا,1400/12/20 00:00:00,1400/12/21 00:00:00,1440.0,2561,2460,77,10,2,12,83.0,2565.0,588.0,550.0,92.0
973153,اينچه برون - آق قلا,1400/12/21 00:00:00,1400/12/22 00:00:00,1440.0,1001,819,126,12,6,38,83.0,1001.0,314.0,47.0,24.0
973153,اينچه برون - آق قلا,1400/12/22 00:00:00,1400/12/23 00:00:00,1440.0,1134,947,128,12,8,39,83.0,1134.0,318.0,87.0,17.0
973153,اينچه برون - آق قلا,1400/12/23 00:00:00,1400/12/24 00:00:00,1440.0,902,766,84,16,2,34,80.0,902.0,242.0,30.0,26.0
