Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Estimated Number,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations
973505,اينچه برون - مرز پل,1400/12/01 00:00:00,1400/12/02 00:00:00,1440.0,1018,888,69,9,4,48,87.0,1018.0,383.0,52.0,29.0
973505,اينچه برون - مرز پل,1400/12/02 00:00:00,1400/12/03 00:00:00,1440.0,888,815,27,7,4,35,86.0,902.0,308.0,38.0,17.0
973505,اينچه برون - مرز پل,1400/12/03 00:00:00,1400/12/04 00:00:00,1440.0,1169,1036,73,17,2,41,85.0,1169.0,385.0,140.0,63.0
973505,اينچه برون - مرز پل,1400/12/04 00:00:00,1400/12/05 00:00:00,1440.0,1130,928,84,29,13,76,87.0,1130.0,428.0,88.0,47.0
973505,اينچه برون - مرز پل,1400/12/05 00:00:00,1400/12/06 00:00:00,1440.0,1419,1247,78,9,8,77,87.0,1419.0,508.0,105.0,43.0
973505,اينچه برون - مرز پل,1400/12/06 00:00:00,1400/12/07 00:00:00,1440.0,3072,2929,98,21,5,19,87.0,3072.0,1026.0,657.0,94.0
973505,اينچه برون - مرز پل,1400/12/07 00:00:00,1400/12/08 00:00:00,1440.0,997,825,71,28,6,67,84.0,997.0,286.0,55.0,26.0
973505,اينچه برون - مرز پل,1400/12/08 00:00:00,1400/12/09 00:00:00,1440.0,841,710,37,21,7,66,82.0,849.0,229.0,37.0,25.0
973505,اينچه برون - مرز پل,1400/12/09 00:00:00,1400/12/10 00:00:00,1440.0,1050,897,60,17,9,67,85.0,1056.0,354.0,72.0,36.0
973505,اينچه برون - مرز پل,1400/12/10 00:00:00,1400/12/11 00:00:00,1440.0,1261,1094,79,19,3,66,85.0,1261.0,402.0,116.0,42.0
973505,اينچه برون - مرز پل,1400/12/11 00:00:00,1400/12/12 00:00:00,1440.0,1130,1008,68,14,7,33,83.0,1130.0,334.0,58.0,19.0
973505,اينچه برون - مرز پل,1400/12/12 00:00:00,1400/12/13 00:00:00,1440.0,1418,1253,87,12,5,61,85.0,1418.0,458.0,137.0,56.0
973505,اينچه برون - مرز پل,1400/12/13 00:00:00,1400/12/14 00:00:00,1440.0,1904,1770,60,17,6,51,85.0,1904.0,532.0,244.0,62.0
973505,اينچه برون - مرز پل,1400/12/14 00:00:00,1400/12/15 00:00:00,1440.0,1097,893,93,21,12,78,84.0,1102.0,359.0,65.0,41.0
973505,اينچه برون - مرز پل,1400/12/15 00:00:00,1400/12/16 00:00:00,1440.0,1072,883,78,17,7,87,85.0,1072.0,341.0,62.0,29.0
973505,اينچه برون - مرز پل,1400/12/16 00:00:00,1400/12/17 00:00:00,1440.0,1138,982,71,13,10,62,86.0,1142.0,385.0,71.0,31.0
973505,اينچه برون - مرز پل,1400/12/17 00:00:00,1400/12/18 00:00:00,1440.0,1095,927,69,18,8,73,87.0,1095.0,419.0,69.0,37.0
973505,اينچه برون - مرز پل,1400/12/18 00:00:00,1400/12/19 00:00:00,1440.0,1154,989,76,18,6,65,88.0,1159.0,457.0,72.0,40.0
973505,اينچه برون - مرز پل,1400/12/19 00:00:00,1400/12/20 00:00:00,1440.0,1227,1078,57,10,8,74,88.0,1241.0,460.0,83.0,39.0
973505,اينچه برون - مرز پل,1400/12/20 00:00:00,1400/12/21 00:00:00,1440.0,2135,1979,70,19,10,57,89.0,2135.0,834.0,324.0,72.0
973505,اينچه برون - مرز پل,1400/12/21 00:00:00,1400/12/22 00:00:00,1440.0,1017,867,57,9,10,74,87.0,1017.0,386.0,64.0,30.0
973505,اينچه برون - مرز پل,1400/12/22 00:00:00,1400/12/23 00:00:00,1440.0,1316,1141,64,26,11,74,85.0,1316.0,434.0,117.0,46.0
973505,اينچه برون - مرز پل,1400/12/23 00:00:00,1400/12/24 00:00:00,1440.0,1050,896,56,12,9,77,86.0,1050.0,387.0,56.0,32.0
973505,اينچه برون - مرز پل,1400/12/24 00:00:00,1400/12/25 00:00:00,1440.0,1120,968,49,19,6,78,88.0,1127.0,435.0,66.0,37.0
973505,اينچه برون - مرز پل,1400/12/25 00:00:00,1400/12/26 00:00:00,1440.0,938,806,33,14,5,80,83.0,938.0,264.0,45.0,28.0
973505,اينچه برون - مرز پل,1400/12/26 00:00:00,1400/12/27 00:00:00,1435.0,1335,1158,42,22,11,102,85.0,1346.0,495.0,117.0,58.0
973505,اينچه برون - مرز پل,1400/12/27 00:00:00,1400/12/28 00:00:00,1440.0,2038,1870,62,15,9,82,88.0,2038.0,745.0,275.0,63.0
973505,اينچه برون - مرز پل,1400/12/28 00:00:00,1400/12/29 00:00:00,1440.0,1220,1066,52,11,14,77,87.0,1220.0,456.0,83.0,32.0
973505,اينچه برون - مرز پل,1400/12/29 00:00:00,1401/01/01 00:00:00,1440.0,1410,1325,45,13,3,24,85.0,1410.0,466.0,160.0,43.0
973505,اينچه برون - مرز پل,1401/12/01 00:00:00,1401/12/02 00:00:00,1440.0,1217,1022,75,19,9,92,89.0,1217.0,506.0,65.0,19.0
973505,اينچه برون - مرز پل,1401/12/02 00:00:00,1401/12/03 00:00:00,1440.0,1234,1078,65,18,4,69,87.0,1234.0,468.0,57.0,22.0
973505,اينچه برون - مرز پل,1401/12/03 00:00:00,1401/12/04 00:00:00,1440.0,1292,1112,78,21,5,76,89.0,1300.0,538.0,69.0,24.0
973505,اينچه برون - مرز پل,1401/12/04 00:00:00,1401/12/05 00:00:00,1440.0,1580,1363,94,19,9,95,87.0,1580.0,574.0,111.0,23.0
973505,اينچه برون - مرز پل,1401/12/05 00:00:00,1401/12/06 00:00:00,1440.0,2394,2223,82,14,7,68,87.0,2394.0,769.0,383.0,62.0
973505,اينچه برون - مرز پل,1401/12/06 00:00:00,1401/12/07 00:00:00,1440.0,1195,1056,63,20,1,55,90.0,1195.0,517.0,58.0,23.0
973505,اينچه برون - مرز پل,1401/12/07 00:00:00,1401/12/08 00:00:00,1440.0,1306,1105,86,16,3,96,87.0,1306.0,492.0,80.0,30.0
973505,اينچه برون - مرز پل,1401/12/08 00:00:00,1401/12/09 00:00:00,1440.0,1204,1046,67,23,3,65,89.0,1209.0,509.0,53.0,18.0
973505,اينچه برون - مرز پل,1401/12/09 00:00:00,1401/12/10 00:00:00,1440.0,1367,1142,105,21,4,95,87.0,1367.0,526.0,80.0,34.0
973505,اينچه برون - مرز پل,1401/12/10 00:00:00,1401/12/11 00:00:00,1440.0,1279,1080,77,23,5,94,87.0,1279.0,488.0,67.0,27.0
973505,اينچه برون - مرز پل,1401/12/11 00:00:00,1401/12/12 00:00:00,1440.0,1485,1242,98,27,9,109,86.0,1485.0,506.0,102.0,35.0
973505,اينچه برون - مرز پل,1401/12/12 00:00:00,1401/12/13 00:00:00,1440.0,2957,2788,83,22,4,60,88.0,2957.0,1033.0,564.0,58.0
973505,اينچه برون - مرز پل,1401/12/13 00:00:00,1401/12/14 00:00:00,1440.0,1242,1075,81,28,5,53,89.0,1242.0,531.0,54.0,26.0
973505,اينچه برون - مرز پل,1401/12/14 00:00:00,1401/12/15 00:00:00,1440.0,1240,1021,98,22,1,98,88.0,1240.0,519.0,57.0,25.0
973505,اينچه برون - مرز پل,1401/12/15 00:00:00,1401/12/16 00:00:00,1440.0,1365,1162,83,27,2,91,89.0,1365.0,556.0,86.0,32.0
973505,اينچه برون - مرز پل,1401/12/16 00:00:00,1401/12/17 00:00:00,1440.0,1286,1082,82,17,2,103,85.0,1300.0,426.0,72.0,32.0
973505,اينچه برون - مرز پل,1401/12/17 00:00:00,1401/12/18 00:00:00,1440.0,1406,1231,75,12,5,83,89.0,1406.0,593.0,79.0,27.0
973505,اينچه برون - مرز پل,1401/12/18 00:00:00,1401/12/19 00:00:00,1440.0,1551,1376,68,14,5,88,87.0,1551.0,603.0,144.0,49.0
973505,اينچه برون - مرز پل,1401/12/19 00:00:00,1401/12/20 00:00:00,1440.0,3122,2967,73,18,5,59,86.0,3122.0,915.0,659.0,70.0
973505,اينچه برون - مرز پل,1401/12/20 00:00:00,1401/12/21 00:00:00,1440.0,1207,1035,59,29,3,81,89.0,1207.0,508.0,61.0,23.0
973505,اينچه برون - مرز پل,1401/12/21 00:00:00,1401/12/22 00:00:00,1440.0,1287,1068,82,23,9,105,89.0,1287.0,529.0,69.0,34.0
973505,اينچه برون - مرز پل,1401/12/22 00:00:00,1401/12/23 00:00:00,1440.0,1348,1130,63,29,3,123,89.0,1348.0,587.0,91.0,38.0
973505,اينچه برون - مرز پل,1401/12/23 00:00:00,1401/12/24 00:00:00,1440.0,1349,1117,81,31,9,111,84.0,1349.0,448.0,68.0,26.0
973505,اينچه برون - مرز پل,1401/12/24 00:00:00,1401/12/24 23:55:00,1400.0,1458,1235,79,23,1,120,88.0,1478.0,600.0,100.0,40.0
973505,اينچه برون - مرز پل,1401/12/25 00:00:00,1401/12/26 00:00:00,1265.0,1707,1499,77,22,7,102,87.0,1769.0,638.0,125.0,44.0
973505,اينچه برون - مرز پل,1401/12/26 00:00:00,1401/12/27 00:00:00,1235.0,3857,3652,89,21,9,86,86.0,3922.0,1052.0,1063.0,95.0
973505,اينچه برون - مرز پل,1401/12/27 00:00:00,1401/12/28 00:00:00,1265.0,1616,1407,67,17,8,117,88.0,1761.0,622.0,130.0,36.0
973505,اينچه برون - مرز پل,1401/12/28 00:00:00,1401/12/29 00:00:00,1250.0,1856,1656,76,22,5,97,88.0,1928.0,701.0,195.0,42.0
973505,اينچه برون - مرز پل,1401/12/29 00:00:00,1402/01/01 00:00:00,1190.0,2356,2220,66,9,2,59,88.0,2428.0,823.0,349.0,57.0
973505,اينچه برون - مرز پل,1395/01/01 00:00:00,1395/01/02 00:00:00,1440.0,1520,1459,33,1,0,27,91.26,,605.0,132.0,17.0
973505,اينچه برون - مرز پل,1395/01/02 00:00:00,1395/01/03 00:00:00,1440.0,1223,1177,30,2,0,14,91.18,,532.0,111.0,16.0
