Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Estimated Number,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations
973552,اينچه برون - گنبد,1400/12/01 00:00:00,1400/12/02 00:00:00,1440.0,3897,3628,163,41,12,53,79.0,3897.0,133.0,691.0,81.0
973552,اينچه برون - گنبد,1400/12/02 00:00:00,1400/12/03 00:00:00,1440.0,2743,2591,64,28,15,45,81.0,2743.0,103.0,345.0,41.0
973552,اينچه برون - گنبد,1400/12/03 00:00:00,1400/12/04 00:00:00,1410.0,3571,3351,133,40,12,35,81.0,3671.0,141.0,646.0,81.0
973552,اينچه برون - گنبد,1400/12/04 00:00:00,1400/12/05 00:00:00,1440.0,3971,3713,128,52,15,63,81.0,3971.0,151.0,794.0,83.0
973552,اينچه برون - گنبد,1400/12/05 00:00:00,1400/12/06 00:00:00,1440.0,4072,3780,120,52,16,104,82.0,4072.0,168.0,806.0,80.0
973552,اينچه برون - گنبد,1400/12/06 00:00:00,1400/12/07 00:00:00,1440.0,6152,6015,89,24,7,17,77.0,6152.0,147.0,2221.0,115.0
973552,اينچه برون - گنبد,1400/12/07 00:00:00,1400/12/08 00:00:00,1440.0,3954,3692,142,46,18,56,79.0,3954.0,108.0,764.0,72.0
973552,اينچه برون - گنبد,1400/12/08 00:00:00,1400/12/09 00:00:00,1440.0,2907,2702,85,34,13,73,79.0,2907.0,78.0,373.0,43.0
973552,اينچه برون - گنبد,1400/12/09 00:00:00,1400/12/10 00:00:00,1440.0,3577,3353,129,32,10,53,82.0,3577.0,169.0,645.0,52.0
973552,اينچه برون - گنبد,1400/12/10 00:00:00,1400/12/11 00:00:00,1440.0,4116,3871,126,41,15,63,78.0,4116.0,104.0,987.0,78.0
973552,اينچه برون - گنبد,1400/12/11 00:00:00,1400/12/12 00:00:00,1440.0,4025,3774,145,41,16,49,79.0,4025.0,119.0,811.0,89.0
973552,اينچه برون - گنبد,1400/12/12 00:00:00,1400/12/13 00:00:00,1435.0,4114,3842,162,39,13,58,81.0,4114.0,154.0,845.0,63.0
973552,اينچه برون - گنبد,1400/12/13 00:00:00,1400/12/14 00:00:00,1440.0,4877,4688,125,23,17,24,80.0,4877.0,164.0,1309.0,83.0
973552,اينچه برون - گنبد,1400/12/14 00:00:00,1400/12/15 00:00:00,1440.0,3899,3588,170,43,28,70,81.0,3899.0,141.0,746.0,67.0
973552,اينچه برون - گنبد,1400/12/15 00:00:00,1400/12/16 00:00:00,1440.0,3946,3641,168,48,34,55,80.0,3957.0,142.0,777.0,72.0
973552,اينچه برون - گنبد,1400/12/16 00:00:00,1400/12/17 00:00:00,1440.0,3837,3555,145,43,15,79,80.0,3837.0,136.0,686.0,71.0
973552,اينچه برون - گنبد,1400/12/17 00:00:00,1400/12/18 00:00:00,1440.0,3944,3642,161,61,9,71,81.0,3954.0,126.0,713.0,71.0
973552,اينچه برون - گنبد,1400/12/18 00:00:00,1400/12/19 00:00:00,1440.0,4070,3732,193,52,17,76,80.0,4070.0,154.0,837.0,72.0
973552,اينچه برون - گنبد,1400/12/19 00:00:00,1400/12/20 00:00:00,1425.0,3978,3693,168,34,19,64,81.0,4045.0,137.0,806.0,67.0
973552,اينچه برون - گنبد,1400/12/20 00:00:00,1400/12/21 00:00:00,1440.0,5173,4978,115,16,17,47,78.0,5173.0,134.0,1625.0,79.0
973552,اينچه برون - گنبد,1400/12/21 00:00:00,1400/12/22 00:00:00,1440.0,4196,3913,165,36,21,61,80.0,4201.0,132.0,866.0,88.0
973552,اينچه برون - گنبد,1400/12/22 00:00:00,1400/12/23 00:00:00,1440.0,4362,4040,181,37,26,78,78.0,4362.0,101.0,995.0,90.0
973552,اينچه برون - گنبد,1400/12/23 00:00:00,1400/12/24 00:00:00,1440.0,3964,3678,166,34,18,68,79.0,3964.0,87.0,748.0,75.0
973552,اينچه برون - گنبد,1400/12/24 00:00:00,1400/12/25 00:00:00,1440.0,4150,3863,156,32,12,87,79.0,4150.0,106.0,810.0,74.0
973552,اينچه برون - گنبد,1400/12/25 00:00:00,1400/12/26 00:00:00,1440.0,3551,3329,104,26,16,76,79.0,3551.0,86.0,580.0,45.0
973552,اينچه برون - گنبد,1400/12/26 00:00:00,1400/12/27 00:00:00,1440.0,3991,3818,88,24,8,53,79.0,3991.0,105.0,842.0,55.0
973552,اينچه برون - گنبد,1400/12/27 00:00:00,1400/12/28 00:00:00,1440.0,5375,5128,125,30,23,69,78.0,5375.0,113.0,1624.0,81.0
973552,اينچه برون - گنبد,1400/12/28 00:00:00,1400/12/29 00:00:00,1440.0,4806,4523,154,25,31,73,80.0,4806.0,146.0,1177.0,84.0
973552,اينچه برون - گنبد,1400/12/29 00:00:00,1401/01/01 00:00:00,1440.0,4434,4188,171,30,19,26,80.0,4434.0,121.0,988.0,69.0
973552,اينچه برون - گنبد,1401/12/01 00:00:00,1401/12/02 00:00:00,1170.0,3430,3164,126,45,13,82,83.0,3915.0,837.0,678.0,43.0
973552,اينچه برون - گنبد,1401/12/02 00:00:00,1401/12/03 00:00:00,1275.0,3804,3567,131,43,4,59,82.0,4000.0,843.0,748.0,33.0
973552,اينچه برون - گنبد,1401/12/03 00:00:00,1401/12/04 00:00:00,1210.0,3887,3585,162,57,17,66,83.0,4168.0,967.0,786.0,59.0
973552,اينچه برون - گنبد,1401/12/04 00:00:00,1401/12/05 00:00:00,1325.0,4190,3933,137,33,11,76,82.0,4488.0,858.0,1020.0,37.0
973552,اينچه برون - گنبد,1401/12/05 00:00:00,1401/12/05 23:45:00,1245.0,3969,3829,75,26,2,37,82.0,4644.0,726.0,971.0,21.0
