Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations,Estimated Number
973201,بندرترکمن - آق قلا,1400/12/01 00:00:00,1400/12/02 00:00:00,1440,5427,5365,37,8,12,5,75,17,966,10,5427
973201,بندرترکمن - آق قلا,1400/12/02 00:00:00,1400/12/03 00:00:00,1440,5091,5026,38,9,14,4,74,1,827,14,5091
973201,بندرترکمن - آق قلا,1400/12/03 00:00:00,1400/12/04 00:00:00,1440,5605,5518,55,14,9,9,77,11,1035,8,5605
973201,بندرترکمن - آق قلا,1400/12/04 00:00:00,1400/12/05 00:00:00,1440,5573,5478,57,17,12,9,77,6,989,5,5573
973201,بندرترکمن - آق قلا,1400/12/05 00:00:00,1400/12/06 00:00:00,1440,6724,6630,66,16,9,3,76,8,1438,11,6724
973201,بندرترکمن - آق قلا,1400/12/06 00:00:00,1400/12/07 00:00:00,1440,7275,7150,85,21,13,6,75,9,1869,6,7275
973201,بندرترکمن - آق قلا,1400/12/07 00:00:00,1400/12/08 00:00:00,1440,5624,5533,51,16,18,6,77,15,1042,9,5624
973201,بندرترکمن - آق قلا,1400/12/08 00:00:00,1400/12/09 00:00:00,1440,4890,4820,44,10,8,8,75,8,856,5,4890
973201,بندرترکمن - آق قلا,1400/12/09 00:00:00,1400/12/10 00:00:00,1440,6413,6311,60,16,18,8,76,8,1383,9,6413
973201,بندرترکمن - آق قلا,1400/12/10 00:00:00,1400/12/11 00:00:00,1440,5398,5309,57,14,12,6,77,9,1013,7,5398
973201,بندرترکمن - آق قلا,1400/12/11 00:00:00,1400/12/12 00:00:00,1440,5866,5780,55,14,11,6,77,4,1109,9,5866
973201,بندرترکمن - آق قلا,1400/12/12 00:00:00,1400/12/13 00:00:00,1440,7183,7070,78,28,6,1,76,16,1575,9,7183
973201,بندرترکمن - آق قلا,1400/12/13 00:00:00,1400/12/14 00:00:00,1440,6783,6696,51,14,16,6,74,9,1605,14,6783
973201,بندرترکمن - آق قلا,1400/12/14 00:00:00,1400/12/15 00:00:00,1440,5701,5584,78,23,12,4,76,13,1070,13,5701
973201,بندرترکمن - آق قلا,1400/12/15 00:00:00,1400/12/16 00:00:00,1440,5647,5558,56,20,7,6,76,4,1094,5,5647
973201,بندرترکمن - آق قلا,1400/12/16 00:00:00,1400/12/17 00:00:00,1440,6495,6371,77,29,14,4,75,8,1349,13,6495
973201,بندرترکمن - آق قلا,1400/12/17 00:00:00,1400/12/18 00:00:00,1440,5879,5771,72,18,14,4,76,12,1190,10,5879
973201,بندرترکمن - آق قلا,1400/12/18 00:00:00,1400/12/19 00:00:00,1440,5888,5789,64,17,12,6,76,7,1075,9,5888
973201,بندرترکمن - آق قلا,1400/12/19 00:00:00,1400/12/20 00:00:00,1440,6722,6618,65,17,17,5,73,10,1340,16,6722
973201,بندرترکمن - آق قلا,1400/12/20 00:00:00,1400/12/21 00:00:00,1440,6383,6313,53,7,7,3,75,3,1482,3,6383
973201,بندرترکمن - آق قلا,1400/12/21 00:00:00,1400/12/22 00:00:00,1430,5795,5693,68,19,8,7,75,12,1139,18,5856
973201,بندرترکمن - آق قلا,1400/12/22 00:00:00,1400/12/23 00:00:00,1440,6002,5913,55,16,14,4,76,10,1141,8,6002
973201,بندرترکمن - آق قلا,1400/12/23 00:00:00,1400/12/24 00:00:00,1440,6384,6314,48,12,8,2,75,9,1277,8,6384
973201,بندرترکمن - آق قلا,1400/12/24 00:00:00,1400/12/25 00:00:00,1440,5757,5686,45,14,8,4,75,7,1061,9,5757
973201,بندرترکمن - آق قلا,1400/12/25 00:00:00,1400/12/26 00:00:00,1440,5357,5272,51,13,11,10,76,4,947,8,5357
973201,بندرترکمن - آق قلا,1400/12/26 00:00:00,1400/12/27 00:00:00,1440,6116,6023,61,13,13,6,75,4,1181,9,6116
973201,بندرترکمن - آق قلا,1400/12/27 00:00:00,1400/12/28 00:00:00,1440,6539,6441,59,13,12,14,75,16,1480,14,6539
973201,بندرترکمن - آق قلا,1400/12/28 00:00:00,1400/12/29 00:00:00,1440,6593,6518,41,15,12,7,75,14,1372,6,6593
973201,بندرترکمن - آق قلا,1400/12/29 00:00:00,1401/01/01 00:00:00,1325,5146,5109,22,5,7,3,76,17,1004,5,5443
973201,بندرترکمن - آق قلا,1401/12/18 10:30:00,1401/12/19 00:00:00,810,5401,5225,134,11,5,26,82,41,503,244,7412
973201,بندرترکمن - آق قلا,1401/12/19 00:00:00,1401/12/20 00:00:00,1440,7270,7062,166,16,1,25,80,23,677,327,7270
973201,بندرترکمن - آق قلا,1401/12/20 00:00:00,1401/12/20 06:05:00,365,163,151,9,1,0,2,75,2,4,9,5900
973201,بندرترکمن - آق قلا,1401/12/21 13:45:00,1401/12/22 00:00:00,585,2961,2841,97,5,1,17,82,23,237,144,6429
973201,بندرترکمن - آق قلا,1401/12/22 00:00:00,1401/12/23 00:00:00,1440,7069,6806,206,24,4,29,82,46,595,353,7069
973201,بندرترکمن - آق قلا,1401/12/23 00:00:00,1401/12/24 00:00:00,1440,6053,5818,177,14,4,40,83,53,444,287,6053
973201,بندرترکمن - آق قلا,1401/12/24 00:00:00,1401/12/25 00:00:00,1440,6735,6529,155,15,11,25,83,72,470,318,6735
973201,بندرترکمن - آق قلا,1401/12/25 00:00:00,1401/12/26 00:00:00,1415,7783,7510,208,27,9,29,80,48,710,301,7795
973201,بندرترکمن - آق قلا,1401/12/26 00:00:00,1401/12/27 00:00:00,1375,8119,7896,163,23,9,28,81,51,922,440,8145
973201,بندرترکمن - آق قلا,1401/12/27 00:00:00,1401/12/28 00:00:00,1365,7099,6865,159,25,3,47,81,35,619,339,7247
973201,بندرترکمن - آق قلا,1401/12/28 00:00:00,1401/12/29 00:00:00,1400,7511,7258,188,11,3,51,82,48,696,329,7503
973201,بندرترکمن - آق قلا,1401/12/29 00:00:00,1402/01/01 00:00:00,1420,8058,7837,180,10,3,28,80,27,834,405,8124
973201,بندرترکمن - آق قلا,1397/01/01 00:00:00,1397/01/02 00:00:00,1440,5791,5576,191,17,0,7,85,5553,1351,0,5805
973201,بندرترکمن - آق قلا,1397/01/02 01:00:00,1397/01/03 00:00:00,1380,5809,5582,202,15,0,10,86,5554,1513,0,6209
973201,بندرترکمن - آق قلا,1397/01/03 00:00:00,1397/01/04 00:00:00,1375,5745,5585,134,13,3,10,84,5480,1430,1,6119
973201,بندرترکمن - آق قلا,1397/01/04 00:00:00,1397/01/05 00:00:00,1440,6381,6133,206,23,7,12,86,6125,1602,0,6511
973201,بندرترکمن - آق قلا,1397/01/05 00:00:00,1397/01/06 00:00:00,1440,6087,5795,234,33,3,22,85,5845,1384,0,6087
973201,بندرترکمن - آق قلا,1397/01/06 00:00:00,1397/01/07 00:00:00,1440,6444,6168,229,30,7,10,83,6062,1443,0,6444
973201,بندرترکمن - آق قلا,1397/01/07 00:00:00,1397/01/08 00:00:00,1440,6309,6069,205,25,2,8,87,6052,1513,0,6309
973201,بندرترکمن - آق قلا,1397/01/08 00:00:00,1397/01/09 00:00:00,1440,6443,6169,223,39,4,8,85,6101,1530,0,6443
973201,بندرترکمن - آق قلا,1397/01/09 00:00:00,1397/01/10 00:00:00,1440,6773,6457,270,32,0,14,86,6491,1645,0,6773
973201,بندرترکمن - آق قلا,1397/01/10 00:00:00,1397/01/11 00:00:00,1440,6570,6328,213,16,5,8,84,6304,1635,0,6642
973201,بندرترکمن - آق قلا,1397/01/11 00:00:00,1397/01/12 00:00:00,1440,5467,5225,204,22,4,12,85,5211,1165,0,5467
973201,بندرترکمن - آق قلا,1397/01/12 00:00:00,1397/01/13 00:00:00,1440,5636,5435,166,20,7,8,85,5432,1212,0,5636
