Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations,Estimated Number
973202,بندر ترکمن - سه راهي يساقي,1400/12/01 00:00:00,1400/12/02 00:00:00,1440,3547,3453,76,9,1,8,78,51,731,51,3547
973202,بندر ترکمن - سه راهي يساقي,1400/12/02 00:00:00,1400/12/03 00:00:00,1440,3110,3055,43,6,1,5,76,21,569,41,3110
973202,بندر ترکمن - سه راهي يساقي,1400/12/03 00:00:00,1400/12/04 00:00:00,1440,3397,3317,61,5,6,8,79,44,652,33,3397
973202,بندر ترکمن - سه راهي يساقي,1400/12/04 00:00:00,1400/12/05 00:00:00,1440,3694,3596,70,15,3,10,74,37,722,34,3694
973202,بندر ترکمن - سه راهي يساقي,1400/12/05 00:00:00,1400/12/06 00:00:00,1440,3618,3533,59,11,6,9,74,30,723,41,3618
973202,بندر ترکمن - سه راهي يساقي,1400/12/06 00:00:00,1400/12/07 00:00:00,1440,3903,3837,54,4,1,7,74,31,968,54,3903
973202,بندر ترکمن - سه راهي يساقي,1400/12/07 00:00:00,1400/12/08 00:00:00,1440,3640,3545,72,8,1,14,77,42,756,44,3646
973202,بندر ترکمن - سه راهي يساقي,1400/12/08 00:00:00,1400/12/09 00:00:00,1440,3040,2963,60,6,3,8,77,35,532,45,3040
973202,بندر ترکمن - سه راهي يساقي,1400/12/09 00:00:00,1400/12/10 00:00:00,1440,4017,3929,59,10,7,12,75,37,953,55,4017
973202,بندر ترکمن - سه راهي يساقي,1400/12/10 00:00:00,1400/12/11 00:00:00,1440,3231,3163,54,6,1,7,74,36,614,38,3231
973202,بندر ترکمن - سه راهي يساقي,1400/12/11 00:00:00,1400/12/12 00:00:00,1440,3829,3733,71,9,4,12,76,39,849,58,3829
973202,بندر ترکمن - سه راهي يساقي,1400/12/12 00:00:00,1400/12/13 00:00:00,1440,3759,3668,56,17,6,12,75,27,810,43,3759
973202,بندر ترکمن - سه راهي يساقي,1400/12/13 00:00:00,1400/12/14 00:00:00,1345,3530,3450,59,10,0,11,75,26,805,37,3622
973202,بندر ترکمن - سه راهي يساقي,1400/12/14 00:00:00,1400/12/15 00:00:00,1440,3718,3628,76,6,0,8,77,38,788,42,3718
973202,بندر ترکمن - سه راهي يساقي,1400/12/15 00:00:00,1400/12/16 00:00:00,1440,3787,3694,67,17,4,5,78,56,836,47,3787
973202,بندر ترکمن - سه راهي يساقي,1400/12/16 00:00:00,1400/12/17 00:00:00,1440,3808,3700,75,17,4,12,77,48,826,45,3808
973202,بندر ترکمن - سه راهي يساقي,1400/12/17 00:00:00,1400/12/18 00:00:00,1440,3657,3565,77,3,5,7,78,34,765,45,3657
973202,بندر ترکمن - سه راهي يساقي,1400/12/18 00:00:00,1400/12/19 00:00:00,1440,3768,3676,68,11,1,12,78,35,785,51,3768
973202,بندر ترکمن - سه راهي يساقي,1400/12/19 00:00:00,1400/12/20 00:00:00,1440,3550,3452,75,12,2,9,74,43,696,46,3550
973202,بندر ترکمن - سه راهي يساقي,1400/12/20 00:00:00,1400/12/21 00:00:00,1440,3656,3588,47,6,6,9,74,31,832,62,3656
973202,بندر ترکمن - سه راهي يساقي,1400/12/21 00:00:00,1400/12/22 00:00:00,1440,3752,3629,92,13,2,16,76,52,806,56,3752
973202,بندر ترکمن - سه راهي يساقي,1400/12/22 00:00:00,1400/12/23 00:00:00,1440,3832,3710,87,16,4,15,76,54,830,42,3832
973202,بندر ترکمن - سه راهي يساقي,1400/12/23 00:00:00,1400/12/24 00:00:00,1440,3972,3849,94,11,6,12,74,33,908,61,3972
973202,بندر ترکمن - سه راهي يساقي,1400/12/24 00:00:00,1400/12/25 00:00:00,1440,3814,3727,67,7,5,8,74,23,859,52,3814
973202,بندر ترکمن - سه راهي يساقي,1400/12/25 00:00:00,1400/12/26 00:00:00,1440,3452,3362,64,12,4,10,78,48,658,52,3457
973202,بندر ترکمن - سه راهي يساقي,1400/12/26 00:00:00,1400/12/27 00:00:00,1440,3587,3500,68,8,3,8,73,25,693,38,3598
973202,بندر ترکمن - سه راهي يساقي,1400/12/27 00:00:00,1400/12/28 00:00:00,1440,3434,3329,77,14,4,10,75,27,698,46,3434
973202,بندر ترکمن - سه راهي يساقي,1400/12/28 00:00:00,1400/12/29 00:00:00,1440,4207,4118,62,13,1,13,77,51,1027,59,4207
973202,بندر ترکمن - سه راهي يساقي,1400/12/29 00:00:00,1401/01/01 00:00:00,1440,2958,2911,36,4,3,4,77,53,522,41,2958
973202,بندر ترکمن - سه راهي يساقي,1401/12/01 00:00:00,1401/12/02 00:00:00,1440,4053,3816,178,36,10,13,77,105,935,54,4053
973202,بندر ترکمن - سه راهي يساقي,1401/12/02 00:00:00,1401/12/03 00:00:00,1440,3874,3646,167,35,12,14,77,91,827,40,3874
973202,بندر ترکمن - سه راهي يساقي,1401/12/03 00:00:00,1401/12/04 00:00:00,1440,3915,3700,159,37,10,9,76,85,889,50,3915
973202,بندر ترکمن - سه راهي يساقي,1401/12/04 00:00:00,1401/12/05 00:00:00,1440,3580,3290,215,53,4,18,78,114,746,57,3580
973202,بندر ترکمن - سه راهي يساقي,1401/12/05 00:00:00,1401/12/06 00:00:00,1440,3296,3105,149,31,5,6,74,76,637,34,3303
973202,بندر ترکمن - سه راهي يساقي,1401/12/06 00:00:00,1401/12/07 00:00:00,1440,3840,3658,138,23,6,15,78,85,806,42,3840
973202,بندر ترکمن - سه راهي يساقي,1401/12/07 00:00:00,1401/12/08 00:00:00,1440,3820,3579,180,39,8,14,80,114,795,61,3820
973202,بندر ترکمن - سه راهي يساقي,1401/12/08 00:00:00,1401/12/09 00:00:00,1440,4122,3827,229,41,9,16,77,128,1002,55,4122
