Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations,Estimated Number
973204,بندر ترکمن - کردکوي,1400/12/01 00:00:00,1400/12/02 00:00:00,1440,3876,3762,72,14,9,19,81,27,126,2,3876
973204,بندر ترکمن - کردکوي,1400/12/02 00:00:00,1400/12/03 00:00:00,1440,3715,3615,58,10,3,29,78,10,177,2,3715
973204,بندر ترکمن - کردکوي,1400/12/03 00:00:00,1400/12/04 00:00:00,1430,3651,3563,38,7,16,27,82,22,162,2,3678
973204,بندر ترکمن - کردکوي,1400/12/04 00:00:00,1400/12/05 00:00:00,1440,3819,3689,75,14,13,28,81,27,167,4,3819
973204,بندر ترکمن - کردکوي,1400/12/05 00:00:00,1400/12/06 00:00:00,1440,4011,3894,68,16,10,23,81,32,193,2,4011
973204,بندر ترکمن - کردکوي,1400/12/06 00:00:00,1400/12/07 00:00:00,1440,4083,3999,50,8,9,17,81,20,212,2,4083
973204,بندر ترکمن - کردکوي,1400/12/07 00:00:00,1400/12/08 00:00:00,1440,3862,3752,62,18,7,23,81,29,146,2,3862
973204,بندر ترکمن - کردکوي,1400/12/08 00:00:00,1400/12/09 00:00:00,1440,3602,3515,42,16,4,25,80,20,130,2,3602
973204,بندر ترکمن - کردکوي,1400/12/09 00:00:00,1400/12/10 00:00:00,1440,4472,4320,86,21,16,29,79,17,214,5,4472
973204,بندر ترکمن - کردکوي,1400/12/10 00:00:00,1400/12/11 00:00:00,1440,3435,3339,54,17,4,21,81,20,133,3,3435
973204,بندر ترکمن - کردکوي,1400/12/11 00:00:00,1400/12/12 00:00:00,1440,4062,3933,75,18,6,30,81,23,161,4,4062
