Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations,Estimated Number
973205,بندر ترکمن - گميشان,1400/12/01 00:00:00,1400/12/02 00:00:00,1440,5822,5641,156,16,2,7,35,1,1360,0,5822
973205,بندر ترکمن - گميشان,1400/12/02 00:00:00,1400/12/03 00:00:00,1440,5274,5158,101,9,1,5,35,0,1091,0,5274
973205,بندر ترکمن - گميشان,1400/12/03 00:00:00,1400/12/04 00:00:00,1440,5706,5545,137,16,2,6,35,0,1349,0,5706
973205,بندر ترکمن - گميشان,1400/12/04 00:00:00,1400/12/05 00:00:00,1440,5864,5696,133,19,7,9,35,0,1394,0,5864
973205,بندر ترکمن - گميشان,1400/12/05 00:00:00,1400/12/06 00:00:00,1440,6265,6097,130,26,8,4,36,0,1530,0,6265
973205,بندر ترکمن - گميشان,1400/12/06 00:00:00,1400/12/07 00:00:00,1440,5235,5106,100,18,7,4,36,0,1102,0,5235
973205,بندر ترکمن - گميشان,1400/12/07 00:00:00,1400/12/08 00:00:00,1440,5853,5694,129,19,5,6,35,0,1318,0,5853
973205,بندر ترکمن - گميشان,1400/12/08 00:00:00,1400/12/09 00:00:00,1440,5241,5104,116,12,4,5,36,0,1020,0,5241
973205,بندر ترکمن - گميشان,1400/12/09 00:00:00,1400/12/10 00:00:00,1440,6327,6174,120,19,4,10,35,0,1571,0,6327
973205,بندر ترکمن - گميشان,1400/12/10 00:00:00,1400/12/11 00:00:00,1440,4958,4825,110,10,1,12,35,1,994,0,4958
973205,بندر ترکمن - گميشان,1400/12/11 00:00:00,1400/12/12 00:00:00,1440,6391,6234,129,17,6,5,35,0,1567,0,6391
973205,بندر ترکمن - گميشان,1400/12/12 00:00:00,1400/12/13 00:00:00,1440,6412,6255,121,19,6,11,35,0,1473,0,6412
