Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Estimated Number,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations
973904,تنگراه - جنگل گلستان,1400/12/01 00:00:00,1400/12/02 00:00:00,1440.0,3083,2293,229,186,45,330,58.0,3083.0,5.0,453.0,53.0
973904,تنگراه - جنگل گلستان,1400/12/02 00:00:00,1400/12/03 00:00:00,1440.0,2647,1935,174,172,56,310,56.0,2647.0,7.0,324.0,43.0
973904,تنگراه - جنگل گلستان,1400/12/03 00:00:00,1400/12/04 00:00:00,1440.0,3069,2271,218,196,41,343,57.0,3069.0,8.0,472.0,40.0
973904,تنگراه - جنگل گلستان,1400/12/04 00:00:00,1400/12/05 00:00:00,1440.0,3279,2460,221,198,61,339,59.0,3279.0,3.0,482.0,51.0
973904,تنگراه - جنگل گلستان,1400/12/05 00:00:00,1400/12/06 00:00:00,1440.0,3150,2507,170,130,30,313,59.0,3150.0,11.0,506.0,38.0
973904,تنگراه - جنگل گلستان,1400/12/06 00:00:00,1400/12/07 00:00:00,1440.0,4468,3737,265,164,27,275,58.0,4468.0,6.0,910.0,58.0
973904,تنگراه - جنگل گلستان,1400/12/07 00:00:00,1400/12/08 00:00:00,1440.0,3268,2587,188,163,39,291,59.0,3268.0,9.0,488.0,49.0
973904,تنگراه - جنگل گلستان,1400/12/08 00:00:00,1400/12/09 00:00:00,1440.0,2896,2194,201,169,36,296,57.0,2896.0,8.0,362.0,35.0
973904,تنگراه - جنگل گلستان,1400/12/09 00:00:00,1400/12/10 00:00:00,1440.0,3165,2509,170,162,29,295,60.0,3165.0,6.0,504.0,37.0
973904,تنگراه - جنگل گلستان,1400/12/10 00:00:00,1400/12/11 00:00:00,1435.0,4030,3222,269,170,27,342,58.0,4040.0,6.0,731.0,56.0
973904,تنگراه - جنگل گلستان,1400/12/11 00:00:00,1400/12/12 00:00:00,1440.0,3426,2675,221,195,41,294,59.0,3426.0,10.0,545.0,46.0
973904,تنگراه - جنگل گلستان,1400/12/12 00:00:00,1400/12/13 00:00:00,1440.0,3284,2599,176,181,53,275,59.0,3284.0,10.0,507.0,33.0
973904,تنگراه - جنگل گلستان,1400/12/13 00:00:00,1400/12/14 00:00:00,1415.0,4360,3664,247,187,34,228,57.0,4474.0,9.0,857.0,53.0
973904,تنگراه - جنگل گلستان,1400/12/14 00:00:00,1400/12/15 00:00:00,1330.0,3242,2535,213,177,45,272,58.0,3330.0,3.0,531.0,42.0
973904,تنگراه - جنگل گلستان,1400/12/15 00:00:00,1400/12/16 00:00:00,1430.0,3393,2571,233,239,57,293,58.0,3404.0,5.0,555.0,45.0
973904,تنگراه - جنگل گلستان,1400/12/16 00:00:00,1400/12/17 00:00:00,1440.0,3153,2413,209,196,49,286,58.0,3153.0,8.0,465.0,36.0
973904,تنگراه - جنگل گلستان,1400/12/17 00:00:00,1400/12/18 00:00:00,1440.0,3282,2381,281,237,52,331,57.0,3282.0,17.0,520.0,42.0
973904,تنگراه - جنگل گلستان,1400/12/18 00:00:00,1400/12/19 00:00:00,1440.0,3420,2568,260,196,56,340,58.0,3420.0,6.0,564.0,57.0
973904,تنگراه - جنگل گلستان,1400/12/19 00:00:00,1400/12/20 00:00:00,1440.0,3355,2630,173,169,38,345,59.0,3355.0,5.0,541.0,42.0
