Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations,Estimated Number
974251,تنگراه - سه‌راهي کلاله,1400/12/01 00:00:00,1400/12/02 00:00:00,765.0,2129,1745,142,56,96,90,71.0,20.0,81.0,0.0,5363.0
974251,تنگراه - سه‌راهي کلاله,1400/12/02 00:00:00,1400/12/03 00:00:00,770.0,1946,1560,146,50,92,98,72.0,28.0,101.0,0.0,5012.0
974251,تنگراه - سه‌راهي کلاله,1400/12/03 00:00:00,1400/12/04 00:00:00,750.0,1917,1550,147,54,79,87,74.0,37.0,87.0,0.0,4976.0
974251,تنگراه - سه‌راهي کلاله,1400/12/04 00:00:00,1400/12/04 06:15:00,375.0,648,454,67,29,50,48,77.0,17.0,20.0,0.0,5471.0
974251,تنگراه - سه‌راهي کلاله,1400/12/05 17:50:00,1400/12/06 00:00:00,370.0,1603,1419,75,14,42,53,75.0,29.0,115.0,0.0,5824.0
974251,تنگراه - سه‌راهي کلاله,1400/12/06 00:00:00,1400/12/07 00:00:00,735.0,3080,2721,133,54,85,87,78.0,71.0,380.0,0.0,7113.0
974251,تنگراه - سه‌راهي کلاله,1400/12/07 00:00:00,1400/12/08 00:00:00,740.0,1934,1591,144,47,82,70,76.0,37.0,95.0,0.0,5094.0
974251,تنگراه - سه‌راهي کلاله,1400/12/08 00:00:00,1400/12/09 00:00:00,740.0,1800,1446,145,57,76,76,74.0,24.0,85.0,0.0,5103.0
974251,تنگراه - سه‌راهي کلاله,1400/12/09 00:00:00,1400/12/10 00:00:00,725.0,2064,1718,140,56,86,64,75.0,31.0,104.0,0.0,5406.0
974251,تنگراه - سه‌راهي کلاله,1400/12/10 00:00:00,1400/12/11 00:00:00,725.0,2438,2052,146,54,92,94,76.0,42.0,168.0,0.0,6769.0
974251,تنگراه - سه‌راهي کلاله,1400/12/11 00:00:00,1400/12/12 00:00:00,730.0,2048,1724,124,46,66,88,76.0,36.0,97.0,0.0,5479.0
974251,تنگراه - سه‌راهي کلاله,1400/12/12 00:00:00,1400/12/13 00:00:00,725.0,2348,2000,142,43,75,88,77.0,49.0,128.0,0.0,5786.0
974251,تنگراه - سه‌راهي کلاله,1400/12/13 00:00:00,1400/12/14 00:00:00,750.0,2602,2272,110,57,80,83,78.0,58.0,189.0,0.0,5820.0
974251,تنگراه - سه‌راهي کلاله,1400/12/14 00:00:00,1400/12/15 00:00:00,525.0,1750,1477,110,45,60,58,76.0,41.0,108.0,0.0,5341.0
974251,تنگراه - سه‌راهي کلاله,1400/12/15 00:00:00,1400/12/16 00:00:00,750.0,3251,2720,239,96,38,158,76.0,41.0,228.0,0.0,5752.0
974251,تنگراه - سه‌راهي کلاله,1400/12/16 00:00:00,1400/12/17 00:00:00,1440.0,5722,4787,355,205,84,291,74.0,84.0,388.0,0.0,5722.0
974251,تنگراه - سه‌راهي کلاله,1400/12/17 00:00:00,1400/12/18 00:00:00,1440.0,5676,4750,362,198,68,298,74.0,93.0,332.0,0.0,5676.0
974251,تنگراه - سه‌راهي کلاله,1400/12/18 00:00:00,1400/12/19 00:00:00,1440.0,5789,4892,353,209,68,267,75.0,95.0,380.0,0.0,5789.0
974251,تنگراه - سه‌راهي کلاله,1400/12/19 00:00:00,1400/12/20 00:00:00,1440.0,6063,5180,359,159,94,271,75.0,104.0,409.0,0.0,6063.0
974251,تنگراه - سه‌راهي کلاله,1400/12/20 00:00:00,1400/12/21 00:00:00,1440.0,6539,5697,262,170,80,330,76.0,103.0,648.0,0.0,6539.0
974251,تنگراه - سه‌راهي کلاله,1400/12/21 00:00:00,1400/12/22 00:00:00,1440.0,5607,4855,298,154,73,227,74.0,89.0,364.0,0.0,5607.0
974251,تنگراه - سه‌راهي کلاله,1400/12/22 00:00:00,1400/12/23 00:00:00,1440.0,6067,5070,385,207,87,318,70.0,34.0,403.0,0.0,6067.0
974251,تنگراه - سه‌راهي کلاله,1400/12/23 00:00:00,1400/12/24 00:00:00,1440.0,6490,5509,368,197,91,325,72.0,93.0,462.0,0.0,6490.0
974251,تنگراه - سه‌راهي کلاله,1400/12/24 00:00:00,1400/12/25 00:00:00,1440.0,6431,5523,379,168,91,270,74.0,83.0,448.0,0.0,6431.0
974251,تنگراه - سه‌راهي کلاله,1400/12/25 00:00:00,1400/12/26 00:00:00,1440.0,6730,5817,359,189,80,285,71.0,24.0,510.0,0.0,6730.0
974251,تنگراه - سه‌راهي کلاله,1400/12/26 00:00:00,1400/12/27 00:00:00,1440.0,7327,6552,318,139,83,235,76.0,134.0,750.0,0.0,7327.0
974251,تنگراه - سه‌راهي کلاله,1400/12/27 00:00:00,1400/12/28 00:00:00,1440.0,10624,10005,230,101,89,199,81.0,152.0,1881.0,0.0,10624.0
974251,تنگراه - سه‌راهي کلاله,1400/12/28 00:00:00,1400/12/29 00:00:00,1440.0,10975,10429,200,69,87,190,79.0,180.0,1756.0,0.0,10975.0
974251,تنگراه - سه‌راهي کلاله,1400/12/29 00:00:00,1401/01/01 00:00:00,1440.0,10537,10151,158,26,85,117,80.0,177.0,1801.0,0.0,10537.0
974251,تنگراه - سه‌راهي کلاله,1401/12/01 03:20:00,1401/12/01 20:40:00,380.0,2057,1766,140,57,41,53,108.0,905.0,461.0,0.0,8711.0
974251,تنگراه - سه‌راهي کلاله,1401/12/02 06:15:00,1401/12/02 07:25:00,70.0,268,237,14,7,1,9,100.0,61.0,37.0,0.0,9473.0
974251,تنگراه - سه‌راهي کلاله,1401/12/13 16:25:00,1401/12/14 00:00:00,200.0,3456,3214,112,48,41,41,108.0,1401.0,1238.0,0.0,10056.0
974251,تنگراه - سه‌راهي کلاله,1401/12/14 00:20:00,1401/12/15 00:00:00,675.0,7278,6750,240,126,71,91,105.0,2967.0,2154.0,0.0,13301.0
974251,تنگراه - سه‌راهي کلاله,1401/12/15 00:00:00,1401/12/16 00:00:00,595.0,3707,3059,280,139,81,148,101.0,1700.0,825.0,0.0,9539.0
974251,تنگراه - سه‌راهي کلاله,1401/12/16 00:00:00,1401/12/17 00:00:00,845.0,6824,6100,383,150,94,97,100.0,2481.0,1259.0,0.0,10512.0
974251,تنگراه - سه‌راهي کلاله,1401/12/17 02:45:00,1401/12/18 00:00:00,535.0,2688,2245,178,91,49,125,104.0,805.0,413.0,0.0,11852.0
974251,تنگراه - سه‌راهي کلاله,1401/12/18 00:00:00,1401/12/19 00:00:00,755.0,2635,2255,100,80,30,170,102.0,597.0,129.0,0.0,7031.0
974251,تنگراه - سه‌راهي کلاله,1401/12/19 00:00:00,1401/12/20 00:00:00,785.0,2949,2510,164,66,43,166,99.0,487.0,184.0,0.0,7695.0
974251,تنگراه - سه‌راهي کلاله,1401/12/20 00:00:00,1401/12/21 00:00:00,715.0,2511,2104,125,82,38,162,101.0,527.0,146.0,0.0,7681.0
974251,تنگراه - سه‌راهي کلاله,1401/12/21 00:00:00,1401/12/22 00:00:00,725.0,2555,2082,154,95,45,179,99.0,435.0,126.0,0.0,6566.0
974251,تنگراه - سه‌راهي کلاله,1401/12/22 00:00:00,1401/12/23 00:00:00,755.0,2806,2271,173,99,49,214,98.0,485.0,154.0,0.0,6362.0
974251,تنگراه - سه‌راهي کلاله,1401/12/23 00:00:00,1401/12/24 00:00:00,715.0,2536,2011,184,102,46,193,98.0,396.0,158.0,0.0,6530.0
974251,تنگراه - سه‌راهي کلاله,1401/12/24 00:00:00,1401/12/25 00:00:00,730.0,3042,2493,203,126,50,170,98.0,461.0,200.0,0.0,7356.0
974251,تنگراه - سه‌راهي کلاله,1401/12/25 00:00:00,1401/12/26 00:00:00,820.0,3944,3393,125,103,44,279,102.0,875.0,287.0,0.0,12535.0
974251,تنگراه - سه‌راهي کلاله,1401/12/26 00:00:00,1401/12/27 00:00:00,1305.0,12003,11106,300,188,72,337,106.0,3364.0,2075.0,0.0,13059.0
974251,تنگراه - سه‌راهي کلاله,1401/12/27 00:00:00,1401/12/28 00:00:00,1440.0,11184,10196,383,184,56,365,106.0,3118.0,1342.0,0.0,10678.0
974251,تنگراه - سه‌راهي کلاله,1401/12/28 00:00:00,1401/12/29 00:00:00,1440.0,14230,13379,317,185,49,300,108.0,4099.0,2160.0,0.0,14206.0
974251,تنگراه - سه‌راهي کلاله,1401/12/29 00:00:00,1402/01/01 00:00:00,1440.0,15319,14874,167,71,41,166,109.0,4652.0,2492.0,0.0,15319.0
974251,تنگراه - سه‌راهي کلاله,1398/01/01 10:30:00,1398/01/01 23:00:00,750.0,7322,7105,64,33,29,91,90.0,148.0,1487.0,0.0,8819.0
974251,تنگراه - سه‌راهي کلاله,1398/01/02 09:45:00,1398/01/03 00:00:00,795.0,8706,8473,83,28,40,82,91.0,234.0,1900.0,0.0,10857.0
974251,تنگراه - سه‌راهي کلاله,1398/01/03 00:00:00,1398/01/04 00:00:00,1440.0,12471,12061,121,61,106,122,91.0,283.0,2718.0,0.0,12471.0
974251,تنگراه - سه‌راهي کلاله,1398/01/04 00:00:00,1398/01/05 00:00:00,1440.0,14043,13505,174,74,89,201,92.0,374.0,3393.0,0.0,14043.0
974251,تنگراه - سه‌راهي کلاله,1398/01/05 00:00:00,1398/01/06 00:00:00,1440.0,12622,12047,178,98,115,184,85.0,137.0,2511.0,0.0,12622.0
