Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Estimated Number,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations
973954,جنگل گلستان - تنگراه,1400/12/01 00:00:00,1400/12/02 00:00:00,1440.0,3167,2337,272,189,35,334,61.0,3167.0,17.0,877.0,7.0
973954,جنگل گلستان - تنگراه,1400/12/02 00:00:00,1400/12/03 00:00:00,1440.0,2764,2012,232,178,32,310,58.0,2764.0,8.0,666.0,1.0
973954,جنگل گلستان - تنگراه,1400/12/03 00:00:00,1400/12/04 00:00:00,1440.0,3050,2308,220,183,42,297,62.0,3050.0,24.0,875.0,3.0
973954,جنگل گلستان - تنگراه,1400/12/04 00:00:00,1400/12/05 00:00:00,1440.0,3291,2469,262,178,51,331,62.0,3291.0,28.0,974.0,4.0
973954,جنگل گلستان - تنگراه,1400/12/05 00:00:00,1400/12/06 00:00:00,1440.0,3447,2716,268,133,37,293,62.0,3447.0,29.0,1023.0,6.0
973954,جنگل گلستان - تنگراه,1400/12/06 00:00:00,1400/12/07 00:00:00,1440.0,4428,3620,241,182,34,351,60.0,4428.0,18.0,1599.0,3.0
973954,جنگل گلستان - تنگراه,1400/12/07 00:00:00,1400/12/08 00:00:00,1440.0,3065,2379,192,195,38,261,63.0,3065.0,22.0,850.0,3.0
973954,جنگل گلستان - تنگراه,1400/12/08 00:00:00,1400/12/09 00:00:00,1440.0,2873,2102,235,212,42,282,58.0,2873.0,5.0,721.0,3.0
973954,جنگل گلستان - تنگراه,1400/12/09 00:00:00,1400/12/10 00:00:00,1440.0,3509,2725,243,194,36,311,62.0,3509.0,25.0,1057.0,4.0
973954,جنگل گلستان - تنگراه,1400/12/10 00:00:00,1400/12/11 00:00:00,1435.0,4244,3436,252,186,39,331,61.0,4251.0,16.0,1528.0,10.0
973954,جنگل گلستان - تنگراه,1400/12/11 00:00:00,1400/12/12 00:00:00,1440.0,3399,2685,203,191,41,279,62.0,3399.0,31.0,998.0,7.0
973954,جنگل گلستان - تنگراه,1400/12/12 00:00:00,1400/12/13 00:00:00,1440.0,3814,2969,307,193,37,308,61.0,3814.0,22.0,1259.0,6.0
973954,جنگل گلستان - تنگراه,1400/12/13 00:00:00,1400/12/14 00:00:00,1415.0,4407,3668,216,181,38,304,58.0,4517.0,20.0,1707.0,7.0
973954,جنگل گلستان - تنگراه,1400/12/14 00:00:00,1400/12/15 00:00:00,1330.0,3066,2413,202,182,29,240,62.0,3165.0,18.0,903.0,2.0
973954,جنگل گلستان - تنگراه,1400/12/15 00:00:00,1400/12/16 00:00:00,1430.0,3543,2581,327,243,61,331,61.0,3560.0,30.0,1090.0,8.0
973954,جنگل گلستان - تنگراه,1400/12/16 00:00:00,1400/12/17 00:00:00,1440.0,3402,2499,306,226,52,319,60.0,3402.0,19.0,1025.0,2.0
973954,جنگل گلستان - تنگراه,1400/12/17 00:00:00,1400/12/18 00:00:00,1440.0,3481,2580,289,241,39,332,60.0,3481.0,26.0,1066.0,6.0
973954,جنگل گلستان - تنگراه,1400/12/18 00:00:00,1400/12/19 00:00:00,1440.0,3492,2587,274,251,48,332,60.0,3492.0,19.0,1113.0,6.0
973954,جنگل گلستان - تنگراه,1400/12/19 00:00:00,1400/12/20 00:00:00,1440.0,3728,2848,299,201,58,322,61.0,3728.0,28.0,1176.0,5.0
973954,جنگل گلستان - تنگراه,1400/12/20 00:00:00,1400/12/21 00:00:00,1440.0,4277,3406,254,188,54,375,58.0,4277.0,14.0,1560.0,10.0
973954,جنگل گلستان - تنگراه,1400/12/21 00:00:00,1400/12/22 00:00:00,1440.0,3384,2591,277,192,48,276,61.0,3384.0,10.0,998.0,5.0
