Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations,Estimated Number
973551,شاهرود - آزادشهر (خوش ييلاق - آزادشهر),1400/12/01 00:00:00,1400/12/02 00:00:00,1440.0,1895,1162,111,208,68,346,51.0,0.0,250.0,63.0,1895.0
973551,شاهرود - آزادشهر (خوش ييلاق - آزادشهر),1400/12/02 00:00:00,1400/12/03 00:00:00,1440.0,1746,981,96,196,96,377,48.0,0.0,251.0,60.0,1746.0
973551,شاهرود - آزادشهر (خوش ييلاق - آزادشهر),1400/12/03 00:00:00,1400/12/04 00:00:00,1440.0,1979,1145,131,197,87,419,50.0,0.0,300.0,72.0,1979.0
973551,شاهرود - آزادشهر (خوش ييلاق - آزادشهر),1400/12/04 00:00:00,1400/12/05 00:00:00,1435.0,2028,1263,137,211,77,340,51.0,0.0,306.0,84.0,2037.0
973551,شاهرود - آزادشهر (خوش ييلاق - آزادشهر),1400/12/05 00:00:00,1400/12/06 00:00:00,1440.0,2018,1282,126,187,101,322,51.0,1.0,334.0,93.0,2018.0
973551,شاهرود - آزادشهر (خوش ييلاق - آزادشهر),1400/12/06 00:00:00,1400/12/07 00:00:00,1440.0,2089,1398,122,184,74,311,51.0,0.0,376.0,79.0,2089.0
973551,شاهرود - آزادشهر (خوش ييلاق - آزادشهر),1400/12/07 00:00:00,1400/12/08 00:00:00,1440.0,1799,1178,98,175,65,283,51.0,0.0,266.0,56.0,1799.0
973551,شاهرود - آزادشهر (خوش ييلاق - آزادشهر),1400/12/08 00:00:00,1400/12/09 00:00:00,1440.0,1822,1068,120,225,91,318,48.0,2.0,206.0,41.0,1822.0
973551,شاهرود - آزادشهر (خوش ييلاق - آزادشهر),1400/12/09 00:00:00,1400/12/10 00:00:00,1440.0,1987,1248,123,202,102,312,52.0,0.0,298.0,68.0,1987.0
973551,شاهرود - آزادشهر (خوش ييلاق - آزادشهر),1400/12/10 00:00:00,1400/12/11 00:00:00,1440.0,1939,1204,138,188,96,313,50.0,0.0,304.0,61.0,1939.0
