Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations,Estimated Number
973903,آزادشهر - شاهرود (خوش ييلاق),1400/12/01 01:15:00,1400/12/01 23:55:00,790.0,829,503,86,70,14,156,57.0,10.0,70.0,4.0,1411.0
973903,آزادشهر - شاهرود (خوش ييلاق),1400/12/02 00:50:00,1400/12/02 22:55:00,465.0,356,201,39,43,5,68,54.0,1.0,27.0,2.0,1245.0
973903,آزادشهر - شاهرود (خوش ييلاق),1400/12/03 01:10:00,1400/12/03 17:25:00,345.0,431,265,50,31,7,78,59.0,3.0,40.0,2.0,1273.0
973903,آزادشهر - شاهرود (خوش ييلاق),1400/12/04 00:55:00,1400/12/04 23:10:00,590.0,700,411,100,55,9,125,56.0,7.0,61.0,0.0,1537.0
973903,آزادشهر - شاهرود (خوش ييلاق),1400/12/05 00:50:00,1400/12/05 23:40:00,700.0,841,546,72,66,12,145,58.0,9.0,93.0,2.0,1507.0
973903,آزادشهر - شاهرود (خوش ييلاق),1400/12/06 00:20:00,1400/12/07 00:00:00,1025.0,1250,856,124,72,9,189,57.0,5.0,108.0,2.0,1452.0
973903,آزادشهر - شاهرود (خوش ييلاق),1400/12/07 00:00:00,1400/12/07 23:55:00,1105.0,1180,696,148,86,19,231,57.0,11.0,94.0,7.0,1450.0
973903,آزادشهر - شاهرود (خوش ييلاق),1400/12/08 00:00:00,1400/12/08 23:45:00,905.0,882,526,102,76,16,162,56.0,0.0,54.0,0.0,1346.0
973903,آزادشهر - شاهرود (خوش ييلاق),1400/12/09 00:15:00,1400/12/10 00:00:00,925.0,971,594,104,93,16,164,58.0,11.0,80.0,3.0,1601.0
973903,آزادشهر - شاهرود (خوش ييلاق),1400/12/10 00:20:00,1400/12/10 23:35:00,975.0,1349,824,157,122,23,223,55.0,9.0,132.0,6.0,1630.0
973903,آزادشهر - شاهرود (خوش ييلاق),1400/12/11 00:05:00,1400/12/12 00:00:00,1150.0,1106,689,147,89,16,165,57.0,9.0,90.0,4.0,1283.0
973903,آزادشهر - شاهرود (خوش ييلاق),1400/12/12 00:00:00,1400/12/13 00:00:00,1080.0,1201,784,97,124,21,175,58.0,7.0,98.0,3.0,1437.0
973903,آزادشهر - شاهرود (خوش ييلاق),1400/12/13 00:00:00,1400/12/13 23:25:00,920.0,1071,780,84,58,13,136,59.0,6.0,137.0,1.0,1684.0
973903,آزادشهر - شاهرود (خوش ييلاق),1400/12/14 00:30:00,1400/12/15 00:00:00,1005.0,1338,783,131,173,41,210,60.0,29.0,93.0,8.0,1448.0
973903,آزادشهر - شاهرود (خوش ييلاق),1400/12/15 00:00:00,1400/12/16 00:00:00,1440.0,1616,952,128,205,80,251,59.0,39.0,114.0,4.0,1616.0
973903,آزادشهر - شاهرود (خوش ييلاق),1400/12/16 00:00:00,1400/12/17 00:00:00,1440.0,1598,935,136,219,69,239,57.0,25.0,138.0,2.0,1598.0
973903,آزادشهر - شاهرود (خوش ييلاق),1400/12/17 00:00:00,1400/12/18 00:00:00,1440.0,1620,943,138,226,39,274,57.0,38.0,123.0,11.0,1620.0
973903,آزادشهر - شاهرود (خوش ييلاق),1400/12/18 00:00:00,1400/12/19 00:00:00,1440.0,1620,958,133,201,64,264,59.0,36.0,129.0,10.0,1620.0
973903,آزادشهر - شاهرود (خوش ييلاق),1400/12/19 00:00:00,1400/12/20 00:00:00,1440.0,1650,1085,95,202,69,199,60.0,36.0,114.0,5.0,1650.0
973903,آزادشهر - شاهرود (خوش ييلاق),1400/12/20 00:00:00,1400/12/21 00:00:00,1440.0,1967,1390,114,167,44,252,61.0,43.0,217.0,5.0,1967.0
973903,آزادشهر - شاهرود (خوش ييلاق),1400/12/21 00:00:00,1400/12/22 00:00:00,1440.0,1726,1071,138,213,50,254,60.0,41.0,141.0,8.0,1726.0
973903,آزادشهر - شاهرود (خوش ييلاق),1400/12/22 00:00:00,1400/12/23 00:00:00,1440.0,1862,1116,152,236,64,294,58.0,49.0,192.0,7.0,1862.0
973903,آزادشهر - شاهرود (خوش ييلاق),1400/12/23 00:00:00,1400/12/24 00:00:00,1440.0,1781,1056,138,250,67,270,54.0,6.0,183.0,9.0,1781.0
973903,آزادشهر - شاهرود (خوش ييلاق),1400/12/24 00:00:00,1400/12/25 00:00:00,1440.0,1857,1113,136,232,76,300,51.0,12.0,229.0,7.0,1857.0
973903,آزادشهر - شاهرود (خوش ييلاق),1400/12/25 00:00:00,1400/12/26 00:00:00,1440.0,1768,1189,103,201,49,226,52.0,9.0,314.0,12.0,1837.0
973903,آزادشهر - شاهرود (خوش ييلاق),1400/12/26 00:00:00,1400/12/27 00:00:00,1350.0,1480,1128,65,123,35,129,58.0,11.0,290.0,11.0,1801.0
973903,آزادشهر - شاهرود (خوش ييلاق),1400/12/28 14:10:00,1400/12/29 00:00:00,435.0,3,2,0,0,0,1,72.0,0.0,0.0,3.0,1622.0
973903,آزادشهر - شاهرود (خوش ييلاق),1400/12/29 00:00:00,1401/01/01 00:00:00,310.0,2,1,0,1,0,0,75.0,1.0,0.0,2.0,8.0
973903,آزادشهر - شاهرود (خوش ييلاق),1401/12/01 00:00:00,1401/12/02 00:00:00,1440.0,1756,1042,159,186,58,311,59.0,38.0,141.0,10.0,1756.0
973903,آزادشهر - شاهرود (خوش ييلاق),1401/12/02 00:00:00,1401/12/03 00:00:00,1440.0,1724,1034,161,189,55,285,59.0,31.0,132.0,8.0,1724.0
973903,آزادشهر - شاهرود (خوش ييلاق),1401/12/03 00:00:00,1401/12/04 00:00:00,1440.0,1840,1169,168,154,52,297,60.0,38.0,158.0,8.0,1840.0
973903,آزادشهر - شاهرود (خوش ييلاق),1401/12/04 00:00:00,1401/12/05 00:00:00,1440.0,1918,1322,134,150,47,265,61.0,44.0,202.0,2.0,1918.0
973903,آزادشهر - شاهرود (خوش ييلاق),1401/12/05 00:00:00,1401/12/06 00:00:00,1355.0,2270,1753,102,131,52,232,56.0,9.0,403.0,7.0,2418.0
973903,آزادشهر - شاهرود (خوش ييلاق),1401/12/06 00:00:00,1401/12/07 00:00:00,1440.0,1791,1208,147,141,38,257,61.0,38.0,152.0,9.0,1791.0
973903,آزادشهر - شاهرود (خوش ييلاق),1401/12/07 00:00:00,1401/12/08 00:00:00,1440.0,1626,992,140,149,48,297,59.0,31.0,137.0,5.0,1626.0
973903,آزادشهر - شاهرود (خوش ييلاق),1401/12/08 00:00:00,1401/12/09 00:00:00,1440.0,1522,915,127,148,43,289,58.0,27.0,100.0,1.0,1615.0
973903,آزادشهر - شاهرود (خوش ييلاق),1401/12/09 00:00:00,1401/12/10 00:00:00,1440.0,1614,943,162,170,60,279,57.0,36.0,112.0,7.0,1614.0
973903,آزادشهر - شاهرود (خوش ييلاق),1401/12/10 00:00:00,1401/12/11 00:00:00,1440.0,1839,1118,158,171,54,338,58.0,47.0,158.0,7.0,1839.0
973903,آزادشهر - شاهرود (خوش ييلاق),1401/12/11 00:00:00,1401/12/12 00:00:00,1440.0,1874,1191,154,156,54,319,60.0,55.0,174.0,7.0,1874.0
973903,آزادشهر - شاهرود (خوش ييلاق),1401/12/12 00:00:00,1401/12/13 00:00:00,1440.0,2265,1601,118,149,58,339,61.0,48.0,289.0,7.0,2265.0
973903,آزادشهر - شاهرود (خوش ييلاق),1401/12/13 00:00:00,1401/12/14 00:00:00,1440.0,1781,1113,150,132,52,334,61.0,47.0,142.0,2.0,1781.0
973903,آزادشهر - شاهرود (خوش ييلاق),1401/12/14 00:00:00,1401/12/15 00:00:00,1440.0,1817,1049,166,195,53,354,59.0,42.0,146.0,6.0,1817.0
973903,آزادشهر - شاهرود (خوش ييلاق),1401/12/15 00:00:00,1401/12/16 00:00:00,1440.0,1712,1009,168,150,59,326,59.0,38.0,121.0,4.0,1712.0
973903,آزادشهر - شاهرود (خوش ييلاق),1401/12/16 00:00:00,1401/12/17 00:00:00,1440.0,1990,1318,141,165,55,311,56.0,31.0,242.0,7.0,1990.0
973903,آزادشهر - شاهرود (خوش ييلاق),1401/12/17 00:00:00,1401/12/18 00:00:00,1440.0,2024,1327,145,175,50,327,61.0,45.0,226.0,8.0,2024.0
973903,آزادشهر - شاهرود (خوش ييلاق),1401/12/18 00:00:00,1401/12/19 00:00:00,1425.0,1960,1351,125,145,39,300,61.0,51.0,223.0,9.0,1977.0
973903,آزادشهر - شاهرود (خوش ييلاق),1401/12/19 00:00:00,1401/12/20 00:00:00,1440.0,2518,1914,114,155,45,290,61.0,37.0,354.0,4.0,2518.0
973903,آزادشهر - شاهرود (خوش ييلاق),1401/12/20 00:00:00,1401/12/21 00:00:00,1440.0,1931,1243,129,185,57,317,61.0,41.0,169.0,5.0,1931.0
973903,آزادشهر - شاهرود (خوش ييلاق),1401/12/21 00:00:00,1401/12/22 00:00:00,1440.0,1851,1108,150,188,69,336,58.0,32.0,177.0,9.0,1851.0
973903,آزادشهر - شاهرود (خوش ييلاق),1401/12/22 00:00:00,1401/12/23 00:00:00,1440.0,1902,1104,174,188,71,365,58.0,51.0,175.0,9.0,1902.0
973903,آزادشهر - شاهرود (خوش ييلاق),1401/12/23 00:00:00,1401/12/24 00:00:00,1440.0,1521,908,120,148,60,285,59.0,31.0,142.0,7.0,1870.0
973903,آزادشهر - شاهرود (خوش ييلاق),1401/12/24 00:00:00,1401/12/25 00:00:00,1440.0,2012,1266,152,180,55,359,61.0,58.0,222.0,9.0,2012.0
973903,آزادشهر - شاهرود (خوش ييلاق),1401/12/25 00:00:00,1401/12/26 00:00:00,1415.0,2422,1680,124,180,79,359,61.0,63.0,328.0,10.0,2440.0
973903,آزادشهر - شاهرود (خوش ييلاق),1401/12/26 00:00:00,1401/12/27 00:00:00,1405.0,2476,1798,120,161,64,333,61.0,53.0,356.0,11.0,2488.0
973903,آزادشهر - شاهرود (خوش ييلاق),1401/12/27 00:00:00,1401/12/28 00:00:00,1385.0,2188,1535,133,195,51,274,61.0,35.0,270.0,4.0,2459.0
973903,آزادشهر - شاهرود (خوش ييلاق),1401/12/28 00:00:00,1401/12/29 00:00:00,1245.0,1971,1546,80,115,26,204,64.0,47.0,236.0,1.0,2096.0
973903,آزادشهر - شاهرود (خوش ييلاق),1401/12/29 00:00:00,1402/01/01 00:00:00,1400.0,2032,1825,58,60,13,76,67.0,36.0,291.0,1.0,2048.0
973903,آزادشهر - شاهرود (خوش ييلاق),1398/01/01 11:20:00,1398/01/02 00:00:00,760.0,127,118,4,4,0,1,63.0,0.0,3.0,0.0,673.0
973903,آزادشهر - شاهرود (خوش ييلاق),1398/01/02 00:00:00,1398/01/03 00:00:00,1345.0,287,274,4,5,1,3,63.0,4.0,20.0,0.0,312.0
973903,آزادشهر - شاهرود (خوش ييلاق),1398/01/03 00:00:00,1398/01/04 00:00:00,1440.0,390,376,9,2,0,3,66.0,3.0,20.0,0.0,390.0
973903,آزادشهر - شاهرود (خوش ييلاق),1398/01/04 00:00:00,1398/01/05 00:00:00,1440.0,549,522,13,6,0,8,67.0,5.0,18.0,0.0,549.0
973903,آزادشهر - شاهرود (خوش ييلاق),1398/01/05 00:00:00,1398/01/06 00:00:00,1435.0,487,452,23,3,0,9,65.0,5.0,32.0,0.0,489.0
973903,آزادشهر - شاهرود (خوش ييلاق),1398/01/06 00:00:00,1398/01/06 21:10:00,1270.0,344,326,14,2,0,2,66.0,2.0,19.0,0.0,390.0
973903,آزادشهر - شاهرود (خوش ييلاق),1398/01/17 14:20:00,1398/01/18 00:00:00,580.0,549,380,49,24,12,84,59.0,4.0,33.0,1.0,1114.0
973903,آزادشهر - شاهرود (خوش ييلاق),1398/01/18 00:00:00,1398/01/19 00:00:00,1440.0,1116,743,116,87,26,144,59.0,20.0,62.0,0.0,2140.0
973903,آزادشهر - شاهرود (خوش ييلاق),1398/01/19 00:00:00,1398/01/20 00:00:00,1440.0,966,589,103,100,23,151,54.0,3.0,77.0,0.0,966.0
973903,آزادشهر - شاهرود (خوش ييلاق),1398/01/20 00:00:00,1398/01/21 00:00:00,1440.0,932,546,106,95,6,179,58.0,11.0,46.0,2.0,932.0
973903,آزادشهر - شاهرود (خوش ييلاق),1398/01/21 00:00:00,1398/01/22 00:00:00,1440.0,1130,719,123,121,15,152,59.0,20.0,68.0,4.0,1130.0
973903,آزادشهر - شاهرود (خوش ييلاق),1398/01/22 00:00:00,1398/01/23 00:00:00,1440.0,1322,892,122,111,7,190,60.0,22.0,102.0,4.0,1322.0
973903,آزادشهر - شاهرود (خوش ييلاق),1398/01/23 00:00:00,1398/01/24 00:00:00,1440.0,1507,1058,112,103,15,219,59.0,14.0,150.0,5.0,1507.0
973903,آزادشهر - شاهرود (خوش ييلاق),1398/01/24 00:00:00,1398/01/25 00:00:00,1440.0,998,635,99,73,15,176,58.0,6.0,50.0,1.0,998.0
973903,آزادشهر - شاهرود (خوش ييلاق),1398/01/25 00:00:00,1398/01/26 00:00:00,1440.0,1011,596,132,87,10,186,58.0,20.0,45.0,2.0,1011.0
973903,آزادشهر - شاهرود (خوش ييلاق),1398/01/26 00:00:00,1398/01/27 00:00:00,1440.0,1075,615,134,92,11,223,58.0,11.0,47.0,0.0,1075.0
973903,آزادشهر - شاهرود (خوش ييلاق),1398/01/27 00:00:00,1398/01/28 00:00:00,1440.0,1120,671,106,109,22,212,58.0,19.0,57.0,5.0,1120.0
973903,آزادشهر - شاهرود (خوش ييلاق),1398/01/28 00:00:00,1398/01/29 00:00:00,1440.0,1282,813,141,96,14,218,60.0,28.0,65.0,4.0,1282.0
973903,آزادشهر - شاهرود (خوش ييلاق),1398/01/29 00:00:00,1398/01/30 00:00:00,1440.0,1521,1109,100,104,15,193,64.0,39.0,125.0,2.0,1521.0
973903,آزادشهر - شاهرود (خوش ييلاق),1398/01/30 00:00:00,1398/01/31 00:00:00,1440.0,1648,1236,81,115,12,204,59.0,13.0,195.0,3.0,1648.0
973903,آزادشهر - شاهرود (خوش ييلاق),1398/01/31 00:00:00,1398/02/01 00:00:00,1440.0,1320,951,111,71,14,173,60.0,9.0,113.0,3.0,1320.0
