Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations,Estimated Number
973252,سه راهي يساقي - بندر ترکمن,1400/12/01 00:00:00,1400/12/02 00:00:00,1440,3753,3665,69,8,4,7,76,35,673,66,3753
973252,سه راهي يساقي - بندر ترکمن,1400/12/02 00:00:00,1400/12/03 00:00:00,1440,3293,3242,31,4,2,14,76,48,531,52,3298
973252,سه راهي يساقي - بندر ترکمن,1400/12/03 00:00:00,1400/12/04 00:00:00,1440,3641,3559,50,6,8,18,78,38,612,63,3641
973252,سه راهي يساقي - بندر ترکمن,1400/12/04 00:00:00,1400/12/05 00:00:00,1440,3929,3841,57,8,4,19,74,39,672,46,3929
973252,سه راهي يساقي - بندر ترکمن,1400/12/05 00:00:00,1400/12/06 00:00:00,1440,3850,3780,44,7,5,14,73,35,671,50,3861
973252,سه راهي يساقي - بندر ترکمن,1400/12/06 00:00:00,1400/12/07 00:00:00,1440,4159,4088,50,5,4,12,75,37,937,77,4159
973252,سه راهي يساقي - بندر ترکمن,1400/12/07 00:00:00,1400/12/08 00:00:00,1440,3791,3701,76,3,2,9,76,33,627,47,3791
973252,سه راهي يساقي - بندر ترکمن,1400/12/08 00:00:00,1400/12/09 00:00:00,1440,3252,3163,65,6,6,12,76,31,517,49,3252
973252,سه راهي يساقي - بندر ترکمن,1400/12/09 00:00:00,1400/12/10 00:00:00,1440,4227,4138,57,6,9,17,76,50,813,58,4227
973252,سه راهي يساقي - بندر ترکمن,1400/12/10 00:00:00,1400/12/11 00:00:00,1440,3527,3436,58,6,2,25,72,18,611,52,3527
973252,سه راهي يساقي - بندر ترکمن,1400/12/11 00:00:00,1400/12/12 00:00:00,1440,4037,3927,95,1,6,8,75,34,797,67,4037
973252,سه راهي يساقي - بندر ترکمن,1400/12/12 00:00:00,1400/12/13 00:00:00,1440,4222,4122,63,12,7,18,76,56,821,63,4222
973252,سه راهي يساقي - بندر ترکمن,1400/12/13 00:00:00,1400/12/14 00:00:00,1345,3675,3576,70,5,1,23,75,27,731,70,3792
973252,سه راهي يساقي - بندر ترکمن,1400/12/14 00:00:00,1400/12/15 00:00:00,1440,3960,3837,99,11,3,10,77,55,705,59,3961
973252,سه راهي يساقي - بندر ترکمن,1400/12/15 00:00:00,1400/12/16 00:00:00,1440,3942,3857,68,8,0,9,77,37,746,62,3942
973252,سه راهي يساقي - بندر ترکمن,1400/12/16 00:00:00,1400/12/17 00:00:00,1440,4033,3916,90,11,5,11,77,44,714,61,4033
973252,سه راهي يساقي - بندر ترکمن,1400/12/17 00:00:00,1400/12/18 00:00:00,1440,4043,3950,62,8,6,17,77,50,745,66,4043
973252,سه راهي يساقي - بندر ترکمن,1400/12/18 00:00:00,1400/12/19 00:00:00,1440,4056,3965,66,10,1,14,77,47,748,57,4056
973252,سه راهي يساقي - بندر ترکمن,1400/12/19 00:00:00,1400/12/20 00:00:00,1440,3920,3813,81,12,2,12,72,17,735,64,3920
973252,سه راهي يساقي - بندر ترکمن,1400/12/20 00:00:00,1400/12/21 00:00:00,1440,3848,3785,40,8,3,12,76,31,829,51,3848
973252,سه راهي يساقي - بندر ترکمن,1400/12/21 00:00:00,1400/12/22 00:00:00,1440,3859,3745,77,10,3,24,74,30,696,71,3859
973252,سه راهي يساقي - بندر ترکمن,1400/12/22 00:00:00,1400/12/23 00:00:00,1440,4091,3955,92,18,5,21,76,50,785,86,4091
973252,سه راهي يساقي - بندر ترکمن,1400/12/23 00:00:00,1400/12/24 00:00:00,1440,4231,4118,82,9,5,17,74,37,785,64,4231
973252,سه راهي يساقي - بندر ترکمن,1400/12/24 00:00:00,1400/12/25 00:00:00,1440,3999,3898,73,11,6,11,73,19,750,49,3999
973252,سه راهي يساقي - بندر ترکمن,1400/12/25 00:00:00,1400/12/26 00:00:00,1440,3672,3564,85,8,1,14,73,13,590,43,3672
973252,سه راهي يساقي - بندر ترکمن,1400/12/26 00:00:00,1400/12/27 00:00:00,1440,3955,3868,66,8,1,12,72,36,699,60,3955
973252,سه راهي يساقي - بندر ترکمن,1400/12/27 00:00:00,1400/12/28 00:00:00,1440,3782,3683,61,15,5,18,74,23,700,56,3782
973252,سه راهي يساقي - بندر ترکمن,1400/12/28 00:00:00,1400/12/29 00:00:00,1440,4551,4458,61,8,3,21,75,48,931,76,4551
973252,سه راهي يساقي - بندر ترکمن,1400/12/29 00:00:00,1401/01/01 00:00:00,1440,3355,3305,24,3,4,19,76,37,532,37,3355
973252,سه راهي يساقي - بندر ترکمن,1401/12/01 00:00:00,1401/12/02 00:00:00,1440,4437,4345,72,9,1,10,78,48,920,65,4437
973252,سه راهي يساقي - بندر ترکمن,1401/12/02 00:00:00,1401/12/03 00:00:00,1440,4291,4186,74,9,1,21,75,52,804,51,4291
973252,سه راهي يساقي - بندر ترکمن,1401/12/03 00:00:00,1401/12/04 00:00:00,1440,4275,4184,68,9,1,13,77,44,819,48,4296
973252,سه راهي يساقي - بندر ترکمن,1401/12/04 00:00:00,1401/12/05 00:00:00,1440,4256,4161,61,7,7,20,75,57,797,43,4256
973252,سه راهي يساقي - بندر ترکمن,1401/12/05 00:00:00,1401/12/06 00:00:00,1440,3533,3472,39,5,2,15,74,27,575,40,3533
973252,سه راهي يساقي - بندر ترکمن,1401/12/06 00:00:00,1401/12/07 00:00:00,1440,4098,3999,65,9,6,19,79,69,784,48,4098
973252,سه راهي يساقي - بندر ترکمن,1401/12/07 00:00:00,1401/12/08 00:00:00,1440,4206,4108,69,11,5,13,78,62,796,64,4206
973252,سه راهي يساقي - بندر ترکمن,1401/12/08 00:00:00,1401/12/09 00:00:00,1440,4542,4439,74,6,3,20,77,63,923,52,4542
973252,سه راهي يساقي - بندر ترکمن,1401/12/09 00:00:00,1401/12/10 00:00:00,1440,4416,4328,67,4,4,13,76,68,916,69,4416
973252,سه راهي يساقي - بندر ترکمن,1401/12/10 00:00:00,1401/12/11 00:00:00,1440,4575,4474,63,10,12,16,75,68,997,54,4575
973252,سه راهي يساقي - بندر ترکمن,1401/12/11 00:00:00,1401/12/12 00:00:00,1440,4383,4283,66,14,2,18,75,47,881,65,4383
973252,سه راهي يساقي - بندر ترکمن,1401/12/12 00:00:00,1401/12/13 00:00:00,1440,4151,4075,53,5,1,17,77,53,858,41,4151
973252,سه راهي يساقي - بندر ترکمن,1401/12/13 00:00:00,1401/12/14 00:00:00,1440,4231,4140,64,7,1,19,78,59,766,64,4231
973252,سه راهي يساقي - بندر ترکمن,1401/12/14 00:00:00,1401/12/15 00:00:00,1440,4436,4304,95,9,4,24,78,83,860,58,4436
973252,سه راهي يساقي - بندر ترکمن,1401/12/15 00:00:00,1401/12/16 00:00:00,1440,4311,4206,70,10,5,20,76,65,879,53,4311
973252,سه راهي يساقي - بندر ترکمن,1401/12/16 00:00:00,1401/12/17 00:00:00,1440,4107,4001,78,7,3,18,73,27,760,49,4107
973252,سه راهي يساقي - بندر ترکمن,1401/12/17 00:00:00,1401/12/18 00:00:00,1440,3614,3528,69,4,2,11,77,50,631,51,3614
973252,سه راهي يساقي - بندر ترکمن,1401/12/18 00:00:00,1401/12/19 00:00:00,1440,3971,3895,47,8,6,15,75,32,727,56,3971
973252,سه راهي يساقي - بندر ترکمن,1401/12/19 00:00:00,1401/12/20 00:00:00,1440,3934,3876,33,1,2,22,75,41,804,40,3934
973252,سه راهي يساقي - بندر ترکمن,1401/12/20 00:00:00,1401/12/21 00:00:00,1440,4317,4216,68,10,5,18,77,63,851,72,4317
973252,سه راهي يساقي - بندر ترکمن,1401/12/21 00:00:00,1401/12/22 00:00:00,1440,4360,4243,90,6,3,18,77,56,898,58,4360
973252,سه راهي يساقي - بندر ترکمن,1401/12/22 00:00:00,1401/12/23 00:00:00,1440,4451,4320,89,13,6,23,76,56,886,67,4451
973252,سه راهي يساقي - بندر ترکمن,1401/12/23 00:00:00,1401/12/24 00:00:00,1440,4183,4060,85,8,7,23,75,37,792,43,4183
973252,سه راهي يساقي - بندر ترکمن,1401/12/24 00:00:00,1401/12/24 23:55:00,1435,4369,4264,73,5,6,21,78,67,823,47,4375
973252,سه راهي يساقي - بندر ترکمن,1401/12/25 00:00:00,1401/12/26 00:00:00,1375,4518,4414,52,9,17,26,73,48,832,49,4545
973252,سه راهي يساقي - بندر ترکمن,1401/12/26 00:00:00,1401/12/27 00:00:00,1365,4236,4131,75,6,4,20,75,51,887,61,4258
973252,سه راهي يساقي - بندر ترکمن,1401/12/27 00:00:00,1401/12/28 00:00:00,1355,4795,4690,62,4,14,25,76,43,1051,34,4984
973252,سه راهي يساقي - بندر ترکمن,1401/12/28 00:00:00,1401/12/29 00:00:00,1350,4815,4719,67,5,9,15,75,47,981,2,4856
973252,سه راهي يساقي - بندر ترکمن,1401/12/29 00:00:00,1402/01/01 00:00:00,1385,4226,4163,44,3,3,13,74,38,772,0,4247
973252,سه راهي يساقي - بندر ترکمن,1398/01/01 00:00:00,1398/01/02 00:00:00,1440,2616,2538,51,8,1,18,86,961,330,30,2616
973252,سه راهي يساقي - بندر ترکمن,1398/01/02 00:00:00,1398/01/03 00:00:00,1380,2064,1995,55,13,0,1,80,446,174,37,2077
973252,سه راهي يساقي - بندر ترکمن,1398/01/03 00:00:00,1398/01/04 00:00:00,1440,2051,1971,60,13,5,2,82,511,159,40,2051
