Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations,Estimated Number
974201,سه‌راهي کلاله - تنگراه,1400/12/01 00:00:00,1400/12/02 00:00:00,760.0,2164,1768,162,45,82,107,78.0,30.0,97.0,1.0,5460.0
974201,سه‌راهي کلاله - تنگراه,1400/12/02 00:00:00,1400/12/03 00:00:00,770.0,1849,1497,126,52,91,83,77.0,12.0,67.0,2.0,4980.0
974201,سه‌راهي کلاله - تنگراه,1400/12/03 00:00:00,1400/12/04 00:00:00,750.0,1936,1559,146,50,73,108,81.0,36.0,74.0,0.0,5218.0
974201,سه‌راهي کلاله - تنگراه,1400/12/04 00:00:00,1400/12/04 06:15:00,375.0,462,336,35,17,35,39,81.0,7.0,8.0,0.0,5604.0
974201,سه‌راهي کلاله - تنگراه,1400/12/05 17:50:00,1400/12/06 00:00:00,370.0,1512,1330,75,22,31,54,82.0,33.0,74.0,0.0,5763.0
974201,سه‌راهي کلاله - تنگراه,1400/12/06 00:00:00,1400/12/07 00:00:00,735.0,2036,1734,122,38,51,91,80.0,19.0,98.0,1.0,6047.0
974201,سه‌راهي کلاله - تنگراه,1400/12/07 00:00:00,1400/12/08 00:00:00,740.0,1943,1623,114,55,64,87,81.0,33.0,90.0,0.0,5089.0
974201,سه‌راهي کلاله - تنگراه,1400/12/08 00:00:00,1400/12/09 00:00:00,740.0,1687,1369,116,35,60,107,78.0,22.0,52.0,1.0,4920.0
974201,سه‌راهي کلاله - تنگراه,1400/12/09 00:00:00,1400/12/10 00:00:00,725.0,1918,1600,129,33,62,94,82.0,35.0,82.0,0.0,5049.0
974201,سه‌راهي کلاله - تنگراه,1400/12/10 00:00:00,1400/12/11 00:00:00,725.0,2106,1771,126,35,52,122,81.0,40.0,97.0,1.0,6444.0
974201,سه‌راهي کلاله - تنگراه,1400/12/11 00:00:00,1400/12/12 00:00:00,730.0,2081,1754,126,40,72,89,82.0,37.0,100.0,0.0,5733.0
974201,سه‌راهي کلاله - تنگراه,1400/12/12 00:00:00,1400/12/13 00:00:00,725.0,2077,1785,108,44,55,85,80.0,20.0,86.0,0.0,5601.0
974201,سه‌راهي کلاله - تنگراه,1400/12/13 00:00:00,1400/12/14 00:00:00,750.0,2111,1816,115,51,51,78,80.0,24.0,103.0,0.0,5627.0
974201,سه‌راهي کلاله - تنگراه,1400/12/14 00:00:00,1400/12/15 00:00:00,525.0,1780,1493,103,45,53,86,81.0,34.0,86.0,0.0,5212.0
974201,سه‌راهي کلاله - تنگراه,1400/12/15 00:00:00,1400/12/16 00:00:00,750.0,3197,2643,197,138,56,163,83.0,60.0,189.0,0.0,5612.0
974201,سه‌راهي کلاله - تنگراه,1400/12/16 00:00:00,1400/12/17 00:00:00,1440.0,5403,4597,273,178,70,285,84.0,126.0,292.0,0.0,5403.0
974201,سه‌راهي کلاله - تنگراه,1400/12/17 00:00:00,1400/12/18 00:00:00,1440.0,5551,4607,337,215,83,309,82.0,99.0,357.0,2.0,5551.0
974201,سه‌راهي کلاله - تنگراه,1400/12/18 00:00:00,1400/12/19 00:00:00,1440.0,5728,4847,305,178,75,323,83.0,84.0,289.0,0.0,5728.0
974201,سه‌راهي کلاله - تنگراه,1400/12/19 00:00:00,1400/12/20 00:00:00,1440.0,5974,5188,228,170,71,317,84.0,132.0,330.0,1.0,5974.0
974201,سه‌راهي کلاله - تنگراه,1400/12/20 00:00:00,1400/12/21 00:00:00,1440.0,6181,5402,276,154,67,282,84.0,149.0,448.0,0.0,6181.0
974201,سه‌راهي کلاله - تنگراه,1400/12/21 00:00:00,1400/12/22 00:00:00,1440.0,5610,4765,275,169,73,328,84.0,119.0,308.0,1.0,5610.0
974201,سه‌راهي کلاله - تنگراه,1400/12/22 00:00:00,1400/12/23 00:00:00,1440.0,5878,4960,313,204,80,321,81.0,75.0,353.0,1.0,5878.0
974201,سه‌راهي کلاله - تنگراه,1400/12/23 00:00:00,1400/12/24 00:00:00,1440.0,6420,5438,375,196,92,319,82.0,103.0,445.0,2.0,6420.0
974201,سه‌راهي کلاله - تنگراه,1400/12/24 00:00:00,1400/12/25 00:00:00,1440.0,6615,5624,343,207,86,355,81.0,104.0,455.0,2.0,6615.0
974201,سه‌راهي کلاله - تنگراه,1400/12/25 00:00:00,1400/12/26 00:00:00,1440.0,7131,6212,336,213,81,289,80.0,61.0,526.0,3.0,7131.0
974201,سه‌راهي کلاله - تنگراه,1400/12/26 00:00:00,1400/12/27 00:00:00,1440.0,7898,7063,282,168,81,304,83.0,152.0,651.0,2.0,7898.0
974201,سه‌راهي کلاله - تنگراه,1400/12/27 00:00:00,1400/12/28 00:00:00,1440.0,10606,9840,337,132,52,245,86.0,169.0,1289.0,3.0,10606.0
974201,سه‌راهي کلاله - تنگراه,1400/12/28 00:00:00,1400/12/29 00:00:00,1440.0,13634,12929,278,134,60,233,86.0,183.0,2014.0,3.0,13634.0
974201,سه‌راهي کلاله - تنگراه,1400/12/29 00:00:00,1401/01/01 00:00:00,1440.0,10516,10157,119,57,30,153,88.0,250.0,1253.0,5.0,10516.0
974201,سه‌راهي کلاله - تنگراه,1401/12/01 02:45:00,1401/12/02 00:00:00,235.0,2381,1932,171,101,73,104,93.0,893.0,833.0,646.0,10587.0
974201,سه‌راهي کلاله - تنگراه,1401/12/02 00:00:00,1401/12/02 07:25:00,265.0,5645,4372,546,299,220,208,88.0,1792.0,3007.0,4133.0,15994.0
974201,سه‌راهي کلاله - تنگراه,1401/12/13 16:25:00,1401/12/14 00:00:00,210.0,1343,1052,138,55,50,48,90.0,459.0,416.0,331.0,7155.0
974201,سه‌راهي کلاله - تنگراه,1401/12/14 00:00:00,1401/12/14 23:05:00,275.0,2730,2213,216,123,90,88,93.0,958.0,1147.0,808.0,13572.0
974201,سه‌راهي کلاله - تنگراه,1401/12/15 01:10:00,1401/12/16 00:00:00,575.0,5616,4285,540,291,243,257,94.0,2265.0,1952.0,1805.0,11255.0
974201,سه‌راهي کلاله - تنگراه,1401/12/16 00:00:00,1401/12/16 21:50:00,580.0,7020,5495,601,378,259,287,89.0,2489.0,3036.0,2593.0,12934.0
974201,سه‌راهي کلاله - تنگراه,1401/12/17 05:15:00,1401/12/18 00:00:00,410.0,2720,2357,120,82,43,118,86.0,582.0,695.0,452.0,11193.0
974201,سه‌راهي کلاله - تنگراه,1401/12/18 00:00:00,1401/12/19 00:00:00,755.0,2826,2372,135,103,47,169,96.0,693.0,165.0,1.0,7139.0
