Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations,Estimated Number
974253,سه راهي کلاله-کلاله,1401/12/19 15:45:00,1401/12/20 00:00:00,495,4152,4060,41,25,9,17,98,250,415,1,9150
974253,سه راهي کلاله-کلاله,1401/12/20 00:00:00,1401/12/21 00:00:00,1440,9634,9190,218,101,40,85,101,643,920,5,9634
974253,سه راهي کلاله-کلاله,1401/12/21 00:00:00,1401/12/22 00:00:00,1440,10755,10286,217,127,40,85,99,600,1080,4,10755
974253,سه راهي کلاله-کلاله,1401/12/22 00:00:00,1401/12/23 00:00:00,1440,9889,9412,245,122,37,73,99,628,914,9,9889
974253,سه راهي کلاله-کلاله,1401/12/23 00:00:00,1401/12/24 00:00:00,1440,9784,9309,230,118,33,94,101,787,902,9,9784
974253,سه راهي کلاله-کلاله,1401/12/24 00:00:00,1401/12/25 00:00:00,1440,10312,9843,261,95,26,87,100,721,960,7,10312
974253,سه راهي کلاله-کلاله,1401/12/25 00:00:00,1401/12/26 00:00:00,1440,11557,11033,268,144,35,77,102,874,1240,11,11557
974253,سه راهي کلاله-کلاله,1401/12/26 00:00:00,1401/12/27 00:00:00,1440,10659,10305,175,77,26,76,100,747,1329,8,10659
974253,سه راهي کلاله-کلاله,1401/12/27 00:00:00,1401/12/27 16:00:00,960,6691,6362,153,91,21,64,101,408,698,2,12432
974253,سه راهي کلاله-کلاله,1401/12/28 00:35:00,1401/12/29 00:00:00,1400,13551,13081,226,103,47,94,100,814,1796,10,13717
974253,سه راهي کلاله-کلاله,1401/12/29 00:00:00,1402/01/01 00:00:00,1440,11254,10960,155,54,24,61,102,809,1301,7,11254
974253,سه راهي کلاله-کلاله,1398/01/01 00:00:00,1398/01/01 23:55:00,1428,9113,8985,72,10,34,12,76,36,1279,0,9175
974253,سه راهي کلاله-کلاله,1398/01/02 01:00:00,1398/01/03 00:00:00,1373,9248,9099,94,10,31,14,79,46,1349,0,9279
974253,سه راهي کلاله-کلاله,1398/01/03 00:00:00,1398/01/04 00:00:00,1432,11459,11294,102,13,35,15,79,82,1965,0,11525
974253,سه راهي کلاله-کلاله,1398/01/04 00:00:00,1398/01/05 00:00:00,1432,12421,12190,167,12,31,21,79,70,2147,0,12490
974253,سه راهي کلاله-کلاله,1398/01/05 00:00:00,1398/01/06 00:00:00,1368,10023,9831,128,12,35,17,76,53,1459,0,10716
974253,سه راهي کلاله-کلاله,1398/01/06 00:00:00,1398/01/07 00:00:00,1436,10398,10203,137,16,27,15,77,44,1593,0,10425
974253,سه راهي کلاله-کلاله,1398/01/07 00:00:00,1398/01/07 23:05:00,1309,10631,10421,156,13,17,24,80,73,1781,0,11414
974253,سه راهي کلاله-کلاله,1398/01/08 09:53:07,1398/01/09 00:00:00,842,10532,10361,127,12,17,15,79,51,2097,0,12451
974253,سه راهي کلاله-کلاله,1398/01/09 00:00:00,1398/01/10 00:00:00,1367,8705,8498,150,13,25,19,81,91,1250,0,9062
974253,سه راهي کلاله-کلاله,1398/01/10 00:00:00,1398/01/11 00:00:00,1134,8193,8024,119,12,19,19,83,114,1197,0,11834
